MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nブシュロン\x022\n\x0E\x03\x02\x0C\nブシュロン\nGeht es Euch gut, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nブシュロン\nDas hier kann ich wärmstens empfehlen. Ein\nKlassiker aus meiner Heimat: „Blühende Liebe“.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nEs ist so... feucht. Und zerknittert.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nブシュロン\nOh. Tut mir leid. Das sind Tränenflecken.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nBitte was?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nブシュロン\nEs braucht bei mir nicht viel, damit das Wasser\nfließt. Deswegen, ähm...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nブシュロン\nDeswegen kommen mir schon die Tränen, wenn\nich nur den Umschlag dieses Buches anschaue.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nDas reicht schon?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nブシュロン\nLasst Euch nicht täuschen. Lesen ist\nentspannend. Und dieses hier ist eines\nmeiner Favoriten.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nAlso gut. Dann schauen wir doch mal...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nブシュロン\nWartet! Ich muss mich erst einen Moment lang\nsammeln, nachdem ich das Inhaltsverzeichnis\ngesehen habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nErnsthaft jetzt?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nブシュロン\nEs tut mir leid, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche... Das ist wohl nicht\nbesonders entspannend für Euch. Ich lasse\nEuch mit dem Buch dann mal allein.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nBist du sicher? Es macht mir nichts aus.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nAußerdem machen sich die Leute doch Sorgen,\nwenn sie dich in Tränen aufgelöst sehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nブシュロン\nUaaah... Oh, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche, Ihr seid zu gütig!\nWartet nur, bis wir am Vorwort angekommen\nsind!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nIn diesem Tempo beenden wir eher den Krieg\nals das erste Kapitel...\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nブシュロン\x022\n\x0E\x03\x02\x0C\nブシュロン\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, Ihr habt gerufen? Ist alles in\nOrdnung?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nHallo, Boucheron. Ich habe über deine\nLektionen in Sachen Stressabbau nachgedacht.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nAber das ist nicht der Grund, warum ich dich\nheute hierher gebeten habe.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0C\nブシュロン\nHm?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nIch habe dich heute hierher gebeten, um dir\ndrei Dinge zu sagen.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nErstens möchte ich dir danken.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nIch hoffe, du weißt, dass ich deine unerschütter-\nliche Unterstützung zu schätzen weiß.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0C\nブシュロン\nNicht der Rede wert, bitte. Ich bin einfach froh,\ndass ich helfen kann.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nIch muss sagen, deine Entschlossenheit ist\nwirklich charmant. Ebenso wie deine\nBescheidenheit.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0C\nブシュロン\nIhr haltet mich für charmant?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nJa. Das war tatsächlich das Zweite, was ich dir\nsagen wollte. Schon ist es draußen.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nAber eines gibt es noch, das ich mir von der\nSeele reden möchte. Nämlich...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nTut mir leid. Das Ganze macht mich... ein\nwenig emotional.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nWas ist los?\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0C\nブシュロン\nWenn ich sehe, wie Ihr so emotional werdet,\ndann bekomme ich auch einen Kloß im Hals.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nGenau diese empathische Unterstützung ist der\nGrund, weswegen ich dich so sehr mag.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0C\nブシュロン\nHm?\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nBoucheron, willst du den Paktring von mir\nannehmen und mir versprechen, an meiner\nSeite zu bleiben?\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nIch denke, zwischen uns bestehen besondere\nBande, und ich möchte sie nach dem Krieg\nnicht verlieren.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0C\nブシュロン\nM-meint Ihr das ernst? Oh, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche, ich bin\nso glücklich, dass ich weinen könnte.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nブシュロン\nAber nein. Ich muss mich lange genug\nzusammenreißen, um Euch auch etwas zu\nsagen.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0C\nブシュロン\nIch bin kein Adliger und kein Behüter, nur ein\ngewöhnlicher Ritter. Aber ich habe stets zu\nEuch aufgeblickt.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nHeißt das also Ja?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nブシュロン\nNatürlich nehme ich den Ring an. Er ist der\nBeweis, dass wir beide das Gleiche füreinander\nempfinden.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0C\nブシュロン\nWenn einer wie ich Euch recht ist, dann folge\nich Euch bis zum Ende der Welt!\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nDanke, Boucheron. Das verlangt nach einer\nFeier.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0C\nブシュロン\nHa, Ihr nehmt mir die Worte aus dem Mund.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0C\nブシュロン\nIch mag mich in den Wirren des Lebens\nverlaufen und emotional sein, doch mit Euch\nfinde ich stets meinen Weg, \x0E\x06\x03\x00.\x0E\x04\x00\x00
