MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nWie geht es dir, Madeline? Gewöhnst du dich\nallmählich an diese Welt?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	Nach dem Tod meiner Eltern war er es, der\nmich unter seine Fittiche nahm und mich für\nden Kampf ausbildete.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nAls ihr beide in Lythos eintraft, war ich ziemlich\nüberrascht. Ich dachte zuerst, du seist seine\nTochter.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nマデリーン\nPah. Bruder und Schwester würde ich mir\nvielleicht noch gefallen lassen, aber Vater\nund Tochter...\x0E\x04\x02\x00
MID_RELIANCE_C_#018	Gute Güte, wie spät ist es denn? So sehr ich es\nauch liebe, in Erinnerungen zu schwelgen, mein\nTraining darf ich nicht vernachlässigen.\x0E\x04\x02\x00
MID_RELIANCE_C_#019	Führen wir unser Gespräch zu einem anderen\nZeitpunkt fort, ja?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nHmhm! Nun sieh mal einer an... Sie entwickelt\nsich langsam zu einer prächtigen jungen Dame.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIch hatte gehofft, wir könnten wieder ein wenig\nin Erinnerungen schwelgen, Madeline.\x0E\x04\x02\x00
MID_RELIANCE_B_#002	Du und Mauvier habt euch in deiner Heimat-\nstadt kennengelernt, richtig?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nマデリーン\nJa. Ich hatte kurz zuvor meine Eltern verloren\nund versuchte, meine Stadt vor den Verzerrten\nzu beschützen.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Eines Tages fiel eine riesige Horde – die größte,\ndie ich je gesehen hatte – über die Stadt her.\x0E\x04\x02\x00
MID_RELIANCE_B_#005	Sie umzingelten uns. Überall waren Feuer,\nLeute starben in den Straßen... Ich dachte\nbereits, es wäre um mich geschehen.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Plötzlich, wie aus dem Nichts, erschien ein\nRitter.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nUnd dieser Ritter war Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nマデリーン\nDa er die Rüstung und das Banner der\nStreitmächte des Dämonendrachen trug,\nhielt ich ihn zunächst für einen Feind.\x0E\x04\x02\x00
MID_RELIANCE_B_#009	Doch dann streckte er sämtliche Verzerrte um\nmich herum nieder. Alle ohne Ausnahme.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Und als ich in seine Augen blickte, wusste ich\nmit Gewissheit, dass er auf meiner Seite war.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nSo wurdest du also gerettet. Und anschließend\nseid ihr dann an den Ort gereist, an dem ich\nmich befand.\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Du hattest deine Eltern verloren, deine Heimat...\nund wirktest so niedergeschlagen, dass ich mir\ndamals große Sorgen um dich machte.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nマデリーン\nJa... Im Nachhinein ist mir das schon ein wenig\nunangenehm. Und meine Erinnerungen an die\nReise nach Lythos sind nur recht lückenhaft.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Wäre Mauvier nicht gewesen, wäre ich unter-\nwegs sicher gestorben. Er rettete mir viele Male\ndas Leben.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cセレスティア\nUnd trotzdem hast du nicht aufgegeben und\nbist nun so stark wie nie zuvor... Fast so, als\nwärst du eine andere Person.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nマデリーン\nDas habe ich meinen Mentoren zu verdanken.\nAllen voran Mauvier. Er brachte mir so einige\nnützliche Fähigkeiten bei.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	Nachdem er sich meiner annahm, fühlte er sich\nwohl dazu verpflichtet, mich auszubilden. Wir\ntrainierten häufig gemeinsam.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Und ich kann gar nicht zählen, wie oft er mich\nvor Gefahren bewahrte. So wie im Tempel...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cセレスティア\nIch weiß.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nマデリーン\nIch wünschte nur, ich könnte mich für all seine\nHilfe bei ihm erkenntlich zeigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cセレスティア\nDu hast Mauvier doch schon etwas gegeben.\nEtwas von unschätzbarem Wert.\x0E\x04\x02\x00
MID_RELIANCE_B_#022	Er hat mir immer erzählt, wie glücklich er war,\ndich gefunden zu haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nマデリーン\nGlücklich? Das hat er gesagt?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cセレスティア\nDas hat er tatsächlich. Es sollte dich beruhigen\nzu wissen, dass du ihm Glück beschert hast. Du\nwarst ihm nämlich ebenfalls eine große Stütze.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Mit den Augen eines stolzen und liebevollen\nVaters sah er dich aufwachsen und lernen.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nマデリーン\nOh... Hahaha. Nun ziehst du ja schon wieder\nVater-und-Tochter-Vergleiche.\x0E\x04\x02\x00
MID_RELIANCE_B_#027	Und dennoch ehren mich seine Worte.\x0E\x04\x02\x00
MID_RELIANCE_B_#028	Danke, dass du sie mit mir geteilt hast.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0E\x0Cセレスティア\nIch glaube fest daran, dass Mauvier selbst jetzt\nnoch auf dich aufpasst.\x0E\x04\x00\x00
MID_RELIANCE_B_#030	\x0E\x03\x02\x0C\nマデリーン\nWenn das so ist, werde ich meine Bemühungen\nsogar noch verdoppeln, um eine Ritterin zu\nwerden, die seines Respekts auch würdig ist.\x0E\x04\x02\x00
MID_RELIANCE_B_#031	Wohlan, es ruft das Training... Aber wir sollten\nuns bei unserem nächsten Gespräch ein wenig\nmehr über dich unterhalten, ja?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nZelestia, bei unserem letzten Treffen habe fast\nausschließlich ich geredet. Nun bist du am Zug.\nAlso, was hat dich nach Lythos geführt?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nDas ist eine uralte Geschichte, hm-hm.\nLange bevor wir uns in unserer Welt trafen.\x0E\x04\x02\x00
MID_RELIANCE_A_#003	Mehr als eintausend Jahre zuvor, als Königin\nLumera noch lebte...\x0E\x04\x02\x00
MID_RELIANCE_A_#004	Da verwüstete Sombron das Dorf der Magie-\ndrachen. Ich entkam nur knapp mit dem Leben.\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Ich erhoffte mir, hier Zuflucht zu finden, da in\ndiesen Ländereien bereits Magiedrachen lebten.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nマデリーン\nWas geschah dann?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nIch fand viel mehr als nur eine Zuflucht.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Die Wyrmgöttin Lumera und ihr Kind hießen\nmich willkommen wie ein Familienmitglied.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Wir plauderten, gingen spazieren, nahmen\ngemeinsam Mahlzeiten zu uns. Dort heilten\nall meine Wunden.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nマデリーン\nJa... Ich kenne dieses Gefühl.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nDoch dann starb Königin Lumera, und \x0E\x0A\x00\x10\x06die\x06der\n\x0E\x0A\x00@ junge Wyrmgöttin\x1Cjunge Wyrmgott nahm ihren Platz ein.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Während der folgenden eintausend Jahre des\nFriedens diente ich dem Thron.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Als die Zeichen auf Sombrons Rückkehr\nhindeuteten, war \x0E\x0A\x008\x1Cdie Wyrmgöttin\x18der Wyrmgott zutiefst\nbestürzt.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nマデリーン\nDas überrascht mich. Nach außen hin wirkte\n\x0E\x0A\x008\x1Cdie Wyrmgöttin\x18der Wyrmgott stets gelassen, wenn nicht\nsogar ein wenig distanziert.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	War dies der Zeitpunkt, zu dem Milady Nel und\nMylord Nil – ich meine natürlich Mylord Rafal –\nin Lythos eintrafen?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nJa. Anfangs empfand ich es als schwierig,\nmit ihnen auszukommen.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Ich griff sie bei unserem ersten Treffern sogar\nan, mit dem Vorhaben, sie zu töten.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nマデリーン\nDu hast was?!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cセレスティア\nDer Dämonendrache hatte uns allen so viel\ngenommen, und sie waren seine Kinder. Ich\nhandelte rein instinktiv.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Doch \x0E\x0A\x008\x1Cdie Wyrmgöttin\x18der Wyrmgott empfing sie mit einem\nLächeln und sagte zu mir...\x0E\x04\x02\x00
MID_RELIANCE_A_#021	„Bitte gewähre den beiden deine Unterstützung,\nganz gleich, was auch geschehen mag.“\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nマデリーン\n„Was auch geschehen mag...“\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cセレスティア\nZiemlich unheilschwanger, nicht wahr?\nAls hätte \x0E\x0A\x008\x1Cdie Wyrmgöttin\x18der Wyrmgott mehr als ich gewusst.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Vielleicht, dass Mylord Nil uns allen seine wahre\nIdentität verheimlichte.\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Wir werden es wohl nie erfahren.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nマデリーン\nNein... Bedauerlicherweise.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cセレスティア\nKurz darauf trafen wir auf die Vier Winde und...\nNun, der Rest ist dir bekannt.\x0E\x04\x02\x00
MID_RELIANCE_A_#028	Also, hat dir meine kleine Geschichte gefallen?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nマデリーン\nSehr! Sie war überaus faszinierend. Ich freue\nmich, mehr über deine Vergangenheit erfahren\nzu haben.\x0E\x04\x02\x00
MID_RELIANCE_A_#030	Wie ich sehe, war Lythos für dich ebenso ein\nOrt der Heilung und des Wachstums wie für\nmich.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0E\x0Cセレスティア\nUnd gemeinsam werden wir hier noch weiter\nwachsen.\x0E\x04\x02\x00
MID_RELIANCE_A_#032	Da wir zwei zur selben Zeit angekommen sind,\nkönnen wir diesen Pfad zusammen beschreiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0C\nマデリーン\nAbsolut. Stellen wir uns furchtlos jedem Kampf\nund jeder Herausforderung.\x0E\x04\x02\x00
MID_RELIANCE_A_#034	Und wenn dieser Krieg endlich vorüber ist,\nkönnen wir gerne wieder gemeinsam in\nErinnerungen schwelgen.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0E\x0Cセレスティア\nIch kann es kaum erwarten. Sobald wieder\nFrieden herrscht, werde ich dich an dieses\nVersprechen erinnern.\x0E\x04\x00\x00
