MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x0A\x08リュール\nHyah!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nDie Schlachten werden von Mal zu Mal härter,\nda kann ich es mir nicht leisten, beim Training\nabgelenkt zu sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06フラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nIhr... Ihr habt recht. Ich wollte Euch unter-\nstützen, doch im Grunde nerve ich Euch\ndamit nur.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06フラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nOh! Tut mir leid, ich wollte nicht--\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\nNein, Ihr müsst Euch für nichts entschuldigen.\nIch weine nur, weil ich so nutzlos bin...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06フラン\nIch verspreche, Euch nie wieder unter die\nAugen zu treten! Unter diese strahlenden,\neinzigartigen Augen! WAHAHAHA!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nAch, Framme...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x0A\x08リュール\nFramme, ich will mich entschuldigen für das,\nwas ich gesagt habe. Ich wollte dich damit nicht\nverletzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06フラン\nNein, ist schon in Ordnung. Es tut mir leid, dass\nich so in Tränen ausgebrochen bin.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06フラン\nEs ist bloß so, dass ich mich Euch immer so\nzugehörig gefühlt habe, seit Ihr aufgewacht seid.\nNein, mehr noch...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\nSchon VOR Eurem Erwachen ging mir das so.\nIch habe Euch oft besucht, um Euch von\nmeinem Leben zu erzählen.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nTatsächlich?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06フラン\nJa. Wenn etwas Aufregendes passiert ist, habe\nich Euch mit einem breiten Lächeln auf dem\nGesicht davon berichtet.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\nUnd wenn mich etwas traurig gemacht hat,\nhabe ich neben Euch gesessen und geweint.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06フラン\nIch konnte Euch alles erzählen. Und jeden Tag\nsaß ich da und hoffte, Ihr würdet aufwachen.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nDas... Das wusste ich gar nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nMir war klar, dass Ihr mich nicht wirklich gehört\nhabt. Ich schätze, ich habe einfach eine Art\nTraum ausgelebt.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06フラン\nAber dann seid Ihr erwacht! Dass ich nun richtig\nmit Euch reden kann, hat mich SO begeistert,\ndass ich mich wohl... habe mitreißen lassen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nFramme, ich habe eine Bitte an dich.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nBitte feuere mich wieder so an, wie du es zuvor\ngetan hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06フラン\nWas?! Aber Ihr habt doch gesagt...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nHabe ich. Aber das war, bevor ich wusste, dass\ndu schon so lange an meiner Seite warst.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nVon mir aus kannst du so laut sein, wie du\nwillst, selbst wenn es mich ablenkt.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06フラン\nOh, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche... Ihr seid genauso wunderbar,\nwie ich es mir immer vorgestellt hatte.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06フラン\nGut! Ich, eine der Vorsitzenden des Vereins\nder \x0E\x0A\x00H Wyrmgottverehrer$Wyrmgöttinverehrer, gelobe Euch weiterhin\nuneingeschränkte Unterstützung!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06フラン\nAls Eure oberste Verehrerin werde ich Euch\nweiterhin mit Leib und Seele anfeuern!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nPerfekt. Genau das wünsche ich mir.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06フラン\nAAAH! \x0E\x0A\x00\x10\x06DER\x06DIE GÖTTLICHE HAT MICH\nANGESEHEN!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x00\x0E\x08リュール\x021
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nHey Framme, da bist du ja.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x08\x06フラン\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, Ihr seid es!\nWas kann ich für Euch tun?\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nEs gibt was Wichtiges zu besprechen. Ich finde,\nes ist Zeit für eine kleine Umstrukturierung des\nVereins der \x0E\x0A\x00H Wyrmgottverehrer$Wyrmgöttinverehrer.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x08\x06フラン\nWa--\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06フラン\nIch... Ich hab extra aufgepasst, dass ich Euch\nmit meiner Anfeuerei nicht zu sehr nerve.\nHat wohl nicht geklappt, hm?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nNein, nein! Das meinte ich gar nicht.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06フラン\nOh, schlagt Ihr etwa vor, den Verein der\n\x0E\x0A\x00H Wyrmgottverehrer$Wyrmgöttinverehrer zum OFFIZIELLEN Verein\nder \x0E\x0A\x00H Wyrmgottverehrer$Wyrmgöttinverehrer zu machen?!\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nNein, darum ging es auch nicht.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06フラン\nDann degradiert Ihr uns also zu einem\ninoffiziellen Verein...\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nÄhm, DAS definitiv nicht.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x08\x06フラン\nNa ja, worum geht's dann, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\nNun sagt schon!\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nAlso gut. Ich sage es einfach, wie es ist.\nIch möchte, dass du nicht mehr meine oberste\nVerehrerin bist.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x08\x06フラン\nWAAA--?\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x08\x06フラン\nN-nein... Dieser Schmerz...\nKann... kaum noch atmen...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06フラン\nWenn ich keine Verehrerin \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin\nmehr sein kann, dann... dann... wer bin ich\ndann noch?!\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nWhoa, Framme. Beruhig dich bitte. Ich möchte,\ndass du nicht mehr meine oberste Verehrerin\nbist, weil...\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nWeil ich möchte, dass du meine oberste\nVerbündete wirst.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x08\x06フラン\nOberste Verbündete...\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x08\x06フラン\nOBERSTE VERBÜNDETE?!\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nDu hast dich bereits lange vor meinem\nErwachen gut um mich gekümmert.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nOb Sonnenschein oder Regen, du warst stets\nan meiner Seite. Sowohl an glücklichen als auch\nan traurigen Tagen...\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x08\x06フラン\nJ-ja! Ich will Eure oberste Verbündete sein!\nWir beide, beste Kampfgefährten für immer!\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nAlso schön, Framme. Das hier ist für dich...\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x08\x06フラン\nDer P-Paktring?! Aber \x0E\x0A\x00*\x14Göttlicher\x12Göttliche, der ist\ndoch superwertvoll. Seid Ihr Euch sicher?!\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08リュール\nDas bin ich.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06フラン\nWAAAH!\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nOje, Framme, alles in Ordnung?!\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x08\x06フラン\nIch... Ich bin nur so glücklich! Ihr habt mich\nnicht nur angesehen, Ihr habt mir sogar den\nPaktring angeboten!\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x08\x06フラン\nI-ich nehme ihn an! Liebend gern!\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08リュール\nDas freut mich, Framme.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x08\x06フラン\nOh, äh, eine Klitzekleinigkeit noch... Ich möchte\nnicht aufhören, Eure oberste Verehrerin zu sein.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x08\x06フラン\nIch möchte Eure oberste Verbündete und Eure\noberste Verehrerin sein. Wäre das in Ordnung?\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x08\x06フラン\nIhr bedeutet mir einfach alles. Außerdem denke\nich, dass ich beides unter einen Hut bekommen\nkann.\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0A\x08リュール\nHahaha, wenn jemand das schafft, dann du. Ich\nkann mich glücklich schätzen, eine Verbündete\nund Verehrerin wie dich zu haben.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x08\x06フラン\nDanke, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#037	\x0E\x03\x02\x08\x06フラン\nAb sofort feuere ich Euch an und stehe Euch als\nFreundin zur Seite. Verbündete fürs Leben!\x0E\x04\x00\x00
