MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nHmm, La Roue de Fortune – das Rad des\nSchicksals in aufrechter Position...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06カゲツ\nVielleicht solltest du mir dann mein Schicksal\nvorhersagen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\nDein Schicksal?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06カゲツ\nJa! Du hast gesagt, du willst deine Fähigkeiten\nverbessern.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06カゲツ\nIch stehe dir wirklich gerne als Trainingspartner\nzur Verfügung.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セアダス\nDas wäre sehr hilfreich. Ich danke dir.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\nGern geschehen!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nNun, dann wollen wir mal sehen, was das\nSchicksal für dich bereithält.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セアダス\nKagetsu, der Nebel der Bestimmung lichtet\nsich, um zu offenbaren, was vor dir liegt.\nIch sehe...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nOh nein!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08セアダス\nEs ist „La Mort“... die Karte des Todes.\nUnd er ist in aufrechter Position.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08セアダス\nDas bedeutet, dass dich Ungemach erwartet.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06カゲツ\nWAS?!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x08\x06カゲツ\nUm Haaresbreite!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セアダス\nKagetsu! Was ist denn passiert? War es...\nUngemach? Hatte die Karte recht?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06カゲツ\nIch hatte es nicht bemerkt... Da war die Höhle\neines Bären – neben meinem Übungsplatz!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セアダス\nAber... du hast keinen einzigen Kratzer.\nDir scheint es wirklich gut zu gehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セアダス\nWelch eine Erleichterung! Meine Vorhersage\nwar wohl falsch.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06カゲツ\nNein... Nein, sie war richtig!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セアダス\nBitte?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06カゲツ\nIch war auf Ungemach vorbereitet. Als der Bär\nauf mich zukam, bin ich schnell geflohen!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06カゲツ\nOhne deine Vorhersage hätte ich wie immer\ntrainiert, ohne große Vorsicht, und hätte ihn\nzu spät bemerkt.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nAlso hat meine Vorhersage dich gerettet?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nIn der Tat, Seadall, sie hat mir das Leben\ngerettet! Ich danke dir!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セアダス\nNein. Ich danke dir, Kagetsu. Dadurch habe ich\nmehr Vertrauen in meine Fähigkeiten als Wahr-\nsager gewonnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06カゲツ\nGut. Puuuh! Dieser Beinahezusammenstoß mit\ndem Tod hat mich hungrig gemacht.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06カゲツ\nHuch!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nGerade habe ich kurz gesehen, wie du und ich\nuns hinsetzen, um etwas zu essen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nIch bin sicher, das hast du richtig gesehen.\nIch wette, du hast auch gesehen, dass wir\nSchlemmerstullen essen.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nFleisch zwischen zwei Brotscheiben! Woher\nweißt du das?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nNun, wie der Zufall so will, habe ich be-\nschlossen, dich zum Essen einzuladen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06カゲツ\nAh! Das zeigt mir eine neue Vision. In der\nunsere Freundschaft aufblüht.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\nHa! Dafür brauchen wir keine Vorhersage.\nWir sind bereits Freunde.\x0E\x04\x00\x00
