MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nDiese Aufgabe nimmt viel mehr Zeit in\nAnspruch, als ich dachte.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クロエ\nDeshalb ist es quasi, als nehme man mit jedem\nHappen ein Stück Geschichte in sich auf. Das\nfinde ich so faszinierend daran.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06フラン\nOh... Hm. Das ergibt sogar irgendwie Sinn...\nAuf gewisse Art und Weise.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\nWie auch immer. Ich werde im Handumdrehen\nzurück sein mit deinem Schlangensandwich!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06クロエ\nHier hast du ausreichend Geld. Kaufe doch auch\neines für dich, dann könnten wir sie zusammen\nverspeisen!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06フラン\nBitte sehr! Einmal Schlangensandwich,\nwie du wolltest.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クロエ\nDanke sehr! Dann will ich es doch gleich einmal\nprobieren.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06クロエ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クロエ\nWas für ein Genuss! Das fluffige Brot wiegt dich\nquasi in Sicherheit... und dann – KNIRSCH! –\ntreffen deine Zähne auf die gebratene Schlange!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クロエ\nEine Geschmacksexplosion vom ersten Biss an!\nPerfekter als perfekt!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06フラン\nJippie! Ich bin so froh, dass es dir gefällt.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クロエ\n...Was zum--?!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クロエ\nIrgendetwas stimmt nicht mit diesem\nSandwich...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06フラン\nHuch?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06クロエ\nBist du dir sicher, dass dies ein\nSchlangensandwich ist?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06フラン\nKlar bin ich mir sicher. Hier, da sieht man doch\ndie gebratene Schlange zwischen dem Brot,\noder?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クロエ\nNein. Das sieht zwar einer Schlange ähnlich,\naber es ist keine!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クロエ\nVielmehr scheint das... ein Aal zu sein?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nAh! Ich glaube, du hast recht...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06フラン\nDas tut mir echt leid! Jetzt fällt mir auch\nwieder ein, dass der Schlangenstand direkt\nneben einem Aalstand... stand.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クロエ\nOh, also hast du dich im Imbissstand geirrt?\nAch, Framme.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\nAls Behüterin \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin unterlaufen mir\nauch ständig solche Patzer... Es tut mir wirklich\nleid.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クロエ\nNun mach dir keine Sorgen. Ob nun Schlange\noder Aal darin ist, ändert nichts daran, dass ich\nes köstlich finde.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クロエ\nHier, probiere es doch selbst einmal.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06フラン\nNa gut. Wenn du meinst...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06フラン\nWas um alles in der Welt?! Hat Aal immer schon\nso gut geschmeckt?!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クロエ\nMeine Rede! Es ist fast, als würde man Aal zum\nersten Mal essen. Dieses Sandwich bringt ihn\nganz neu zur Geltung!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06クロエ\nOh, da fällt mir ein... Ich habe gehört, dass bald\nnoch ein anderer Imbissstand eröffnen soll.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06クロエ\nKönntest du vielleicht noch mehr Aalgerichte für\nmich besorgen, sofern es dir nichts ausmacht?\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06フラン\nImmer doch! Und dieses Mal werde ich deine\nBestellung auch nicht vermasseln.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06フラン\nIch bin wieder da. Und ich habe frittierten Aal\nmitgebracht.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nWundervoll! Oooh, sie haben ihn sogar in\nmundgerechte Häppchen geschnitten.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クロエ\nDann wollen wir ihn doch gleich einmal einem\nGeschmackstest unterziehen!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\nLass es dir schmecken!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クロエ\nMmmh, wirklich gut. Eine knusprige Kruste,\nunter der ein angenehm weicher Kern wartet.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\nHm...?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クロエ\nOh.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06フラン\nWas ist los? Oh nein. Bitte sag nicht...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\nDas ist gar kein Aal.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nOooch! Es tut mir so, so, so leid!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クロエ\nAber, öh, was genau esse ich denn dann\ngerade?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06フラン\nIch hab noch mal schnell auf den Beleg\ngeschaut und da steht... „Frittierte Käfer“.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クロエ\nKäfer?!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クロエ\nOh.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クロエ\nDas ist unglaublich. Ich hatte ja keine Ahnung,\ndass Käfer so köstlich sein könnten!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06フラン\nDu... Du hast kein Problem damit?!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\nHm? Natürlich nicht! Das einzige Problem wird\nsein, mich davon abzuhalten, direkt alles auf\neinmal zu verspeisen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06フラン\nAh. Ich dachte wirklich, du würdest jetzt\nwütend auf mich sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nWeshalb sollte ich denn wütend sein? Dank\ndir habe ich ein neues Imbissbudengericht\nentdeckt.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クロエ\nHätte ich jemand anders entsandt, hätte ich\ndahingegen bloß wieder gewöhnlichen Aal\ngegessen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クロエ\nIch sollte erneut auf dich zurückkommen, wenn\nich das nächste Mal zu beschäftigt bin, um\nselbst einen neuen Imbissstand zu besuchen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06フラン\nLiebend gern! Es freut mich, wenn ich dir\nhelfen kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06フラン\nWas darf ich dir denn nächstes Mal bringen?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06クロエ\nHmm, wonach steht mir der Sinn...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06クロエ\nMoment, was sage ich denn da? Ich würde\ndich doch losschicken, weil ich wissen möchte,\nwas DIR als Nächstes einfällt!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クロエ\nHerauszufinden, was du mir bringst, ist das\nSchönste an der Sache. Wer weiß, was ich als\nNächstes kosten werde?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06フラン\nHahaha, danke! Freuen wir uns auf viele weitere\nmysteriöse Spezialitäten!\x0E\x04\x00\x00
