MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ソンブル\x021\n\x0E\x03\x00\x0C\x06セピア\x022\n\x0E\x03\x02\x0A\x08ソンブル\nVeyle hat den Ring des Heiligen Ritters \x0E\x0A\x00\x10\x06dem\x06der\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin gegeben.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リンデン\x02t\n\x0E\x05\x01\x12\x08リンデン\x06Die\n\x0E\x03\x02\x0A\x08リンデン\nSeit dem Tod unseres Königs ist mein Land\nnicht mehr wiederzuerkennen.\x0E\x04\x02\x00
MID_OP3_#002	\x0E\x05\x01\x12\x08リンデン\x06Sad\nElusias Armee dient nicht mehr Elusia, sondern\nden Bluthunden. Ist dies hier wirklich mein\nSchicksal?\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x02t\n\x0E\x05\x01\x1A\x0Cアルフレッド\nAngry\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWir kämpfen an zwei Fronten.\x0E\x04\x02\x00
MID_OP4_#002	Zum Glück verfügt das Schiff über Flammen-\nkanonen, die alles in Flammen legen und den\nFortschritt des Gegners verlangsamen können.\x0E\x04\x02\x00
MID_OP4_#003	Aber seid vorsichtig. Nicht, dass wir noch\nunsere eigenen Verbündeten ansengen.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M018_シーフ\x02b\n\x0E\x05\x01\x1E\x10M018_シーフ\nSmile\n\x0E\x03\x02\x12\x10M018_シーフ\nHehehe, alle sind schön abgelenkt. Beachtet\nmich gar nicht, ihr Trottel. Ich will mir nur den\nSchatz holen!\x0E\x04\x00\x00
MID_TK1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リンデン\x02b\n\x0E\x05\x01\x12\x08リンデン\x06Die\n\x0E\x03\x02\x0A\x08リンデン\n...\x0E\x04\x00\x00
MID_TK1_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x18\x08リュール\x0CNormal\n\x0E\x03\x02\x0A\x08リュール\nIhr kämpft nicht?\x0E\x04\x00\x00
MID_TK1_#003	\x0E\x05\x01\x12\x08リンデン\x06Sad\n\x0E\x03\x02\x0A\x08リンデン\nIch nehme an, dass ich das sollte. Und doch\nzögere ich, Blut für diese gebrochene Nation\nzu vergießen.\x0E\x04\x00\x00
MID_TK1_#004	\x0E\x03\x02\x0A\x08リンデン\nHa! Dass ich einmal Derartiges zu meinem Feind\nsagen würde. Ich werde wohl langsam alt.\x0E\x04\x00\x00
MID_TK1_#005	\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nWarum schließt Ihr Euch mir nicht an? Ich bin\n\x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_TK1_#006	\x0E\x03\x02\x0A\x08リュール\nMeine Armee kämpft dafür, den Dämonen-\ndrachen zu besiegen und Elusia zurückzuholen.\x0E\x04\x00\x00
MID_TK1_#007	\x0E\x05\x01\x1C\x08リンデン\x10Surprise\n\x0E\x03\x02\x0A\x08リンデン\n\x0E\x0A\x008\x18Der Wyrmgott\x1CDie Wyrmgöttin?\x0E\x04\x00\x00
MID_TK1_#008	\x0E\x05\x01\x18\x08リュール\x0CNormal\n\x0E\x03\x02\x0A\x08リュール\nIch weiß, Ihr seid dem Dämonendrachen\nergeben, doch... Prinzessin Ivy ist unsere\nVerbündete, falls Euch das hilft.\x0E\x04\x00\x00
MID_TK1_#009	\x0E\x03\x02\x0A\x08リンデン\nPrinzessin Ivy lebt?!\x0E\x04\x00\x00
MID_TK1_#010	\x0E\x05\x01\x16\x08リンデン\nAngry\n\x0E\x03\x02\x0A\x08リンデン\nWo sie ist, da ist auch Elusia. So sehe ich\ndas jedenfalls.\x0E\x04\x00\x00
MID_TK1_#011	\x0E\x03\x02\x0A\x08リンデン\nMeine Ergebenheit galt stets der königlichen\nFamilie selbst. Bitte, nehmt mich mit Euch.\x0E\x04\x00\x00
MID_TK1_#012	\x0E\x05\x01\x16\x08リュール\nSmile\n\x0E\x03\x02\x0A\x08リュール\nNatürlich. Ich danke Euch... ähm...\x0E\x04\x00\x00
MID_TK1_#013	\x0E\x05\x01\x18\x08リンデン\x0CNormal\n\x0E\x03\x02\x0A\x08リンデン\nMan nennt mich Lindon. Vor langer Zeit einmal\ndiente ich als königlicher Soldat.\x0E\x04\x00\x00
MID_TK1_#014	\x0E\x05\x01\x16\x08リンデン\nAngry\n\x0E\x03\x02\x0A\x08リンデン\nIch mag zwar schon alt sein, doch mit meiner\nMagie werde ich die Augen dieser Soldaten für\ndie Wahrheit öffnen!\x0E\x04\x00\x00
MID_TK2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リンデン\x02b\n\x0E\x05\x01\x1C\x08リンデン\x10Surprise\n\x0E\x03\x02\x0A\x08リンデン\nPrinzessin Ivy! Ihr lebt?!\x0E\x04\x00\x00
MID_TK2_#002	\x0E\x03\x00\x0E\x08アイビー\x02t\n\x0E\x05\x01\x1C\x08アイビー\x10Surprise\n\x0E\x03\x02\x0A\x08アイビー\nLindon, bist du das?\x0E\x04\x00\x00
MID_TK2_#003	\x0E\x05\x01\x16\x08リンデン\nSmile\n\x0E\x03\x02\x0A\x08リンデン\nIhr erinnert Euch an mich.\x0E\x04\x00\x00
MID_TK2_#004	\x0E\x05\x01\x16\x08アイビー\nSmile\n\x0E\x03\x02\x0A\x08アイビー\nNatürlich. Du warst der loyale Getreue meines\nOnkels, dem älteren Bruder von König Hyacinth.\x0E\x04\x00\x00
MID_TK2_#005	\x0E\x05\x01\x12\x08アイビー\x06Sad\n\x0E\x03\x02\x0A\x08アイビー\nAls Vater den Thron erbte, verließ dein Herr\ndas Schloss, doch...\x0E\x04\x00\x00
MID_TK2_#006	\x0E\x03\x02\x0A\x08リンデン\nIch blieb und diente danach noch eine ganze\nWeile.\x0E\x04\x00\x00
MID_TK2_#007	\x0E\x05\x01\x12\x08リンデン\x06Die\n\x0E\x03\x02\x0A\x08リンデン\nPrinzessin Ivy. Elusia ist seit dem Tod König\nHyacinths nicht mehr dasselbe.\x0E\x04\x00\x00
MID_TK2_#008	\x0E\x05\x01\x16\x08リンデン\nAngry\n\x0E\x03\x02\x0A\x08リンデン\nWürdet Ihr mir, Lindon, die Ehre erweisen, an\nEurer Seite kämpfen zu dürfen? Das würde\nmich mit Stolz erfüllen.\x0E\x04\x00\x00
MID_TK2_#009	\x0E\x05\x01\x14\x08アイビー\x08Pain\n\x0E\x03\x02\x0A\x08アイビー\nBist du dir da sicher? Wenn du an meiner Seite\nkämpfst, wirst du dich Elusia widersetzen.\x0E\x04\x00\x00
MID_TK2_#010	\x0E\x05\x01\x16\x08リンデン\nSmile\n\x0E\x03\x02\x0A\x08リンデン\nUnsinn. Wo Ihr seid, da ist Elusia.\x0E\x04\x00\x00
MID_TK2_#011	\x0E\x05\x01\x16\x08リンデン\nAngry\n\x0E\x03\x02\x0A\x08リンデン\nIch mag zwar schon alt sein, doch mit meiner\nMagie werde ich die Augen dieser Soldaten für\ndie Wahrheit öffnen!\x0E\x04\x00\x00
MID_TK3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リンデン\x02b\n\x0E\x05\x01\x1C\x08リンデン\x10Surprise\n\x0E\x03\x02\x0A\x08リンデン\nPrinzessin Hortensia!\x0E\x04\x00\x00
MID_TK3_#002	\x0E\x03\x00\x12\x0Cオルテンシア\x02t\n\x0E\x05\x01 \x0Cオルテンシア\x10Surprise\n\x0E\x03\x02\x0E\x0Cオルテンシア\nLindon, bist du es?!\x0E\x04\x00\x00
MID_TK3_#003	\x0E\x05\x01\x16\x08リンデン\nSmile\n\x0E\x03\x02\x0A\x08リンデン\nIhr erinnert Euch an mich.\x0E\x04\x00\x00
MID_TK3_#004	\x0E\x05\x01\x1A\x0Cオルテンシア\nSmile\n\x0E\x03\x02\x0E\x0Cオルテンシア\nAber natürlich! Wie könnte ich den loyalen\nGetreuen meines Onkels vergessen?\x0E\x04\x00\x00
MID_TK3_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nWir spielten zusammen, als ich noch klein war...\nIch hätte gedacht, dass du inzwischen im\nRuhestand wärst.\x0E\x04\x00\x00
MID_TK3_#006	\x0E\x05\x01\x16\x08リンデン\nAngry\n\x0E\x03\x02\x0A\x08リンデン\nDas war ich auch. Doch als der Krieg stärker\nwütete, wurde ich um Dienst eingezogen.\x0E\x04\x00\x00
MID_TK3_#007	\x0E\x05\x01\x1A\x08リンデン\x0ESerious\n\x0E\x03\x02\x0A\x08リンデン\nUnd doch frage ich mich, warum ich für diese\ngebrochene Nation Blut vergießen sollte.\x0E\x04\x00\x00
MID_TK3_#008	\x0E\x05\x01\x1A\x0Cオルテンシア\nAngry\n\x0E\x03\x02\x0E\x0Cオルテンシア\nLindon, wieso kommst du nicht auf unsere\nSeite?\x0E\x04\x00\x00
MID_TK3_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nMeine Schwester und ich helfen \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin\nElusia zurückzuerobern. Du könntest dich uns\nanschließen.\x0E\x04\x00\x00
MID_TK3_#010	\x0E\x05\x01\x1C\x08リンデン\x10Surprise\n\x0E\x03\x02\x0A\x08リンデン\nPrinzessin Ivy? Sie lebt?!\x0E\x04\x00\x00
MID_TK3_#011	\x0E\x05\x01\x16\x08リンデン\nAngry\n\x0E\x03\x02\x0A\x08リンデン\nEuer Hoheit, ich nehme Euer Angebot mit\nFreuden an.\x0E\x04\x00\x00
MID_TK3_#012	\x0E\x03\x02\x0A\x08リンデン\nIch mag zwar schon alt sein, doch mit meiner\nMagie werde ich die Augen dieser Soldaten für\ndie Wahrheit öffnen!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リンデン\x02b\n\x0E\x05\x01\x16\x08リンデン\nAngry\n\x0E\x03\x02\x0A\x08リンデン\nDer Tod schreckt mich nicht. Ich weiß, dass\nmeine Frau mich im Jenseits erwartet.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00"\x1CM018_イルシオン兵_ボス\x02b\n\x0E\x05\x01*\x1CM018_イルシオン兵_ボス\nAngry\n\x0E\x03\x02\x1E\x1CM018_イルシオン兵_ボス\nIch habe meine Befehle. Ihr werdet diese\nSchlacht nicht überleben.\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00"\x1CM018_イルシオン兵_ボス\x02b\n\x0E\x05\x010\x1CM018_イルシオン兵_ボス\x10Surprise\n\x0E\x03\x02\x1E\x1CM018_イルシオン兵_ボス\nIhr habt uns verraten!\x0E\x04\x00\x00
MID_BT6_#002	\x0E\x03\x00\x0E\x08リンデン\x02t\n\x0E\x05\x01\x18\x08リンデン\x0CStrike\n\x0E\x03\x02\x0A\x08リンデン\nIch kämpfe für den Wiederaufbau Elusias.\nIhr hingegen kämpft für dessen Untergang.\nWer von uns ist also der wirkliche Verräter?\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00"\x1CM018_イルシオン兵_ボス\x02b\n\x0E\x05\x01(\x1CM018_イルシオン兵_ボス\x08Pain\n\x0E\x03\x02\x1E\x1CM018_イルシオン兵_ボス\nIch verdiene... nicht mehr und ni...\x0E\x04\x00\x00
MID_DIE_LOCAL_Linden_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リンデン\x02b\n\x0E\x05\x01\x14\x08リンデン\x08Pain\n\x0E\x03\x02\x0A\x08リンデン\nDieses Leben war mehr als genug...\nMeine Geliebte... Ich komme zu dir...\x0E\x04\x00\x00
MID_DIE_CASUAL_LOCAL_Linden_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リンデン\x02b\n\x0E\x05\x01\x14\x08リンデン\x08Pain\n\x0E\x03\x02\x0A\x08リンデン\nVielleicht liegen meine besten Jahre als Kämpfer\ndoch hinter mir... Es ist Zeit, dass ich mich\nzurückziehe.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x023\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nElusia ist in Sicht.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08アイビー\nIch kehre also nach Hause zurück.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0A\x08リュール\nGeht es Euch gut?\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0A\x08アイビー\nWas immer auch aus Elusia wird – ich werde\ntun, was ich tun muss.\x0E\x04\x02\x00
MID_ED1_#005	Der Hafen von Givre befindet sich ein wenig\nweiter nördlich. Ich schlage vor, dorthin zu\nsegeln.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08リュール\nIn Ordnung.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0A\x08アイビー\nDas ist nicht weit vom Schloss und der\nKathedrale. Wir werden dort also Informationen\neinholen können.\x0E\x04\x02\x00
MID_ED1_#008	Ich werde die anderen über unser Ziel in\nKenntnis setzen.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x01\x0E\x0Cオルテンシア\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x02\x00
MID_ED1_#010	Marth, Celica, Micaiah, Roy... Wir sind\nohne Euch zurückgekommen.\x0E\x04\x02\x00
MID_ED1_#011	Aber dieses Mal werden wir Euch zurückholen.\nHaltet durch!\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08シグルド\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08シグルド\nElusia...\x0E\x04\x02\x00
MID_ED2_#002	Also kehren wir in das Land zurück, in dem\nwir von unseren geschätzten Mit-Emblemen\ngetrennt wurden.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x08\x06ルキナ\nSobald wir alle wieder vereint sind, können wir\nendlich die Macht gewähren, die uns nur alle\ntausend Jahre zuteilwird.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x0A\x08シグルド\nWir sollten auch unsere... andere Option\nbesprechen. Jene weitaus größere Macht, die\nnur uns bekannt ist.\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x01\x08\x06ルキナ\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nJa, natürlich. Das Wunder. Wir könnten diese\nMacht endlich einsetzen. Und dazu schlage ich\nvor... Lumera.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x01\x0A\x08シグルド\n\x0E\x03\x00\x0C\x06アイク\x021\n\x0E\x03\x02\x08\x06アイク\nIch halte nichts davon.\x0E\x04\x02\x00
MID_ED2_#007	Wir sollten das Wunder nicht durchführen. Wir\nmüssen an die Zukunft denken.\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x01\x0C\nエイリーク\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nDas sehe ich auch so. An die ganze Zukunft.\nWir können damit jetzt nicht jemanden\nbegünstigen.\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x01\x08\x06アイク\n\x0E\x03\x00\x0C\x06リーフ\x021\n\x0E\x03\x02\x08\x06リーフ\nJemanden begünstigen? Wir reden hier von\nLumera. Wir könnten eine Tragödie verhindern.\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x01\x06\x04リン\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nBitte. Jene von uns, die in anderen Ländern\nbewahrt wurden, versuchen immer noch zu\nverstehen, was vorgefallen ist.\x0E\x04\x00\x00
