MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x06\x04ルイ\nAh, Yunaka. Du kommst genau richtig.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06ユナカ\nIm Zuhören bin ich nämlich gut, also halt dich\nbloß nicht zurück! Erzähl mir einfach ALLES,\nwas dir einfällt!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x06\x04ルイ\nHahaha, wunderbar. Ich werde sogleich den Tee\naufsetzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nIst nicht wahr! Du willst mich wohl\nverschaukeln! Das kann niemals so passiert sein!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ルイ\nDas kann es, und das ist es.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ルイ\nWährend meiner Ritterprüfung vor der\nKönigsfamilie von Firene servierte ich allen\nmeinen Tee.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ルイ\nSie waren überaus angetan von meiner\nTeekunst, was sich auch positiv auf das Urteil\nauswirkte, das mir meine Position einbrachte.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ユナカ\nIch will nicht abstreiten, dass du gut darin bist,\nTee zuzubereiten, aber was hat das überhaupt\nmit der Ritterprüfung zu tun?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ルイ\nNun, offenbar suchten sie einen Getreuen, der\nsowohl mit häuslichen als auch kriegerischen\nFähigkeiten aufwarten konnte.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ユナカ\nDa hast du ja Glück gehabt, dass du so gut bist.\nDeine Mitstreiter sind bestimmt bloß über ihr\nTeeservice gestolpert!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nHahaha. Oh, vielen Dank.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ユナカ\nMal ehrlich, Louis, ich könnte dir den ganzen\nTag lang zuhören. Deine Geschichten sind\neinfach die besten.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ユナカ\nAber... ich hab schon irgendwie ein schlechtes\nGewissen, weil du immer so viel Rücksicht auf\nmich nimmst.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ルイ\nWie meinst du das?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ユナカ\nNa ja, du gibst dir so viel Mühe, mich mit deinen\nErzählungen zu unterhalten, sodass ich nur noch\nzuzuhören brauche.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ユナカ\nDu hast es mittlerweile bestimmt selbst\ngemerkt, aber... mir ist es so lieber. Ich rede\nnicht gerne über mich selbst.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\nDas ist mir nicht entgangen, ja.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nMüsste ich über mich reden, könnte ich nur\nAusflüchte machen oder müsste dich anlügen.\nUnd ich lüge meine Freunde nicht gerne an.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ユナカ\nDeshalb ist es besser, wenn ich nicht viel von\nmeiner Vergangenheit erzähle. Oder überhaupt\nvon mir.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ルイ\nNun, ich sehe darin kein Problem.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ルイ\nIch glaube, wir beide verstehen einander sehr\ngut, auch ohne unsere Vergangenheiten\noffenzulegen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ユナカ\nMeinst du?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ルイ\nUns genügt Tee und die Gesellschaft eines\nguten Freundes, und schon finden wir mehr als\ngenug Themen zum Plaudern!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ルイ\nDarüber hinaus bin ich von Natur aus sehr\ngesprächig, also ist es schön, jemanden zu\nhaben, der mir bereitwillig ein Ohr leiht.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ルイ\nIch weiß, wie anstrengend es sein kann, einfach\nnur zuzuhören, und so danke ich dir, dass du\nmir diesen Gefallen erweist.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ユナカ\nOooch, Louis...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04ルイ\nUnd willst du doch etwas zur Konversation bei-\nsteuern, könnten wir über unsere Länder reden.\nOder Freunde. Die Zukunft. Alles ist möglich.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ユナカ\nEs macht dir wirklich nichts aus, mit einer\nbefreundet zu sein, die niemals über ihre\nVergangenheit spricht?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ルイ\nNicht im Geringsten.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ルイ\nSchließlich bin ich mit dir befreundet, so wie du\njetzt bist. Wer du einmal gewesen sein magst,\ndas kümmert mich nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04ルイ\nUnd nun, um diese schöne Teestunde nicht\nschon enden zu lassen, sollte ich uns noch eine\nKanne zubereiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06ユナカ\nDanke, Louis!\x0E\x04\x00\x00
