MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nPrinz Diamant! Seht mal. Ich habe einen\nLegendären Geheimtrank erstanden!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nVerstehe. Nun, es ist bedauerlich, dass der\nGeheimtrank verloren ging. Aber ein totaler\nVerlust war es dann doch nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nIm ersten Moment war ich peinlich berührt, aber\nich durfte deine innersten und wahren Gefühle\nerfahren.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アンバー\nJa. Auch mir ist das irgendwie peinlich, aber ich\nbin froh, dass ich diese Gelegenheit hatte, Euch\nmeine Dankbarkeit zu zeigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\nWas ist denn? Habe ich noch etwas anderes\ngesagt?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nDa du es gerade erwähnst, es gab noch eine\nSache, bevor du wieder zu Verstand kamst.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nDu sagtest, ich sei für dich „der Größte“, aber\ndu bist verstummt, bevor du erklärt hast, wieso.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nWas wolltest du noch sagen?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アンバー\nHm. Das ist schwierig. Für mich seid Ihr wirklich\ngroßartig, Prinz Diamant. Aus vielen Gründen.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\nIch bin nicht sicher, was der tiefste, wahre\nGrund ist. Darf ich eine Weile nachdenken?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nBitte.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nAmber, bitte mach es doch nicht so spannend.\nIch muss wissen, was du neulich gemeint hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\nIhr meint das Gespräch über den tiefsten, wah-\nren Grund, warum Ihr der Größte für mich seid?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nGanz genau.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08アンバー\nIch glaube, ich weiß es. Ich wollte sagen, „Ihr\nseid der Größte, weil Ihr wie ein Alpaka seid!“\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nWie bitte? Ein Alpaka?!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\nJa! So empfinde ich es schon seit dem ersten\nTag, also muss es das sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nSeit dem ersten Tag?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nEs war der Tag des Turniers, erinnert Ihr Euch?\nMeine Familie wollte nicht, dass ich teilnehme,\naber ich tat es trotzdem.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アンバー\nIch verlor gegen Jade, wurde aber Zweiter!\nMeine Leute zu Hause nannten es das\n„Alpaka-Land-Wunder“.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nIch erinnere mich nicht daran, dass du begeis-\ntert gewesen bist. Bist du nicht weinend aus der\nArena gelaufen?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アンバー\nJa... Ich wollte so gerne der Champion sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\nIch saß schluchzend in der Ecke, als Ihr zu mir\nkamt und mich fragtet, ob ich Euer zweiter\nGetreuer sein wolle.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\nIhr habt mich so sanft angelächelt...\nDa kam es mir in den Sinn.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アンバー\nDieser Mann... besitzt die Seele eines Alpakas.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nDAS kam dir in den Sinn?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nIch entschloss mich auf der Stelle, an Eurer\nSeite zu bleiben und Euch zu beschützen.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アンバー\nWas ist denn? Warum macht Ihr so ein\nseltsames Gesicht?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nIch bin mir nicht sicher, welcher Teil von mir\ndich an ein Alpaka erinnert.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nOh. Nun, da gibt es einiges. Wie soll ich das\nerklären...?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アンバー\nIhr seid nett, Ihr beruhigt mich und ich möchte\nEuch beschützen. Und Ihr seid ganz weich und\nfluffig!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nHast du mich gerade... weich und fluffig\ngenannt?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アンバー\nIch weiß. Viel Lob und Preis. Nicht jeder\nversteht, wie sehr ich Alpakas bewundere.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nDas... ist also ein Kompliment.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アンバー\nAbsolut.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cディアマンド\nHa. Gut, gut. Ich versuche, noch einen Geheim-\ntrank zu bekommen. Dann werde ich wissen,\nob du ehrlich zu mir bist.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08アンバー\nWie?!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cディアマンド\nHahaha. Das war ein Witz. Wenn du sagst, dass\ndu so empfindest, dann glaube ich dir.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cディアマンド\nEs ist mir eine Ehre, auf Alpaka-Niveau respek-\ntiert zu werden. Ich bin froh, dass du mein\nGetreuer bist, Amber.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08アンバー\nDanke, Prinz Diamant. Es ist mir eine Ehre,\nan Eurer Seite zu sein. Das ist die Wahrheit,\nganz ohne Trank!\x0E\x04\x00\x00
