MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0A\x08リュール\nOh, Lapis! Ich möchte mich bei dir für all deine\nUnterstützung in der Schlacht bedanken.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nAlso, was erwartet mich nun, Lapis? Wie sieht\ndein normaler Trainingsablauf aus?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nIch beginne mit Übungen mit verschiedenen\nWaffen, danach versuche ich ein paar Angriffs-\nschwünge... und dann ist Gewichtheben dran.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ラピス\nIch schnalle mir einen Beutel mit einem schwe-\nren Gewicht auf den Rücken und laufe weite\nStrecken. Manchmal klettere ich auf einen Berg.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nDamit... kann man bestimmt ordentlich\nAusdauer aufbauen.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nOh, wenn Ihr mit mir trainieren wollt, dann\nbenötigt Ihr ja auch ein Gewicht. Ich stelle\nschnell eines für Euch her!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nDu stellst einen Beutel mit einem Gewicht her?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ラピス\nSicher! Das ist nicht schwer. Und auf dem\nLand habe ich ohnehin das Meiste von Hand\nherstellen müssen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nAuf dem Land?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ラピス\nAh!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ラピス\nAaah! Ich... Ich wollte sagen „unbekannt“!\nMir ist noch nicht bekannt, äh, ob ich ein\nGewicht für Euch herstellen soll!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nOh. Nun, ich würde mich freuen, wenn du das\ntätest. Ich finde es wirklich unglaublich, dass\ndu solche Dinge herstellen kannst!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ラピス\nOooh, bitte neckt mich doch nicht so.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nIch necke dich doch gar nicht. Dein handwerk-\nliches Geschick könnte auf dem Schlachtfeld\nwirklich nützlich sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nWürdest du mir beibringen, wie man das ein\noder andere herstellt? Ich würde gerne so etwas\nkönnen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ラピス\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ラピス\nEs fühlt sich seltsam an, für so eine bescheidene\nFähigkeit gepriesen zu werden.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ラピス\nAber ja, ich kann Euch zeigen, wie man ein\nGewicht herstellt. Passt gut auf!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\nAlso dann.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nOho! Deine Hände bewegen sich so schnell!\nKönnen wir, ähm, die letzten paar Schritte\nnoch mal wiederholen?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\nHallo, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich habe hier etwas für Euch!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nSind das Werkzeuge?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nJepp! Ihr sagtet, Ihr würdet gerne etwas übers\nHandwerken lernen, und ohne eigene Werk-\nzeuge könnt Ihr das nicht üben.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nVielen Dank.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nEigentlich sollte ich Euch danken.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ラピス\nIch war so lange so kritisch gegenüber mir\nselbst... Ihr habt mir geholfen, dies ein wenig\nzu überwinden.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nEure netten Worte über mein handwerkliches\nGeschick gaben mir mehr Selbstvertrauen.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nDas ist gut! Du bist nämlich wirklich toll, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nIch habe gesehen, wie du das Gewicht\nhergestellt hast, als wäre das nichts. Ich\nmuss noch viel von dir lernen.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ラピス\nIn Ordnung! Ich könnte Euch zeigen, wie man\neine Harke herstellt.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nEine Harke? Wozu benutzt man die?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ラピス\nUm Kartoffeln zu ernten.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nKartoffeln.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ラピス\nJa! Ich kann eine Harke herstellen, die für alle\nArten von Knollen geeignet ist. Kartoffeln,\nSüßkartoffeln, Brodias Jamswurzeln...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nBrodias Jamswurzeln?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ラピス\nNun, sie tragen zwar Brodia im Namen, können\naber überall wachsen. Ich habe sogar hier schon\nwelche gefunden!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nSie werden so süß, wenn man sie kocht... Hmm,\nnun möchte ich welche. Fangen wir mit der\nHarke an!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nFaszinierend. Wie ich bereits sagte, ich muss\nnoch viel von dir lernen, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0A\x08リュール\nHallo, Lapis. Hast du einen Moment?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x08\x06ラピス\nSicher, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Was kann ich für Euch tun?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nNun... Ich möchte dir den hier geben.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06ラピス\nOooh. Was ist das? Die Schmiedearbeit ist\nwunderschön. Er sieht ausgefallen aus und\nteuer... Ah! Wartet mal!\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x08\x06ラピス\nIst... Ist dies der Paktring?!\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nIst er. Sieh dir mal die Innenseite an.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x08\x06ラピス\nWieso steht dort mein Name eingraviert?\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nIch habe ihn graviert. Dabei habe ich die\nWerkzeuge verwendet, die du mir gegeben\nhattest.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x08\x06ラピス\nWie? Ihr habt das selbst in den Ring graviert?\nMit den Werkzeugen, die ich für Euch ange-\nfertigt habe?!\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06ラピス\nAaah, eine Gravur wie diese lässt sich nicht\nmehr entfernen! Warum habt Ihr das getan?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nIch habe nicht die Absicht, sie wieder zu ent-\nfernen. Ich habe deinen Namen eingraviert, weil\nich ihn dir schenken möchte.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nWas sagst du, Lapis? Wirst du den Paktring\ntragen?\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06ラピス\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x08\x06ラピス\nWisst Ihr, es gab Zeiten, da hätte ich in\nSituationen wie dieser voller Scham die Flucht\nergriffen...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x08\x06ラピス\nAber... Ihr bedeutet mir etwas, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Und\nes spielt keine Rolle, was andere denken.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nBedeutet das...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x08\x06ラピス\nNatürlich. Ich nehme den Ring an.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06ラピス\nIhr habt Euch solche Mühe gemacht, meinen\nNamen zu gravieren... Wie könnte ich da Nein\nsagen?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nIch danke dir, Lapis. Das freut mich sehr.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x08\x06ラピス\nÄhm... Ich muss Euch etwas Wichtiges sagen,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Wisst Ihr, ich...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nDu kommst aus einem Dorf, in dem Jams-\nwurzeln angebaut werden, und das in einer\nländlichen Gegend von Brodia liegt, richtig?\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06ラピス\nHuch? Wie könnt Ihr das wissen?!\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nIch habe etwas über „Brodias Jamswurzeln“ ge-\nlesen. Das ist nur ein Spitzname dafür. Die\nEinzigen, die sie so nennen, sind...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06ラピス\nJamsfarmer. Argh. Mein Geheimnis wurde\ngelüftet. Aber vielleicht ist das gut so. Das ist\nein großer Teil vom dem, was mich ausmacht.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nIn der Tat. Und ich gebe dir den Paktring\ngenau deshalb, weil du so bist, wie du bist,\nLapis.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06ラピス\nIch danke Euch, \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06ラピス\nBei mir seid Ihr sicher. Und da wir beide\nziemlich geschickte Handwerker sind... lasst\nuns eine bessere Welt erschaffen!\x0E\x04\x00\x00
