MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nEndlich. Endlich habe ich die Schritte drauf.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セアダス\nAber... Ich dachte, du wolltest Tanzen lernen?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パンドロ\nIch wollte meinen Spaß haben. Aber das hier?\nDas macht keinen Spaß.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パンドロ\nDanke für deine Lehrmeisterei oder was auch\nimmer. So kurz sie auch gewesen sein mag.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セアダス\nPandreo, warte. Die Lektion ist noch gar nicht\nvorbei.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08パンドロ\n♪ Mmm mmm mmm... ♪\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セアダス\nPandreo.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パンドロ\nOh, hey, Seadall. Falls du mir eine weitere\nLektion anbieten willst – ich bin nicht\ninteressiert.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セアダス\nNach allem, was ich dir beigebracht habe... ist\ndein Taktgefühl noch immer so schlecht.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パンドロ\nJa. Und? Bist du nur hier, um mich zu\nbeleidigen?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セアダス\nNein, gar nicht. Ehrlich, ich habe dir nur beim\nTanzen zugesehen und erkannt... dass ich\nUnrecht hatte.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パンドロ\nHm?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セアダス\nDas Tanzen genießen. Darauf kommt es an.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08セアダス\nIch wollte dich lehren, weil ich dachte, es würde\ndir schwerfallen.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nSo wirkte es zumindest. Doch eben gerade\nhast du getanzt und es absolut genossen.\nDas sah man dir an.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パンドロ\nIch meine, ja, ich hatte meinen Spaß.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セアダス\nDas ist alles, was zählt.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nKönnte mein Lehrmeister mich jetzt hören,\nwürde er mich wohl tadeln. Dennoch ist dies\netwas, das ich lernen musste.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nPandreo, es tut mir leid, dass ich dir beibringen\nwollte, das Tanzen nicht zu genießen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nHör mal, Seadall.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パンドロ\nIch wollte einfach nur mit dir tanzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セアダス\nWirklich?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パンドロ\nJa. Und das möchte ich immer noch. Nur dein\nUnterricht war einfach nicht so meins.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nWas meinst du? Versuchen wir es noch mal?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\nMit Vergnügen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08セアダス\nTanze einfach zum Rhythmus deines Herzens.\nDamit liegst du niemals falsch.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パンドロ\nJetzt sind wir uns einig. Komm schon, wir\nzappeln und rappeln im Namen des Spaßes,\nder Freude und der fröhlichen Laune! Ha!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パンドロ\nUnd danach... vielleicht noch eine kleine\nLektion? Nichts Anstrengendes. Nur so\nein bisschen.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セアダス\nHahaha, ich verspreche, meine nächste Lektion\nwird weitaus spaßiger sein.\x0E\x04\x00\x00
