MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nHeda, Prinzessin Ivy!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nミスティラ\nJuhuuu! Ich werde sofort mit den Vorbereitun-\ngen für diesen großen Tag beginnen! Macht\nEuch auf die beste Zeit Eures Lebens gefasst!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08アイビー\nDas verspricht interessant zu werden.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0A\x08アイビー\nHm...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nミスティラ\n♪Hmm hm-hm-hm! Hm-hm hmm!♪\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nSeht Ihr, Prinzessin Ivy? Ich wusste, es würde\nEuch Spaß machen!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アイビー\nBei allem nötigen Respekt, Euer Hoheit, aber\nan Eurer Beobachtungsgabe müsst Ihr noch...\narbeiten.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nSeht mich an.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アイビー\nIch bin in der Gegenwart einer ausländischen\nKöniglichen, und dennoch schaffe ich es nicht,\nmein Zittern einzustellen.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アイビー\nIch genieße dies nicht, und das ist eine große\nUntertreibung.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nOh, hey, Ihr zittert. Ist Euch kalt?\nIch kann weitere Holzscheite ins Feuer werfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アイビー\nNein... Ich zittere nicht vor Kälte.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アイビー\nAaah!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アイビー\nIch zittere, weil ich Angst habe.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nミスティラ\nOh! Sollten Euch wilde Tiere Sorgen bereiten,\nkann ich Euch beruhigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nミスティラ\nIch habe zur Sicherheit einige Fallen aufgestellt,\naber schon das Feuer sollte ausreichen, um sie\nfernzuhalten.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アイビー\nNein. Geister.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アイビー\nIch bin mir sicher, von dort hinten einen sanften,\nstöhnenden Ruf vernommen zu haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\n♪He, ihr spukenden Geister! Wie geht's denn\nso...♪\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アイビー\nAAAAH! Still!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\nHahaha, tut mir leid, tut mir leid. Aber Singen\nkönnte dafür sorgen, dass Ihr weniger Angst\nhabt. Warum probiert Ihr es nicht mal aus?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アイビー\nHngh.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アイビー\n♪Geiiiiiist...♪\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nミスティラ\nJa, gut so! Und nun... ♪Warum, von allen\nDingen, jagen uns Geister Angst ein...\nWarum nicht Kriege und Plaaaagen? ♪\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アイビー\n♪Bitte vergesst, was Ihr hier saht – ich schlafe\nnicht mehr draußen, das wollte ich nur\nsaaaaagen!♪\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0A\x08アイビー\nPrinzessin Timerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アイビー\nDraußen zu lagern war eine wertvolle Lebens-\nerfahrung. Ich danke Euch.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\nGern geschehen! Nun, erzählt mal.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nミスティラ\nHabt Ihr irgendwelche Schwächen finden\nkönnen?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nHeh, Ihr habt mich durchschaut.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nミスティラ\nNatürlich, Ich bin auch eine Prinzessin, oder\netwa nicht? Ich habe das Gleiche gedacht.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nEines Tages, wenn wir Königinnen sind, könnte\nes für uns von Vorteil sein, die Schwäche der\nanderen zu kennen.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アイビー\nDas ist in der Tat der Grund, warum ich\nmitgemacht habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アイビー\nAber am Ende wurde einzig meine Schwäche\noffenbart.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nミスティラ\nJepp! Fängt mit G an und reimt sich auf Meister.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アイビー\nAlles, was ich über Euch gelernt habe, ist, dass\nwir noch verschiedener sind, als ich dachte.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アイビー\nMir bleibt nur die Liste mit all den Unterschie-\nden zwischen uns, die noch länger geworden ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アイビー\nIhr mögt Fleisch, ich ziehe Gemüse vor.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nIch liebe es, zu singen, aber Ihr seid zu\nschüchtern, dies vor anderen zu tun.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アイビー\nIch genieße meine Studien, während Ihr es\nvorzieht, in den Bergen herumzurennen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nHahaha, wir sind wirklich gegensätzlich, was?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アイビー\nJa. Dennoch wusste ich unsere gemeinsame\nZeit zu schätzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nIch auch, ehrlich! Ich hatte eine großartige Zeit.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アイビー\nUnterschiede können Konflikte auslösen,\naber sie können auch zu Gesprächen führen.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アイビー\nIch bin der Auffassung, dass unsere Gespräche\nmich letztendlich zu einer besseren Anführerin\nfür mein Volk machen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nSo geht es mir auch. Ich hoffe, wir können\nFreundinnen bleiben.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アイビー\nFreundschaft beruht auf Gegenseitigkeit.\nIhr schuldet mir eine Schwäche.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\nHmpf! Ich hasse es, aber Ihr habt mich in die\nEcke gedrängt.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nHahaha, ich mache doch nur Spaß. Ich würde\nmich freuen, wenn wir uns auch in Zukunft gut\nverstehen, Prinzessin Timerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アイビー\nLasst uns diese Freundschaft zur Grundlage der\nBeziehung zwischen unseren Ländern machen.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nミスティラ\nEinverstanden. Auf eine lange, geisterfreie\nFreundschaft!\x0E\x04\x00\x00
