MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0A\x08リュール\nDanke für den Trainingskampf, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nザフィーア\nIch war schon immer stark, selbst als Kind.\nDoch damals hatte ich eine Freundin, die\nich niemals besiegen konnte.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nザフィーア\nDiese Freundin trainierte hart, richtig hart.\nSie wollte die stärkste Ritterin der Welt werden.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\nEines Tages griff Elusia mein Dorf an.\nUnd meine Freundin wurde getötet.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nザフィーア\nDanach fand ich, dass jemand ihren Wunsch,\ndie Stärkste zu werden, ehren sollte. Und\nbeschloss, dass ich das sein würde.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nTut mir leid zu hören, dass sie gestorben ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nAber irgendwie habe ich das Gefühl, dass das\nnicht der einzige Grund ist, aus dem du so hart\ntrainierst.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nザフィーア\nWarum sagt Ihr das?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nDiese Wildheit, wenn du kämpfst... Die fühlt\nsich nicht nach Trauer an. Sondern eher nach\nRache.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nザフィーア\nIch sollte wirklich mit dem Training\nweitermachen. Wenn ich zu lange herumstehe,\nverkrampfen sich die Muskeln.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nザフィーア\nDanke, dass ich Euch das Ohr abkauen durfte.\nBis später.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\nSaphir...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nIch bin zu weit gegangen. Dafür sollte ich mich\nentschuldigen.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche... Es tut mir leid, wie ich auf das\nreagiert habe, was Ihr mir über meinen\nKampfstil gesagt habt.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nBitte, du musst dich nicht entschuldigen. Es war\nunhöflich von mir, zu drängen.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\nIhr hattet nicht unrecht. Ich hege noch immer\neinen Hass gegen Elusia.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nザフィーア\nDoch dass ich die einzige Überlebende bin...\nist irgendwie noch unverzeihlicher.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nザフィーア\nHätte meine Freundin statt mir den Angriff\nüberlebt, wären Brodias Ritter heute stärker.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nザフィーア\nIch denke, deswegen gebe ich so viel im Kampf.\nUm den Verlust auszugleichen.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nDanke, dass du mir diese Gedanken anvertraust.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nIch fühle mich jetzt wirklich besser, nachdem\nich das gehört habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nザフィーア\nWie meint Ihr das?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nWürdet Ihr aus reiner Rachsucht so hart\ntrainieren, müsste ich Euch davon abhalten.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nSelbst wenn er zunächst Stärke verleiht, ist\ndieser Pfad doch zu sehr von Trauer gesäumt,\num ihm zu folgen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nAber jetzt erkenne ich, dass du dich damit\nmotivierst, den Wunsch von jemandem zu\nerfüllen, den du schätzt.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nEs würde deiner Freundin sicher gefallen, aber\nich denke trotzdem, dass es all die Schmerzen\nnicht wert ist, unter denen du leidest.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nAn ihrer Stelle... würde ich mir einfach nur\nwünschen, dass du glücklich bist.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nザフィーア\nWisst Ihr... Das habe ich so noch nie gesehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\nVielleicht habt Ihr recht. Wir sprechen immerhin\nvon einer der gütigsten Personen, die ich\njemals kennengelernt habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nザフィーア\nDoch wie könnt Ihr so sicher sein, was sie in\ndieser Position denken würde, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nDas weiß man einfach, wenn man jemanden\nhat, den man mag.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nザフィーア\nAh.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nWar das die falsche Antwort?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nザフィーア\nNein, natürlich nicht. Es... ist schön zu hören.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nザフィーア\nDanke, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Das bedeutet mir viel.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0A\x08リュール\nHiyah!
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nザフィーア\nHa, der war gut. Ich gebe auf.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nDanke für den Kampf.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nDas reicht an Training für heute. Uff, du hast\nmich ganz schön fertiggemacht.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nザフィーア\nIhr habt heute alles gegeben, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\nDas war richtig intensiv.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0C\nザフィーア\nIch weiß, ich sagte, Ihr hättet Potenzial. Aber\nselbst ich hätte nicht erwartet, dass Ihr Euch\nso schnell entwickeln würdet.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nWenn das so ist, habe ich es dir zu verdanken –\nund nicht nur deinen ermunternden Worten.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nIch möchte stark genug werden, um dich\nbeschützen zu können.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nザフィーア\nMich zu beschützen?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nHahaha, ich glaube, ich habe dich bisher noch\nnie erröten sehen.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nザフィーア\nNoch nie hat jemand so etwas zu mir gesagt.\nIch weiß gar nicht, was ich darauf antworten\nsoll.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nSo wild du auch kämpfen magst, hast du doch\nein sanftes Herz.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nDas liebe ich an dir.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nDas ist der Grund, weswegen ich will, dass du\nden Paktring annimmst.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0C\nザフィーア\nÄhm...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nDu bist die Person, die mir am wichtigsten ist.\nDieser Ring ist ein Symbol dafür, welchen Wert\ndu für mich hast.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nAlso, was sagst du? Trainingspartner für die\nEwigkeit?\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0C\nザフィーア\nIch...\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0C\nザフィーア\nDarf ich es mir wirklich erlauben, so... glücklich\nzu sein?\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nIch weiß, es erscheint unmöglich. Du hast so\nviel Leid und Schmerz durchlebt.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nAber aus genau diesem Grunde verdienst du dein\neigenes Glück.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0C\nザフィーア\nIhr habt recht, \x0E\x06\x03\x00. Danke.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nザフィーア\nIch nehme diesen Ring, und Euer Angebot, mit\nFreuden an.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nGut, denn von nun an werde ich für dich da\nsein. Für immer.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0C\nザフィーア\nUmgekehrt ebenso. Ich werde kämpfen mit\nallem, was ich habe, um Euch zu beschützen –\nund um Euch glücklich zu machen.\x0E\x04\x00\x00
