MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nAh... Was soll ich bloß machen?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\nVon daher... ja, doch, ich bin mir sicher, dass ich\netwas für Euch entwerfen könnte.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nフォガート\nAlles klar. Der Versuch kann ja nicht schaden.\nSag mir Bescheid, falls du irgendwelche\nbestimmten Materialien dafür brauchst.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nSchaut mal, ob Ihr irgendwo in der Gegend\nSchrott oder Äste findet. Mehr brauche ich\neigentlich nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nフォガート\nWas?! Wirklich?!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ラピス\nKlar! Je früher Ihr mir diese bringt, desto\nschneller werdet Ihr die Schurken los sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nフォガート\nÄhm, na gut. Dann werd ich mich mal umsehen\nnach... allem, was dir so nützlich sein könnte.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nフォガート\nVerzweifelt? Ich? Ach was... Ich versuche ja\nbloß, meine Probleme mit einem Haufen Schrott\nzu lösen...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x08\x06ラピス\nPrinz Fogado, seht Euch das an!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ラピス\nIch hab meiner Vorrichtung zur Schurken-\nverscheuchung den letzten Schliff verpasst.\nIch nenne sie... Fogado Version 2!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nDas... ist ja eine Attrappe, die wie ich aussieht.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ラピス\nGenau. Sie ist mir richtig gut gelungen, findet\nIhr nicht auch?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nUm ehrlich zu sein, ja. Vor allem der Umriss\nsieht mir richtig ähnlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ラピス\nNicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nフォガート\nUnd das hast du aus nichts weiter als Schrott\nund Ästen gebaut? Ich muss gestehen, ich bin\nbeeindruckt.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nOhne Eure Hilfe bei der Materialsuche wäre das\nnicht möglich gewesen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nIch hab auch ein paar Versuche gebraucht,\nbis alles stimmte. Der erste Prototyp ist leider\nsogar... explodiert.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nフォガート\nIch... verstehe. Und diesen hübschen, wenn\nauch potenziell explosiven Kerl willst du jetzt\nbei der Oase aufstellen?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ラピス\nGenau. Aber wenn er dort nur regungslos\nherumsteht, wäre das Ganze ja nicht sonderlich\nüberzeugend, deshalb...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nMoment! Hat er sich gerade etwa...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ラピス\nJepp! Wind sorgt dafür, dass er sich bewegt.\nGanz schön raffiniert, was?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nフォガート\nÄh... ja. Richtig raffiniert.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nフォガート\nSo sehr ich deine Handwerkskunst auch\nbewundere – glaubst du wirklich, dass das allein\ngenügt, um Schurken in die Flucht zu schlagen?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nIch denke, wenn man ihn richtig in Szene setzt,\nwird er ganz schön furchterregend sein!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nフォガート\nAber sobald man nahe genug an ihn\nherankommt, sieht man doch, dass er gar nicht\necht ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ラピス\nNun, da Ihr es erwähnt... Da habt Ihr nicht ganz\nunrecht.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ラピス\nIn meiner Heimat nutzen wir ähnliche Attrappen,\num Bären zu verschrecken. Aber ich weiß gar\nnicht, wie gut das mit Personen funktioniert...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nフォガート\nAch, weißt du, was? Einen Versuch ist es wert.\nZumal ich auch keine besseren Ideen mehr hab.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ラピス\nAlles klar. Hoffentlich funktioniert es!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nStell dir nur vor, Lapis! Dein Gerät hat ganz\nhervorragend funktioniert!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nフォガート\nDank deiner Vorrichtung konnten wir uns jeden\neinzelnen dieser Schurken schnappen!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nOh, wirklich?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nフォガート\nJepp. Du hattest ja erzählt, wie gut solche\nAttrappen in deiner Heimat darin waren, Bären\nzu verschrecken, stimmt's?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nJa...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nTja, nicht nur in deiner Heimat! Das Ding hat\nfür ordentlich Aufruhr gesorgt unter den Tieren,\ndie bei der Oase leben.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nUnter den Tieren?! Aber wir wollten doch die\nSchurken davonjagen, nicht die Tiere...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nNa ja, wie du dir sicher vorstellen kannst, hatten\nHorden aufgescheuchter Tiger und Alligatoren\neine sehr... verjagende Wirkung auf die Bande.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nUnd sobald die Schurken panisch aus ihren\nVerstecken gerannt kamen, haben wir uns auf\nsie gestürzt und jeden einzelnen eingefangen.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nフォガート\nDie Mission war ein voller Erfolg, und das haben\nwir nur dir zu verdanken!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nIch schätze, wir haben erreicht, was wir wollten,\nwenn auch auf etwas... ungewöhnliche Weise.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nフォガート\nKlopf dir ruhig auf die Schulter. Alles, was zählt,\nist, dass du eine gelungene Vorrichtung gebaut\nhast, die ihren Zweck erfüllte.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nフォガート\nAber sag mir, habt ihr tatsächlich lauter solche\nVorrichtungen in deiner Heimatstadt?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ラピス\nJa. Wir nutzen allerlei verschiedene Attrappen,\num die Bären aus meinem Dorf fernzuhalten.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nTatsächlich? Meinst du, du könntest mich mal\nmitnehmen, damit ich mir das alles persönlich\nansehen kann?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ラピス\nWas? Wieso?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nフォガート\nIch würde gerne einen näheren Blick darauf\nwerfen. Sicher könnte ich dadurch noch einiges\nüber geschickte Verteidigungsstrategien lernen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\nIch bin mir nicht sicher, wie nützlich Euch das\nwäre...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nAber wenn Ihr mein Dorf wirklich besuchen\nwollt, solltet Ihr Euch verkleiden, damit Ihr nicht\nerkannt werdet.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nフォガート\nAlles klar! Machen wir ein Rendezvous draus.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nフォガート\nHm, was sollte ich anziehen, um nicht\naufzufallen? Vielleicht etwas aus Bärenfell?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ラピス\nDAS wäre nicht gerade die beste Idee – es sei\ndenn, Ihr wollt als Bäreneintopf enden...\x0E\x04\x00\x00
