MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\x0E\x03\x02\x08\x06セピア\nAuf einem Schlachtfeld fern von allem, was Ihr\nkennt – wie werdet Ihr Eure Tapferkeit beweisen?\x0E\x04\x02\x00
MID_OP2_#036	\x0E\x03\x02\x10\x0EE002_イル\n\x0E\x0A\x00\x1A\x0CDieser\nDiese \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin erschien im Heiligtum des\nSchlosses, nachdem du nach Firene aufge-\nbrochen warst.\x0E\x04\x00\x00
MID_OP2_#037	\x0E\x03\x02\x18\x16E002_セレスティア\nOh... Ach so.\x0E\x04\x02\x00
MID_OP2_#038	Aber natürlich. Was habe ich mir nur gedacht?\nIch war ja dabei, als wir \x0E\x0A\x00\x10\x06die\x06den \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott zu\nGrabe getragen haben.\x0E\x04\x02\x00
MID_OP2_#039	Ich hielt die leblose Hand in meinen Händen,\nals wir uns verabschieden mussten...\x0E\x04\x02\x00
MID_OP2_#040	Ach.\x0E\x04\x00\x00
MID_OP2_#041	\x0E\x03\x02\x10\x0EE002_エル\nIch weiß, dass dies schwer ist, Zelestia.\x0E\x04\x00\x00
MID_OP2_#042	\x0E\x03\x02\x18\x16E002_セレスティア\nVerzeiht mir.\x0E\x04\x02\x00
MID_OP2_#043	Ich hätte nicht so emotional werden sollen.\nDer Verlust war für Euch beide ebenso schwer\nzu tragen wie für mich.\x0E\x04\x02\x00
MID_OP2_#044	\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, ich bin Zelestia. Ich bin ein\nMagiedrache von einigem Ansehen.\x0E\x04\x02\x00
MID_OP2_#045	Ich habe das Euch dieser Welt sowie Königin\nLumera stets als Familie angesehen.\x0E\x04\x02\x00
MID_OP2_#046	Es ist mir eine Ehre, Eure Bekanntschaft zu\nmachen.\x0E\x04\x00\x00
MID_OP2_#047	\x0E\x03\x02\x0A\x08リュール\nNein, bitte. Überspringen wir den Teil der\n„Bekanntschaft“ und lass uns einfach Freunde\nsein.\x0E\x04\x00\x00
MID_OP2_#048	\x0E\x03\x02\x18\x16E002_セレスティア\nWie schön! Das ist genau das, was auch \x0E\x0A\x00\x10\x06die\x06der\n\x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott gesagt hätte, \x0E\x0A\x00\x10\x06die\x06den ich kannte.\x0E\x04\x02\x00
MID_OP2_#049	Sagt, gibt es jemanden wie mich in Eurer Welt?\x0E\x04\x00\x00
MID_OP2_#050	\x0E\x03\x02\x0A\x08リュール\nNun...\x0E\x04\x00\x00
MID_OP2_#051	\x0E\x03\x02\x18\x16E002_セレスティア\nHahaha. Wie dumm von mir, so etwas zu fragen!\x0E\x04\x02\x00
MID_OP2_#052	Natürlich gibt es sie – und sie wird Euch ganz\nzweifellos eine große Hilfe im Kampf gegen\nSombron sein.\x0E\x04\x00\x00
MID_OP2_#053	\x0E\x03\x02\x0A\x08リュール\nHm.\x0E\x04\x00\x00
MID_OP2_#054	\x0E\x03\x02\x10\x0EE002_エル\nWas gibt es Neues im Schloss Firene, Zelestia?\nDu warst ja eine ganze Weile dort stationiert.\x0E\x04\x00\x00
MID_OP2_#055	\x0E\x03\x02\x18\x16E002_セレスティア\nDas war ich. Firene schmiedet Pläne, seinen\nNachbarn im Norden zu überfallen.\x0E\x04\x00\x00
MID_OP2_#056	\x0E\x03\x02\x10\x0EE002_エル\nBrodia.\x0E\x04\x00\x00
MID_OP2_#057	\x0E\x03\x02\x18\x16E002_セレスティア\nDas war Prinzessin Célines Idee – man wartet\nim Grunde genommen nur noch auf die Zu-\nstimmung von König Alfred.\x0E\x04\x02\x00
MID_OP2_#058	Aber das hält die junge Prinzessin nicht davon\nab, eine Armee aus Eliterittern aufzustellen.\x0E\x04\x02\x00
MID_OP2_#059	Wir dürfen nicht länger danebenstehen und\neinfach nur zusehen, was passiert.\x0E\x04\x00\x00
MID_OP2_#060	\x0E\x03\x02\x10\x0EE002_イル\nDem stimme ich zu. Wir müssen in das Schloss\nund dem Krieg ein Ende bereiten, bevor er\nüberhaupt beginnen kann.\x0E\x04\x00\x00
MID_OP2_#061	\x0E\x03\x02\x18\x16E002_セレスティア\nNoch etwas... Firenes Emblem wurde verändert,\nseit ich es das letzte Mal gesehen habe.\x0E\x04\x02\x00
MID_OP2_#062	Wir müssen vorsichtig sein.\x0E\x04\x00\x00
MID_OP2_#063	\x0E\x03\x02\x10\x0EE002_エル\nJa. Lasst uns nun zum Schloss gehen und\nden Armring des eigenwilligen Generals\nzurückfordern.\x0E\x04\x00\x00
MID_OP2_#064	\x0E\x03\x02\x0A\x08リュール\nIch hoffe nur, dass Alfred und Céline willens\nsind, mit uns zu sprechen.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E002_Boss\x021\n\x0E\x03\x00\x18\x12E002_Hide\x022\n\x0E\x03\x00\x14\x0EE002_エル\x023\n\x0E\x03\x00\x14\x0EE002_イル\x024\n\x0E\x03\x02\x14\x12E002_Hide\nImmer noch, Alfred? Bist du immer noch\nunentschlossen, ob wir einmarschieren sollen\noder nicht?\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x14\x12E002_Boss\nSetz mich nicht so unter Druck, Céline. Das ist\neine große Entscheidung. Ich brauche Zeit,\ndarüber nachzudenken.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x14\x12E002_Hide\nNein, du musst endlich handeln!\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x14\x12E002_Boss\nSo einfach ist das nicht. Brodia war unser\nVerbündeter. Wenn wir sie zu einem Kampf\nherausfordern, gibt es kein Zurück mehr.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x14\x12E002_Hide\nDa Mutter und unsere Getreuen im letzten Krieg\nihre Leben ließen, ist es an uns, unser Volk zu\nbeschützen.\x0E\x04\x02\x00
MID_OP3_#006	Weißt du nicht, dass es leidet? Seit \x0E\x0A\x00\x10\x06die\x06der\n\x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott fort ist, zerfällt diese Welt zu\nRuinen.\x0E\x04\x02\x00
MID_OP3_#007	Unser Getreide und unsere Blumen verlieren\nihre Farbe. Schon bald werden unsere Äcker\nunfruchtbar sein.\x0E\x04\x02\x00
MID_OP3_#008	Es gibt nur ein Mittel zur Abhilfe: Wir müssen\nunser Territorium erweitern und unsere\nRessourcen auffüllen. Jetzt.\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x14\x12E002_Boss\nIch weiß, ich weiß – Brodias Wirtschaft basiert\nauf Bergbau, daher können sie auf die Ressour-\ncen, die wir benötigen, verzichten.\x0E\x04\x02\x00
MID_OP3_#010	Eine Invasion würde uns also wirklich helfen,\nmit Reichtümern und Mineralen.\x0E\x04\x02\x00
MID_OP3_#011	Der Plan klingt gut, aber er hat einen großen\nFehler – er übersieht die militärische Stärke\nBrodias.\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x03\x02\x14\x12E002_Hide\nGenau aus diesem Grund habe ich einen Trupp\nRitter zusammengestellt, der Brodia besiegen\nwird.\x0E\x04\x02\x00
MID_OP3_#013	Oder machst du dir Sorgen um ihr Emblem?\nDiese alberne Prinzessin stellt für den eigenwil-\nligen General sicher keine Herausforderung dar!\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x14\x12E002_Boss\nNichts ist sicher. Egal, wie gut unsere Chancen\nauch aussehen mögen – wir könnten dennoch\nall unsere Einheiten verlieren.\x0E\x04\x02\x00
MID_OP3_#015	Oder hast du das vergessen? Unsere Getreuen,\ndie sich sicher waren, die Oberhand zu haben,\nsind alle gefallen wie Blätter von den Bäumen.\x0E\x04\x02\x00
MID_OP3_#016	Das war an dem Tag, an dem uns \x0E\x0A\x00\x1A\x0Cunsere\nunser\n\x0E\x0A\x00\*mächtigste Verbündete.mächtigster Verbündeter, \x0E\x0A\x00\x10\x06die\x06der \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott, für\nimmer verließ.\x0E\x04\x00\x00
MID_OP3_#017	\x0E\x03\x02\x14\x12E002_Hide\nDu hast dich verändert, Alfred. Früher hast du\ndich vor nichts und niemand gefürchtet.\x0E\x04\x02\x00
MID_OP3_#018	Mit \x0E\x0A\x00\x10\x06der\x06dem \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott ging auch dein Rückgrat\nverloren. Ich werde mich also darum kümmern.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x14\x12E002_Boss\nUnd das soll was heißen?\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x02\x14\x12E002_Hide\nDas heißt, ich werde nach Brodia aufbrechen,\nallein und ohne deine Erlaubnis.\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x02\x14\x12E002_Boss\nOhne Ritter? Willst du, dass sie dich\numbringen?\x0E\x04\x00\x00
MID_OP3_#022	\x0E\x03\x02\x14\x12E002_Hide\nMüsste ich wählen zwischen dem Tod durch\ndas Schwert oder, weil unser Volk leidet, durch\nein gebrochenes Herz, nehme ich das Schwert!\x0E\x04\x02\x00
MID_OP3_#023	Sollte ich sterben, wird vielleicht ein wahrer\nHeld erscheinen und unser Volk anführen. Damit\nbin ich zufrieden.\x0E\x04\x02\x00
MID_OP3_#024	Und was die Brodianer angeht... Wenn sie leiden\nmüssen, damit es unserem Volk gut geht, dann\nist das eben so.\x0E\x04\x02\x00
MID_OP3_#025	Der Verlust des einen Landes ist der Gewinn\ndes anderen.\x0E\x04\x00\x00
MID_OP3_#026	\x0E\x03\x02\x14\x12E002_Boss\nIch dringe gar nicht mehr zu dir durch, oder?\x0E\x04\x00\x00
MID_OP3_#027	\x0E\x03\x02\x14\x12E002_Hide\nEs ist nicht deine Schuld, dass du mit einer\ndickköpfigen, närrischen Schwester gestraft\nbist.\x0E\x04\x02\x00
MID_OP3_#028	Doch wenn du willst, dass sie überhaupt\ndarauf hofft, dass es ein Überleben gibt, musst\ndu eine Entscheidung treffen.\x0E\x04\x02\x00
MID_OP3_#029	Wie wird sie aussehen, Euer Majestät?\x0E\x04\x00\x00
MID_OP3_#030	\x0E\x03\x02\x14\x12E002_Boss\nHmpf.\x0E\x04\x02\x00
MID_OP3_#031	Du hast gewonnen.\x0E\x04\x02\x00
MID_OP3_#032	Du bist die einzige Familie, die mir geblieben ist.\nWenn du es so unbedingt tun willst, sollte ich\ndir wenigstens eine Chance geben.\x0E\x04\x02\x00
MID_OP3_#033	Sieh den Einmarsch als genehmigt an.\x0E\x04\x00\x00
MID_OP3_#034	\x0E\x03\x02\x14\x12E002_Hide\nDanke, Alfred.\x0E\x04\x00\x00
MID_OP3_#035	\x0E\x03\x02\x14\x12E002_Boss\nKomm. Ich werde deinen Rittern offiziell\nmitteilen, dass sie sich kampfbereit machen\nsollen.\x0E\x04\x00\x00
MID_OP3_#036	\x0E\x03\x02\x10\x0EE002_エル\nWartet. Bitte.\x0E\x04\x00\x00
MID_OP3_#037	\x0E\x03\x02\x14\x12E002_Boss\nWer ist da?\x0E\x04\x00\x00
MID_OP3_#038	\x0E\x03\x02\x10\x0EE002_エル\nKönig Alfred. Prinzessin Céline. Es ist lange her.\x0E\x04\x02\x00
MID_OP3_#039	Verzeiht die Störung, aber wir müssen ein\ndringendes Problem besprechen.\x0E\x04\x00\x00
MID_OP3_#040	\x0E\x03\x02\x14\x12E002_Boss\nNa, wenn das nicht Nel und Nil sind.\x0E\x04\x02\x00
MID_OP3_#041	Wisst ihr, ich könnte euch hinrichten lassen,\nweil ihr hier uneingeladen eingedrungen seid.\x0E\x04\x00\x00
MID_OP3_#042	\x0E\x03\x02\x10\x0EE002_エル\nWohl wahr. Gebt uns einfach den Armring des\neigenwilligen Generals zurück und wir werden\nEuch sofort wieder in Ruhe lassen.\x0E\x04\x00\x00
MID_OP3_#043	\x0E\x03\x02\x14\x12E002_Boss\nOh, bitte. Würden wir euch den Armring über-\ngeben, würde das Gleichgewicht der Kräfte\nzwischen den Nationen zum Ungleichgewicht.\x0E\x04\x00\x00
MID_OP3_#044	\x0E\x03\x02\x10\x0EE002_エル\nAlso beabsichtigt Ihr, den Armring weiterhin\nals Waffe gegen Euresgleichen einzusetzen.\x0E\x04\x02\x00
MID_OP3_#045	Die anderen Nationen tun desgleichen und\ndies ist genau der Grund, warum Ihr nun am\nRande eines Krieges steht.\x0E\x04\x02\x00
MID_OP3_#046	Ich kann mir nicht vorstellen, dass \x0E\x0A\x00\x10\x06die\x06der\n\x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott dieses Verhalten gutheißen würde.\x0E\x04\x00\x00
MID_OP3_#047	\x0E\x03\x02\x14\x12E002_Hide\nOh! Ihr maßt euch an, im Namen \x0E\x0A\x00\x10\x06der\x06des\n\x0E\x0A\x00,\x14Wyrmgöttin\x14Wyrmgottes sprechen zu dürfen?\x0E\x04\x02\x00
MID_OP3_#048	Seltsam, wenn man bedenkt, dass es euer Vater\nwar, der uns der göttlichen Führung auf ewig\nberaubt hat.\x0E\x04\x00\x00
MID_OP3_#049	\x0E\x03\x02\x10\x0EE002_イル\nWie könnt Ihr es wagen! Wir hatten damit nichts\nzu tun!\x0E\x04\x02\x00
MID_OP3_#050	Wie oft muss ich Euch noch sagen, dass wir\nnicht Sombron sind?\x0E\x04\x00\x00
MID_OP3_#051	\x0E\x03\x02\x10\x0EE002_エル\nBeherrsche dich, Nil.\x0E\x04\x00\x00
MID_OP3_#052	\x0E\x03\x02\x10\x0EE002_イル\nNatürlich. Verzeiht.\x0E\x04\x00\x00
MID_OP3_#053	\x0E\x03\x02\x10\x0EE002_エル\nSeid versichert, dass wir jede Nation, die einen\nArmring aufbewahrt, deswegen aufsuchen\nwerden.\x0E\x04\x02\x00
MID_OP3_#054	Wir werden sie alle zurückholen.\x0E\x04\x02\x00
MID_OP3_#055	Mit diesem Wissen müsst Ihr Firenes Armring\nnicht länger aufbewahren.\x0E\x04\x00\x00
MID_OP3_#056	\x0E\x03\x02\x14\x12E002_Boss\nWoher sollen wir wissen, dass dies nicht ein\nTrick ist, um uns zu schwächen – und unsere\nFeinde zu stärken?\x0E\x04\x02\x00
MID_OP3_#057	Beweise uns, dass ihr die Armringe der anderen\nNationen erhalten habt und dann können wir\nreden.\x0E\x04\x00\x00
MID_OP3_#058	\x0E\x03\x02\x10\x0EE002_エル\nFirene ist unser erstes Ziel. Wir haben die\nanderen Armringe noch nicht erhalten.\x0E\x04\x00\x00
MID_OP3_#059	\x0E\x03\x02\x14\x12E002_Hide\nDann gibt es nichts weiter zu diskutieren – wir\nwerden in Brodia einmarschieren.\x0E\x04\x02\x00
MID_OP3_#060	Die Macht des Armrings ist für unsere\nAbsichten unabdingbar. Wir werden ihn euch\nnicht einfach so aushändigen.\x0E\x04\x00\x00
MID_OP3_#061	\x0E\x03\x02\x10\x0EE002_エル\nIhr wollt immer noch nicht gehorchen. In dem\nFall lasst Ihr uns keine andere Wahl.\x0E\x04\x00\x00
MID_OP3_#062	\x0E\x03\x02\x14\x12E002_Hide\nWenn ihr kämpfen wollt, werden wir dem nur\nzu gern nachkommen.\x0E\x04\x00\x00
MID_OP3_#063	\x0E\x03\x00\x0E\x08リュール\x024\n\x0E\x03\x02\x0A\x08リュール\nBitte, hört auf! Ich möchte nicht gegen Euch\nbeide kämpfen müssen.\x0E\x04\x00\x00
MID_OP3_#064	\x0E\x03\x02\x14\x12E002_Hide\n\x0E\x0A\x00*\x12Göttliche\x14Göttlicher?! Nein... Nein, natürlich nicht...\x0E\x04\x00\x00
MID_OP3_#065	\x0E\x03\x02\x14\x12E002_Boss\nWarum fühlt sich Eure Aura an wie die \x0E\x0A\x00\x10\x06der\x06des\n\x0E\x0A\x00,\x14Wyrmgöttin\x14Wyrmgottes?!\x0E\x04\x02\x00
MID_OP3_#066	Ihr sagtet, \x0E\x0A\x00:\x1Eunsere Freundin\x18unser Freund sei tot, ihr Schufte!\nWar das eine Lüge?!\x0E\x04\x00\x00
MID_OP3_#067	\x0E\x03\x02\x0A\x08リュール\nNein. Ich komme aus einer anderen Welt.\x0E\x04\x00\x00
MID_OP3_#068	\x0E\x03\x02\x14\x12E002_Boss\nWas?\x0E\x04\x00\x00
MID_OP3_#069	\x0E\x03\x02\x14\x12E002_Hide\nHa, es gibt nur eine Erklärung dafür. Das muss\n\x0E\x0A\x00<\x1Cein Verzerrter\x1Ceine Verzerrte sein.\x0E\x04\x02\x00
MID_OP3_#070	Die Dämonendrachen haben ihre abscheuliche\nMagie dazu verwendet, aus \x0E\x0A\x00@ unserer Freundin\x1Cunserem Freund\ndiese verdorbene Marionette zu erschaffen.\x0E\x04\x00\x00
MID_OP3_#071	\x0E\x03\x02\x0A\x08リュール\nDas ist nicht wahr! Hört mir zu!\x0E\x04\x00\x00
MID_OP3_#072	\x0E\x03\x02\x14\x12E002_Hide\nHochstaplern hören wir nicht zu!\x0E\x04\x00\x00
MID_OP3_#073	\x0E\x03\x02\x14\x12E002_Boss\nIch kann nicht glauben, dass ihr Dämonenab-\nkömmlinge so etwas Krankes getan habt, nur\num unseren Armring zu stehlen.\x0E\x04\x02\x00
MID_OP3_#074	Ohne Zweifel waren auch die Tränen, die ihr\nüber den Tod \x0E\x0A\x00<\x1Cder Wyrmgöttin\x1Cdes Wyrmgottes vergossen habt,\nebenfalls ein Trick.\x0E\x04\x02\x00
MID_OP3_#075	Ich dachte, wir – als ehemalige Verbündete –\nkönnten das auf friedliche Weise beilegen.\x0E\x04\x02\x00
MID_OP3_#076	Eure Hinterhältigkeit ändert alles.\x0E\x04\x00\x00
MID_OP3_#077	\x0E\x03\x02\x0A\x08リュール\nNein...\x0E\x04\x00\x00
MID_OP3_#078	\x0E\x03\x02\x14\x12E002_Boss\nRitter, macht euch bereit zum Kampf! Sorgt\ndafür, dass Sombrons Kinder endlich ihr Ende\nfinden!\x0E\x04\x02\x00
MID_OP3_#079	Wir werden ihre abgetrennten Köpfe mit nach\nBrodia nehmen, als Symbole unserer Macht!\x0E\x04\x00\x00
MID_OP3_#080	\x0E\x03\x02\x14\x12E002_Hide\nJa! Das ist der Bruder, den ich kenne – der\nfurchterregende Mann, den sie den Prinzen der\nzerstreuten Blumen nannten.\x0E\x04\x02\x00
MID_OP3_#081	Und nun zwinge unsere Feinde, wie du es im\nKrieg tatest, zu Boden wie so viele zerfledderte\nRosen!\x0E\x04\x00\x00
MID_OP3_#082	\x0E\x03\x02\x14\x12E002_Boss\nSollte Euer Geist dort drinnen gefangen sein,\n\x0E\x0A\x00*\x12Göttliche\x14Göttlicher, werde ich ihn befreien.\x0E\x04\x00\x00
MID_OP3_#083	\x0E\x03\x02\x0A\x08リュール\nAlfred, nein...\x0E\x04\x00\x00
MID_OP3_#084	\x0E\x03\x00\x14\x0EE002_イル\x024\n\x0E\x03\x02\x10\x0EE002_イル\nEine Auseinandersetzung ist wohl\nunvermeidbar.\x0E\x04\x00\x00
MID_OP3_#085	\x0E\x03\x00\x1C\x16E002_セレスティア\x024\n\x0E\x03\x02\x18\x16E002_セレスティア\nIch wusste, dass dies passieren würde. Aber\nes ist gut so.\x0E\x04\x02\x00
MID_OP3_#086	Ihre Respektlosigkeit gegenüber Milady Nel und\nMylord Nil darf nicht ohne Folgen bleiben!\x0E\x04\x00\x00
MID_OP3_#087	\x0E\x03\x02\x10\x0EE002_エル\nMacht Euch bereit, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Die Gesichter\nmögen vertraut erscheinen, aber sie werden\nEuch gegenüber keine Gnade zeigen.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01"\x12E002_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E002_Boss\nLebewohl zu sagen ist immer schmerzvoll. Ich\nhoffe, Ihr sterbt ohne Leiden.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nVersorgungseinheiten, stärkt die Truppen mit\neuren Materialien. Wir rücken vor!\x0E\x04\x00\x00
