MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nDein Herz soll so mutig sein, wie du stark bist.\nIch freue mich schon auf unsere Zusammen-\narbeit, Nel.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIch habe darin versagt, \x0E\x0A\x008\x1Cmeinen Meister\x18meine Herrin und\nmeine Freunde zu beschützen. Ich werde nie-\nmals wieder jemanden auf diese Weise verlieren.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0A\x08シグルド\nUnd trotz deines Schmerzes gibst du nicht auf.\nIch bin sicher, sie wachen über dich.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nDie Entschlossenheit, mit der die Vier Winde\nsich für den Frieden einsetzen, ist inspirierend.\nIch kann von euch allen noch etwas lernen.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nMauvier hat die Vier Winde gegründet und die\nGruppe wurde zu unserer Familie. Ich weiß sie\nvon ganzem Herzen zu schätzen.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nSolche Bande verschwinden nicht. Selbst wenn\nwir einen der unsrigen verlieren, so bleiben wir\ndoch stets die Vier Winde.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0A\x08シグルド\nDa mich nun Bande mit dir verbinden, bin ich\nstolz darauf, an deiner Seite kämpfen zu dürfen.\nIch gebe alles, um diesen Krieg zu beenden.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nDas Stofftier, das du dir neulich so eingehend\nangesehen hast, war bezaubernd. War das ein\nGeschenk für jemanden?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nNein, ähm, das war für mich. Ich mag alles,\nwas niedlich ist. Wie Euer Pferd, Sigurd! Es ist\ndas niedlichste Pferd, dass ich je gesehen habe.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nグレゴリー\nIch finde, manchmal ist es wichtiger zu flüchten,\nals zu kämpfen. Es ist besser zu leben, als zu\nverlieren.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0A\x08シグルド\nEine weise Kampfstrategie, wenngleich... nicht\nimmer umsetzbar. Du hast die Brutalität einer\nSchlacht schon deutlich gesehen.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nDeine Kindheit muss sehr schön gewesen sein,\nda du mit so einem reinen und ehrlichen Herzen\ngesegnet bist.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nDas... ist weit weg von der Realität. Meine\nKindheit war alles andere als schön.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nIch wurde dank der Vier Winde zu dem, der ich\nheute bin... und weil ich wahre Helden wie Euch\ngetroffen habe.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0A\x08シグルド\nIch fühle mich durch deine Worte geehrt,\nGregory. Mögen unsere Pfade stets miteinander\nverflochten bleiben.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nWie ich hörte, hast du deinen Heimatort allein\nverteidigt. Es ist beruhigend, so eine Ritterin\nin unseren Reihen zu wissen.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nEs ist die Pflicht eines Ritters, sein Volk zu\nbeschützen! Ich gelobe, mich Eurer\nAnerkennung als würdig zu erweisen.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nDeine Einstellung ist die eines Ritters. Sie zeigt\nsich in deinem Verhalten, vor allem aber in\ndeinen Fähigkeiten auf dem Schlachtfeld.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nEs ist eine Ehre, so ein Lob von Euch zu\nbekommen. Ich strebe danach, so eine Ritterin\nzu werden, wie meine Eltern es waren.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nDeine Eltern müssen gute Ritter gewesen sein.\nWar es immer schon dein Ziel, so zu werden\nwie sie?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nJa. Ich habe sie überaus bewundert. Ich wollte\nihr Vermächtnis ehren, indem ich ihren Pfad\neinschlug.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0A\x08シグルド\nDu bist eine großartige Ritterin, der ich mit\nVertrauen meine Rückendeckung überlasse.\nLass uns das Kämpfen gemeinsam beenden.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nSehr gerne! Möge die Stärke unseres Bandes\neinen Weg für die Zukunft ebnen.\x0E\x04\x00\x00
