MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nMilady Veyle, verzeiht die Störung, aber ich\nwürde mich gerne angemessen bei Euch vor-\nstellen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nNein, das ist es nicht... Du siehst nur so aus wie\njemand, den ich kannte.\x0E\x04\x02\x00
MID_RELIANCE_C_#015	Dein Lächeln... Es erinnert mich an ihres. Sie\nhatte so ein bezauberndes Lächeln.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nマデリーン\nWie nett von Euch das zu sagen. Meine Eltern\npflegten zu sagen, dass das Gesicht einer\nPerson ihr inneres Selbst widerspiegelt.\x0E\x04\x02\x00
MID_RELIANCE_C_#017	Da Ihr mein Lächeln wertschätzt, fühle ich mich,\nals ob Ihr meine Seele loben würdet.\x0E\x04\x02\x00
MID_RELIANCE_C_#018	Nicht, dass Lob besonders wichtig wäre. Als\nRitterin zählt für mich nur, zu tun, was richtig\nist.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ヴェイル\nDu scherst dich... nicht um Lobpreisungen...\x0E\x04\x02\x00
MID_RELIANCE_C_#020	Schnief... Schluchz...\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nマデリーン\nOh, du meine Güte! Ich wollte Euch nicht\nbeleidigen. Ehrlich, ich weiß Euer Kompliment\nzu schätzen.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08ヴェイル\nDarum geht es nicht. Du warst wirklich höflich.\nEs liegt an mir.\x0E\x04\x02\x00
MID_RELIANCE_C_#023	Bitte, entschuldige mich. Wir müssen uns ein\nandermal unterhalten.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0C\nマデリーン\nSelbstverständlich, Milady Veyle... Ich freue\nmich schon darauf.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nMadeline, es tut mir leid, dass ich bei unserer\nletzten Unterhaltung so emotional reagiert habe.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nマデリーン\nIhr müsst Euch nicht entschuldigen, Milady\nVeyle. Ich hoffe einfach nur, dass es Euch\ngut geht.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nDas tut es. Aber ich möchte mich mit dir über\netwas unterhalten.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nマデリーン\nGewiss. Es wäre mir eine Freude, zu hören,\nwas Ihr zu sagen habt.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nIch danke dir.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Es geht um eine Ritterin namens Marni.\nDu bist ihr ähnlich.\x0E\x04\x02\x00
MID_RELIANCE_B_#007	Als ich gegen \x0E\x0A\x00\x10\x06den\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin kämpfte, stand\nich unter dem Einfluss eines magischen Helms.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Marni versuchte, diesen Helm zu zerstören und\nschaffte es sogar, einen Riss darin zu erzeugen.\x0E\x04\x02\x00
MID_RELIANCE_B_#009	Dank dieses mutigen Aktes kam ich wieder\nzu Sinnen. Ich verdanke ihr mein Leben.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nマデリーン\nGenau so ein mutiges Handeln würde ich von\nEuren Rittern erwarten.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ヴェイル\nJa. Aber dies war der Grund, warum Marni\ngetötet wurde.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nマデリーン\nWas?!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ヴェイル\nSie gab ihr Leben für mich, und ich hatte keine\nChance, ihr dafür zu danken oder mich von ihr\nzu verabschieden.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Ich weiß, dass du nicht sie bist. Aber ich hatte\ndennoch das Bedürfnis, meine Gefühle darzu-\nlegen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nマデリーン\nVerstehe.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Ihr habt recht, ich bin nicht Marni. Aber ich\nglaube, dass ich weiß, wie sie sich gefühlt\nhaben muss.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	Die Pflicht einer Ritterin ist es, ihr Leben zu\ngeben für jene, denen sie dient. Ich bin sicher,\ndass sie es für Euch gerne tat.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Und was für eine wunderbare Ritterin sie war,\nda sie ihren Zweck erfüllte.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ヴェイル\nAber erkennst du es denn nicht? Es war meine\nSchuld, dass sie sterben musste.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nマデリーン\nVerzeiht, wenn ich meine Grenzen überschreite,\ndoch ich bezweifle, dass sie anders entschieden\nhätte, wenn sie die Möglichkeit gehabt hätte.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ヴェイル\nHm?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nマデリーン\nIch an ihrer Stelle wäre – wenn ich meine Pflicht\nals Ritterin erfüllt hätte – frei von Bedauern.\x0E\x04\x02\x00
MID_RELIANCE_B_#023	Und ich wäre sehr stolz, wenn man sich mit\nsolch einer Zuneigung an mich erinnert.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08ヴェイル\nIch hoffe, das ist sie... Du bist sehr nett,\nMadeline.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Weißt du... Würde Marni noch leben, wäre sie\nvermutlich genau so eine Ritterin, wie du es\nbist.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nマデリーン\nDas sehe ich als großes Kompliment an.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nMilady Veyle, ich möchte Euch dafür danken,\ndass Ihr Marnis Geschichte mit mir geteilt habt.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nGerne. Vielen Dank, dass du sie dir angehört\nhast.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nマデリーン\nIch kann mir gar nicht vorstellen, wie es sein\nmuss, so eine mutige und loyale Ritterin zu\nverlieren.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	Und weiterzukämpfen, mit diesem Schmerz im\nHerzen... Ihr müsst wirklich sehr stark sein.\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Bitte wisst, dass dies keine bloße Schmeichelei\nist.\x0E\x04\x02\x00
MID_RELIANCE_A_#006	Ich meine nur, dass Ihr es gut gemacht habt.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nDu meinst, ich habe... was?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nマデリーン\nVerzeiht. Ich hatte einfach das Gefühl, dass Ihr\nLob verdient, nachdem Ihr nach solch einem\ntragischen Verlust Stärke gezeigt habt.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Mir ist bewusst, dass meine Worte für meine\nPosition nicht angemessen sind. Aber das\nmusste gesagt werden.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nSchnief... Schluuuchz...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nマデリーン\nOje! Milady Veyle. Verzeiht, dass ich schon\nwieder auf unangemessene Weise das Wort\nergriffen habe...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ヴェイル\nNein... Dies sind Freudentränen. Mauvier hat\nmir gesagt, was Marnis letzte Worte waren.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Am Ende hat Marni genau das gesagt, was du\nmir gerade gesagt hast.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	„Sag ihr, sie hat das gut gemacht.“ Du konntest\ndas auf keinen Fall wissen, und doch hast du\nes gesagt.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Endlich konnte ich ihre letzten Worte\nvernehmen... Ah! Ich kann nicht aufhören,\nzu weinen!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nマデリーン\nIch... Ich verstehe.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Nun gut.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Milady Veyle. Würdet Ihr mich als Eure\nRitterin akzeptieren?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ヴェイル\nWie?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nマデリーン\nIch kann Marni nicht ersetzen, und das ist auch\ngar nicht meine Absicht.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Aber ich möchte ihre Rolle übernehmen...\nUm Euch zu beschützen und an Eurer Seite\nzu bleiben.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nOh, Madeline.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	Ich kann dir gar nicht sagen, wie glücklich mich\ndein Angebot macht. Aber es tut mir leid. Ich\nmuss es ablehnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nマデリーン\nSelbstverständlich... Ich bin nicht stark genug.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ヴェイル\nDas ist es nicht. Du bist eine ausgezeichnete\nRitterin. Aber du bist nicht meine Ritterin.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Marni mag fort sein, aber sie wird für mich stets\ndiesen Platz einnehmen.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	Ich wünschte, ich könnte dir eine andere\nAntwort geben. Aber so empfinde ich.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nマデリーン\n...Ich verstehe.\x0E\x04\x02\x00
MID_RELIANCE_A_#029	Marni kann sich glücklich schätzen, jemandem\nmit so einem hingebungsvollen Herzen gedient\nzu haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ヴェイル\nAber anstatt meine Ritterin zu sein... Dürfte ich\ndich wohl bitten, meine Freundin zu sein?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nマデリーン\nEure Freundin?\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08ヴェイル\nJa. Wir können zusammen plaudern, lachen...\nGemeinsam sehen, was die Zukunft für uns\nbereithält.\x0E\x04\x02\x00
MID_RELIANCE_A_#033	Ich möchte, dass du dabei bist, wenn ich ein\nDrache werde, der die Welt rettet. Was sagst\ndu?\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0C\nマデリーン\nIch fühle mich geehrt. Ja, ich wäre sehr gerne\nEure Freundin.\x0E\x04\x02\x00
MID_RELIANCE_A_#035	Ich weiß aber gar nicht, wie gut ich dabei bin...\nAllzu viel Übung habe ich nämlich darin nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ヴェイル\nZunächst einmal kannst du gerne etwas weniger\nförmlich sein. Falls du Fragen hast, dann stell\nsie mir ruhig.\x0E\x04\x02\x00
MID_RELIANCE_A_#037	Ansonsten ist das ganz einfach: Wir sind\nfüreinander da, wenn wir uns brauchen. Wie\nklingt das für dich?\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0C\nマデリーン\nAusgezeichnet.\nDas klingt einfach ausgezeichnet.\x0E\x04\x00\x00
