MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nUff...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch stehe Euch jedenfalls auf jedem Schritt\ndieser Reise zur Seite.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nEs ist das Geringste, das ich für eine gute\nFreundin tun kann!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ヴェイル\nDas ist sehr freundlich von Euch.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nAber ich schätze mal, das hilft Euch bei der\nLösung Eurer Probleme nicht besonders\nweiter, richtig?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nVielleicht gibt es noch etwas, das ich\ngerade für Euch tun kann?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ヴェイル\nNein, es ist gut. Ihr habt schon so viel für mich\ngetan.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08ヴェイル\nVielen Dank, Alfred.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nMilady Veyle! Ihr seht aus wie eine Dame,\ndie mal einen Lauf von ein paar Runden\nvertragen könnte!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ヴェイル\nHahaha, warum sagt Ihr das?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nWeil Ihr diesen Gesichtsausdruck habt. Ihr\nwisst schon... Den, der sagt: „Die Dinge stehen\nunglaublich schlecht!“\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nManche Probleme könnt Ihr einfach nicht lösen,\nso sehr Ihr es Euch auch wünschen mögt.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nDa müsst Ihr einfach raus und rennen, bis Ihr\nEuch an nichts anderes mehr erinnert.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\nIch weiß nicht...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ヴェイル\nWie kann ich das einfach vergessen?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nDie furchtbaren Dinge, die ich getan habe...\ndas Leid, das ich verursacht habe...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ヴェイル\nMein Herz ist so voller Schuld, und das wird es\nauf ewig bleiben.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nHm.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nWisst Ihr, was? Das klingt zu ernst, um es selbst\nmit einem guten Lauf hinter sich zu lassen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ヴェイル\nJa... Ich denke, Ihr habt recht.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nAlso solltet Ihr nach ein oder zwei Meilen noch\nein paar Liegestütze dazupacken. Das sollte\ndann genügen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ヴェイル\nÄhm...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nUnd wenn Ihr dann noch ein paar Klappmesser\ndrauflegt, umso besser. Danach garantiere ich\nEuch eine wohlig durchgeschlafene Nacht.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ヴェイル\nKlappmesser?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ヴェイル\nHihihi!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nOh, Alfred. Ich glaube kaum, dass meine\nProbleme mit ein paar Liegestützen oder...\nKlappmessern gelöst werden können!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nNatürlich. Ihr wisst das. Ich weiß das.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nIhr werdet die Sachen, die Ihr mir erzählt habt,\nwahrscheinlich nie vergessen.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ヴェイル\nNein.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ヴェイル\nIch werde diese Schuld und Reue noch lange\nZeit schultern.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cアルフレッド\nDas ist gut möglich. Aber Ihr müsst Euch davon\ngelegentlich mal eine Pause gönnen, richtig?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cアルフレッド\nWenn Ihr Eure Bürde nicht von Zeit zu Zeit mal\nabsetzt, wird Euer Rücken unter der Last\nbrechen.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ヴェイル\nIhr habt recht, Alfred. Vielen Dank.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ヴェイル\nWisst Ihr, ich glaube, jetzt könnte ich eine\nRunde laufen.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ヴェイル\nMögt Ihr mich begleiten? Bitte?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cアルフレッド\nSagt einfach Bescheid!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch werde Euch mit Vergnügen so hart\nantreiben, dass Ihr an nichts anderes mehr\ndenken könnt. Das kann ich am besten!\x0E\x04\x00\x00
