MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08リュール\nOh nein, was habe ich getan...\x0E\x04\x02\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nHm, hast du etwas gesagt?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nグレゴリー\nOh! Nein. Nein, nein, hab ich nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nHngh... Wir sind mitten am Tag aufgebrochen –\nund nun ist es bereits stockdunkel.\x0E\x04\x02\x00
MID_RELIANCE_B_#002	Das war heute ein richtiges Abenteuer, was?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nIch hätte niemals für möglich gehalten, dass\nsimples Einkaufen so eine Tortur werden\nkönnte.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nグレゴリー\nZuerst das Kind, das sich verlaufen hatte...\ndann stelle sich heraus, dass das Kind auf der\nSuche nach seiner Katze war...\x0E\x04\x02\x00
MID_RELIANCE_B_#005	Und dann haben wir es geschafft, uns bei der\nSuche nach der Katze im Wald zu verlaufen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nEs tut mir leid. Ich hatte keine Ahnung, dass der\nWald so groß und tief ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nグレゴリー\nEs war auch nicht von Vorteil, dass die Katze\nsich genau auf der anderen Seite des Waldes\nversteckt hatte.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Nicht, dass ich ihr das vorwerfen würde.\nWegzurennen und sich zu verstecken, ist eine\ngroßartige Überlebensstrategie.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nAber immerhin waren danach alle wieder\nvereint. Es ist doch schön, wenn am Ende jeder\nglücklich ist.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Danke, dass du mich begleitet hast. Ich\nweiß, dass es viel später geworden ist als\nbeabsichtigt.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nグレゴリー\nIhr müsst mir nicht danken. Allerdings... hätten\nwir vor all dem Chaos auch wegrennen können.\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Aber... ich hätte Euch nie im Stich lassen\nund alles Euch überlassen können.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nHast du was gesagt?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nグレゴリー\nHm? Nein. Wie dem auch sei, wir sollten uns\nwohl schleunigst auf in unsere Betten machen.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Ich bin sicher, dass all Eure Freunde besorgt\nwaren und Euch morgen früh eine ordentliche\nStandpauke halten werden.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nHahaha. Vielleicht sollte ich mich dann darauf\nvorbereiten, bevor ich ins Bett gehe.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	Gute Nacht, Gregory. Ich verspreche dir, ich\nwerde alles bald wiedergutmachen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nグレゴリー\nDas würde sicher Spaß machen, aber ich\nmöchte nicht, dass Ihr Euch darüber Sorgen\nmacht. Schlaft gut.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	...\x0E\x04\x02\x00
MID_RELIANCE_B_#020	Ihr gebt alle Eure Energie, um anderen zu\nhelfen. Genau, wie es \x0E\x0A\x00\x10\x06die\x06der verstorbene\n\x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott meiner Welt einst tat.\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Hehehe. Dann muss ich in Eurer Nähe wohl\ndoch nicht auf der Hut sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nIch muss mich bei Euch entschuldigen,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nHm? Wofür? Du hast doch nichts getan,\nGregory.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nAber ich muss reinen Tisch machen. Bis zu\ndiesem Zeitpunkt... nun... habe ich Euch nicht\nwirklich vertraut.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	Ich war mir nicht sicher, ob Ihr jemand seid,\nden ich als \x0E\x0A\x00.\x16Verbündeten\x14Verbündete ansehen könnte, wisst\nIhr?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nOh... Ist dem so?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nグレゴリー\nIch war dankbar, als Ihr mich in diese Welt ein-\ngeladen habt, auch wenn ich mir nicht erklären\nkonnte, wieso Ihr das tatet.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Ihr habt mich ohne Fragen zu stellen willkom-\nmen geheißen. Ich... ich wusste einfach nicht,\nob ich an so jemanden glauben konnte.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Ich hatte Angst, Ihr würdet mich hintergehen...\nDaher konnte ich nicht anders, als in Eurer\nNähe stets wachsam zu sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nSo wie du das sagst, klingt es, als sei es\nVergangenheit. Kannst du mir denn jetzt\nvertrauen?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nグレゴリー\nJa. An Eurer Seite zu kämpfen hat mich vieles\ngelehrt. Und ich weiß jetzt, dass Ihr ein auf-\nrichtiges Herz besitzt.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Ihr unterscheidet Euch von \x0E\x0A\x00\x10\x06der\x06dem \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott\nmeiner Welt. Aber dann wieder seid Ihr \x0E\x0A\x00\x10\x06ihr\x06ihm\nauch sehr ähnlich...\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Ihr denkt zuerst an andere statt an Euch, selbst\nwenn Eure Güte Euch oft in Schwierigkeiten\nbringt.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Ihr strebt nach einer besseren Zukunft, Ihr\nseid ehrlich... Ich kann mir nicht vorstellen, dass\nso jemand uns hintergehen würde.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nIch würde euch niemals hintergehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nグレゴリー\nEhrlich gesagt... Ich schäme mich, dass ich all\ndies zugegeben habe.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	Damit wir nach vorne blicken können, möchte\nich, dass Ihr mich ein Mal schlagt. Zwei Mal.\nNein, so oft Ihr wollt.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nWas? Nein, das könnte ich nie tun. Außerdem\nhasst du doch Schmerzen.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Abgesehen davon ist es doch ganz natürlich,\nerst mal zurückhaltend zu sein, wenn man\njemanden gerade erst kennenlernt.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nグレゴリー\nTrotzdem...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nNa gut. Wenn du damit nicht klarkommst, hier.\nNimm das.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nグレゴリー\nOooh?! Was war das denn? Das war kein\nSchlag! Ihr habt mir nur gegen die Stirn\ngeschnippt.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nMehr bekommst du nicht. Sieh es als deine\nBestrafung an. Wir werden nie wieder darüber\nsprechen.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nグレゴリー\nHahaha. Das war eigentlich fast eine nette Form\nvon Schmerz. Der macht mir nichts aus.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Danke, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Von nun an... soll meine\nStärke Euch gehören, mehr denn jemals zuvor.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08リュール\nHallo Gregory. Hast du etwas auf dem Herzen?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nグレゴリー\nIch bin einfach nur dankbar, dass Ihr wohlbe-\nhalten wieder zu uns zurückgekommen seid.\x0E\x04\x02\x00
MID_RELIANCE_S_#003	Es mag ein wenig seltsam sein, aber... Ich war\nbesorgt, Ihr könntet sterben.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nOh... Liegt es daran, weil ich mich in\nGefahr begebe?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nグレゴリー\nNein, nicht unbedingt. Entschuldigt, wenn ich\njetzt etwas weit aushole, aber ich werde ver-\nsuchen, es zu erklären.\x0E\x04\x02\x00
MID_RELIANCE_S_#006	Als ich erfuhr, dass Ihr mit dem Dämonen-\ndrachen verwandt seid, machte etwas in mir\nklick.\x0E\x04\x02\x00
MID_RELIANCE_S_#007	Als ich Euch das erste Mal sah, hatte ich Angst\nvor Euch. Ich dachte, dass dies meine neue\nAngst gewesen sei.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nDu hattest Angst, weil du erfahren hast, dass\nich das Kind des Dämonendrachen bin?\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nグレゴリー\nNein, gar nicht. Ehrlich gesagt war ich sogar\nerleichtert.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nErleichtert? Warum?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nグレゴリー\nJa. Ich vermute, ich war erleichtert, dass Ihr\nnicht \x0E\x0A\x00B"unsere Wyrmgöttin\x1Cunser Wyrmgott seid.\x0E\x04\x02\x00
MID_RELIANCE_S_#012	Andererseits, würdet Ihr beide dieselbe Person\nsein, hättet Ihr mein Vertrauen verdient.\x0E\x04\x02\x00
MID_RELIANCE_S_#013	Aber dann wiederum hätte ich ständig Angst,\ndass Ihr sterben könntet.\x0E\x04\x02\x00
MID_RELIANCE_S_#014	Trotzdem mache ich mir deswegen Sorgen –\nobwohl ich weiß, dass Ihr nicht dieselbe Person\nseid. Warum empfinde ich nur so?\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nDu machst dir wirklich Sorgen um meine\nSicherheit...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nグレゴリー\nEs ist mir peinlich zuzugeben, dass ich diese\n„Liebe“, über die alle reden, nicht so wirklich\nverstehe.\x0E\x04\x02\x00
MID_RELIANCE_S_#017	Aber wenn Liebe bedeutet, dass einem jemand\nso wichtig ist, dass man Angst hat, ihn zu\nverlieren, dann...\x0E\x04\x02\x00
MID_RELIANCE_S_#018	Ich... Ich möchte an Eurer Seite sein, Euch\nbeschützen. Nun und für immer.\x0E\x04\x02\x00
MID_RELIANCE_S_#019	Und daher frage ich mich... Ich frage mich, ob\nich vielleicht der Partner \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin\nwerden könnte.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nOooh.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0C\nグレゴリー\nIch meine, wenn es eine furchtbare Vorstellung\nfür Euch ist, sagt es einfach.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nHihihihihi.\x0E\x04\x02\x00
MID_RELIANCE_S_#023	Das ist gar nicht furchtbar. Ich bin glücklich,\ndass du so empfindest.\x0E\x04\x02\x00
MID_RELIANCE_S_#024	Wenn du das wirklich willst, so wie ich es\nwill... dann möchte ich dir den Paktring geben.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0C\nグレゴリー\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche...\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08リュール\nHahaha. Ich hatte vor, dir zu sagen, wie wichtig\ndu mir bist. Aber du bist mir zuvorgekommen.\x0E\x04\x02\x00
MID_RELIANCE_S_#027	Ich möchte stark genug werden, damit selbst\ndein sorgenvolles Herz leichter wird. An deiner\nSeite.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0C\nグレゴリー\nIch freue mich darauf, gemeinsam mit Euch\nstärker zu werden. Ich hatte befürchtet, dass\nIhr mich ablehnen würdet, aber...\x0E\x04\x02\x00
MID_RELIANCE_S_#029	Ich bin froh, dass ich so mutig war und es Euch\ngestanden habe. Auch wenn das irgendwie nicht\nzu meiner Persönlichkeit zu passen scheint.\x0E\x04\x02\x00
MID_RELIANCE_S_#030	Ich werde diesen Ring auf ewig bewahren. Er ist\nder Beweis für das Band, das uns verbindet.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0C\nグレゴリー\nDieses Gefühl ist so stark, dass es wehtut. Aber\ndas macht mir nichts aus. Mit Euch an meiner\nSeite kann mir nichts mehr Schmerzen zufügen.\x0E\x04\x00\x00
