MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nVander! Ich bin fertig mit meinem\nStrickvorhaben!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nIhr habt es also endlich geschafft, hm?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\nEs ist lediglich ein kleiner Beutel mit Kordelzug,\naber er ist mir ziemlich gut gelungen, nicht\nwahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nHmm... Einwandfreie Maschen, alles sehr\nbeständig... Ein ausgezeichnetes Werk.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\nMan sieht ganz deutlich das Ergebnis Eurer\nharten Arbeit und Entschlossenheit. Das habt\nIhr ganz fantastisch gemacht.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nザフィーア\nIch muss schon sagen, als ich erst mal mein\neigenes Tempo gefunden hatte, war es richtig...\nentspannend zu stricken. Wie Meditation.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nザフィーア\nIch verstehe nun, was Ihr damit meintet, dass es\nwie eine weitere Art Training für Euch ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nザフィーア\nVielen Dank, dass Ihr mir das beigebracht habt,\nVander. Als Zeichen meiner Anerkennung...\nhabe ich für Euch das hier angefertigt.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nザフィーア\nEs ist nichts zu Ausgefallenes. Nur ein kleines\nGeschenk, das ich schnell gefertigt habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nヴァンドレ\nAh, ein Schal!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nDer Beutel allein war bereits exzellent, und\ndann habt Ihr auch noch dies angefertigt?\nIch bin beeindruckt.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nザフィーア\nBrodianische Ritter hassen es aufzugeben, aber\nsie lieben es, Neues zu lernen. Man sollte eben\nstets an sich arbeiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nヴァンドレ\nVerstehe. Doch so gut Ihr auch sein mögt,\nmeine Strickkünste werdet Ihr nicht so leicht\nübertreffen!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nザフィーア\nIch weiß. Bis zur Perfektion ist es noch ein\nlanger Weg.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nヴァンドレ\nDoch ganz im Ernst: Vielleicht sollten wir zwei\ngemeinsam trainieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\nTrainieren?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nヴァンドレ\nIch werde Euch noch mehr über die Arbeit mit\nNadel und Faden beibringen, und Ihr werdet mir\neinige Eurer Kampftechniken zeigen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nDas hört sich doch mal gut an!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nザフィーア\nDa wäre ich definitiv dabei. Ich wette, wir\nkönnen noch eine Menge voneinander lernen!\x0E\x04\x00\x00
