MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nGoldmary, ich hörte, Ihr wäret eine gar\nvorzügliche Köchin.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch werde die nötigen Zutaten zusammenstellen.\nSeid bereit, mit dem Unterricht zu beginnen,\nwenn wir uns das nächste Mal treffen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パネトネ\nDanke! Das werde ich Euch nicht vergessen.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs ist Zeit, mit den Kochlektionen zu beginnen,\nPanette. Wir werden ein Huhn braten.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nFantastisch. Dann haben wir jetzt für die Chefin\nein Hühnchen miteinander zu rupfen!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch... bin mir nicht sicher, ob ich dazu gerade\ndiese Worte gewählt hätte, aber... in Ordnung:\nHier ist alles, womit wir heute zur Tat schreiten.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パネトネ\nMm-hm, verstehe.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パネトネ\nAlso ist dieser Vogel gebraten und kann direkt\nserviert werden, korrekt?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWas? Natürlich nicht. Das Huhn ist doch noch\ntotal roh.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nZuerst werden wir es mit einer Füllung stopfen\nund dann wird es gebraten. Über offenem\nFeuer.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\nOh, mm-hm, verstehe, verstehe.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAls Füllung nutzen wir dieses Gemüse hier.\nWärst du so lieb, es in kleine Teile zu\nschneiden?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パネトネ\nMit Vergnügen!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs ist nur Gemüse, Panette... Es wird dich nicht\nangreifen.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パネトネ\nHier kommt der finale Hieb! Hiya!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNun, ich würde sagen, das Gemüse habt Ihr...\nwahrlich in die Schranken gewiesen.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パネトネ\nVielen Dank, Miss Goldmary! Ich werde liebend\ngern noch weiter darauf rumhacken, wenn nötig.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNein, Ihr wart... mehr als gründlich genug. Wenn\nIhr das Gemüse noch weiter schneidet, wird\ndirekt Suppe daraus.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEigentlich haben die Holzsplitter des Schneide-\nbretts auch nichts im Essen zu suchen, aber...\nna ja, ignorieren wir das.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJetzt stopfen wir das Huhn mit dem Gemüse,\nstecken es auf einen Spieß und braten es, bis\nes schön braun ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パネトネ\nIch habe eine Frage an die Chefköchin!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJa?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08パネトネ\nIst es schon durch?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nÄh, wir haben es doch gerade erst übers Feuer\ngehängt...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nVielen lieben Dank für die Kochlektion,\nGoldmary!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パネトネ\nNach Eurem Unterricht habe ich gebratenes\nHühnchen für die Chefin zubereitet und dabei\nall Eure Schritte genaustens befolgt.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パネトネ\nUnd sie war hin und weg, sage ich Euch! Sie\nkonnte gar nicht mehr aufhören, das Gericht\nzu loben und zu preisen.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas freut mich sehr.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nKönnte es sein, dass das Unterrichten anderer\nein weiteres Talent in meiner absurd langen\nListe großartiger Fähigkeiten ist?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs tut mir leid, falls die makellose Qualität\nmeiner Unterrichtsdarbietung Euch vom Kochen\nabgelenkt hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パネトネ\nAh, nein, aber ein Problem gab es dann. Das\nVerköstigen der Speise schien der Chefin ein\nwenig Schmerzen bereitet zu haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas ist beunruhigend.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パネトネ\nJa, da war irgendetwas Hartes im Hühnchen,\ndas ihr beim Kauen arge Probleme bereitete.\nKnorpel vielleicht?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOder ein Teil des Schneidebretts.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIhr müsst wirklich lernen, beim Schneiden\nvorsichtiger zu sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パネトネ\nVerstanden!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDessen ungeachtet, ich denke mein Kochkurs\nwar äußerst erfolgreich. Meint Ihr nicht auch?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パネトネ\nIn der Tat, es war ein voller Erfolg! Ich danke\nEuch für Eure Hilfe, Chefköchin.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パネトネ\nTatsächlich habe ich dank Eurer Unterweisung\nbereits meine erste Kochaufgabe erhalten.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEuch wurde Arbeit gegeben? Als Köchin?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パネトネ\nDie Chefin fand es äußerst unterhaltsam, wie\nich die Zutaten schneide, müsst Ihr wissen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パネトネ\nDeshalb will sie ein paar Koryphäen für eine\nDemonstration zum Palast von Solm einladen,\nwenn der Krieg vorbei ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEine Demonstration im Palast? Für den\ngesamten Hof des Königinreiches?!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パネトネ\nIch weiß! Ist das nicht wunderbar? Ich werde\nihnen auf jeden Fall erzählen, dass Ihr es wart,\ndie mir alles beigebracht hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nD-das ist ein wenig... Äh, nun...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSelbst an einem entspannten Hof wie dem von\nSolm gibt es gewiss das ein oder andere\nernstere Individuum...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDa sollte ich Euch wohl lieber unter die Arme\ngreifen, auf dass Eure Fähigkeiten im Schneiden\ndem Anlass entsprechend ausgebildet sind.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08パネトネ\nWas?! Ich dachte, wir wären bereits fertig mit\nden Lektionen!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWenn mein Name dabei fällt, machen wir es\nrichtig. Oder soll ich Prinzessin Timerra erzäh-\nlen, dass Ihr Euch meinen Lektionen verweigert?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パネトネ\nOch...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSolltet Ihr nicht dankbar sein, dass Ihr\npersönlichen Unterricht von einer so begabten\nLehrerin erhaltet?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08パネトネ\nJa, Miss Goldmary...\x0E\x04\x00\x00
