MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nAls ich ein Kind war, hatte ich auch Angst vor\ndem Wind. Habe mich unter die Laken\nverkrochen und dort die ganze Nacht versteckt.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アイビー\nIch bin kein Kind!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nWenn Ihr Euch fürchtet, denkt stattdessen an\netwas Fröhliches. Und ehe Ihr Euch verseht,\nseid Ihr eingeschlafen!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nDas hat mir meine Mutter erklärt. Und seitdem\nschlafe ich jede Nacht wie ein Stein.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アイビー\nIch gehe jetzt zurück ins Bett. Schlaf ist\nschließlich wichtig für die Gesundheit.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nGut's Nächtle. Auf dass wir nicht ängstlich sind\nvor dem wilden, starken Wind!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08アイビー\nDanke.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nPrinz Alfred. Begreift Ihr eigentlich die\nImplikationen dessen, was zwischen uns\nvorgefallen ist?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nPrinzessin Ivy? Ich fürchte nein!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\nIn der ersten Nacht halft Ihr mir, als ich mich\nverlaufen hatte.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08アイビー\nBei unserem zweiten Treffen erteiltet Ihr mir\neinen Rat, wie man friedlich schlafen kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nUnd so sehr es mir auch widerstrebt, dies\nzuzugeben, so stehe ich doch tief in Eurer\nSchuld.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nHahaha, und das soll etwas Schlimmes sein?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アイビー\nNatürlich ist das schlimm!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アイビー\nAls Kronprinzessin von Elusia kann ich doch\nsolche Schwäche nicht zeigen – schon gar nicht\neiner feindlichen Nation.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アイビー\nDaher... müsst Ihr mir mitteilen, wie ich Euch\nunterstützen kann!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, Ihr meint also, jetzt sei die Reihe an Euch,\nmir zu helfen, hm?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アイビー\nIch muss nur meine Verpflichtung tilgen.\nDas ist alles.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nTja, es tut mir ja schrecklich leid, aber ich\nstecke gerade in überhaupt keinen Schwierig-\nkeiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アイビー\nIhr lasst mich Euch also nicht helfen?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アイビー\nDas ist inakzeptabel! Ich verlange, dass Ihr\numgehend besorgt seid!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nHahaha! Die einzige Sache, über die ich besorgt\nbin, ist Euer geäußertes Verlangen danach.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nSchaut mal. Ich betrachte das gar nicht als eine\n„Zahlt es mir später wieder zurück“-Situation.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nDas macht man unter Verbündeten einfach so!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アイビー\nGrn...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nWenn ich sehe, dass Ihr Schwierigkeiten habt,\nhelfe ich Euch. Ihr schuldet mir dafür nichts.\nKeiner meiner Freunde schuldet mir etwas.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アイビー\nIhr... vertraut den Leuten. Einfach so.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アイビー\nIhr seid wirklich so naiv.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nDafür bekenne ich mich schuldig. Doch Naivität\nbringt auch viele Vorteile mit sich.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アイビー\nIch schätze... Ich könnte mich davon inspirieren\nlassen.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08アイビー\nNun gut. Ich werde Euch vertrauen.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cアルフレッド\nOooh, Prinzessin Ivy! Das ist großartig!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08アイビー\nIch bin offen gesagt froh, dass ich jetzt mehr\nLeute habe, denen ich vertrauen kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08アイビー\nWenn ich dereinst Königin bin, wird es\nberuhigend sein zu wissen, dass zumindest\neiner meiner Gleichen vertrauenswürdig ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08アイビー\nDanke, Prinz Alfred.\x0E\x04\x00\x00
