MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マルス\x021\n\x0E\x03\x02\x08\x06マルス\nDer letzte Kampf steht an. Wenn Ihr bereit seid,\nbewegen wir das Somniel selbst zum Portal.\x0E\x04\x02\x00
MID_OP2_#030	\x0E\x03\x02\x0A\x08リュール\nUnser Versprechen, Elyos gemeinsam wieder-\naufzubauen, unser Plan, die Welt zu bereisen...\nNichts davon ist möglich?\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x08\x06マルス\nEs tut mir so leid, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP2_#032	\x0E\x03\x02\x0A\x08リュール\nIhr müsst Euch nicht entschuldigen.\x0E\x04\x02\x00
MID_OP2_#033	Ich habe Euch um viele Versprechen gebeten...\nZu viele.\x0E\x04\x02\x00
MID_OP2_#034	Aber als ich mir eine Zukunft mit Euch an\nmeiner Seite ausmalte... war ich glücklich.\x0E\x04\x00\x00
MID_OP2_#035	\x0E\x03\x02\x08\x06マルス\nEs gibt ein Versprechen, das ich immer noch\nhalten kann.\x0E\x04\x02\x00
MID_OP2_#036	In Lythos, an dem Tag, als Ihr erwacht seid...\nWas sagte ich, als Ihr mich beschworen hattet?\x0E\x04\x02\x00
MID_OP2_#037	„Ich bin Euer Verbündeter bis zum Schluss“.\x0E\x04\x00\x00
MID_OP2_#038	\x0E\x03\x02\x0A\x08リュール\nIch erinnere mich.\x0E\x04\x00\x00
MID_OP2_#039	\x0E\x03\x02\x08\x06マルス\nDieses Versprechen werde ich niemals brechen.\nBis zum Ende des Krieges – und meinem\neigenen – werde ich bei Euch bleiben.\x0E\x04\x00\x00
MID_OP2_#040	\x0E\x03\x02\x0A\x08リュール\nIhr seid so gütig, Marth. Das wart Ihr von\nAnfang an.\x0E\x04\x00\x00
MID_OP2_#041	\x0E\x03\x02\x08\x06マルス\nIhr ebenfalls. Deshalb sind wir so weit\ngekommen.\x0E\x04\x02\x00
MID_OP2_#042	Mehr noch als Eure Stärke ist es Eure Fürsorge\nfür andere, die uns alle so weit gebracht hat.\x0E\x04\x00\x00
MID_OP2_#043	\x0E\x03\x02\x0A\x08リュール\nDanke.\x0E\x04\x00\x00
MID_OP2_#044	\x0E\x03\x02\x08\x06マルス\nNun gut, seid gewappnet. Bald erreichen wir\ndas Portal.\x0E\x04\x00\x00
MID_OP2_#045	\x0E\x03\x02\x0A\x08リュール\nIch bin bereit.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0E\x08ヴェイル\x024\n\x0E\x03\x02\x0A\x08リュール\nDas ist also das Portal zu anderen Welten...\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x0A\x08ヴェイル\nEs ist schön, aber... sehr kalt.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x00\x0E\x08ソンブル\x021\n\x0E\x03\x02\x0A\x08ソンブル\nIhr beiden. Hier.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x0A\x08リュール\nSombron!\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x0A\x08ヴェイル\nPapa...\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x02\x0A\x08ソンブル\nIch hatte nicht erwartet, dass ihr überleben\nwürdet, geschweige denn dass ihr zu mir\ngelangen würdet!\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x02\x0A\x08リュール\nWir sind gekommen, um Euch daran zu hindern,\nElyos zu zerstören.\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x02\x0A\x08ソンブル\nIch bin fertig mit eurer wertlosen Welt. Kehrt\ndorthin zurück und schließt das Portal. Lebt\ndort in Frieden.\x0E\x04\x02\x00
MID_OP3_#009	Ihr bleibt in eurer Welt und ich mache mich auf\nden Weg zu den anderen Welten. Das sollte\nbeide Seiten zufriedenstellen.\x0E\x04\x00\x00
MID_OP3_#010	\x0E\x03\x02\x0A\x08リュール\nIhr werdet zurückkehren und Elyos erneut\nangreifen. Wir werden Euch niemals glauben,\ndass Ihr das nicht tut!\x0E\x04\x02\x00
MID_OP3_#011	Und Ihr habt zu viel Leid und Verlust zu\nverantworten, um einfach gehen zu dürfen.\x0E\x04\x02\x00
MID_OP3_#012	Wir werden Euch hier und jetzt bezwingen und\nverhindern, dass Ihr in andere Welten einfallt.\x0E\x04\x00\x00
MID_OP3_#013	\x0E\x03\x02\x0A\x08ソンブル\nHmpf. In andere Welten einfallen... Denkst du\netwa, das wäre alles, was ich mir wünsche?\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x0A\x08リュール\nLiege ich etwa falsch?\x0E\x04\x00\x00
MID_OP3_#015	\x0E\x03\x02\x0A\x08ソンブル\nEine Invasion ist nur Mittel zum Zweck. Was ich\nwill, ist eine Wiedervereinigung.\x0E\x04\x02\x00
MID_OP3_#016	Eine Wiedervereinigung mit Emblem Null.\x0E\x04\x00\x00
MID_OP3_#017	\x0E\x03\x02\x0A\x08リュール\nEmblem Null?\x0E\x04\x00\x00
MID_OP3_#018	\x0E\x03\x00\x0C\x06マルス\x023\n\x0E\x03\x02\x08\x06マルス\nDavon habe ich noch nie gehört.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x0A\x08ソンブル\nNatürlich nicht. Dieses Emblem stammt nicht\naus deiner Welt.\x0E\x04\x02\x00
MID_OP3_#020	Und ich übrigens auch nicht.\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x02\x0A\x08リュール\nWas meint Ihr damit?\x0E\x04\x00\x00
MID_OP3_#022	\x0E\x03\x02\x0A\x08ソンブル\nJenseits dieses Portals gibt es unendlich viele\nWelten. Eine davon war meine Heimat.\x0E\x04\x02\x00
MID_OP3_#023	Sie hatte ihre eigenen Emblem-Ringe, und es\nkam zu einem Krieg um die Kontrolle über sie.\x0E\x04\x02\x00
MID_OP3_#024	Wir haben verloren. Der Feind nutzte die Macht\nder Ringe, um meine Verwandten zu töten.\x0E\x04\x02\x00
MID_OP3_#025	Alle von ihnen. Doch ich war noch sehr jung.\nUnsere Feinde gewährten nur mir die Gnade\ndes Exils.\x0E\x04\x00\x00
MID_OP3_#026	\x0E\x03\x02\x08\x06マルス\nIhr meint... sie schickten Euch nach Elyos.\x0E\x04\x00\x00
MID_OP3_#027	\x0E\x03\x02\x0A\x08ソンブル\nEine friedliche Welt, die von göttlichen Drachen\nregiert wurde. Dort sollte ich ein beschauliches\nLeben führen.\x0E\x04\x02\x00
MID_OP3_#028	Doch ich brachte etwas mit, wovon sie nichts\nwussten. Einen einzelnen Emblem-Ring.\x0E\x04\x00\x00
MID_OP3_#029	\x0E\x03\x02\x0A\x08リュール\nEmblem Null.\x0E\x04\x00\x00
MID_OP3_#030	\x0E\x03\x02\x0A\x08ソンブル\nIn meiner Welt kannte man es als „Emblem des\nUrsprungs“. Es hatte meine Macht und war\nnicht in der Lage zu sprechen.\x0E\x04\x02\x00
MID_OP3_#031	Der Legende nach kämpfte dieses Emblem\nohne fremde Hilfe. So viel Ehrgeiz – und keine\nVerbündeten.\x0E\x04\x02\x00
MID_OP3_#032	Diese Geschichte zeigte mir in meiner völligen\nAbgeschiedenheit einen Weg nach vorne.\x0E\x04\x02\x00
MID_OP3_#033	Ich war gefangen in dieser Welt ohne Freunde\noder Verwandte. Nur jenes Emblem spendete\nmir Trost.\x0E\x04\x00\x00
MID_OP3_#034	\x0E\x03\x02\x08\x06マルス\nWer auch immer das war, muss sehr mächtig\ngewesen sein.\x0E\x04\x02\x00
MID_OP3_#035	Ein Emblem ist für gewöhnlich nicht in der\nLage, die Reise zwischen Welten zu überleben.\x0E\x04\x02\x00
MID_OP3_#036	Seine Form in einer neuen Welt beizubehalten,\nund sei es nur für wenige Augenblicke... Von\nsolch einer Macht habe ich noch nie gehört.\x0E\x04\x00\x00
MID_OP3_#037	\x0E\x03\x02\x0A\x08リュール\nUnd jetzt wollt Ihr eine Wiedervereinigung.\nDieses Emblem ist also fort.\x0E\x04\x00\x00
MID_OP3_#038	\x0E\x03\x02\x0A\x08ソンブル\nGenau – und alles wegen der Dorfbewohner, die\nmich einige Jahre nach meiner Ankunft fanden.\x0E\x04\x02\x00
MID_OP3_#039	Sie hielten mich für ein Findelkind. Sie hatten\nMitleid mit mir – meine ersten Bezugspersonen\nin deiner Welt.\x0E\x04\x02\x00
MID_OP3_#040	Kurz darauf verließ mich das Emblem und ließ\nnur den Ring zurück.\x0E\x04\x02\x00
MID_OP3_#041	Und warum? Um eine Bindung zu den Bewoh-\nnern dieser Welt einzugehen. Ich verzweifelte,\nund dann...\x0E\x04\x02\x00
MID_OP3_#042	Dann legte ich ihr Dorf in Schutt und Asche.\x0E\x04\x00\x00
MID_OP3_#043	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP3_#044	\x0E\x03\x02\x0A\x08ソンブル\nIch schwor mir, alle Bindungen zu lösen, um\nmeine Ziele zu verfolgen. So, wie mein Emblem\nes getan hatte.\x0E\x04\x02\x00
MID_OP3_#045	Ich kämpfte allein, vertraute niemandem und\nbereitete mich auf meine Rückkehr in meine\nWelt vor. Um Rache zu üben.\x0E\x04\x02\x00
MID_OP3_#046	Ich brauchte Erfüllungsgehilfen für meinen\nPlan – und Land. Ich verbrachte Jahre damit,\nbeides anzuhäufen. Dann griff ich an.\x0E\x04\x00\x00
MID_OP3_#047	\x0E\x03\x02\x0A\x08リュール\nDer Krieg vor tausend Jahren... Darum ging es\nalso?\x0E\x04\x00\x00
MID_OP3_#048	\x0E\x03\x02\x0A\x08ヴェイル\nAber Papa, Ihr wart auf dieser Welt nicht allein.\x0E\x04\x02\x00
MID_OP3_#049	Mama hat Euch sehr geliebt. Eure Anhänger,\nEure Getreuen, meine Geschwister...\x0E\x04\x02\x00
MID_OP3_#050	Zephia, Griss, Marni, Mauvier... Mein Bruder und\nich! Alles, was wir taten, taten wir für Euch!\x0E\x04\x00\x00
MID_OP3_#050_F	Zephia, Griss, Marni, Mauvier... Meine Schwester\nund ich! Alles, was wir taten, taten wir für Euch!\x0E\x04\x00\x00
MID_OP3_#051	\x0E\x03\x02\x0A\x08ソンブル\nWie ich bereits sagte – Erfüllungsgehilfen, die\neinzig und allein nach meinen Befehlen\ngehandelt haben.\x0E\x04\x02\x00
MID_OP3_#052	Mit dem einzigen Zweck, benutzt und entsorgt\nzu werden. Ihr Tod hat keinerlei Bedeutung.\x0E\x04\x00\x00
MID_OP3_#053	\x0E\x03\x02\x0A\x08ヴェイル\nDeshalb habt Ihr sie alle getötet... Aber was\nist mit uns? Wolltet Ihr, dass wir sterben?\x0E\x04\x00\x00
MID_OP3_#054	\x0E\x03\x02\x0A\x08ソンブル\nIhr wart für mich genau wie die anderen.\x0E\x04\x00\x00
MID_OP3_#055	\x0E\x03\x02\x0A\x08ヴェイル\nWie... grausam.\x0E\x04\x00\x00
MID_OP3_#056	\x0E\x03\x02\x0A\x08リュール\nIhr müsst Euch irren, was Euer Emblem angeht.\nEs hat Euch nicht im Stich gelassen.\x0E\x04\x00\x00
MID_OP3_#057	\x0E\x03\x02\x0A\x08ソンブル\nWas?\x0E\x04\x00\x00
MID_OP3_#058	\x0E\x03\x02\x0A\x08リュール\nEin einsamer Krieger wie dieses Emblem weiß\ngenau, wie schwer es ist, allein zu sein.\x0E\x04\x02\x00
MID_OP3_#059	Es wäre bei Euch geblieben, um Euch diese\nEinsamkeit im Exil zu ersparen.\x0E\x04\x02\x00
MID_OP3_#060	Bis Ihr nicht mehr allein wart und neue Leute in\nEurem Leben hattet. Bis es Euch wieder gut\nging.\x0E\x04\x02\x00
MID_OP3_#061	Glaubt Ihr nicht – mehr als jeder andere – dass\nein wahrer Freund wie dieser, sich für Euch\njene Bindungen gewünscht hätte?\x0E\x04\x00\x00
MID_OP3_#062	\x0E\x03\x02\x0A\x08ソンブル\nDu weißt nichts über mein Emblem – rein gar\nnichts.\x0E\x04\x00\x00
MID_OP3_#063	\x0E\x03\x02\x0A\x08リュール\nDas stimmt. Aber wenn Euer Emblem ohne ein\nWort verschwunden ist...\x0E\x04\x02\x00
MID_OP3_#064	Dann wisst auch Ihr nicht, weshalb. Niemand\nweiß es.\x0E\x04\x00\x00
MID_OP3_#065	\x0E\x03\x02\x0A\x08ソンブル\nEin weiterer Grund für die Wiedervereinigung!\nIch werde eine Welt nach der anderen\ndurchforsten!\x0E\x04\x00\x00
MID_OP3_#066	\x0E\x03\x02\x08\x06マルス\nSombron. Das Emblem des Ursprungs existiert\nnicht mehr.\x0E\x04\x02\x00
MID_OP3_#067	Ihr könnt suchen, solange Ihr wollt – es ist\nzwecklos.\x0E\x04\x02\x00
MID_OP3_#068	Vielleicht findet Ihr den Helden selbst. Aber\nEmbleme sind nicht dieselben Wesen. Wir sind\nnicht identisch mit ihnen.\x0E\x04\x02\x00
MID_OP3_#069	Ihr werdet nicht mit Eurem Emblem wieder-\nvereint werden – nie wieder.\x0E\x04\x00\x00
MID_OP3_#070	\x0E\x03\x02\x0A\x08ソンブル\nSeid still.\x0E\x04\x00\x00
MID_OP3_#071	\x0E\x03\x02\x0A\x08リュール\nIch kann Eure Verbitterung nur erahnen. Aber\nso viele andere zu opfern...\x0E\x04\x02\x00
MID_OP3_#072	So egoistisch zu sein, die Welt zu zerstören?\nEure eigenen Kinder zu töten?! Das ist einfach\nnur falsch.\x0E\x04\x00\x00
MID_OP3_#073	\x0E\x03\x02\x0A\x08ソンブル\nSeid still, habe ich gesagt! Ihr sprecht über\nDinge, von denen ihr nichts versteht!\x0E\x04\x02\x00
MID_OP3_#074	Ohne mein Emblem wäre ich machtlos\ngestorben. Kümmerlich.\x0E\x04\x02\x00
MID_OP3_#075	Das Emblem war stark genug, allein zu\nbestehen! Im Gegensatz zu euch, die ihr euch\nzusammenkauert wie winselnde Hunde.\x0E\x04\x02\x00
MID_OP3_#076	Dieser Krieger hat mir die Bedeutung allen\nDaseins gezeigt – allein zu kämpfen und Rache\nzu nehmen!\x0E\x04\x00\x00
MID_OP3_#077	\x0E\x03\x02\x08\x06マルス\nIhr irrt Euch. Das ist unmöglich. Kein Emblem\nwill, dass eine Welt zerstört wird.\x0E\x04\x02\x00
MID_OP3_#078	Wir helfen den Leuten durch unsere Bande mit\nden Wyrmgöttern. Wir sind Kräfte des Guten!\x0E\x04\x02\x00
MID_OP3_#079	Wir würden uns niemals dafür entscheiden, dass\nunsere Macht für das Böse missbraucht wird.\x0E\x04\x00\x00
MID_OP3_#080	\x0E\x03\x02\x0A\x08ソンブル\nSchluss jetzt mit diesem Unsinn! Ich werde nicht\nzulassen, dass ihr mich aufhaltet – oder meine\nAbsichten infrage stellt!\x0E\x04\x02\x00
MID_OP3_#081	Ich habe Jahrtausende darauf hingearbeitet.\nWenn ihr mir im Weg stehen wollt, werdet ihr\nsterben.\x0E\x04\x00\x00
MID_OP3_#082	\x0E\x03\x02\x0A\x08リュール\nEs ist so weit. Macht Euch alle kampfbereit!\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x00\x06\x04ST\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0E\x08ソンブル\x024\n\x0E\x03\x02\x0A\x08ソンブル\nDu wagst es, dein Schwert gegen mich zu erheben?\nDich gegen meinen lang gehegten Wunsch zu stellen?\x0E\x04\x02\x00
MID_OP4_#002	Welch Überheblichkeit. Dafür sollst du bezahlen.\nSieh selbst, wie zerbrechlich eure Bande sind!\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x02\x08\x06マルス\nNnng... Ah!\x0E\x04\x00\x00
MID_OP4_#004	\x0E\x03\x02\x0A\x08リュール\nHm?!\x0E\x04\x00\x00
MID_OP4_#005	\x0E\x03\x02\x0A\x08ヴェイル\nWas geschieht mit ihnen?!\x0E\x04\x00\x00
MID_OP4_#006	\x0E\x03\x02\x0A\x08ソンブル\nIch versiegle das Portal zu eurer Welt. Das hätte\nich sofort tun sollen, als ihr hier aufgetaucht seid.\x0E\x04\x02\x00
MID_OP4_#007	Eure Embleme sind wohl zu schwach. Sie werden\nin den dimensionalen Verzerrungen verloren gehen.\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x02\x0A\x08リュール\nHm?\x0E\x04\x00\x00
MID_OP4_#009	\x0E\x03\x02\x08\x06マルス\nDas kann nicht...\nDas kann nicht das Ende sein, \x0E\x06\x03\x00...\x0E\x04\x02\x00
MID_OP4_#010	Wenn wir uns trennen müssen,\nerinnert Euch an alles, was wir getan haben...
MID_OP4_#011	\x0E\x03\x01\x08\x06マルス\n\x0E\x03\x02\x0A\x08リュール\nMarth!\x0E\x04\x00\x00
MID_OP4_#012	\x0E\x03\x02\x0A\x08ヴェイル\nDie Embleme...\x0E\x04\x00\x00
MID_OP4_#013	\x0E\x03\x02\x0A\x08リュール\nIch wusste, wir würden uns einst trennen müssen...\naber ich dachte, wir hätten mehr Zeit.\x0E\x04\x00\x00
MID_OP4_#014	\x0E\x03\x02\x0A\x08ソンブル\nSo viel zu euren Emblemen. Nicht mehr lange,\ndann ist das Portal für immer geschlossen.\x0E\x04\x02\x00
MID_OP4_#015	Tröstet euch. Ich werde eurer Welt\nnicht weiter schaden.\x0E\x04\x00\x00
MID_OP4_#015_2	Aber ihr werdet hier so sterben, wie ich gelebt\nhabe: qualvoll und fern der Heimat.\x0E\x04\x00\x00
MID_OP4_#016	\x0E\x03\x00\x12\x0Cアルフレッド\x023\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWir können nie wieder... heimkehren?\x0E\x04\x00\x00
MID_OP4_#017	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x00\x12\x0Cディアマンド\x024\n\x0E\x03\x02\x0E\x0Cディアマンド\nIch war von Anfang an auf den Tod vorbereitet.\nBrodia, mein Land, ich bete für dich.\x0E\x04\x00\x00
MID_OP4_#018	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x0E\x08アイビー\x023\n\x0E\x03\x02\x0A\x08アイビー\nEs scheint, als würde Elusia...\nmein wahres Ich niemals kennenlernen.\x0E\x04\x00\x00
MID_OP4_#019	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x00\x10\nミスティラ\x024\n\x0E\x03\x02\x0C\nミスティラ\nEs tut mir leid, Mutter.\x0E\x04\x00\x00
MID_OP4_#020	\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x02\x0A\x08ソンブル\nKeine Sorge. Ich habe nicht vor,\neuer Leiden unnötig in die Länge zu ziehen.\x0E\x04\x02\x00
MID_OP4_#021	Wenn ich fertig bin, bleibt in eurer Welt keine\nSpur von mir. Als wäre ich nie dort gewesen.\x0E\x04\x00\x00
MID_OP4_#022	\x0E\x03\x02\x0A\x08リュール\nIch werde Euch aufhalten.\x0E\x04\x00\x00
MID_OP4_#023	\x0E\x03\x02\x0A\x08ソンブル\nOh, wirklich?\x0E\x04\x00\x00
MID_OP4_#024	\x0E\x03\x02\x0A\x08リュール\nEs ist noch nicht vorbei. Das Portal ist offen. Wenn\nich alles gebe, kann ich die Embleme zurückrufen!\x0E\x04\x02\x00
MID_OP4_#025	Wir haben so viel erreicht. Bekämpft Ihr ihn an\nmeiner Seite? Euer Glaube verleiht mir Kraft!\x0E\x04\x00\x00
MID_OP4_#026	\x0E\x03\x00\x0E\x08ヴェイル\x023\n\x0E\x03\x02\x0A\x08ヴェイル\nJa, Bruder! Ich bin bei dir!\x0E\x04\x00\x00
MID_OP4_#026_F	\x0E\x03\x00\x0E\x08ヴェイル\x023\n\x0E\x03\x02\x0A\x08ヴェイル\nJa, Schwester! Ich bin bei dir!\x0E\x04\x00\x00
MID_OP4_#027	\x0E\x03\x02\x0A\x08リュール\nVeyle...\x0E\x04\x00\x00
MID_OP4_#028	\x0E\x03\x02\x0A\x08ヴェイル\nIch bleibe an deiner Seite. Ich kann keine Embleme\nbeschwören oder mich in einen Drachen verwandeln.\x0E\x04\x02\x00
MID_OP4_#029	Aber ich bin immer noch ein königlicher Drache!\nEs muss etwas geben, was ich tun kann.\x0E\x04\x00\x00
MID_OP4_#030	\x0E\x03\x02\x0A\x08リュール\nJa!\x0E\x04\x00\x00
MID_OP4_#031	\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWir stehen alle an Eurer Seite!\x0E\x04\x02\x00
MID_OP4_#032	Ihr habt so viel für jeden von uns getan!\nNun ist es an uns, den Gefallen zu erwidern!\x0E\x04\x00\x00
MID_OP5_Vandre1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x1C\nヴァンドレ\x0EStandBy\n\x0E\x03\x02\x0C\nヴァンドレ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche... Sollte ich hier fallen, so wisset,\ndass ich stolz bin, als Euer Ritter zu sterben!\x0E\x04\x00\x00
MID_OP5_Clan1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06クラン\x02t\n\x0E\x05\x01\x16\x06クラン\x0CStatus\n\x0E\x03\x02\x08\x06クラン\nIhr könnt es schaffen! Seit dem Tag, an dem Ihr\naufgewacht seid, wusste ich, dass Ihr die Welt\nretten würdet!\x0E\x04\x00\x00
MID_OP5_Fram1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06フラン\x02t\n\x0E\x05\x01\x18\x06フラン\x0EStandBy\n\x0E\x03\x02\x08\x06フラン\nDer Moment der Wahrheit ist gekommen! Als ein\nTeil der 33. Drachenbehüter muss ich helfen!\x0E\x04\x00\x00
MID_OP5_Alfred1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x02t\n\x0E\x05\x01\x1A\x0Cアルフレッド\nAngry\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWir haben diese Reise gemeinsam begonnen –\nlasst sie uns nun gemeinsam beenden! Möge\nunsere Welt gedeihen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche!\x0E\x04\x00\x00
MID_OP5_Etie1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nエーティエ\x02t\n\x0E\x05\x01\x18\nエーティエ\nSmile\n\x0E\x03\x02\x0C\nエーティエ\nWir sind auf der Zielgeraden! Wenn Ihr müde\nwerdet, sind wir hier, um Euch zu unterstützen!\x0E\x04\x00\x00
MID_OP5_Boucheron1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nブシュロン\x02t\n\x0E\x05\x01\x1C\nブシュロン\x0EStandBy\n\x0E\x03\x02\x0C\nブシュロン\nIch hebe mir meine Tränen für Eure Siegesrede\nauf. Unser Weg ist so klar vorgezeichnet, dass\nnicht einmal ich mich verlaufen kann!\x0E\x04\x00\x00
MID_OP5_Celine1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x02t\n\x0E\x05\x01\x16\x08セリーヌ\nAngry\n\x0E\x03\x02\x0A\x08セリーヌ\nAlle Blumen müssen blühen... Für Euch werde\nich ein sanfter Regen und ein Lichtstrahl sein!\x0E\x04\x00\x00
