MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x08\x06メリン\nDrache, Drache, Dracheeeee!\nIhr seid ein ECHTER Drache!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nAber ich muss doch schlechte Seiten an mir\nhaben, wenn die Leute mich so sehr hassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nNiemand ist perfekt. Niemand. Und die\nTatsache, dass Ihr ein Drache seid, könnt Ihr\nnicht ändern.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06メリン\nUmarmt, wer Ihr seid und was Ihr seid.\nIhr seid ein Drache, und das ist wunderbar.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ヴェイル\nWunderbar?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06メリン\nExakt. Drachen sind ungewöhnlich und\neinzigartig und wunderbar! Darauf solltet Ihr\nstolz sein!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ヴェイル\nDu bist sehr überzeugend.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ヴェイル\nWenn du daran glaubst, kann ich vielleicht auch\nversuchen, daran zu glauben.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nMerrin, vielen Dank.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\nWas?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06メリン\nWarum dankt Ihr mir denn plötzlich?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\nIhr habt mir geraten, stolz darauf zu sein, dass\nich ein Drache bin.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ヴェイル\nIch weiß noch nicht, ob ich das wirklich als\netwas Positives betrachten kann, aber...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ヴェイル\nAll das, was du gesagt hast, lässt mich hoffen,\ndass ich mich gut damit fühlen kann... eines\nTages.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nDaher vielen Dank, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nMilady Veyle...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nMerrin? Was ist los?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\nE-es ist alles gut... Ich bin einfach so glücklich,\ndass Ihr so empfindet. Da weine ich eben.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06メリン\nDiesen Moment werde ich mein ganzes Leben\nlang nicht vergessen!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ヴェイル\nSchon gut. Mach kein großes Aufhebens davon.\nHihihi... Du bist wirklich ungewöhnlich, weißt\ndu das?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nWir beide. Was sind wir beide doch für ein\nungewöhnliches Paar.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nHahaha, ja, das sind wir.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06メリン\nJetzt aber! Ich habe mich entschieden!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06メリン\nVon jetzt an werde ich Euch helfen,\nherauszufinden, was so toll daran ist, ein\nDrache zu sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06メリン\nNiemand liebt Drachen mehr als ich. Damit bin\nich die perfekte Besetzung für die Aufgabe.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nIch beschaffe Euch so viele Gründe, warum\nes total lässig ist, ein Drache zu sein!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nIch bin schon sehr gespannt. Und ich bin froh,\ndass du mir dabei hilfst.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nUnd schon habe ich einen Grund gefunden.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06メリン\nIhr seid gütig. Und alle Erfahrungen, die Ihr\nwährend Eures langen Lebens als Drache\ngemacht habt, haben Euch gütig werden lassen.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ヴェイル\nIch verstehe. Hihihi, da werde ich ja ganz rot.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06メリン\nOh, das ist erst der Anfang. Ich werde Euch\nhundert – nein, tausend Gründe liefern!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06メリン\nAlso bereitet Euch schon mal vor, Milady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ヴェイル\nGut, ich bin bereit. Weißt du, zum ersten Mal\nkönnte ich mich tatsächlich über das Leben\nfreuen.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ヴェイル\nUnd das habe ich alles dir zu verdanken, Merrin.\x0E\x04\x00\x00
