MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nIhr macht gute Fortschritte dort draußen auf\ndem Schlachtfeld. Eure Fähigkeiten haben sich\nwirklich verbessert.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nMein Bruder hat sich ganz der Hilfe anderer\nverpflichtet. Ich kann nur hoffen, so zu sein\nwie er.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06クラン\nEs fühle mich schon besser, wenn Ihr einfach\nnur in meiner Nähe seid, Lord Hector. Eure\nPräsenz ist sehr beruhigend.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nSowohl meine Rüstung als auch meine Axt sind\ndafür gedacht, meine Freunde zu beschützen.\nUnd das schließt auch dich ein, Clanne.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nIch danke Euch vielmals. Ich werde mein\nBestes geben, auch Euch zu beschützen.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nDas ist sehr beruhigend. Ich vertraue darauf,\ndass du mir den Rücken freihältst!\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06フラン\nLord Hector, solltet Ihr etwas brauchen, fragt\neinfach danach. Ich werde der Erste sein, der\nfür Euch da ist. Schneller als jeder andere!\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nIch bin dir für deine Fürsorge dankbar, aber\ndas muss kein Wettlauf werden.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06フラン\nIhr habt einen großen Bruder, ja? Unter uns\ngesagt: Große Brüder machen sich manchmal\nwirklich viel zu viele Sorgen.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nEr hat mich oft damit geplagt, aber ich denke,\ner tat es aus Fürsorge. Ich werde ihm nie\ngerecht werden können.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06フラン\nIch fühle mich immer sicher, wenn wir gemein-\nsam kämpfen. Ihr habt irgendetwas an Euch...\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nVielleicht liegt es an dieser Rüstung und meiner\nAxt. Aber wenn du dich dadurch im Kampf\nbesser fühlst, freut mich das.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nDas tue ich. Immer, wenn Ihr uns Eure Stärke\nzur Verfügung stellt, habe ich das Gefühl, dass\nmir nichts passieren kann.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nNun, ich habe meine Stärke ja nicht nur zum\nBesiegen von Gegnern aufgebaut. Ich wollte\ndamit vor allem meine Freunde beschützen.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nWie es scheint, sind wir durch ein Band\nverbunden, Mein Armring befand sich einst in\nder Obhut von Firene – in einem anderen Elyos.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nWirklich? Dann haben wir ja mehr gemeinsam,\nals ich dachte!\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIhr mögt sie ja unter Eurer Rüstung verstecken,\naber ich kann Eure Muskeln dennoch sehen.\nHm, Ihr macht mir nichts vor.\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nEigentlich versuche ich gar nicht, sie zu ver-\nbergen, aber... Ihr habt scharfe Augen, Prinz\nAlfred. Gut erkannt.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWir arbeiten ja nun schon eine ganze Weile\nzusammen, aber ich schaffe es einfach nicht,\nsolche Muskeln, wie Ihr sie habt, aufzubauen.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nHmm. Vielleicht unterscheidet sich Euer Stoff-\nwechsel von meinem? Aber ich muss sagen,\ndass Eure Muskeln bereits hervorragend sind.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch weiß Eure Worte zu schätzen, aber ich muss\nnoch weiter an ihnen arbeiten. Los, lasst uns\ntrainieren!\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nWenn Ihr darauf besteht! Ich kenne da ein paar\nÜbungen, die Euch eventuell dabei helfen\nkönnten.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nBoucheron, was ist denn passiert? Warum\nweinst du denn?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nSchnief... Oh, nein. Tut mir leid, wenn ich Euch\nerschreckt habe. Ich musste nur gerade an das\ntraurige Buch denken, das ich lese und...\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nDu sollst recht gut im Fischen sein. Ich wette,\nmit diesen Armen schaffst du es locker, wahre\nMonster an Land zu ziehen.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nIch glaube, wir sind uns in der Hinsicht eben-\nbürtig. Ich bin mir sicher, dass auch Ihr so\nrichtige Kaventsmänner fangen könnt.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nブシュロン\nIch kenne Prinz Alfred seit unserer Kindheit.\nHabt Ihr auch jemanden, den Ihr so lange kennt?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nDas habe ich. Mein bester Freund, mit dem ich\nebenfalls schon in der Kindheit befreundet war,\nhieß Eliwood.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nWir haben nicht oft über Muskeln geredet, wir\nliebten den freundschaftlichen Kampf. Ich\nwürde mich gerne noch mal mit ihm messen...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nIch weiß nicht, ob Ihr in mir schon einen engen\nFreund seht, aber ich hoffe, dass Ihr dies eines\nTagen tun werdet!\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nエーティエ\nIch bin auch eine Freundin des Trainings, daher\nwecken Eure Muskeln mein Interesse. Hättet\nIhr Zeit für einen Plausch?\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nSicher, gerne. Aber ich weiß nicht, was ich über\nmeine Muskeln sagen sollte...\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nDu erinnerst mich an eine Freundin. Sie\nwar eine Geistliche. Und sprühte geradezu\nvor Energie.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nエーティエ\nErinnere ich Euch an sie, weil... sie – so wie ich –\nKrafttraining machte? Wenn ja, wie sah denn ihr\nTrainingsplan aus?\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nエーティエ\nDarf ich mich heute Eurem Training anschlie-\nßen, Hector?\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nSelbstverständlich. Bedrückt dich etwas? Du\nwirkst nicht so fröhlich wie sonst.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nIch suche die ganze Zeit vergeblich einen Weg,\neine Hilfe bei den Kriegsanstrengungen zu sein.\nIch hoffe, Bewegung hilft mir beim Denken.\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nAh, verstehe. Ich laufe auch stets umher, wenn\nich frustriert bin oder Ideen brauche. Wir finden\nschon eine Lösung!\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nEure Stärke ist ein wahrer Segen, Hector.\nWollen wir uns ein wenig unterhalten?\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nSicher. Ich möchte gerne ein wenig mehr über\nEuch erfahren. Ihr seid so viel sanftmütiger als\ndie Céline der anderen Welt.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nIch suche den Frieden, und doch töte ich\nmeine Gegner. Ganz egal, wie sehr ich mich\nauch dagegen wappne, das verfolgt mich.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nLeider führt der Weg zur Erlösung manchmal\nnur über das Kämpfen. Das ist eine schwere\nLektion, die man lernen muss.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nWie ich hörte, hattet Ihr auch einen älteren\nBruder. War er so wie Prinz Alfred?\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nNun, er war nicht ganz so fixiert auf Muskeln\nwie Prinz Alfred, aber er war seinem Volk\ngenauso ergeben.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nAber ich bin sicher, Euren Bruder zeichnete\nauch noch etwas anderes aus. Er hat sich doch\nbestimmt auch sehr um Euch gesorgt.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nMag sein. Aber er hat es auch immer wieder\ngeschafft, mir Probleme zu bereiten. Dennoch\nweiß ich Euren Gedanken zu schätzen.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x06\x04ルイ\nHector! Ich habe eine Frage für Euch. Was\nkommt Euch in den Sinn, wenn Ihr zwei\nPersonen gemeinsam lachen seht?\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nHm? Was mir dann in den Sinn kommt? Ähm,\nich denke mir dann wohl, dass sie bestimmt\nSpaß haben. Warum fragst du?\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nDu starrst mich die ganze Zeit schon an...\nMöchtest du mir etwas sagen?\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x06\x04ルイ\nEntschuldigt. Ich habe nur überlegt, welche\nArt von Person sich wohl am besten an Eurer\nSeite machen würde.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x06\x04ルイ\nIch habe gehört, wie Ihr einen geschätzten\nFreund aus Kindertagen erwähntet. Würdet Ihr\nmir etwas über Eure gemeinsame Zeit erzählen?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nDu meinst bestimmt Eliwood. Wir sind gemein-\nsam gereist. Und wir haben uns über Jahre in\nÜbungskämpfen miteinander gemessen.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nAh, zuzusehen, wie zwei Freunde mit all ihrer\nKraft und all ihren Gefühlen gemeinsam und\ndoch gegeneinander antreten... Wie erhaben.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nIch weiß nicht, was du mit „erhaben“ meinst,\naber wir beide hatten damals wirklich sehr viel\nSpaß!\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06クロエ\nEuer Armring war also in dem Firene einer\nanderen Welt? Wie seltsam. Habt Ihr mich dort\njemals getroffen?\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nJa. Und diese Chloé war ganz anders. So\nzeigte sie zum Beispiel einen überaus simplen\nGeschmack, was Speisen anging.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06クロエ\nWas für ein Glückstag! Seht Euch nur all die\nwunderbaren Klöße an, die ich gekauft habe.\nSie sind mit Fischleber gefüllt. So lecker!\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nÖrps. Gibt es wirklich jemanden, der so etwas\nisst? Das Firene dieser Welt ist wirklich\nseltsam...\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06クロエ\nGlaubt Ihr, dass in der Welt irgendwann wieder\nFrieden herrschen wird, wenn wir weiter-\nkämpfen? So, wie es in meinen Märchen steht?\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nEs gibt so viel Unruhe in der Welt, da müssen\nwir einfach hoffen, dass wieder besser Zeiten\nkommen werden.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nIn schweren Zeiten musst du an deine Freunde\nglauben. Zusammen mit ihnen kannst du den\nFrieden wiederherstellen.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロエ\nDiese Aussicht gefällt mir sehr. Ich werde\nkämpfen und dabei wissen, dass meine Freunde\nfür mich da sind. Das schließt Euch mit ein.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nIhr seid also Emblem Hector. Euer Anblick allein\nsorgt schon für Selbstvertrauen.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nDanke. Passt genau auf und Ihr werdet sehen,\ndass meine Rüstung und meine Axt nicht nur\nzur Zierde da sind!\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nDiese Fähigkeit, bei der Ihr das Gewicht Eurer\nRüstung im Kampf nutzt, ist unglaublich. Wir\nsollten uns mal in einem Übungskampf messen.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nAuch Eure Fähigkeiten im Kampf sind beein-\ndruckend. Ihr erinnert mich an einen sehr guten\nFreund.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nAuch nach so vielen Schlachten bewegt mich\nimmer noch die Frage... ob ich meinem ver-\nehrten Vater ein wenig ähnlicher geworden bin.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nDas seid Ihr. Ich sehe Euch in der Schlacht stets\nvoranstürmen und ich weiß, dass aus Euch\neinmal ein sehr guter König werden wird.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nIch weiß Eure Worte zu schätzen. Mein Wunsch\nist es, meine Macht zum Wohle meines König-\nreichs einzusetzen, damit es gedeihen kann.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nEure Einstellung weckt in mir den Wunsch, Euch\nzu folgen. Ich bewundere Eure Ideale!\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08アンバー\nIch weiß, Ihr seid sehr verwegen und so, Hector,\naber Eure Axt schlägt wirklich alles! Die ist\ndoch ganz bestimmt legendär!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nOho, gut beobachtet! Diese Axt hat wirklich\neine eigene Geschichte, doch diese beinhaltet\nauch einen dunklen Teil.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nDu hast ein Händchen für Tiere. Bei mir ist es\neher das Gegenteil. Einmal ist ein geflügeltes\nPferd auf mich drauf gefallen!\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08アンバー\nGeflügeltes Pferd? Oh, ein Pegasus! Die sind\ntoll. Allerdings wurde ich schon ein paar Mal\nvon ihnen getreten.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nDu hast dich schon mal in einem Turnier\nbewiesen, nicht wahr? Ich wette, da standen\ndir viele starke Kämpfer gegenüber!\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nJa, das habe ich. Ich habe mich wie wild auf den\nzweiten Platz gekämpft – und wurde so der\nGetreue von Prinz Diamant!\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08アンバー\nDa Ihr das Thema angesprochen habt... Kann\nes sein, dass Ihr Euch auch gerne in Turnieren\nbeweist?\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nAbsolut! In meiner Welt konnte man seine freie\nZeit damit verbringen, in Arenen nach Herzens-\nlust zu kämpfen. Das waren schöne Zeiten!\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nEs ist eine Ehre, an Eurer Seite kämpfen zu\ndürfen, Sir Hector. Ich werde mich bemühen,\nEuch nicht zu enttäuschen.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nDu musst nicht so angespannt sein. Wir sind\ndoch Verbündete. Sei ein bisschen lockerer.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nIch habe gerade eine Schreibblockade. Würdet\nIhr mir wohl etwas von Eurer Welt erzählen –\nzur Inspiration?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nSicher. Mal sehen... Ich könnte dir erzählen, wie\nmein Freund Eliwood und ich uns zum ersten\nMal in einem Übungskampf gegenüberstanden!\x0E\x04\x00\x00
