MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nVerzeiht mir, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche... Wenn es nicht stört,\nwürde ich gerne etwas mit Euch besprechen.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06メリン\nIn der Hoffnung, dass sie Euch beschützen\nmögen, \x0E\x0A\x00@den einzigen und wahren Wyrmgott@die einzige und wahre Wyrmgöttin.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06メリン\nAber es war nie meine Absicht, dass Ihr Euch\nfühlt wie eine Art Forschungsexemplar.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nDas weiß ich. Es ist schon gut.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06メリン\nNein, ist es nicht. Denn genau dieses Gefühl\nhabe ich Euch vermittelt, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nVergesst das Buch. Ich werde es nicht\nschreiben. Vergebt mir, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nMerrin, bitte! Es ist wirklich alles in Ordnung!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x0A\x08リュール\nMerrin, hör mal. Es tut mir leid, dass ich neulich\nso ausgerastet bin.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\n„Ausgerastet“ ist etwas übertrieben...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nIch hatte nicht verstanden, dass du mich nur\ndeshalb so genau beobachtest, weil ich dir so\nviel bedeute.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nNein... Ich war im Unrecht, nicht Ihr.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nIch hatte überhaupt nicht bedacht, wie meine\nHandlungen auf Euch gewirkt haben müssen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nWeißt du... Da wir das jetzt geklärt haben,\nwürde ich dir gerne helfen.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nEs gibt nicht viele Bücher über Wyrmgötter, und\nes hat mich noch nie jemand zu meinem Leben\nbefragt.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nDu möchtest diese Lücke füllen und den Leuten\ndie Möglichkeit geben, mehr über mich zu erfah-\nren. Das ist eine gute Idee.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nWas ich sagen will, ist... bitte, beobachte mich\nnach Herzenslust.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06メリン\nWirklich? Meint Ihr das ernst?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nIch meine es ernst, ja.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06メリン\nDanke, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Das weiß ich zu schätzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06メリン\nWenn ich Euch beobachte, vergesse ich meinen\nStress und meine Sorgen. Alles Schlechte\nschmilzt dahin.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nUnd ich bin... von Freude erfüllt. Diese Freude\nwill ich mit anderen teilen, wisst Ihr?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nHahaha, du bist wirklich einzigartig, Merrin.\nVielleicht sollte ich ein Buch über dich\nschreiben.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06メリン\nIhr schmeichelt mir, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nIch habe eine Bitte. Hör auf damit, mich als\n„mehr als ein Mensch“ anzusehen, ja?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nIch mag \x0E\x0A\x00X(der einzige Wyrmgott,die einzige Wyrmgöttin sein, aber...\ndu bist auch einzigartig.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nHahaha. Ein valider Punkt. Das macht uns dann\nsozusagen beide zu seltenen Viechern, hm?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nExakt.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nAußerdem möchte ich \x0E\x0A\x00\x10\x06der\x06die Erste sein, \x0E\x0A\x00\x10\x06der\x06die dein\nneues Buch liest.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06メリン\nJa sicher. Wer könnte die Fakten denn besser\nüberprüfen?\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich habe den Entwurf meines Buches\nfertig. Würdet Ihr ihn Euch durchlesen?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nSehr gerne. Dann lass mal sehen...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\n„\x0E\x0A\x008\x18Der Wyrmgott\x1CDie Wyrmgöttin \x0E\x06\x03\x00, erwachte in\neinem fliegenden Schloss aus einem Schlaf,\nder 1000 Jahre gewährt hatte.“\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\n„\x0E\x0A\x00\x10\x06Der\x06Die bescheidene und gütige \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin\nkämpfte für den Schutz des Volkes, das Herz\nerfüllt von Tapferkeit.“\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nIch glaube, ich werde rot...\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06メリン\nDas ist die Wahrheit.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\n„\x0E\x0A\x008\x18Der Wyrmgott\x1CDie Wyrmgöttin kann Tausende von Jahren\nleben und verfügt über Kräfte, die Menschen\nnicht gegeben sind.“\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\n„Doch in Habitat und Verhalten unterscheidet\nsich der Drache nicht von gewöhnlichen\nMenschen.“\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\n„Und es muss festgestellt werden, dass\n\x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin für die Autorin das wertvollste\nWesen von allen darstellt.“\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nMerrin, das ist ja...\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x08\x06メリン\nTut mir leid. Ich musste das einfach schreiben.\nAber keine Sorge. Aus der finalen Version wird\nes gestrichen. Es ist nur...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x08\x06メリン\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, ich wollte, dass Ihr wisst, wie wichtig\nIhr mir seid.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06メリン\nUnd ich möchte, dass die Leute wissen, dass es\neinen Menschen gab, der viel für Euch\nempfunden hat.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nIch möchte, dass du die Stelle drin lässt.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06メリン\nIch soll sie nicht...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nUnd bitte ergänze sie hiermit: „Die Autorin des\nBuches war \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin ebenso wichtig.“\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\n„Und zwar so sehr, dass \x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin ihr den\nPaktring überreichte und schwor, stets an ihrer\nSeite zu sein.“\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x08\x06メリン\nG-\x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Etwas so Wertvolles dürft Ihr mir\nnicht geben!\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nWenn ich dir so wertvoll bin, musst du ihn\nannehmen.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nDein Buch muss die Wahrheit erzählen – dass\n\x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin einen Menschen namens Merrin\nsehr schätzte.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06メリン\nWenn das Eure Gefühle sind, habt Dank,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nWenn dieses unglaubliche Buch fertig ist,\nwerden die Leute hoffentlich erkennen, dass ich\nnicht viel anders bin als sie.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06メリン\nJa, aber da gibt es ein Problem. Ich kann es\nnoch nicht beenden.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nWarum nicht?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06メリン\nIch muss über unser gemeinsames Leben\nschreiben – wie ein Mensch und ein Drache\nfüreinander sorgten.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nDas hast du recht, Merrin. Und ich kann es\nkaum erwarten, diesen Teil der Geschichte mit\ndir zusammen zu schreiben.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x08\x06メリン\nJa!\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x08\x06メリン\nIch verehre Euch, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Die Geschichten,\ndie wir gemeinsam erschaffen, werden\nJahrtausende überdauern.\x0E\x04\x00\x00
