MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nIst das etwa... Nein, das kann nicht sein.\nUnd doch, diese Ähnlichkeit...\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nIch habe nichts Geringeres von dir erwartet,\n\x0E\x06\x03\x00. Du hast meiner Klinge Yato ein\nordentliches Training geboten.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nWas für ein wunderbares Schwert.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x08\x06カムイ\nEine heilige Klinge, geschaffen, um der Welt\nFrieden zu bringen.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x08\x06カムイ\nAls ich Yato das erste Mal sah, flog es aus\nseinem Versteck direkt in meine Hände. Es hatte\nmich auserwählt.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x08\x06カムイ\nEs geschah an genau dem Tag, an dem meine\nMutter starb, als sie mich beschützte...\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08リュール\nOh, du... hast deine Mutter auch verloren?\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x08\x06カムイ\nEs wäre ein Leichtes gewesen, mich in diesem\nSchmerz zu verlieren. Allein hätte ich mich nicht\ndavon erholen können.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x08\x06カムイ\nZum Glück hatte ich Freunde, die mir zur Seite\nstanden und mir halfen, meinen Weg nach\nHause zu finden.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x08\x06カムイ\nUnd wie meine Freunde war auch Yato stets an\nmeiner Seite, während jedes Schrittes meiner\nReise.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0A\x08リュール\nIch verstehe deine Gefühle... nur zu gut.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x08\x06カムイ\nIn den kommenden Tagen wirst du Entschei-\ndungen treffen müssen, die dir enormes Leid\nbereiten könnten.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x08\x06カムイ\nDoch ganz gleich, welchen Schmerz du fühlst –\nich werde bei dir sein und dir helfen, wieder den\nWeg nach Hause zu finden.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nIch werde daran denken, selbst im dunkelsten\naller Augenblicke, dass ich nicht allein bin.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x08\x06カムイ\nDann wird alles gut sein.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08リュール\nDanke, Corrin, dass du mich auf dem Pfad\nbegleitest, den ich gewählt habe.\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
