MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06メリン\nYunaka, hast du einen Moment Zeit?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ユナカ\nWenn das alles war, sind wir hier fertig.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06メリン\nKomm schon, Yunaka. Du hast natürlich recht.\nIch wollte doch nur ein bisschen... Spaß haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06メリン\nAh... So, das sollte reichen.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\nHey. Was machst du denn da gerade?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nOh, hallo. Ich kümmere mich nur um die\nWaffenpflege.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ユナカ\nAh! Das, äh... das ist ja ein sehr interessanter\nSäbel, den du da hast!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nDen habe ich aus einem Trödelladen.\nSieht lässig aus, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ユナカ\nDie Untertreibung des Jahrhunderts! Diese\nWaffe ist ein Meisterstück. Ein wahres\nKunstwerk!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ユナカ\nSieh nur den Schwung! So anmutig, so\ngleichmäßig. Das ist echte solmer\nHandwerkskunst!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\nSieh nur die Schneide! Nur solmer Klingen\nkönnen majestätische Geschichte mit dermaßen\ntödlicher Eleganz kombinieren!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\nHm. Ist mir gar nicht aufgefallen. Sag mal, du\nbist ja plötzlich total aufgekratzt.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nWenn er dir so gefällt, gebe ich ihn dir vielleicht.\nIch selbst benutze ihn ja kaum.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ユナカ\nErnsthaft jetzt? Was für ein unglaubliches\nGeschenk. Ich nehme ihn dir gerne ab.\nHer damit!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06メリン\nMomentchen noch. Da gäbe es nur eine\nKleinigkeit...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nIch gebe ihn dir, wenn du mir zugestehst,\nin Zukunft ein paar Monologe während unserer\nÜbungskämpfe zu halten.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\nWas? Komm schon, was hat das denn jetzt\ndamit zu tun?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ユナカ\nEgal, wie sehr ich den Säbel haben will, er ist es\nnicht wert, dass ich dich im Kampf dummes\nZeug plappern lasse!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nZu schade. Dann werde ich diese majestätische\nKlinge von tödlicher Eleganz eben doch selbst\nführen müssen.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nNgh... Schön. Dann vergiss es halt!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nSchau sich das einer an. Hübsch und sauber.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\nWas machst du denn da?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nOh, nichts weiter. Ich poliere nur diese\nDrachenfigur. Schön, oder?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nOh MANN! Da hast du völlig recht. Schau nur!\nDrache, Drache, Drache! Ich LIEBE Drachen!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nZu welcher Art gehört er? Was frisst er gerne?\nEr ist so süß und so lässig.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ユナカ\nDa ist aber jemand plötzlich aufgekratzt.\nWenn er dir so gut gefällt, könnte ich mich\nüberreden lassen, ihn herzugeben.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06メリン\nWirklich? Ich will ihn, ich will ihn unbedingt!\nBitte, ich flehe dich an!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ユナカ\nUnter einer Bedingung: Kein dummes Geplapper\nmehr im Kampf. Noch nicht mal beim Training.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nOh. Ich verstehe. So willst du also spielen, hm?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ユナカ\nKommt dir die Taktik bekannt vor?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06メリン\nWie wär's, wenn wir diesen sinnlosen und\nhöchst lästigen Streit beilegen würden?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nIch teste meine Monologe nie wieder an dir.\nNur bitte, gib mir den Drachen!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nGerne. Solange du von diesem lächerlichen\nBenehmen absiehst, bin ich zufrieden.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ユナカ\nDa wir das jetzt geklärt haben... Könnten wir\nnoch mal auf das Thema „Unglaublicher Säbel“\nzurückkommen?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06メリン\nKlar. Tauschen wir. Meine Waffe gegen deine\nFigur.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ユナカ\nGeht klar!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nGeht klar. Hier, für dich.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ユナカ\nIiiiiik! Jaaa! Und hier ist deine Drachenfigur –\npass gut auf sie auf!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nOooh! Hallo, mein süßer kleiner Drache!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ユナカ\nAaah, die Farbe ist fantastisch. Und der Geruch\nerst... Frisch geölt. So perfekt, dass ich heulen\nkönnte!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06メリン\nWo hast du den her? Oh, dein Geschmack ist\nwunderbar. Wie teuer war er? Details, ich will\ndie Details!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ユナカ\nWo hast du den her? Von wem hast du ihn\ngekauft? Wie viel hat er gekostet? Erzähl mir\nalles, sofort!!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06メリン\nIch hab zuerst gefragt. Spuck es aus, bitte.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ユナカ\nIch habe kein Wort verstanden. Du redest viel\nzu schnell. Antworte du zuerst!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06メリン\nDas ist nicht fair!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06ユナカ\nWas? Warum nicht?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06メリン\nHahaha.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06メリン\nAlso, sind wir jetzt... Freundinnen?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06ユナカ\nHahaha, jetzt, wo du es sagst...\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06ユナカ\nWir haben eine Menge gemeinsam, nicht wahr?\nNicht jeder wird über solches Zeug so\ndermaßen aufgekratzt.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06メリン\nHa! Wie wahr! Ja, wir beide werden gut\nmiteinander klarkommen.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06メリン\nIch beantworte gerne Fragen, aber... Könntest\ndu sie wiederholen? Du hast so schnell geredet.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x08\x06ユナカ\nGut, noch mal von vorn. Als Erstes will ich\nwissen, wo genau du ihn gekauft hast...\x0E\x04\x00\x00
