MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nWeshalb... starrst... du mich so an?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x06\x04ルイ\nGuten Tag, Zelkov. Hättet Ihr Lust auf eine\nTasse Tee mit mir?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nLouis. So langsam habe ich das Gefühl, dass\ndu... versuchst... mir nachzuspionieren.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ルイ\nHahaha!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nNun gut. Ich will Euch meine Absichten\noffenlegen.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nEndlich. Ich... bitte... darum.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ルイ\nIch würde mich gerne um Euch kümmern,\nZelkov.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nBitte was?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ルイ\nIhr müsst wissen, ich bin der älteste von vier\nBrüdern.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ルイ\nMeine Mutter starb sehr früh, und so wuchs ich\nin einem ausschließlich männlichen und äußerst\nturbulenten Haushalt auf.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ルイ\nDa mein Vater arbeiten musste, um uns zu\nversorgen, fiel mir die Aufgabe zu, mich um\nmeine jüngeren Brüder zu kümmern.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nSeitdem verspüre ich bis zum heutigen Tag\nden Drang, mich gut um andere zu kümmern.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nUnd diesen Drang verspürst du auch bei... mir?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ルイ\nIn der Tat. Ihr wirkt auf mich wie jemand, der\ndies nötig hat.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nDaher also die unablässigen... Einladungen...\nzum Tee, nehme ich an.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ルイ\nGanz richtig. Irgendetwas an Euch erinnert mich\nwohl an meine jüngeren Brüder.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nMach dich nicht lächerlich. Ich bin... älter...\nals du.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ルイ\nDas ist mir egal.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nNun, mir ist es wohl auch egal, solange ich nur\nweiß, dass du keine... üblen Hintergedanken...\nhattest.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nUnd das... Gefühl... sich um einen kleinen\nBruder kümmern zu wollen, ist mir bekannt.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04ルイ\nAh! Habt Ihr etwa auch Geschwister?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nVielleicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nMit deinen Bemühungen verschwendest du\njedoch deine Zeit. Ich habe kein... Interesse...\ndaran, dass sich jemand um mich kümmert.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x06\x04ルイ\nIch hatte befürchtet, Ihr würdet so etwas sagen.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x06\x04ルイ\nBitte entschuldigt, dass ich Eure Gefühle in\ndieser Angelegenheit nicht ausreichend\nbeachtet habe.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nWenn dir schon danach ist, dich bei mir zu\nentschuldigen... Ich würde eine entspannende\nTasse Tee als Entschuldigung... akzeptieren.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08ゼルコバ\nDu besitzt Teeblätter, die mir zu einem\nerholsamen Schlaf... verhelfen könnten...\nrichtig?\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x06\x04ルイ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x06\x04ルイ\nRührt Euch nicht von der Stelle, Zelkov! Ich\nwerde den Tee unverzüglich zubereiten!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x06\x04ルイ\nWo geht Ihr hin, Zelkov?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nHeute habe ich leider keine Zeit für Tee. Ich\nhabe zu... arbeiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ルイ\nDas ist bedauerlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ルイ\nGibt es in dem Falle vielleicht irgendwelche\nAufgaben, die ich für Euch übernehmen könnte?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\nWie wäre es, wenn ich bei Euch aufräume,\nwährend Ihr Eure Arbeit erledigt?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nIch habe dir doch bereits gesagt, Louis, dass\nich nicht... möchte... dass man sich um mich\nkümmert.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ルイ\nHa, ich bitte um Vergebung. Ich verspüre\neinfach diesen schwer zu unterdrückenden\nDrang, Euch unter die Arme greifen zu wollen.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nIch vermute, dieser Instinkt ist darauf\nzurückzuführen, dass ihr meinen Brüdern\nso ähnelt.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nIch hatte auch einmal einen jüngeren Bruder.\nVor langer Zeit.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nNein, nicht nur einen Bruder... Ich hatte\neine Familie.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nAber sie wurden alle getötet.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ルイ\nIhr habt mein Beileid.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nIch weiß nicht... exakt... warum, aber wenn ich\nmit dir Tee trinke, muss ich an meine Familie\ndenken.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nEs schmerzt, daran erinnert zu werden, dass ich\nnie wieder zurückbekommen kann, was ich einst\nverloren habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nUnd dennoch ist... der Tee... Nun, er ist wirklich\ngut.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ルイ\nAh, Zelkov...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nHmpf. Wie... töricht... von mir.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nBitte... vergiss einfach... was ich gesagt habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ルイ\nIch denke, das werde ich nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ルイ\nVielmehr werde ich auf Eure Rückkehr warten\nmit einer Kanne voll frisch gebrühtem Tee.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ルイ\nMöge Euch dies ein Anreiz sein, bald\nzurückzukehren.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nHm-hm, du bist wirklich... seltsam.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nAber wenn du darauf... bestehst... auf mich zu\nwarten... Dann sollte ich des guten Tees wegen\nwohl doch erscheinen.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ルイ\nIch werde Euch beim Wort nehmen. Und nun ab\nmit Euch!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nAuf bald.\x0E\x04\x00\x00
