MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nMerrin! Du kommst genau zur rechten Zeit.\nBitte, nimm Platz.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nOh.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06メリン\nDie Viecherhüterin, hm?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ボネ\nJa. Weil dir die Kreaturen der Wildnis so am\nHerzen liegen.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ボネ\nEine etwas alberne Bezeichnung, das will ich\nzugeben...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06メリン\nAlbern? Das ist der beste Spitzname, den ich\njemals hatte! Die Viecherhüterin. Das klingt\nrichtig heldenhaft.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ボネ\nAha. Ja.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06メリン\nEs tut mir leid, Bunet. Ich wusste ja nicht, dass\ndu mein Freund werden willst.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nOffenbar habe ich mich in dir getäuscht.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ボネ\nDu musst dich nicht entschuldigen. Ich bin es\ngewohnt, missverstanden zu werden.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nIch bin schon mein Leben lang ein Exzentriker.\nDaher kenne ich es gar nicht anders.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06メリン\nNun, ich bin auch ein offiziell zertifizierter\nSonderling, daher kenne ich das Gefühl nur\nzu gut!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06メリン\nLass uns ab jetzt Freunde sein, ja?\nWir Sonderlinge müssen schließlich\nzusammenhalten.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ボネ\nDas klingt gut. Möchtest du zur Feier des Tages\nmein neuestes Gericht kosten?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\nDu darfst ihm sogar einen Namen geben,\nwenn du möchtest.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06メリン\nWas? Ich? Du willst, dass ich den Text für deine\nSpeisekarte verfasse?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04ボネ\nJa. Deine lyrische Beschreibung das letzte Mal\nhat mir imponiert. Also suche dir aus, welchen\nNamen auch immer du magst.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06メリン\nGut. Hm, wie soll ich es nennen? Am besten\ngebe ich ihm den Namen eines seltenen Viechs...\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x06\x04ボネ\nÄhm, vielleicht lieber nicht. Das könnte die\nLeute auf falsche Gedanken bringen...\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06メリン\nAh! Das stimmt!\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x06\x04ボネ\nEs hat keine Eile. Genieße das Essen und gib\nder Inspiration Zeit, sich zu manifestieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06メリン\nMit Vergnügen!\x0E\x04\x00\x00
