MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x02\x0E\x0Cオルテンシア\nAlle hier in der Armee sind zu hübsch. Das\nist nicht in Ordnung.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nNun, je niedlicher du bist, desto mehr mögen\ndich die anderen, ist doch klar.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06アンナ\nFür dich ist das also eine Sache der Beliebtheit?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\nNatürlich. Wie dem auch sei, ich muss los.\nIch will sehen, wie sich all das auf mein\nAussehen auswirkt.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\nDanke, Lady Anna!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\nWieso machst du so ein langes Gesicht,\nPrinzessin Hortensia?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch habe all deine Schönheitsprodukte auspro-\nbiert, aber irgendetwas stimmt da nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06アンナ\nWillst du damit sagen... dass du eine unzu-\nfriedene Kundin bist?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nNein, die Produkte sind klasse... Sie machen\nmich nur eben nicht so glücklich, wie ich\ngedacht hatte.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nSei dir da mal nicht so sicher! Meine Produkte\nsind bewährt, bewundert und beliebt.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nIch habe die Produktpalette kürzlich noch etwas\nerweitert. Ich habe nun auch meine eigene\nParfümmarke im Angebot – sogar magisch.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nMagisches Parfüm? So etwas gibt es?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06アンナ\nJepp. Sein bezaubernder Duft wird deine\nNiedlichkeit auf die höchste Stufe bringen,\nganz sicher.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06アンナ\nSeine magische Potenz macht es mehr als wett,\ndass sein Duft schnell verfliegt. Das schwöre\nich!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas alles kann es?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06アンナ\nBegnüge dich nicht mit meinen Worten.\nProbier es aus!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nUuuh, das duftet ja herrlich! Lass uns mal\ntesten, was ein kleiner Spritzer bewirken kann.\nWas meinst du?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06アンナ\nWhoa! Ich glaube, wir haben das fehlende Teil\ndes Puzzles gefunden. Es wirkt besser, als ich\ndachte!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nWirklich? Ist mein Erscheinungsbild nun\nvollendet? Bin ich ganz und gar unwider-\nstehlich?!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06アンナ\nOh, absolut!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06アンナ\nWeißt du was, ich gebe dir etwas davon als\nProbe mit. Wenn es dir gefällt, komm doch\nwieder und kauf mehr. Einverstanden?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nHey, Lady Anna. Hast du eine Minute für mich?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06アンナ\nOh, Prinzessin Hortensia! Wie läuft es mit dem\nParfüm? Wirst du es kaufen?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nEigentlich habe ich mich entschieden, es nicht\nzu kaufen.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\nHuch? Zeigte es keine Wirkung?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh, nein, es war wunderbar. Es vervollständigte\nmein Aussehen. Ich rückte in den Mittelpunkt\naller Aufmerksamkeit.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nDennoch... ist das Parfüm nichts für mich.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06アンナ\nAber wieso nicht? Es schien, als wäre es dir\neine Herzensangelegenheit, beliebt zu sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch liebe Schminke und Parfüm, aber von den\nverzauberten Sachen halte ich mich lieber fern.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nMagie ist eine Abkürzung für Schummler.\nDie Leute sollen meine Niedlichkeit und meinen\nCharme lieben, nicht meine Hilfsmittel.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nOh.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06アンナ\nTut mir leid, Prinzessin Hortensia. Ich glaube,\nich habe dir die falschen Produkte angeboten.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nNein, das war zu dem Zeitpunkt genau das\nRichtige. Ich hätte andernfalls niemals erkannt,\nwie ich wirklich fühle.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nEhrlich, ich bin dir einfach nur dankbar.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06アンナ\nWhoa.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06アンナ\nDu bist für mich jetzt viel unglaublicher als\nneulich, als du das Parfüm aufgelegt hattest.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh, danke! Von nun an lasse ich allein meinen\nCharme wirken. Keine schnellen Lösungen.\nIch bin ganz ich.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06アンナ\nUnd ich werde mein Geschäft ausbauen, bis\nich die Nummer eins in der Welt des Handels\nbin!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas klingt nach einem Plan, junge Dame.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06アンナ\nWo wir gerade beim Thema sind: Möchtest\ndu dir meine nicht-magischen Schönheits-\nprodukte noch mal ansehen?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06アンナ\nOb Schönheit oder sonstiges, ich habe alle\nMittel hier, die dir bei deiner Aufgabe der\nBeliebtheit helfen werden!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\nHa ha! Leg los, du Schönrednerin!\x0E\x04\x00\x00
