MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, passt auf! Da ist ein Wolf!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nスタルーク\nDen Himmeln sei Dank, dass Euch nichts\ngeschehen ist, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nIch danke Euch, Alcryst. Ich bin ebenfalls froh,\ndass Euch nichts passiert ist. Das war ein\nriskantes Manöver.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nDas war doch nichts. Euer Leben zählt viel mehr\nals meines, daher habe ich getan, was getan\nwerden musste.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nÄh, nein. Mein Leben, Euer Leben, die Leben\nanderer – alles Leben ist gleich wichtig.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nスタルーク\nAh. Ihr habt recht, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich scheine schon\nwieder versagt zu haben.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nDie Leuchtkraft \x0E\x0A\x00\x10\x06des\x06der \x0E\x0A\x00,\x14Wyrmgottes\x14Wyrmgöttin sollte mich\naufhellen, doch stattdessen habe ich sie\nverdunkelt...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nIch entschuldige mich aufs Tiefste.\nIch sollte nun gehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08リュール\nWie bitte? Alcryst! Wartet!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08リュール\nJunge. Er ist so schnell.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0A\x08リュール\nAlcryst? Habt Ihr einen Moment Zeit für mich?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nスタルーク\nDas habe ich, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Was gibt es denn?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nWieso steht Ihr so da? Ist alles in Ordnung?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nスタルーク\nIch bereite mich darauf vor, mich zu verbeugen.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nUnd... warum?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nIch möchte auf den Augenblick vorbereitet sein,\nan dem ich mich für etwas entschuldigen muss.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nOh, du meine Güte. Dafür gibt es überhaupt\nkeinen Grund! Ich wollte mit Euch nur über den\nVorfall mit dem Wolf sprechen.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nOh? Worüber genau?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nZuerst möchte ich eines klarstellen, was uns\nbeide angeht. Ich stehe nicht über Euch. Ihr\nsteht nicht unter mir.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nWir sind einander ebenbürtig, also denkt und\nbenehmt Euch auch so. In Ordnung?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nIch wünschte, ich könnte Eurer Anordnung\nFolge leisten, aber... ich glaube einfach nicht\ndaran.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nAber... Warum ist es für Euch so schwer, das\nanzunehmen?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nEs tut mir sehr leid, Euch zu enttäuschen,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nDa ist wohl nichts zu machen. Ihr macht mir\nSorgen, aber Ihr liefert ja Ergebnisse. Also\ngeht die Dinge einfach weiter auf Eure Art an.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nスタルーク\nAuf meine Art? Seid Ihr sicher?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nIch weiß, dass ich oft die Stimmung runterziehe.\nUnd mit Komplimenten komme ich nicht gut\nzurecht.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nIch bin nicht mal annähernd so selbstbewusst\nwie mein Bruder, und bin mir sicher, dass meine\nBedenken andere frustrieren.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nスタルーク\nUnd trotz alldem seid Ihr wirklich der Meinung,\ndass ich die Dinge auf meine Art angehen soll?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nDas bin ich.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nAber ich hoffe, dass Ihr Euch eines Tages meine\nWorte zu Herzen nehmen werdet.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nスタルーク\nNun gut. Ich danke Euch für Euren Rat,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0A\x08リュール\nAlcryst! Dort ist noch ein Wolf!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nEr kommt auf Euch zu! Passt auf!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nスタルーク\nJa, ich sehe ihn.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nWarum bleibt Ihr stehen? Wir müssen uns in\nSicherheit bringen!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nIst schon gut, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich kümmere mich\ndarum.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nスタルーク\nRiechst du das, Junge? Ich habe etwas\nDörrfleisch dabei. Komm schon, friss.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nDas glaube ich nicht. Alcryst hat den Wolf\ngezähmt!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nEs ist derselbe Wolf, der Euch neulich fast\nangegriffen hätte, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nDu läufst besser zurück in die Berge. Pass auf\ndich auf, hörst du?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nWann seid Ihr beide denn Freunde geworden?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nIch kam hierher, um mit meinem Bogen zu\ntrainieren. Er kam immer wieder dazu, um\nmich zu beobachten.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nスタルーク\nZuerst waren wir beide recht angespannt im\nUmgang miteinander. Doch dann erinnerte ich\nmich an Euren Rat.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nWelchen Rat denn?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nIhr sagtet, ich solle die Dinge auf meine Art\nregeln. Ich wollte den Wolf nicht angreifen,\nalso entspannte ich mich.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nスタルーク\nDas muss er gespürt haben, denn auch er wurde\nentspannter. Und nun sind wir so etwas wie\nFreunde.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nAlcryst! Das ist fantastisch!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nスタルーク\nDanke schön. Das passierte nur dank Eurer\nAnleitung.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nスタルーク\nOh! Was tue ich denn da?! Ich danke \x0E\x0A\x00\x10\x06dem\x06der\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin auf so ungezwungene Weise! Ich\nsollt--\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nBitte, Alcryst, werft Euch nie wieder zu meinen\nFüßen.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nHm?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nRegt Euch nicht auf. Eure Entschuldigungen\nsind beeindruckend, aber es würde Euch\nstehen... nun ja, öfter zu stehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nWenn Ihr mir wirklich danken wollt... Der Wolf\nbenahm sich sehr freundlich Euch gegenüber.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nKönntet Ihr mir helfen, mich mit ihm\nanzufreunden?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nDas sollte eine leichte Sache sein. Bringt das\nnächste Mal einfach etwas Dörrfleisch mit.\nDann können wir alle drei zusammen spielen.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08リュール\nGenau das werde ich tun! Ich kann es kaum\nerwarten. Ich danke Euch, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nÄhm, entschuldigt... \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nAlcryst? Was gibt es denn?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0C\nスタルーク\nÄh... Nun, wisst Ihr...\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nIhr habt Euch davon abgehalten, Euch zu\nverbeugen! Sehr gut reagiert, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nスタルーク\nJa. Ich muss versuchen, erhobenen Hauptes\ndazustehen.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0C\nスタルーク\nBitte, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Seht her.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nOh! Was für ein schöner Edelstein! Er besitzt so\neine geheimnisvolle Farbe.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0C\nスタルーク\nDieser Stein hat seinen Ursprung in Brodia. Die\nFarbe ist recht selten, eine Mischung aus Rot\nund Blau.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nスタルーク\nMein Vater gab ihn mir, als ich geboren wurde.\nEr mochte es, wie die Farben zu mir passten.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nAh so! Er passt zu Euren blauen Haaren und\nroten Augen, richtig? Dieser Edelstein ist\nperfekt für Euch.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nスタルーク\nA-aber... er passt viel besser zu Euren\nMerkmalen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Die Farbverteilung ist\nzwar nicht ganz dieselbe, aber...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0C\nスタルーク\nEr erinnert mich an Euch. Ich sehe jemanden,\nder mir lieb und teuer ist – der mich ermutigt\nhat, die Dinge auf meine Weise anzugehen.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nOh. Jemanden, der Euch lieb und teuer ist?\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0C\nスタルーク\nMein Vater sagte, ich solle ihn eines Tages\njemandem überreichen, der mir wichtig ist.\nDaher...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0C\nスタルーク\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche... Bitte nehmt ihn an, als Zeichen...\nnun, als Zeichen meiner Gefühle für Euch.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nIch danke Euch, Alcryst. Ich nehme dieses\nZeichen gerne an.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0C\nスタルーク\n...!\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nNun bin ich an der Reihe. Ich möchte Euch\ndiesen Ring geben.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0C\nスタルーク\nDas ist der Paktring...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nDas ist er. Und nun gehört er Euch.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nPrinz Alcryst... Ich, \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin, überreiche\nEuch dies, als Symbol für das besondere\nBand, das uns verbindet.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nLasst uns gemeinsam durchs Leben gehen,\nals Soldaten... und Partner in Friedenszeiten.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0C\nスタルーク\nWawawa--\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nVerzeihung, habt Ihr gerade... gebellt?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nスタルーク\nWahnsinn! Ihr seid der Wahnsinn! Der absolute\nWahnsinn! Ich kann es nicht glauben!\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0C\nスタルーク\nIch dachte, ich hätte schon den Nagel auf den\nKopf getroffen, aber dann kommt Ihr mit einer\nnoch viel großartigeren Geste daher!\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0C\nスタルーク\nUnd das stört mich nicht mal! Das macht mich\nso glücklich. D-danke, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche...\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リュール\nOh, Alcryst, bitte nicht weinen!\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0C\nスタルーク\nTu ich nicht. Versprochen. Ich gebe mein\nBestes, für Euch erhobenen Hauptes dazu-\nstehen – und für mich.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0C\nスタルーク\nOder, ähm... zumindest etwas aufrechter als\nvorher.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08リュール\nDas ist doch schon mal ein Anfang.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0C\nスタルーク\nUnd ich werde stärker werden! Ich mag nicht\nso wirken, aber ich bin und bleibe ein Prinz von\nBrodia...\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0C\nスタルーク\nAls ein Sohn des Königreichs der Krieger werde\nich eines Tages jemand sein, auf den Ihr Euch\nverlassen könnt...\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0C\nスタルーク\nUnd ich gelobe, Euch immer zu beschützen,\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x0A\x08リュール\nPflichtbewusst wie immer, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_S_#037	\x0E\x03\x02\x0C\nスタルーク\nDas alles kann ich mit dem höchsten Maße an\nSelbstvertrauen sagen. Ich schwöre es sogar\nbei diesem Ring.\x0E\x04\x00\x00
MID_RELIANCE_S_#038	\x0E\x03\x02\x0A\x08リュール\nIch glaube Euch, Alcryst. Und danke Euch.\x0E\x04\x00\x00
MID_RELIANCE_S_#039	\x0E\x03\x02\x0C\nスタルーク\nIch werde stolz neben Euch stehen und der\nbeste Prinz sein, der ich sein kann, bis zum\nEnde.\x0E\x04\x00\x00
