MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nGeist der Karten! Lasse dein göttliches Licht\nleuchten und zeige mir den richtigen Weg!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\nWas genau habe ich da überhaupt vor mir? Was\nsind die Zutaten? Wie wurde es zubereitet?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クロエ\nDas sind in Zucker gekochte Eier.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セアダス\nEier? Von welchem Tier?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クロエ\nVon einem seltenen Fisch aus den Gewässern\nFirenes, größtenteils zumindest.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セアダス\nWas heißt hier „größtenteils“?! Was für Eier\nbefinden sich denn noch darin?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クロエ\nNur die leckersten natürlich. Sei unbesorgt.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セアダス\nJetzt bin ich definitiv besorgt!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\nAber... du hast dir die Mühe gemacht, mir Essen\nzu bringen. Es wäre unhöflich, nicht zumindest\ndavon zu kosten.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nUff, dieser Anblick... dieser Geruch... Da vergeht\neinem der Appetit...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クロエ\nSolche Imbissbudengerichte sind eben nicht\njedermanns Sache.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nVerzeih mir, Chloé, aber das trifft wohl auch auf\nmich zu.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クロエ\nWie schade. Vielleicht besitzt ja ausgerechnet\ndieses Essen ein Aroma, das sich nicht negativ\nauf deine Tanzschritte auswirkt.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\nWas?!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セアダス\nDu hast aromatisches Essen gefunden...\nunter dem mein Tanz nicht leiden wird?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セアダス\nIch war voreilig! Ich werde es probieren!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クロエ\nDas ist toll! Nur zu, halte dich nicht zurück.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セアダス\nDann wollen wir mal...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クロエ\nIst wohl doch zu schwer für deinen Magen, hm?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nNein, es ist... um ehrlich zu sein, es ist durchaus\nköstlich! Irgendwie bitter UND süß, aber gerade\ndas macht es so besonders!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06クロエ\nWirklich? Da bin ich erleichtert. Es hat so einen\npenetranten Geschmack, ich hatte bereits Angst,\ndu würdest es nicht hinunterbekommen.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08セアダス\nDu wärst überrascht, was ich schon alles zu mir\ngenommen habe, als ich noch mit der Karawane\nunterwegs war. Mein Magen hält einiges aus.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08セアダス\nVielleicht könntest du mir ja bei Gelegenheit\nmehr über diese Art von Essen erzählen?\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06クロエ\nLiebend gerne. Und... Seadall? Danke, dass du\nes tatsächlich probiert hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nUnd eins, zwei, drei, vier...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x02\x08\x06クロエ\nIch werde nie müde, dir beim Tanzen\nzuzusehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\nDu siehst nach mir, Chloé? Hätte ich gewusst,\ndass du zuschauen möchtest, hätte ich dir einen\nSitzplatz in der ersten Reihe vorbereitet!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クロエ\nNa ja, ich wollte dich nicht beim Üben stören.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クロエ\nAber ich habe dir eine neue Spezialität zum\nProbieren mitgebracht: mit Honig überzogener\nGecko! Ist richtig gesund, glaub mir.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セアダス\nSieht wie immer äußerst... reizend aus.\nAber vielen Dank.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セアダス\nDer Geschmack gefällt mir! Ein wenig\nungewöhnlich, muss ich gestehen, aber diese\nSüße ist wirklich einzigartig.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06クロエ\nAha! Dachte ich's mir doch.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\nNachdem ich dir so viele Imbissbudengerichte\ngebracht habe, bin ich endlich dahinter-\ngekommen: Du isst alles, solange es nur süß ist!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nNa, ich weiß nicht recht...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クロエ\nDu bist wirklich ein wundervoller Tänzer.\nSehr anmutig, doch zugleich auch kraftvoll.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クロエ\nHast du das von jemandem gelernt?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nJa. Ich habe einen Meister... Jemand aus der\nKarawane hat mich das Tanzen gelehrt.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nNun, ich sollte eher sagen, ich HATTE einen\nMeister...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クロエ\nSag bloß, das heißt...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nEr ist während eines Angriffes auf die Karawane\nums Leben gekommen. Er starb, weil er mich\nbeschützte.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\nOh nein.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nIch bekam nie die Gelegenheit, mich bei ihm für\nalles erkenntlich zu zeigen. Es ist das einzige\nSchicksal, das ich nicht vorhersehen konnte.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nAber die Tanzkunst deines Meisters lebt in dir\nweiter, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\nDas hoffe ich. Allerdings habe ich noch viel zu\nlernen, bevor ich sein Maß an Können erreiche.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08セアダス\nDennoch gebe ich mein Bestes, um mein\nPublikum mit der erhabenen Kunst des Tanzes\nzu bezaubern.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クロエ\nIch habe keine Zweifel daran, dass du dazu\nfähig bist.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セアダス\nHm-hm. Danke, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セアダス\nUnd nun, da ich gespeist habe, ist es wieder\nZeit für einen Tanz.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セアダス\nIch wollte dir zum Dank eine besondere\nDarbietung präsentieren, doch... wie wäre es,\nwenn wir gemeinsam tanzen?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クロエ\nNichts wäre mir lieber!\x0E\x04\x00\x00
