MID_BGM_Evt_Amb_Lithos_ST_Play	Garten des Lichts
MID_BGM_Evt_Restart_ST_Play	Ein Drache, der die Welt rettet
MID_BGM_Evt_Daily1_ST_Play	Unter Freunden
MID_BGM_Evt_Daily2_ST_Play	Ein Tag wie jeder andere
MID_BGM_Evt_Daily3_ST_Play	Ruhe
MID_BGM_Evt_Warm_ST_Play	Sentimentaler Moment
MID_BGM_Evt_Engage_ST_Play	Das Bündnis
MID_BGM_Evt_Consultation_ST_Play	Die Beratschlagung
MID_BGM_Evt_Kindness_ST_Play	Einfühlsamkeit
MID_BGM_Evt_P05_OP_ST_Play	Kühler Regen
MID_BGM_Evt_NewEmblem_ST_Play	Das Wunder der Embleme
MID_BGM_Evt_Advent_Marth_ST_Play	Strahle hell, Emblem der Anfänge
MID_BGM_Evt_Veyre_Truth_CS19_ST_Play	Der letzte Glockenschlag
MID_BGM_Evt_26ED2_ST_Play	Herzliches Lebewohl
MID_BGM_Mov_GOP_ST_Play	Emblem-Bündnis!
MID_BGM_Mov_S02_ST_Play	Des Drachen Traum
MID_BGM_Mov_Eleos_ST_Play	Die Geschichte von Elyos
MID_BGM_Mov_Red_ST_Play	Erinnerungen aus roten Tagen
MID_BGM_Mov_Appear_Alfred_ST_Play	Der Prinz der Fülle
MID_BGM_Mov_Appear_Sombre_ST_Play	Sombron, der Dämonendrache
MID_BGM_Mov_Lueur_Die_ST_Play	Das Ende eines Wyrmgottes
MID_BGM_Mov_S18_ST_Play	Das sechste Land
MID_BGM_Field_P00_ST_Play	Erschöpfte Konfrontation
MID_BGM_Field_P00_Heavy_ST_Play	Erschöpfte Konfrontation (Dunkel)
MID_BGM_Field_P01_Map_ST_Play	Fernes heiliges Land
MID_BGM_Field_P01_Combat_ST_Play	Fernes heiliges Land (Flimmern)
MID_BGM_Field_P01_Heavy_Map_ST_Play	Ewiges heiliges Land
MID_BGM_Field_P01_Heavy_Combat_ST_Play	Ewiges heiliges Land (Flimmern)
MID_BGM_Field_P02_Map_ST_Play	Blüten im Wind
MID_BGM_Field_P02_Combat_ST_Play	Blüten im Wind (Pracht)
MID_BGM_Field_P02_Heavy_Map_ST_Play	Blütenzauber im Wind
MID_BGM_Field_P02_Heavy_Combat_ST_Play	Blütenzauber im Wind (Pracht)
MID_BGM_Field_P03_Map_ST_Play	Königliche Würde
MID_BGM_Field_P03_Combat_ST_Play	Königliche Würde (Krieger)
MID_BGM_Field_P03_Heavy_Map_ST_Play	Eherne königliche Würde
MID_BGM_Field_P03_Heavy_Combat_ST_Play	Eherne königliche Würde (Krieger)
MID_BGM_Field_P04_ST_Play	Tränenspur (Eis)
MID_BGM_Field_P05_ST_Play	Zerrissene Bande
MID_BGM_Field_P06_Map_ST_Play	Heller Sandsturm
MID_BGM_Field_P06_Combat_ST_Play	Heller Sandsturm (Glut)
MID_BGM_Field_P06_Heavy_Map_ST_Play	Heller, kräftiger Sandsturm
MID_BGM_Field_P06_Heavy_Combat_ST_Play	Heller, kräftiger Sandsturm (Glut)
MID_BGM_Field_P08_ST_Play	Fallende Blütenblätter
MID_BGM_Field_P09_Map_ST_Play	Zielstrebige Reise
MID_BGM_Field_P09_Combat_ST_Play	Zielstrebige Reise (Flimmern)
MID_BGM_Field_P12_ST_Play	Das letzte Bündnis (Gebet-Anrufung)
MID_BGM_Field_P13_Map_ST_Play	Entfesselte Waffen
MID_BGM_Field_P13_Combat_ST_Play	Entfesselte Waffen (Konflikt)
MID_BGM_Field_E01_ST_Play	Verzerrte
MID_BGM_Field_E02_ST_Play	Die Marionetten der Göttin
MID_BGM_Field_E03_ST_Play	Kriechende Kälte
MID_BGM_Field_E04_ST_Play	Fortschreitende Verzweiflung
MID_BGM_Field_E05_ST_Play	Deformierter Lichtblitz
MID_BGM_Field_S03_Map_ST_Play	Prüfung von Awakening
MID_BGM_Field_S03_Combat_ST_Play	Prüfung von Awakening (Entflamme uns)
MID_BGM_Field_S04_Map_ST_Play	Prüfung von Blazing
MID_BGM_Field_S04_Combat_ST_Play	Prüfung von Blazing (Wehe herüber)
MID_BGM_Field_S05_Map_ST_Play	Prüfung von Radiance
MID_BGM_Field_S05_Combat_ST_Play	Prüfung von Radiance (Kämpfe tapfer)
MID_BGM_Field_S06_Map_ST_Play	Prüfung von Three Houses
MID_BGM_Field_S06_Combat_ST_Play	Prüfung von Three Houses (Lehre uns)
MID_BGM_Field_S07_Map_ST_Play	Prüfung von Fates
MID_BGM_Field_S07_Combat_ST_Play	Prüfung von Fates (Zeig deine Fänge)
MID_BGM_Field_S08_Map_ST_Play	Prüfung von Sacred
MID_BGM_Field_S08_Combat_ST_Play	Prüfung von Sacred (Bringe Ruhe)
MID_BGM_Field_S09_Map_ST_Play	Prüfung von Holy War
MID_BGM_Field_S09_Combat_ST_Play	Prüfung von Holy War (Unterstütze uns)
MID_BGM_Field_S10_Map_ST_Play	Prüfung von Genealogy
MID_BGM_Field_S10_Combat_ST_Play	Prüfung von Genealogy (Befreie uns)
MID_BGM_Field_S11_Map_ST_Play	Prüfung von Dawn
MID_BGM_Field_S11_Combat_ST_Play	Prüfung von Dawn (Heile uns)
MID_BGM_Field_S12_Map_ST_Play	Prüfung von Binding
MID_BGM_Field_S12_Combat_ST_Play	Prüfung von Binding (Erhebe dich)
MID_BGM_Field_S13_Map_ST_Play	Prüfung von Echoes
MID_BGM_Field_S13_Combat_ST_Play	Prüfung von Echoes (Stehe uns bei)
MID_BGM_Field_S14_Map_ST_Play	Prüfung der Embleme
MID_BGM_Field_S14_Combat_ST_Play	Prüfung der Embleme (Strahle hell)
MID_BGM_Field_S15_Map_ST_Play	Prüfung des Bundes
MID_BGM_Field_S15_Combat_ST_Play	Prüfung des Bundes (Verbinde uns)
MID_BGM_Boss_01_Pre_ST_Play	Chaosstifter
MID_BGM_Boss_01_Start_ST_Play	Chaosstifter (Blutrausch)
MID_BGM_Boss_02_Pre_ST_Play	Vollstrecker der Weisheit
MID_BGM_Boss_02_Start_ST_Play	Vollstrecker der Weisheit (Blutrausch)
MID_BGM_Boss_03_Pre_ST_Play	Hüter der Geschichte
MID_BGM_Boss_03_Start_ST_Play	Hüter der Geschichte (Blutrausch)
MID_BGM_Boss_04_Pre_ST_Play	Die Vier Bluthunde
MID_BGM_Boss_04_Start_ST_Play	Die Vier Bluthunde (Blutrausch)
MID_BGM_Boss_05_Pre_ST_Play	Fehlgriff
MID_BGM_Boss_05_Start_ST_Play	Fehlgriff (Blutrausch)
MID_BGM_Boss_06_Pre_ST_Play	Lichtlose Göttin
MID_BGM_Boss_06_Start_ST_Play	Lichtlose Göttin (Blutrausch)
MID_BGM_Sys_Title_ST_Play	Bündnis!
MID_BGM_Sys_Gmap_ST_Play	Deine Reise
MID_BGM_Sys_Prepare1_ST_Play	Vorbereitungen
MID_BGM_Sys_Prepare2_ST_Play	Unermüdliche Vorbereitungen
MID_BGM_Sys_Base1_ST_Play	Guten Morgen, Wyrmgott
MID_BGM_Sys_Base2_ST_Play	Seid Ihr auf Patrouille?
MID_BGM_Sys_Base3_ST_Play	Ein schöner Abendhimmel
MID_BGM_Sys_Base4_ST_Play	Ein zauberhafter Abend
MID_BGM_Sys_Mini1_ST_Play	Wyvernreiten
MID_BGM_Sys_Mini2_ST_Play	Neuer Tag, neues Krafttraining
MID_BGM_Sys_Mini3_ST_Play	Brodianische Angelkunst
MID_BGM_Sys_Base_Jukebox1_ST_Play	Teestunde in Firene
MID_BGM_Sys_Base_Jukebox2_ST_Play	Gute Gesellschaft in Brodia
MID_BGM_Sys_Base_Jukebox3_ST_Play	Abendessen in Elusia
MID_BGM_Sys_Base_Jukebox4_ST_Play	Unter freiem Himmel in Solm
MID_BGM_Sys_Base_Jukebox5_ST_Play	Embleme zu Tisch
MID_BGM_Sys_ED1_ST_Play	Bande des Feuers
MID_BGM_Sys_ED2_Result_ST_Play	Fire Emblem-Thema (Das Fire Emblem)
MID_BGM_Sys_ED2_Sequel_ST_Play	Und so endet die Reise...
MID_BGM_Sys_Introduction_ST_Play	Fire Emblem-Thema
MID_BGM_Sys_ClassChange_ST_Play	Erleuchtung
MID_BGM_Sys_Die_ST_Play	Ein letztes Lebewohl
MID_FF_GameOver_ST_Play	Ewige Ruhe
MID_FF_StageClear_ST_Play	Triumph
MID_FF_LevelUp_ST_Play	Entwicklung
MID_FF_Bad_ST_Play	Bedauern 1
MID_FF_Sorry_ST_Play	Bedauern 2
MID_FF_Good1_ST_Play	Frohsinn 1
MID_FF_Good2_ST_Play	Frohsinn 2
MID_FF_ItemGet1_ST_Play	Item erhalten 1
MID_FF_ItemGet2_ST_Play	Item erhalten 2
MID_BGM_Amiibo_03_ST_Play	Schicksal (in Flammen)
MID_BGM_Amiibo_04_ST_Play	Der Wind über den Ebenen
MID_BGM_Amiibo_05_ST_Play	Hingebung
MID_BGM_Amiibo_06_ST_Play	Winde von Fódlan
MID_BGM_Amiibo_07_ST_Play	Finis (Tiefen)
MID_BGM_Amiibo_08_ST_Play	Das letzte Gefecht
MID_BGM_Amiibo_09_ST_Play	Ende des Heiligen Krieges
MID_BGM_Amiibo_10_ST_Play	Auf geht's, Leif!
MID_BGM_Amiibo_11_ST_Play	Hall des Frühlichts
MID_BGM_Amiibo_12_ST_Play	Unter einem neuen Licht (Roy)
MID_BGM_Amiibo_13_ST_Play	Mit Milas göttlichem Schutz
MID_BGM_Amiibo_14_ST_Play	Schwierigkeiten! (Marth)
