MID_SORTIE_START	Los!
MID_SELECTRING_GOD_CHANGE_YES	Wechseln
MID_SELECTRING_GOD_EMPTY	Keine Emblem-Ringe.
MID_SELECTRING_COMMON_EMPTY	Keine Ringe des Bandes.
MID_SELECTRING_LUEUR_NOTES	Emblem \x0E\x06\x03\x00 kann\nmit Bündnis+ im Kampf\nein Bündnis eingehen.
MID_SORTIE_TITLE_UNIT_SELECT	Einheiten
MID_SORTIE_TITLE_UNIT_SELECT_ITEM	Inventar
MID_SORTIE_TITLE_RING_SELECT	Emblem-Ringe
MID_SORTIE_TITLE_INVENTORY	Items verwalten
MID_SORTIE_TITLE_TRADE	Items tauschen
MID_SORTIE_TITLE_SKILL	Fähigkeiten verwalten
MID_SORTIE_TITLE_CLASSCHANGE	Klassenwechsel
MID_SORTIE_TITLEHELP_UNIT_SELECT	Wählen, welche Verbündeten kämpfen.
MID_SORTIE_TITLEHELP_UNIT_SELECT_ITEM	Einheiten wählen.
MID_SORTIE_TITLEHELP_RING_SELECT	Emblem-Ringe wählen.
MID_SORTIE_TITLEHELP_INVENTORY	Items wählen.
MID_SORTIE_TITLEHELP_TRADE	Items zum Tauschen wählen.
MID_SORTIE_TITLEHELP_SKILL	Fähigkeiten ausrüsten.
MID_SORTIE_TITLEHELP_CLASSCHANGE	Klasse wählen.
