MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x06\x04エル\nIhr habt eine viel sanftere und elegantere\nErscheinung als ich. Vielleicht sollte ich von\nEuch lernen.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nDeine Kleidung erscheint mir recht unge-\nwöhnlich, Gregory. Ist diese Art Gewandung\nTradition in deiner Heimat?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nIch befürchte, so feierlich ist sie nicht. Ich trage\ndiese Kleidung nur, damit Gegner sich vor mir\nfürchten.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nIch bezweifle, dass du besondere Kleidung\nbenötigst, damit andere Respekt vor dir haben.\nDu bist stark.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nDanke, aber selbst wenn dies wahr sein sollte,\nwäre ich in der Kleidung, die ich mag, wohl\nnicht gerade furchteinflößend...\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nグレゴリー\nDu sagst, ich sei stark, Eirika, aber ich glaube,\ndu traust mir zu viel zu. Andere sind viel\nstärker...\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nエイリーク\nIch glaube nicht, dass ich das tue. Wäre jemand,\nder nicht stark ist, in der Lage gewesen,\nbis jetzt weiterzukämpfen?\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nエイリーク\nSelbst eine Flucht dient dazu, am nächsten Tag\nweiterkämpfen zu können. Ich könnte von dieser\neinzigartigen Stärke noch etwas lernen.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nDu schmeichelst mir. Ich befürchte, wenn ich\njemals zu selbstbewusst werde, werde ich\nFehler machen. Dennoch danke ich dir.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nマデリーン\nMilady Eirika, Ihr seid eine Prinzessin, nicht\nwahr? Als Ritterin hoffe ich, viel von Euch\nlernen zu können!\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nエイリーク\nBitte, so förmlich müssen wir doch nicht sein.\nLass uns zusammen als Verbündete Seite\nan Seite in die Schlacht ziehen.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nマデリーン\nMeiner Überzeugung nach muss ein Ritter stets\nwachsam sein, aber ich ertappe mich oft dabei,\ndass ich mich von Eurer Güte einlullen lasse.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nエイリーク\nMir mag es an physischer Stärke fehlen, aber ich\nbin, wer ich bin. Das Beste, was du tun kannst,\nist, ehrlich zu dir selbst zu sein.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nマデリーン\nKönigliche sind so verschieden. Von ernst\nund würdevoll bis gütig, so wie Ihr und \x0E\x0A\x00\x10\x06der\x06die\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin es seid.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nEs ist schwierig zu erkennen, welche Art\nRitter man sein sollte. Viele Arten von König-\nlichen müssen mir vertrauen können.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0C\nエイリーク\nDu solltest dir nicht so viele Gedanken darüber\nmachen. Folge jemandem, den du magst und der\ndich ebenfalls schätzt.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nエイリーク\nWenn jemand dir dein Vertrauen schenkt,\nwerden andere es ihm nachtun. So gewinnst du\nVerbündete hinzu.\x0E\x04\x00\x00
