MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nAmber, darf ich dir ein paar persönliche\nFragen stellen? Ich benötige Material für\nmeinen Roman.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nAlso, Jade! Du wolltest Material haben, du\nbekommst Material! Sieh dir den Alpakameister\nin Aktion an.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\nHey! Alpaka! Mach mal langsam, Kumpel!
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nRuuuuhig! Ich habe gesagt, du sollst dich\nberuhigen!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nAUA! Waaaaaah!
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ジェーデ\nAmber!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x04\x03\x04
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アンバー\nHngh. Ich wollte dir eigentlich nicht zeigen, wie\nich von einem Alpaka in einen Teich gestoßen\nwerde.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ジェーデ\nIch kann nicht glauben, dass wie aus dem Nichts\nein Alpaka hier auftaucht. Ich bin froh, dass wir\nes überhaupt einfangen konnten.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08アンバー\nDu meinst, dass DU es einfangen konntest.\nIch habe es nur geschafft, einen Schluck trüben\nWassers zu nehmen.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08アンバー\nIch kann neben dir nicht mal bei einer\nSache bestehen, bei der ich wirklich gut bin.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08アンバー\nHmpf...\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08ジェーデ\nAmber... Verzweifle nicht. Es gibt einen\nSilberstreifen am Horizont.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0A\x08ジェーデ\nDas Alpaka, der Teich, dein Gefuchtel... Dank\ndir wird mein Buch bestimmt lustig.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nHey, Amber. Mir fehlen immer noch ein paar\nKapitel. Darf ich dir noch ein paar Fragen\nstellen?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nWarte mal, Jade. Erst mal habe ich eine Bitte\nan DICH.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アンバー\nBitte, BITTE, schreib nicht darüber, wie ich\nvergeblich versucht habe, das Alpaka zu fangen!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ジェーデ\nWi--\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アンバー\nDie Bewohner meines Heimatorts sind bekannt\nfür ihre Fähigkeiten im Umgang mit Alpakas. Ich\nkann ihnen diese Schmach nicht antun!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nIch war so versunken in meinen Gefühlen\nund Teichwasser, dass ich total vergaß, dich\nsofort zu fragen. Also... Bitte?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ジェーデ\nDas überrascht mich gerade. Ich werde dir kein\nVersprechen geben, dass ich nicht halten\nkann, Amber.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ジェーデ\nDu warst die Inspiration für meine lustigsten\nund erfolgreichsten Werke. Die Leser warten\nschon auf das nächste Buch.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アンバー\nNa gut, dann...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nLass uns das mit einem Freundschaftskampf\nentscheiden. Gewinne ich, darfst du nichts über\nden Alpaka-Teich-Reinfall schreiben!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ジェーデ\nEinverstanden.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nDies wird unser erster Wettstreit seit dem\nTurnier, bei dem Prinz Diamant uns als seine\nGetreuen ausgewählt hat.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アンバー\nDas war das erste Mal, dass ich gegen dich\nverloren habe. Seitdem bin ich der ewige\nZweite.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\nDie Niederlage war wie ein Fluch. Was immer\nich auch tue, ich kann dich auf keinem Gebiet\nschlagen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ジェーデ\nNun, du bist mit einem Nachteil in das Finale\ndes Turniers gegangen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ジェーデ\nDu hattest überhaupt keine Zeit, dich aufzuwär-\nmen. Du warst zu sehr damit beschäftigt, dem\nKind, das seine Eltern suchte, zu helfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アンバー\nDas ist keine Entschuldigung! Du hast am Ende\ndoch auch mitgeholfen. Du hast sogar die Eltern\ndes Kindes gefunden, vor mir.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ジェーデ\nHm. Ich verstehe, was du meinst.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\nDu bist diejenige, die immer Erfolg hat,\nich bin derjenige, der immer stolpert.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アンバー\nDas anstürmende Alpaka war mein letzter\nStolperer. Mein Leben als ewiger Zweiter\nendet heute!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アンバー\nMach dich bereit, Jade! Ich werde auf keinen\nFall wieder gegen dich verlieren!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x04\x03\x04
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ジェーデ\nHast du genug?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08アンバー\nGaah... Ich schaffe es einfach nicht. Ich kann\ndich wirklich nicht schlagen, Jade. Es ist\nhoffnungslos.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08ジェーデ\nErinnerst du dich an die Abmachung? Ich habe\ngewonnen, also kann ich in meinem neuen\nRoman schreiben, was ich möchte.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08アンバー\nJa, ich erinnere mich. Du hast mich ehrlich\ngeschlagen, also... schreib, was immer du\nmöchtest.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08ジェーデ\nGenau das werde ich tun. Und du wirst\ngarantiert der Erste sein, der es liest, wenn\nich fertig damit bin.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nMein Roman ist fertig, Amber. Wie ich neulich\nsagte, möchte ich, dass du ihn als Erster liest.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\nOh, klasse...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nDu weißt, wie man Salz in die Wunde reibt.\nNa schön. Wollen wir mal sehen, wie peinlich\nes für mich wird.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08アンバー\nHm. Hmm!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nJade... Was ist das denn?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\nHm.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nBasiert dieses Buch... wirklich noch auf mir?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ジェーデ\nNatürlich. Alles in diesem Buch basiert auf\netwas, was wir gemeinsam erlebt haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アンバー\nAber wo ist denn der Alpaka-Teich-Reinfall?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アンバー\nIch kann hier keine einzige peinliche Seite\nentdecken. In diesem Buch werde ich so...\nso lässig dargestellt!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ジェーデ\nDu bist nicht auf den zweiten Platz\nfestgelegt, Amber.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nDu warst der Erste, der versucht hat, das\nrennende Alpaka aufzuhalten.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nDu warst der Erste, der damals auf dem\nKampfturnier nach den Eltern des Kindes\ngesucht hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ジェーデ\nIch mag diejenige sein, die das Buch beendet,\naber erst, nachdem du mir die erste Seite\naufgeschlagen hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アンバー\nWhoa.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ジェーデ\nDu bist nett. Du bist stark. Und Prinz Diamant\nund ich schätzen dich als einen würdigen\nGetreuen.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\nUuh...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アンバー\nWhoa, Jade! Danke schön! Deine netten Worte...\nDieses großartige Buch... Ich fühle mich gleich\nso viel besser.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nDas freut mich. Denn schließlich brauchst du\nSelbstvertrauen, wenn du uns in der Schlacht\nden Rücken freihältst.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nJa... Ja! Damit ist es beschlossen. Ich werde\nso lange trainieren, bis ich meinem „Ich“ in\ndeinem Buch entspreche.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ジェーデ\nOh, ich bin schon gespannt darauf, das\nmitzuerleben.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nIn Ordnung! Keine Aufschieberei mehr. Es wird\nZeit, dass ich trainiere, wie ich es bisher noch\nnie getan habe!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アンバー\nIch werd-- aaahai! Ein Stein?! Waaauaa!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ジェーデ\nHuch.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ジェーデ\nHm! Unglaublich. Das Training beginnt\nwohl mit einem Hindernislauf.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ジェーデ\nIch habe keine Zweifel daran, dass du stärker\nwerden wirst, Amber... Aber ich hoffe, manche\nDinge an dir werden sich nie ändern.\x0E\x04\x00\x00
