MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nエーティエ\nHey, Lapis. Hast du kurz Zeit?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\nDas kenne ich. Ab einem bestimmten Niveau\nwerden die Fortschritte immer kleiner. Lästig.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nエーティエ\nGenau das meine ich! Ich wusste, du würdest\nmich verstehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nAuf welche Muskelpartien möchtest du denn\nden Schwerpunkt legen?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nエーティエ\nHmmm. Auf meine Arme, die Brust-, Rumpf-\nund Rückenmuskulatur. Mehr nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nエーティエ\nSelbstverständlich würde ich dich dafür auch\nbezahlen. Nenn mir einfach einen Preis. Also,\nwürdest du mir diesen Gefallen tun?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ラピス\nKlar! Klingt nach einer Herausforderung, aber\nnach einer ziemlich spaßigen. Ich schaue mal,\nwas ich zusammenschrauben kann.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nエーティエ\nPrima. Oooh, das wird sicher unglaublich toll!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nエーティエ\nLapis! Wie geht's voran mit meinem\nMuskeltrainingsapparat?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ラピス\nOh! Hey, Etie! So ein Zufall.\nIch war gerade dabei, ein paar letzte\nAnpassungen vorzunehmen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nIch präsentiere... den Maximum-Muskel-\nManipulator Version 3!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nエーティエ\nVersion 3?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nNa ja... Es gab da ein paar kleine Rückschläge...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ラピス\nAber dieser hier macht genau das, was er soll.\nEr kräftigt deine Arm-, Brust-, Rumpf- und\nRückenmuskulatur.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nエーティエ\nHui. Genau so, wie ich mir das vorgestellt hatte.\nWas kostet mich der ganze Spaß denn nun?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nZerbrich dir darüber mal nicht den Kopf.\nIch habe nur Äste und Schrott verwendet,\nsodass keine Materialkosten entstanden sind.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nエーティエ\nÄste und Schrott?! Unglaublich.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nエーティエ\nNa ja, dann schulde ich dir aber zumindest\nwas für die Arbeitszeit. Wenigstens dafür will\nich mich bei dir erkenntlich zeigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nエーティエ\nAber vorher... Was dagegen, wenn ich das\nGerät kurz ausprobiere?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ラピス\nNur zu!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nエーティエ\nUff... Jaaaaaa!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nエーティエ\nDer Widerstand ist perfekt eingestellt. Da hast\ndu dir aber wirklich viel Mühe gegeben.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nエーティエ\nGenau so ein Gerät wollte ich haben!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nJuchhu! Das freut mich!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nエーティエ\nDu hast das so gut hinbekommen, dass sich\nmir glatt die Frage stellt, ob du nicht vielleicht\nauch Krafttraining betreibst.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ラピス\nSo etwas in der Art, aber nichts Ausgefallenes.\nIch stemme bloß Felsen... wie diesen dort.\nOder Kaventsmänner wie den dort drüben.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nエーティエ\nSolche Felsen? Mit deinen Nudel-Ärmchen?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nエーティエ\nWie machst du das bloß? Ich kann mir das\nnur schwer vorstellen.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nエーティエ\nDas musst du mir bei Gelegenheit unbedingt\ngenauer erklären! Mein Gefühl sagt mir, dass\nwir beide gute Freundinnen werden.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ラピス\nWirklich? Ich meine... Einverstanden!\nDas würde mich sehr freuen.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nエーティエ\nIch wollte mich bei dir für das Gerät bedanken,\ndas du mir gebaut hast. Es hilft mir echt prima\nbei meinem Krafttraining.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ラピス\nWie schön, Etie. Freut mich, dass du Spaß\ndamit hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nEhrlich gesagt fühle ich mich ja ein bisschen\nschuldig. Du hättest mir dafür wirklich nicht\nso viele Firener Teeblätter geben müssen.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nエーティエ\nAch was! Dein Maximum-Muskel-Manipulator\nVersion 3 war die ganze Kiste echt wert.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nエーティエ\nWas isst du da eigentlich gerade?\nIrgend so eine Art von Kartoffeln?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ラピス\nAh! D-das da? Nun, äh...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nUrsprünglich stamme ich aus einem ländlichen\nÖrtchen in Brodia. Wir haben dort immer\nKnollen... äh, Kartoffeln angepflanzt.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ラピス\nManchmal schicken mir meine Eltern\ngetrocknete Süßkartoffelschnitze von\nihrem Hof. Die sind richtig lecker.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nエーティエ\nGetrocknete Kartoffeln? Aus einem entlegenen\nTeil Brodias? Du meinst doch nicht etwa...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nエーティエ\nDieses kalorienreiche, stärkehaltige und\nfettarme Häppchen, auf das jeder Muskelprotz\nscharf ist?!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nAch? Du hast davon gehört?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nエーティエ\nIch hab schon überall nach diesen Dingern\ngesucht. Nie hätte ich gedacht, das die mir\neines Tages mal in den Schoß fallen würden.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ラピス\nMöchtest du mal eine probieren?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nエーティエ\nMachst du Witze? Klar!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nエーティエ\nMjam!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nエーティエ\nEin einziger Biss dieser Köstlichkeit, und schon\nsind meine müden Muskeln wieder munter!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nエーティエ\nIch fang gleich noch an zu heulen, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\nIch auch! Noch nie habe ich erlebt, dass jemand\nanderes derart für unsere heimischen Kartoffeln\nschwärmt! Hätte ich das geahnt...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nHier, nimm ruhig noch ein paar! Ich habe\nreichlich davon.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nエーティエ\nBist du dir sicher?!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ラピス\nAber klar doch!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nエーティエ\nEcht lieb von dir. Ich weiß gar nicht, wie ich dir\nfür all das danken kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ラピス\nTja, wie wär's, wenn du mich mit dir\ntrainieren lässt?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nIch mag vielleicht stark sein, aber wenn sich\nein Kampf zu sehr in die Länge zieht, geht mir\nrecht schnell die Puste aus.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ラピス\nIch würde zu gerne an meiner Ausdauer\narbeiten. Vielleicht können wir beide ja\ngemeinsam laufen gehen?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nエーティエ\nKönnen wir gerne, kein Problem! Für dich lauf\nich so lange, bis mir die Beine abfallen!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nエーティエ\nWir können es ja mal mit und mal ohne die\nKartoffeln probieren, um zu schauen, ob es\nirgendeinen Unterschied macht.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nエーティエ\nWer weiß, zu welchen Höchstleistungen wir\ngemeinsam fähig sind!\x0E\x04\x00\x00
