MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x00\x0A\x04チキ\x023\n\x0E\x03\x02\x0A\x08リュール\nWir sind da... auf den Inseln südlich von Firene.\nIch kann definitiv die Präsenz eines Emblems\nspüren.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04チキ\x02b\n\x0E\x05\x01\x12\x04チキ\nRelax\n\x0E\x03\x02\x06\x04チキ\nDie Türen lassen sich nur über diese Siegel\nöffnen. Gib dein Bestes, um zu mir zu gelangen!\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x1A\nヴァンドレ\x0CNormal\n\x0E\x03\x02\x0C\nヴァンドレ\nVielleicht wäre es klug, uns zuerst auf dieses\nSiegel zu konzentrieren?\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x18\nヴァンドレ\nAngry\n\x0E\x03\x02\x0C\nヴァンドレ\nDieses Eis ist recht rutschig. Wir können es\nnutzen, um schneller voranzukommen... sofern\nwir dabei vorsichtig vorgehen.\x0E\x04\x00\x00
MID_EV6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x18\nヴァンドレ\nAngry\n\x0E\x03\x02\x0C\nヴァンドレ\nDie Tür ist offen. Wir sollten nun das andere\nSiegel nutzen.\x0E\x04\x02\x00
MID_EV6_#002	Oh! Noch mehr Boden wurde zu Eis. Betretet\nes mit Vorsicht, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_EV7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x1A\nヴァンドレ\x0CNormal\n\x0E\x03\x02\x0C\nヴァンドレ\nDie andere Tür wurde geöffnet. Ich nehme an,\nnun können wir endlich zum Emblem gelangen.\x0E\x04\x00\x00
MID_EV8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04チキ\x02b\n\x0E\x05\x01\x12\x04チキ\nSmile\n\x0E\x03\x02\x06\x04チキ\nIhr seid alle unglaublich! Ich werde hier alles\ngeben müssen.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06マルス\x02t\n\x0E\x05\x01\x14\x06マルス\nSmile\n\x0E\x03\x02\x08\x06マルス\nTiki. Es ist so lange her. Ich freue mich, Euch\nwiederzusehen. Wie geht es Euch?\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x03\x00\x0A\x04チキ\x02b\n\x0E\x05\x01\x12\x04チキ\nRelax\n\x0E\x03\x02\x06\x04チキ\nMar-Mar! Oh, ich bin so glücklich, dich zu\nsehen! Mir geht es richtig, richtig gut!\x0E\x04\x00\x00
MID_BT1_#003	\x0E\x03\x02\x08\x06マルス\nIch hoffe, wir können wieder gemeinsam in die\nSchlacht ziehen, wenn wir den Kampf gewinnen.\nMit Euch als Verbündete fühle ich mich besser.\x0E\x04\x00\x00
MID_BT1_#004	\x0E\x03\x02\x06\x04チキ\nSelbstverständlich! Ich würde es lieben, wieder\nmit dir zu reisen – dann können wir beide bis in\nalle Ewigkeit miteinander plaudern!\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04チキ\x02b\n\x0E\x05\x01\x14\x04チキ\x0CNormal\n\x0E\x03\x02\x06\x04チキ\nIch frage mich... Gefällt es dir, \x0E\x0A\x00\x12\x06ein\x08eine \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin\nzu sein?\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nSmile\n\x0E\x03\x02\x0A\x08リュール\nFrüher nicht, aber jetzt denke ich, dass es das\ntut. So habe ich gelernt, zu was ich wirklich\nfähig bin.\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x05\x01\x12\x04チキ\nRelax\n\x0E\x03\x02\x06\x04チキ\nVerstehe. Ich bin wirklich begierig, alles über\ndich zu erfahren. Würdest du mir mehr über\ndich erzählen?\x0E\x04\x00\x00
MID_BT2_#004	\x0E\x03\x02\x0A\x08リュール\nSicher. Ich werde dir alles erzählen, was ich dir\nerzählen kann.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nUi, das war unglaublich! Ich habe mein Bestes\ngegeben, aber du hast dennoch gewonnen!\x0E\x04\x02\x00
MID_ED1_#002	Du hast mir dabei auch deine wahre Wesensart\ngezeigt. Selbst im Kampf bist du warmherzig\nund gütig.\x0E\x04\x02\x00
MID_ED1_#003	Nichts täte ich lieber, als dir zu helfen. Ich\nfreue mich schon auf unsere Zusammenarbeit,\n\x0E\x06\x03\x00!\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0A\x08リュール\nVielen Dank, Tiki. Es ist sehr beruhigend, dich\nan unserer Seite zu wissen.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x06\x04チキ\nHihihi. Ich fühle mich geschmeichelt, dass du\ndas sagst. Oh! Und nicht nur ich!\x0E\x04\x02\x00
MID_ED1_#006	Auch meine Freunde aus den Armringen sind\nhier. Ich bin sicher, sie würden dir mit Freuden\nhelfen.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0A\x08リュール\nDu meinst, hier in Elyos gibt es noch mehr\nArmringe mit Emblemen?\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x06\x04チキ\nJa! Wir sind erst kürzlich hier angekommen. Ich\nwerde dir sagen, wo du sie findest, dann kannst\ndu sie ebenfalls kennenlernen!\x0E\x04\x02\x00
MID_ED1_#009	Ich glaube, sie schlafen alle. Ich hoffe nur, sie\nhaben schöne Träume.\x0E\x04\x02\x00
MID_ED1_#010	Ich hatte früher oft schreckliche Albträume,\nin denen ich mich in eine Bestie verwandelt\nund andere verletzt habe.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nDas muss furchtbar gewesen sein. Das tut mir\nso leid.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x06\x04チキ\nDas war es... Aber nun ist alles besser\ngeworden. Ich hab die furchterregenden Träume\nnicht mehr.\x0E\x04\x02\x00
MID_ED1_#013	Und nun, da ich bei dir bin, werden meine\nTräume bestimmt nur schöne Träume sein.\x0E\x04\x02\x00
MID_ED1_#014	Daher bin ich so dankbar, dass ich nicht mehr\nallein bin. Ich möchte, dass all deine Freunde\nauch meine Freunde werden!\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08リュール\nDas sollte kein Problem sein. Du wirst dich\nganz bestimmt mit jedem wunderbar verstehen.\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x06\x04チキ\nHihihiiii! Ich kann es nicht erwarten, sie kennen-\nzulernen! Komm, lass uns gehen!\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マルス\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nMar-Mar! Ich freu mich so, dich wiederzusehen.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x08\x06マルス\nIch bin auch froh, Euch zu sehen. Nun kann ich\nmein Versprechen einlösen, das ich Euch gab:\nIch werde Euch beschützen.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x06\x04チキ\nHihihi. Ich freue mich, dass du dich daran\nerinnerst! Ich habe es auch nicht vergessen.\x0E\x04\x02\x00
MID_ED2_#004	Nun, da wir wieder vereint sind, weiß ich, dass\nich keine Furcht mehr haben muss. Das wird so\nschön sein!\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x08\x06マルス\nIch bin mir sicher, dass ich in jeder Schlacht\nbestehen kann, wenn Ihr an meiner Seite seid,\nTiki.\x0E\x04\x02\x00
MID_ED2_#006	Gemeinsam werden wir Elyos beschützen.\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x06\x04チキ\nIch verspreche dir, ich werde alles geben. Ich\nkann es kaum erwarten, wieder mit dir zu\nreisen!\x0E\x04\x02\x00
MID_ED2_#008	Es gibt so vieles, über das wir uns unterhalten\nkönnen, und so viele Abenteuer, die vor uns\nliegen!\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x02\x08\x06マルス\nIn der Tat. Wir haben eine Menge nachzuholen,\nund so vieles, auf das wir uns freuen können.\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x06\x04チキ\nOh, Mar-Mar! Ich habe dich so sehr vermisst!\x0E\x04\x00\x00
