MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E005_Boss\x021\n\x0E\x03\x02\x14\x12E005_Boss\nWirst du dem Schicksal trotzen, Verzweiflung\nzurückweisen, Bande mit Verbündeten knüpfen?\x0E\x04\x02\x00
MID_OP2_#007	Natürlich wird sie danach etwas Zeit für sich\nselbst benötigen.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x12\x10M011_モーヴ\nAh.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x16\x14E004_グレゴリー\nDie Herzen der Liebenden sind fragil. Du musst\nsanft mit ihnen umgehen, Großer.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x16\x14E004_マデリーン\nKlingt, als würdest du aus Erfahrung sprechen,\nGregory. Warst du schon mal verliebt?\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x16\x14E004_グレゴリー\nNö. Aber ich habe gehört, dass es ebenso\nfurchteinflößend wie belebend sein soll.\nUnd du?\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x16\x14E004_マデリーン\nIch?! Ähä... Nun, ich...\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x12\x10M011_モーヴ\nHm?\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x16\x14E004_マデリーン\nW-wie war die Frage?\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x18\x16E004_セレスティア\nIch mag es nicht, dass wir Mylord Nil und \x0E\x0A\x00\x10\x06den\x06die\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin so lange allein lassen. Aber\nMilady Nel braucht Zeit.\x0E\x04\x02\x00
MID_OP2_#016	Wenn es doch nur eine Möglichkeit gäbe, Milady\nNel mit ihrer Liebe wieder zu vereinen.\x0E\x04\x02\x00
MID_OP2_#017	Wir wissen doch alle, wie nahe sie \x0E\x0A\x00\x10\x06der\x06dem\n\x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott stand.\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x16\x14E004_グレゴリー\nJa, aber das war \x0E\x0A\x00,\x14die andere\x14der andere \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott.\nNicht \x0E\x0A\x00\x1A\x0Cdieser\ndiese \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x18\x16E004_セレスティア\nGlaubst du etwa, ich wüsste das nicht? Ich\nmöchte einfach nur... Milady Nel glücklich\nsehen.\x0E\x04\x02\x00
MID_OP2_#020	Sie verdient jedes Glück.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x16\x14E004_マデリーン\nJa. Eine loyale Bedienstete will stets nur das\nBeste für ihre Herrin oder ihren Herrn.\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x12\x10M011_モーヴ\nDas kann ich nachvollziehen, selbst wenn diese\n„Zärtlichkeit des Herzens“ mir gänzlich unver-\nständlich ist.\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x18\x16E004_セレスティア\nIch bin froh, dass du es verstehst.\x0E\x04\x02\x00
MID_OP2_#024	Und ich hoffe, ihr alle wisst, dass ich mich um\neuch genauso sehr sorge wie um Milady.\x0E\x04\x02\x00
MID_OP2_#025	Ich möchte, dass wir zusammenbleiben und\naufeinander aufpassen.\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x00\x14\x0EE005_エル\x021\n\x0E\x03\x02\x10\x0EE005_エル\nDanke, dass ihr mir alle etwas Freiraum\ngegeben habt.\x0E\x04\x00\x00
MID_OP2_#027	\x0E\x03\x02\x18\x16E004_セレスティア\nBitte, Milady Nel. Das war doch selbstver-\nständlich.\x0E\x04\x00\x00
MID_OP2_#028	\x0E\x03\x02\x16\x14E004_グレゴリー\nFühlt Ihr Euch besser?\x0E\x04\x00\x00
MID_OP2_#029	\x0E\x03\x02\x10\x0EE005_エル\nSehr. Vielen Dank, dass ihr mir die Zeit zum\nNachdenken gelassen habt.\x0E\x04\x02\x00
MID_OP2_#030	Ich glaube, ich habe mich nie richtig mit dem\nVerlust meiner großen Liebe auseinanderge-\nsetzt.\x0E\x04\x02\x00
MID_OP2_#031	Aber ich bedaure, dass ich euch so viele\nProbleme bereitet habe. Ich hätte euch sagen\nmüssen, dass die Königlichen Verzerrte waren.\x0E\x04\x02\x00
MID_OP2_#032	Ihr seid meine zuverlässigen Vertrauten. Und\nich hätte wissen müssen, dass ich auf euch\nsetzen kann.\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x12\x10M011_モーヴ\nIhr ehrt uns, Milady Nel. Ganz ohne Zweifel\nwird auch Mylord Nil durch diese Worte be-\nruhigt sein.\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x02\x10\x0EE005_エル\nGewiss. Ich schulde \x0E\x0A\x00\x10\x06dem\x06der \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin ebenfalls\neine Entschuldigung. Mein Verhalten war\nfurchtbar unhöflich.\x0E\x04\x02\x00
MID_OP2_#035	Ich hoffe, wir können von vorne anfangen, als\nFreunde.\x0E\x04\x00\x00
MID_OP2_#036	\x0E\x03\x02\x18\x16E004_セレスティア\nIch finde, das ist eine großartige Idee! Lasst\nuns zurück zu den beiden gehen. Sie sind\ndes Wartens bestimmt schon überdrüssig.\x0E\x04\x00\x00
MID_OP2_#037	\x0E\x03\x02\x10\x0EE005_エル\nDieses Mal werde ich Euch angemessen\ngegenübertreten, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x02\x00
MID_OP2_#038	Ich werde endlich die Trauer um meine Liebe\nhinter mir lassen und werde in Euch nun die\nPerson sehen, die Ihr wirklich seid.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE005_エル\x021\n\x0E\x03\x00\x1C\x16E004_セレスティア\x022\n\x0E\x03\x00\x1A\x14E004_グレゴリー\x023\n\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x10\x0EE005_エル\nWir sind da.\x0E\x04\x02\x00
MID_OP3_#002	\x0E\x0A\x00*\x14Göttlicher\x12Göttliche? Nil?\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x18\x16E004_セレスティア\nSeltsam. Hier ist niemand.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x16\x14E004_グレゴリー\nSind wir an der falschen Stelle?\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x16\x14E004_マデリーン\nGlaube ich nicht. Wir sind in die richtige Rich-\ntung gegangen, und ich erinnere mich an die\nLandschaft.\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nIch mag die Möglichkeit gar nicht laut aus-\nsprechen, aber es könnte einen Hinterhalt\ngegeben haben.\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x00\x18\x12E005_Boss\x023\n\x0E\x03\x02\x14\x12E005_Boss\nSchwester! Ich bin so froh, dass ihr alle\nwieder zurück seid.\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x02\x10\x0EE005_エル\nNil, ich bin erleichtert, dich unversehrt zu\nsehen.\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x14\x12E005_Boss\nWir haben ein Problem. Die Armringe sind fort.\x0E\x04\x00\x00
MID_OP3_#010	\x0E\x03\x02\x10\x0EE005_エル\nFort? Wieso?!\x0E\x04\x00\x00
MID_OP3_#011	\x0E\x03\x02\x14\x12E005_Boss\n\x0E\x0A\x00\x10\x06Der\x06Die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin nahm sie und ging weg.\x0E\x04\x02\x00
MID_OP3_#012	Ich befürchte, dass \x0E\x0A\x00\x0E\x04er\x06sie plant, das allein zu Ende\nzu bringen.\x0E\x04\x00\x00
MID_OP3_#013	\x0E\x03\x02\x12\x10M011_モーヴ\nDann müssen wir sofort die Verfolgung\naufnehmen.\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x14\x12E005_Boss\nIch konnte eine Verfolgungsmagie wirken, bevor\nwir uns trennten. Die Spur sollte noch sichtbar\nsein.\x0E\x04\x02\x00
MID_OP3_#015	Ich bedaure, dass ich nicht den Mut fand, die\nVerfolgung aufzunehmen. Ehrlich gesagt hatte\nich Angst, von euch allen getrennt zu werden.\x0E\x04\x02\x00
MID_OP3_#016	Ich hoffe, ihr könnt mir meine Feigheit\nverzeihen.\x0E\x04\x00\x00
MID_OP3_#017	\x0E\x03\x02\x10\x0EE005_エル\nDa gibt es nichts zu verzeihen, Nil. Du hast\neine kluge Entscheidung getroffen.\x0E\x04\x02\x00
MID_OP3_#018	Wenn du uns den Weg zeigen kannst, tu es\nbitte.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x14\x12E005_Boss\nSelbstverständlich.\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x02\x10\x0EE005_エル\nDiese schreckliche Situation ist allein meine\nSchuld.\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x02\x14\x12E005_Boss\n...\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE005_エル\x021\n\x0E\x03\x00\x18\x12E005_Boss\x022\n\x0E\x03\x02\x10\x0EE005_エル\nWir sind nun in Solm. Ich kann gar nicht\nbegreifen, welches Ziel \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin verfolgt.\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x02\x14\x12E005_Boss\nWir sind nah am Ziel. Besser gesagt, die Spur\nmeiner Magie endet... genau hier.\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x02\x10\x0EE005_エル\nDas ist irgendeine Art von Tempel.\x0E\x04\x00\x00
MID_OP4_#004	\x0E\x03\x02\x14\x12E005_Boss\nGehen wir hinein.\x0E\x04\x00\x00
MID_OP5_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE005_エル\x021\n\x0E\x03\x00\x18\x12E005_Boss\x022\n\x0E\x03\x00\x1C\x16E004_セレスティア\x023\n\x0E\x03\x00\x1E\x18E005_異形兵_セイジ\x024\n\x0E\x03\x02\x10\x0EE005_エル\nEs ist dunkel hier drinnen. Passt auf, wo ihr\nhintretet.\x0E\x04\x02\x00
MID_OP5_#002	Und du bist sicher, dass \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin sich\nhier befindet?\x0E\x04\x00\x00
MID_OP5_#003	\x0E\x03\x02\x14\x12E005_Boss\nZiemlich sicher.\x0E\x04\x02\x00
MID_OP5_#004	Hinter euch!\x0E\x04\x00\x00
MID_OP5_#005	\x0E\x03\x02\x1A\x18E005_異形兵_セイジ\nRaaarrrh!\x0E\x04\x00\x00
MID_OP5_#006	\x0E\x03\x02\x18\x16E004_セレスティア\nVerzerrte?!\x0E\x04\x00\x00
MID_OP5_#007	\x0E\x03\x00\x1A\x14E004_グレゴリー\x024\n\x0E\x03\x02\x16\x14E004_グレゴリー\nOh, Junge! Und dann auch noch so viele!\x0E\x04\x00\x00
MID_OP5_#008	\x0E\x03\x02\x10\x0EE005_エル\nWir kümmern uns um sie. Bleib hinter mir, Nil.\x0E\x04\x00\x00
MID_OP5_#009	\x0E\x03\x02\x14\x12E005_Boss\nHehehe...\x0E\x04\x00\x00
MID_OP5_#010	\x0E\x03\x02\x10\x0EE005_エル\nNil?\x0E\x04\x00\x00
MID_OP5_#011	\x0E\x03\x02\x14\x12E005_Boss\nIch weiß deine Rücksichtnahme zu schätzen,\nliebe Schwester. Aber ich brauche deinen\nSchutz nicht.\x0E\x04\x02\x00
MID_OP5_#012	Ich gestehe es, ich habe das immer schon an\ndir gehasst. Deine Überlegenheit. Deine\nherablassende Art.\x0E\x04\x00\x00
MID_OP5_#013	\x0E\x03\x02\x10\x0EE005_エル\nBitte?\x0E\x04\x00\x00
MID_OP5_#014	\x0E\x03\x02\x14\x12E005_Boss\nHehehe. Dieser Gesichtsausdruck! Wach auf,\nNel! \x0E\x0A\x00\x10\x06Der\x06Die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin ist nicht hier!\x0E\x04\x00\x00
MID_OP5_#015	\x0E\x03\x02\x10\x0EE005_エル\nErkläre, was das hier sein soll.\x0E\x04\x00\x00
MID_OP5_#016	\x0E\x03\x02\x18\x16E004_セレスティア\nMylord Nil, seid Ihr für die Verzerrten hier\nverantwortlich?!\x0E\x04\x00\x00
MID_OP5_#017	\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nNein... Das wird gewiss ein Versehen sein.\nMylord Nil wusste nicht, wohin er uns hier führt.\x0E\x04\x00\x00
MID_OP5_#018	\x0E\x03\x02\x14\x12E005_Boss\nDenkst du das wirklich? Vielleicht wird dies\nhier deine Meinung ändern.\x0E\x04\x00\x00
MID_OP5_#019	\x0E\x03\x02\x10\x0EE005_エル\nEmblem Chrom. Er sollte doch schlafen.\x0E\x04\x00\x00
MID_OP5_#020	\x0E\x03\x02\x14\x12E005_Boss\nMuss ich es dir etwa erst buchstabieren? Dein\n„unbekannter Frevler“ besitzt die Macht,\nEmbleme aufzuwecken.\x0E\x04\x02\x00
MID_OP5_#021	Und er steht direkt vor dir.\x0E\x04\x02\x00
MID_OP5_#022	Ich bin kein machtloser Fehlschlag. Ich werde\ndie Wünsche des verstorbenen Sombron ver-\nwirklichen!\x0E\x04\x00\x00
MID_OP5_#023	\x0E\x03\x02\x10\x0EE005_エル\nAber du bist mein Bruder.\x0E\x04\x02\x00
MID_OP5_#024	Wir waren immer zusammen. Wir sind zwei\nHälften eines Ganzen. Du kannst nicht unser\nFeind sein!\x0E\x04\x00\x00
MID_OP5_#025	\x0E\x03\x02\x14\x12E005_Boss\nWer sonst könnte es dann sein? Es ist niemand\nmehr übrig. All unsere Geschwister sind tot\nund beerdigt.\x0E\x04\x02\x00
MID_OP5_#026	Ich selbst habe mich ihrer entledigt. Mit einer\nAusnahme natürlich.\x0E\x04\x00\x00
MID_OP5_#027	\x0E\x03\x02\x10\x0EE005_エル\n...!\x0E\x04\x00\x00
MID_OP5_#028	\x0E\x03\x02\x14\x12E005_Boss\nHast du es nun verstanden? Gut.\x0E\x04\x02\x00
MID_OP5_#029	Dann leb wohl, meine geliebte Schwester.\nGenieße es, mit deinen vier kleinen Brisen\nzusammen beerdigt zu werden.\x0E\x04\x02\x00
MID_OP5_#030	Ich werde nun meine Fangzähne in \x0E\x0A\x00\x1A\x0Cdeinen\ndeine\n\x0E\x0A\x002\x18entzückenden\x16entzückende \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin schlagen.\x0E\x04\x00\x00
MID_OP5_#031	\x0E\x03\x02\x10\x0EE005_エル\nNil... Wie kannst du nur?\x0E\x04\x00\x00
MID_OP5_#032	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nMilady Nel, bitte... Wir müssen uns auf die\nSache konzentrieren!\x0E\x04\x00\x00
MID_OP5_#033	\x0E\x03\x00\x1A\x14E004_グレゴリー\x024\n\x0E\x03\x02\x16\x14E004_グレゴリー\nNichts davon ergibt einen Sinn, aber die\nVerzerrten werden nicht warten, bis wir den\nSinn erkannt haben!\x0E\x04\x00\x00
MID_OP5_#034	\x0E\x03\x02\x10\x0EE005_エル\nEs sind viele, aber wir sind stark. Wenn ich mich\nerst verwandelt habe...\x0E\x04\x02\x00
MID_OP5_#035	Nil hat meinen Drachenstein.\x0E\x04\x02\x00
MID_OP5_#036	Und während wir hier in die Enge getrieben\nwerden, befindet sich \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin in\nernsthafter Gefahr.\x0E\x04\x00\x00
MID_OP5_#037	\x0E\x03\x02\x18\x16E004_セレスティア\nMilady Nel. Überlasst dies hier uns.\x0E\x04\x00\x00
MID_OP5_#038	\x0E\x03\x02\x10\x0EE005_エル\nNein, Zelestia.\x0E\x04\x00\x00
MID_OP5_#039	\x0E\x03\x02\x18\x16E004_セレスティア\nMag sein, dass nicht jeder von uns es hier\nhinausschafft, aber wir vier könnten für\nEuch eine Möglichkeit zur Flucht kreieren.\x0E\x04\x02\x00
MID_OP5_#040	Schnell! Ihr müsst diesen Ort verlassen! Geht\n\x0E\x0A\x00\x10\x06zum\x06zur \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin!\x0E\x04\x00\x00
MID_OP5_#041	\x0E\x03\x02\x10\x0EE005_エル\nNein. Ich werde euch nicht zurücklassen!\x0E\x04\x00\x00
MID_OP5_#042	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nZelestia hat recht. Ihr müsst gehen. Ihr\nseid die Einzige, die in der Lage ist, Mylord\nNil aufzuhalten.\x0E\x04\x00\x00
MID_OP5_#043	\x0E\x03\x00\x1A\x14E004_グレゴリー\x022\n\x0E\x03\x02\x16\x14E004_グレゴリー\nWir waren immer diejenigen, die weggerannt\nsind. Lasst uns nur ein einziges Mal Helden sein.\x0E\x04\x00\x00
MID_OP5_#044	\x0E\x03\x00\x1A\x14E004_マデリーン\x023\n\x0E\x03\x02\x16\x14E004_マデリーン\nEs wäre uns eine Ehre, für Eure sichere\nFlucht zu sorgen.\x0E\x04\x00\x00
MID_OP5_#045	\x0E\x03\x00\x1C\x16E004_セレスティア\x023\n\x0E\x03\x02\x18\x16E004_セレスティア\nJetzt, Milady Nel. Beeilt Euch!\x0E\x04\x00\x00
MID_OP5_#046	\x0E\x03\x02\x10\x0EE005_エル\nNun gut.\x0E\x04\x02\x00
MID_OP5_#047	Meine geliebten Vier Winde, hört mich an und\ngehorcht.\x0E\x04\x02\x00
MID_OP5_#048	Überlebt, bis wir uns wiedersehen! Das ist ein\nBefehl!\x0E\x04\x00\x00
MID_OP5_#049	\x0E\x03\x02\x18\x16E004_セレスティア\nWir werden Euch nicht enttäuschen!\x0E\x04\x00\x00
MID_OP6_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E005_Boss\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x14\x0EE005_エル\x023\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP6_#002	\x0E\x03\x02\x14\x12E005_Boss\nHier bin ich, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_OP6_#003	\x0E\x03\x02\x0A\x08リュール\nNil.\x0E\x04\x00\x00
MID_OP6_#004	\x0E\x03\x02\x14\x12E005_Boss\nFür meine liebe Schwester und ihre geschätzten\nVier Winde sollte nun gesorgt sein.\x0E\x04\x00\x00
MID_OP6_#005	\x0E\x03\x02\x0A\x08リュール\nNein...\x0E\x04\x02\x00
MID_OP6_#006	Nun... Wenn dem so ist, solltest du mich einfach\ntöten. Aber ich glaube nicht, dass du das Zeug\ndazu hast.\x0E\x04\x00\x00
MID_OP6_#007	\x0E\x03\x02\x14\x12E005_Boss\nDa irrt Ihr Euch, aber noch habt Ihr eine Rolle\nzu spielen. Nun folgt mir.\x0E\x04\x00\x00
MID_OP6_#008	\x0E\x03\x02\x0A\x08リュール\nIch werde nirgendwo mit dir hingehen.\x0E\x04\x00\x00
MID_OP6_#009	\x0E\x03\x02\x14\x12E005_Boss\nWirklich nicht?\x0E\x04\x00\x00
MID_OP6_#010	\x0E\x03\x02\x0A\x08リュール\nDu sagtest, ich habe eine Rolle zu spielen. Und\nwas ist, wenn ich mich weigere, sie zu spielen?\x0E\x04\x02\x00
MID_OP6_#011	Ich werde nichts tun, was dir zum Sieg ver-\nhelfen wird.\x0E\x04\x00\x00
MID_OP6_#012	\x0E\x03\x02\x14\x12E005_Boss\nWie könnt Ihr nur so grausam sein? Bedeutet\nEuch denn die Liebe meiner süßen Schwester\nso rein gar nichts?\x0E\x04\x02\x00
MID_OP6_#013	Ich hatte doch schon angefangen, Euch als\nFamilie anzusehen. Das geht mir jetzt richtig\nans Herz.\x0E\x04\x00\x00
MID_OP6_#014	\x0E\x03\x02\x0A\x08リュール\nDu kannst mit deinen Lügen jetzt aufhören.\x0E\x04\x00\x00
MID_OP6_#015	\x0E\x03\x02\x14\x12E005_Boss\nHehehe. Euch entgeht aber auch nichts. Aber\nwenn Ihr Euch weigern solltet, kann ich Euch\nauch einfach dazu zwingen.\x0E\x04\x00\x00
MID_OP6_#016	\x0E\x03\x02\x0A\x08リュール\nMach, was du willst. Ich gebe nicht nach.\x0E\x04\x00\x00
MID_OP6_#017	\x0E\x03\x02\x14\x12E005_Boss\nEs gibt nur einen Weg zu sehen, ob das wirklich\nder Fall sein wird. Wollen wir es gemeinsam\nherausfinden?\x0E\x04\x00\x00
MID_OP6_#018	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP6_#019	\x0E\x03\x02\x14\x12E005_Boss\nNel? Wie...\x0E\x04\x00\x00
MID_OP6_#020	\x0E\x03\x02\x10\x0EE005_エル\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Ihr lebt!\x0E\x04\x00\x00
MID_OP6_#021	\x0E\x03\x02\x0A\x08リュール\nNel!\x0E\x04\x00\x00
MID_OP6_#022	\x0E\x03\x02\x14\x12E005_Boss\nHast du die Vier Winde zum Sterben allein\ngelassen? Ich hätte das kommen sehen sollen.\x0E\x04\x00\x00
MID_OP6_#023	\x0E\x03\x02\x10\x0EE005_エル\nNil. Hör sofort damit auf.\x0E\x04\x02\x00
MID_OP6_#024	Vater ist tot. Es gibt keinen Grund mehr, sich\nseinen Wünschen zu beugen.\x0E\x04\x02\x00
MID_OP6_#025	Ich weiß, dass seine Ziele nicht die deinen sind.\nEin Kampf zwischen uns ist bedeutungslos!\x0E\x04\x00\x00
MID_OP6_#026	\x0E\x03\x02\x14\x12E005_Boss\nBedeutungslos? Du weißt doch absolut gar\nnichts über meine Wünsche und Ziele.\x0E\x04\x02\x00
MID_OP6_#027	Zeigt euch, meine Verzerrten!\x0E\x04\x00\x00
MID_OP6_#028	\x0E\x03\x02\x0A\x08リュール\nAber das sind...\x0E\x04\x00\x00
MID_OP6_#029	\x0E\x03\x02\x10\x0EE005_エル\nDie Assassinen, die auf Schloss Lythos waren.\nIhr Angriff war also auch dein Werk.\x0E\x04\x00\x00
MID_OP6_#030	\x0E\x03\x02\x14\x12E005_Boss\nSicher. Du hast es gewagt, die Ziele unseres\nHerrn Vaters zu verhöhnen. Es war meine\nPflicht, dich Fehlschlag zu töten.\x0E\x04\x02\x00
MID_OP6_#031	Genug geredet. Nimm deine Waffe.\x0E\x04\x02\x00
MID_OP6_#032	Überzeuge dich selbst davon, ob dieser Kampf\nbedeutsam ist oder nicht!\x0E\x04\x00\x00
MID_OP6_#033	\x0E\x03\x02\x10\x0EE005_エル\nDas bist nicht du, Nil!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\nHaltet still, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich möchte, dass Ihr mit\neigenen Augen seht, wie jeder Eurer Verbünde-\nten untergeht.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\nNimm dich vor meinen Verzerrten Wyvern in\nAcht. Sie lechzen danach, \x0E\x0A\x00\x1A\x0Cdeinen\ndeine \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin in\nStücke zu reißen.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x05\x01"\x12E005_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E005_Boss\nHrmpf. Werdet ihr Insekten denn niemals\nsterben? Ich habe genug davon! Tötet sie!\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01"\x14E005_Hide2\nSmile\n\x0E\x03\x02\x16\x14E005_Hide2\nKlingt nach Spaß! Ich will beim Töten mit-\nmachen! Ich brauche wohl noch ein paar\nMarionetten dafür.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x05\x01\x1C\x12E005_Boss\x06Shy\n\x0E\x03\x02\x14\x12E005_Boss\nDu bist hier, um mich zu töten? Aber ich\ndachte, wir wären Freunde.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x05\x01"\x12E005_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E005_Boss\nDamit... hast du mich nun endlich ernsthaft\nangegriffen...\x0E\x04\x00\x00
