MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nBist du bereit, Boucheron?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nブシュロン\nDas sind meine Bauchmuskeln.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nエーティエ\nOh... Äh... Entschuldigung. Ich dachte, es wäre\nirgend so ein... magischer Bauchmuskeltrainer.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nエーティエ\nEine... verzauberte Platte, die... den Körper\ntrainiert, wenn man sie nur anlegt.\nOder so was. Keine Ahnung.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nブシュロン\nVon so was habe ich noch nie gehört.\nAber wenn ich mal eine finde, werde ich sie dir\ngerne geben.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nエーティエ\nWie freundlich von dir!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nブシュロン\nJedenfalls hast du mich pünktlich zu meiner\nMittagessenszeit erwischt.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nブシュロン\nDas wird richtig lecker.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nエーティエ\nHalt!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nブシュロン\nWas ist denn jetzt schon wieder?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nエーティエ\nIch wette, dein Geheimnis steckt in diesem\nBrot!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nエーティエ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nエーティエ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nブシュロン\nNein! Mein belegtes Brot!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nエーティエ\nHmmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0C\nエーティエ\nSeltsam. Es hat wie ein ganz gewöhnliches\nbelegtes Brot geschmeckt.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nエーティエ\nIch war mir sicher, du hättest eine besondere\nSoße dazugegeben.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nブシュロン\nZum letzten Mal, ich habe so etwas nicht. Das\nist nur mein Mittagessen, und ich hätte es jetzt\ngerne zurück.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nHey, ich schulde dir eine Entschuldigung.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nブシュロン\nOh?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nエーティエ\nIch habe dich die ganze Zeit beobachtet und\nbeobachtet, aber einfach nichts\nherausgefunden.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nエーティエ\nAlso muss es wohl stimmen, dass deine Muskeln\nganz natürlich so wachsen.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nエーティエ\nTut mir leid, dass ich dir nie geglaubt habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nブシュロン\nSchon in Ordnung, solange du es endlich\nakzeptierst.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nエーティエ\nIch sollte vielleicht erklären, warum ich das\ngetan habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nブシュロン\nIch höre.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nエーティエ\nIch bin nicht eifersüchtig auf deine Figur.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nエーティエ\nAber um des Prinzen willen, dem wir beide\ndienen, wollte ich so viel wie möglich von dir\nlernen.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nエーティエ\nDeshalb war ich so aufdringlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nブシュロン\nDas also war der Grund, hm?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nエーティエ\nJa. Ich bin zwar stark, aber ich könnte zur\nVerteidigung unseres Landes sicher noch mehr\nbeitragen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nエーティエ\nDeswegen wollte ich so stark wie du werden.\nFür Prinz Alfred und unser geliebtes Firene.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nブシュロン\nEtie, du hast das gar nicht richtig durchdacht.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nブシュロン\nWenn du so wärst wie ich, hätte Firene gar\nkeine Verteidigung mehr übrig.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nエーティエ\nWieso das denn?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nブシュロン\nJa, ich bin mit natürlichen Muskeln gesegnet.\nIch kann verstehen, warum du gerne hättest,\nwas ich habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nブシュロン\nDoch dafür mangelt es mir an anderen\nFähigkeiten; so habe ich einen beklagenswert\nschlechten Orientierungssinn.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nブシュロン\nErinnere dich, wie oft du verhindern musstest,\ndass ich mich mitten in der Schlacht verlaufe.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nブシュロン\nIch habe meine Stärken, und du hast die deinen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nブシュロン\nWahre Macht entsteht, wenn wir beide\nzusammenarbeiten, um uns gegenseitig zu\nergänzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nエーティエ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nエーティエ\nSo habe ich das noch nie gesehen, aber du\nhast recht.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nエーティエ\nIch war so versessen darauf, Muskeln\naufzubauen, dass ich das nie so betrachtet\nhabe.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nブシュロン\nMuskeln sind kein Wettbewerb. Sie sind die\nBrücke, die entsteht, wenn wir einander die\nHände reichen.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nブシュロン\nDas ist Boucherons Erstes Muskelgesetz.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nエーティエ\nIch habe keine Ahnung, was das bedeuten soll...\naber es klingt auf jeden Fall sehr schön.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nブシュロン\nIch wollte es dir nur verdeutlichen. Aber das\nscheint wohl nicht geklappt zu haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nブシュロン\nHör mir zu, Etie.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nブシュロン\nIm Namen unseres Prinzen und des Königreichs\nFirene: Ich bin stolz, an deiner Seite zu sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0C\nエーティエ\nIch danke dir. Doch die Ehre ist ganz\nmeinerseits. Folgen wir dem Ersten\nMuskelgesetz und reichen einander die Hände.\x0E\x04\x00\x00
