MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHey! Prinzessin Timerra!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nIn diesem Fall konzentriere ich mich auf meine\neigenen, einzigartigen Produkte. Das wird für\neinen Wettbewerbsvorteil mehr als ausreichen!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nミスティラ\nOh, keine schlechte Idee, Lady Anna!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nIch helfe dir gerne, dem Volk von Solm neue\nProdukte zu liefern. Gib mir einfach Bescheid.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06アンナ\nDanke, Prinzessin Timerra. So, keine Zeit zu\nverlieren. Ich sollte mit meiner Marktforschung\nbeginnen!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHey, Prinzessin Timerra! Drei Mal darfst du\nraten!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\nMein neues Produkt ist endlich marktreif.\nWarte nur, bis du es siehst!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nJa! Du glaubst ja nicht, wie sehr ich mich\ndarauf gefreut habe. Zeig her, zeig her!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06アンナ\nZuerst habe ich mich gefragt: Vor welchen\nProblemen steht das Volk von Solm jeden Tag?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nHm. Starke Sonneneinstrahlung. Wasser-\nknappheit. Ungeziefer. Du glaubst nicht, wie\nviele Krabbelviecher ich schon gesehen habe.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nGute Ideen, aber nein.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nWie oft ist dir schon was in den Sand gefallen\nund du konntest es einfach nicht wiederfinden?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nHuch. Nun, ähm... schon ein paar Mal, denke\nich.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06アンナ\nUnd da kommt das hier ins Spiel!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nミスティラ\nOh! Ein Rechen. Fegt man damit nicht Laub\nzusammen?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06アンナ\nDa denkst du an eine andere Art Rechen.\nMit diesem hier findet man verlorene Sachen\nim Sand!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nミスティラ\nIch... kann nicht ganz folgen.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\nDir fällt was runter, und der Sand verschluckt\nes? Kein Problem – mit dem neuen Sandrechen!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06アンナ\nUnd? Superpraktisch, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nミスティラ\nJ-- Nein. Nicht wirklich, nein.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06アンナ\nIch wusste schon, das wird nichts, noch\nwährend ich es erklärt habe.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nミスティラ\nAber hey, es ist auf jeden Fall innovativ. So was\nhätte sich niemand sonst ausdenken können.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06アンナ\nDanke für die tröstenden Worte, Prinzessin\nTimerra.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06アンナ\nIch gebe noch nicht auf. Das nächste Produkt,\ndas ich entwickele, wird das Hauptgesprächs-\nthema von ganz Solm sein!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nミスティラ\nBraves Mädchen! Zeig's ihnen, Lady Anna!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHmm. Wie gehe ich am besten heran...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x02\x0C\nミスティラ\nHey, Lady Anna. Du machst dir echt total die\nGedanken über das neue Produkt, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06アンナ\nOh. Hey, Prinzessin Timerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\nIch weiß einfach, dass ich nichts in Solm gut\nverkaufen werde – es sei denn, es ist wahrlich\neinzigartig.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nJa, die Konkurrenz ist dort sehr stark.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06アンナ\nWas schaust du denn so traurig?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nAch, du weißt schon. Ich sehe es nicht gerne,\nwenn eine Freundin Sorgen hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06アンナ\nOh, ist das süß.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06アンナ\nAber ich habe keine Sorgen. Also schon, ja, aber\nes ist nicht so schlimm!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nミスティラ\nNicht?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06アンナ\nDie Details an einem neuen Produkt\nauszutüfteln ist meine Lieblingsarbeit.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06アンナ\nWas braucht dieser neue Markt? Wie können\nmeine Waren die Kunden glücklich machen?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\nDas ist nicht leicht, aber sobald ich das Problem\ngeknackt habe, spüre ich einen Rausch, der all\ndas wert ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06アンナ\nDas ist das Beste daran, eine Händlerin zu sein!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nミスティラ\nHm, ja. Das klingt logisch.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06アンナ\nAlso mach dir um mich keine Sorgen.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06アンナ\nIch schaffe das schon. Und sobald es so weit\nist, werden alle in Solm begeistert sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nJa! Das ist die richtige Einstellung!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nミスティラ\nWeißt du, was? Mir ist gerade was eingefallen.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06アンナ\nWas denn?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nEtwas, das du tun solltest, sobald du dein\nschickes neues Produkt fertiggestellt hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nミスティラ\nDu musst deinen Namen in den Titel setzen.\nSo was wie „Lady Annas abgefahrenes\nDingsda“.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06アンナ\nPersönlichkeitszentrierte Markenbildung?\nAch, das wäre mir dann doch etwas peinlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nミスティラ\nVielleicht. Aber wenn es ein Verkaufsschlager\nwird...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nミスティラ\nDann bekommt das deine Familie mit und\nmeldet sich vielleicht bei dir. Richtig?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06アンナ\nWhoa. Prinzessin Timerra...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06アンナ\nDas könnte funktionieren! Wenn das klappt,\ndann ist alles dein Verdienst.\x0E\x04\x00\x00
