MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nIhr scheint \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin gegenüber einen\ngewissen Groll zu hegen, Milady Nel.\x0E\x04\x00\x00\n
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06ベレト\nIch hatte sehr viel Unterstützung von meinen\nStudenten. Ich bezweifle, dass ich es ohne sie\ngeschafft hätte.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06ベレト\nDu solltest keine Angst davor haben, dir von\nanderen helfen zu lassen, Zelestia. Denke\nimmer daran, dass du nicht allein bist.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nHabt Dank. Eure Worte geben mir Kraft.\nEs ist schön zu wissen, dass ich so viel\nUnterstützung genieße.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0C\nグレゴリー\nJetzt mal im Ernst, du hast ständig denselben\nGesichtsausdruck, sogar auf dem Schlachtfeld!\n...Nein, entschuldige. Das war unhöflich.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06ベレト\nIst schon in Ordnung. Das bekomme ich\nziemlich oft zu hören...\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0C\nグレゴリー\nIch hab gehört, dass du Söldner warst, bevor\ndu Magister wurdest. Das nenne ich mal eine\nglückliche Beförderung.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x08\x06ベレト\nEs war wohl eher Schicksal als Glück... So oder\nso, nur dank dieser Fügung konnte ich all\nmeine großartigen Studenten kennenlernen.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0C\nグレゴリー\nEs tut mir leid, dass ich andauernd davonlaufe.\nEin mächtiger Krieger wie du muss mich doch\ndafür hassen...\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06ベレト\nEs ist keine Schande zu fliehen, wenn man\ndadurch überlebt.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06ベレト\nAuch ein Rückzug kann eine sinnvolle Taktik\ndarstellen. Ich habe viele Verbündete verloren,\nweil sie die Gelegenheit dazu verpasst haben.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nErstaunlich, dass du einen Rückzug als Taktik\nansiehst... Aber mit dir an meiner Seite muss\nich vielleicht gar nicht mehr so ängstlich sein.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nIch finde es beeindruckend, dass du gestern\nwieder bis spät in die Nacht trainiert hast,\nnur bitte übertreibe es nicht.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nSeid unbesorgt. Mit diesem Leben, das Mauvier\nschon unzählige Male gerettet hat, werde ich\nnicht leichtfertig umgehen.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nWieso stehst du wie angewurzelt da?\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nB-bitte wartet kurz, Sir Byleth. I-ich werde\ndiesen K-K-Käfer s-sofort verscheuchen!\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nWenn du solche Angst vor Insekten hast,\nMadeline, wieso versuchst du dann, andere\ndas Gegenteil glauben zu lassen?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nIhr seid also dahintergekommen... Ja, ich fürchte\nmich vor Käfern. Aber ich bin eine Ritterin, also\ndarf ich mir solche Schwächen nicht erlauben.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06ベレト\nEs ist nichts dabei, Schwächen zu haben! Sich\nselbst so zu akzeptieren, wie man ist – das ist\nes, was einem hilft, stärker zu werden.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nIch soll mich selbst akzeptieren... Vielleicht habe\nich mich darin geirrt, was eine wahre Ritterin\nausmacht. Ich werde es mir zu Herzen nehmen!\x0E\x04\x00\x00
