MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x12\x0Cアルフレッド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nVander, ich muss mich bei Euch entschuldigen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nNa gut, wenn Ihr meint. Es freut mich, dass ich\nEuch von Nutzen sein konnte.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nSagt mal, ähm... Wäre es in Ordnung, wenn ich\nEuch bald wieder besuche?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nヴァンドレ\nAber sicher. Dann können wir fröhlichere\nErinnerungen an Königin Lumera miteinander\nteilen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nFröhlichere Erinnerungen, hm?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nヴァンドレ\nSo ist es. Das wäre Königin Lumera gewiss\nlieber, als dass wir die Zeit damit verbringen,\nüber unsere Fehler zu brüten, meint Ihr nicht?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x12\x0Cアルフレッド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nAls ich noch ein kleiner Junge war, hat mir\nKönigin Lumera einmal Blumen zum Geburtstag\nüberreicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nDabei handelte es sich um so richtig schöne,\nweiße Blumen. Ich habe allerdings keine\nAhnung, wie sie hießen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nヴァンドレ\nEs werden Anemonen gewesen sein, nehme\nich an. Jene Blumen hat Königin Lumera mit\nbesonders großer Leidenschaft angepflanzt.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nAnemonen... Das muss ich mir merken.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nヴァンドレ\nMir hat Königin Lumera auch einmal Anemonen\ngeschenkt.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, war das auch zu Eurem Geburtstag?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\nNein. Es gab eigentlich gar keinen besonderen\nAnlass dazu.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh. Hmm.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nVielleicht war es ihre Art, Euch für Eure gute\nArbeit und loyalen Dienste zu danken.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nヴァンドレ\nGut möglich. Derartige Gesten waren typisch\nfür sie.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nヴァンドレ\nJener Garten, in dem sie sich immer um die\nAnemonen kümmerte, wurde während der\nSchlacht völlig zertrampelt.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nヴァンドレ\nWo ich nun so darüber nachdenke, wird mir\nbewusst, wie sehr ich mir wünschte, ich hätte\nmehr Zeit mit ihr verbracht.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nNun, wir alle haben Dinge, die wir bereuen. Aber\nuns bleibt nichts übrig, als nach vorn zu blicken.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nEs liegt nun an uns, das Volk zu beschützen,\nso wie Königin Lumera es stets getan hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x12\x0Cアルフレッド\x022\n\x0E\x03\x02\x0C\nヴァンドレ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nWas gibt es denn, Vander? Eure Einladung hat\nmich doch etwas überrascht.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nSeht Euch das einmal an.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nDas sind ja... Anemonen? Und sogar ein ganzer\nGarten davon! Aber wieso hier?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\nEs schien mir eine Verschwendung zu sein, sie\nnur innerhalb des Schlosses wachsen zu lassen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nヴァンドレ\nAlso pflanzte ich alle Anemonen, die ich finden\nkonnte, hier draußen an, auf dass jeder sich an\nihrer Schönheit erfreuen möge.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nヴァンドレ\nIch muss gestehen, ich hatte allerdings nicht\nerwartet, dass sie SO sehr gedeihen würden...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nEs sind wirklich schöne Anemonen geworden,\ndas muss ich Euch lassen.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nWenn ich sie so ansehe, überkommt mich das\nmerkwürdige Gefühl, als wäre Königin Lumera\nhier an meiner Seite.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nヴァンドレ\nIch weiß genau, was Ihr meint.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nDeshalb wollte ich, dass Ihr sie auch zu sehen\nbekommt, Prinz Alfred.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nDanke. Das bedeutet mir sehr viel.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nWie wäre es, wenn wir zwei hier sogar noch\nmehr Anemonen einpflanzen, wenn erst einmal\nwieder Frieden eingekehrt ist?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nヴァンドレ\nJa. Wir sollten sie gemeinsam anpflanzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nUnd dieses Mal werden wir dafür sorgen, dass\ndem Garten nichts geschieht.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nDann kann Königin Lumera von hier aus ihr Volk\nbehüten.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nヴァンドレ\nJa, so hätte sie es sich gewünscht, Prinz Alfred.\x0E\x04\x00\x00
