MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nOooh, was hab ich denn da gefunden? Einen\nAlfred! Wusste gar nicht, dass es den hier gibt!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nSo. Wo kommst du eigentlich her?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\nOooh, mal wieder typisch. Schießt mal eben die\nFragen raus wie gezackte Pfeile aus der\nDeckung!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ユナカ\nMit so einem Hinterhalt schaffst du's ja fast,\n'ne ehrliche Antwort aus mir rauszukriegen.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nWunderbar. Ich bin ganz Ohr.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ユナカ\nÄh... verdammt...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ユナカ\nIrgendwo aus, äh... Brodia.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nAh, ich verstehe. Danke, dass du dich mir\ngeöffnet hast!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\nHier, könntest du darüber bitte schweigen?\nStumm bleiben? Wie ein Fisch? Im Grab?\nUnter dem Meeresgrund?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ユナカ\nEs könnte unangenehm für mich werden, wenn\ndas rauskäme, und gewisse Leute eins und eins\nzusammenzählen würden.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nVerstanden. Meine Lippen sind versiegelt.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ユナカ\nDanke, Alfred. Hör mal, ich weiß, dass du dich\nmehr mit mir unterhalten willst, aber es ist\nleider nicht so einfach.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ユナカ\nEs kann für uns beide ganz übel enden, wenn\ndu mir die falschen Fragen stellst.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nÄh...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\nIch habe eine ganze Menge zu verbergen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ユナカ\nUnd ich will dich nicht anlügen. Aber wenn du\nmich dazu zwingst, werde ich es tun.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ユナカ\nWeil das immer noch weit besser ist als der\nMist, der dir ins Haus steht, wenn du zu viel\nüber mich rausfindest.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nEs tut mir leid, dass es so sein muss, aber...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nNein, ich habe schon verstanden. Ich werde dich\nnicht drängen.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nEs ist nicht meine Absicht, dir Ungemach zu\nbereiten.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ユナカ\nDas weiß ich zu schätzen, Alfred. Ernsthaft.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nAber letztes Mal habe ich gesagt, ich würde\nmich gerne mehr mit dir unterhalten, und dazu\nstehe ich auch weiterhin.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nEs muss ja nichts Persönliches sein. Wir können\nüber alles reden. Zum Beispiel über unsere\nLieblingsblumen!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06ユナカ\nJa! Fantastisch! Ab sofort stopfe ich dir jeden\nTag das Hirn mit obskuren Waffenfakten voll,\nbis es platzt!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nIst ja schon irre, wenn man so drüber\nnachdenkt...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nWas denn?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nWo ich wäre, wenn ich Micaiahs Stimme in dem\nRing nicht gehört hätte. HIER wäre ich\njedenfalls nicht, oder?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ユナカ\nIrgendwie beunruhigend, dass so ein großer\nWandel in meinem Leben auf so einem kleinen\nZufall beruht.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nNein. Es ist kein Zufall, dass du jetzt eine von\nuns bist.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nDu bist einfach du.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ユナカ\nWas meinst du?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nDu bist hier, weil du willst, dass Micaiahs\nWunsch in Erfüllung geht.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nDank deinem großen Herzen sind wir jetzt\nVerbündete. Ich bin froh, dich auf unserer Seite\nzu wissen!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ユナカ\nOch... Ruhe, Alfred!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ユナカ\nDU bist der mit dem großen Herzen. Wirklich.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ユナカ\nVerglichen mit dir... bin ich eine feige Socke.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ユナカ\nIch habe alles verborgen, was ich bin. Alles, was\nich getan habe. Nur für die Chance, hier\ndazugehören zu dürfen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ユナカ\nWenn du die Wahrheit über mich wüsstest,\nhättest du so viele zusätzliche Sorgen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nIch glaube, du würdest mehr tun, als mich zu\nverachten. Ich glaube, du würdest mich jagen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nHmm... nein. Nein, das würde ich nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ユナカ\nWas meinst du, du würdest das nicht?\nDu kannst doch nicht einfach SAGEN,\ndu würdest das nicht!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ユナカ\nIch habe deinen Kopf mit Waffenfakten\nvollgestopft. Von mir selbst weißt du doch\nfast gar nichts!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ユナカ\nDu kannst mich nicht einfach als das\nakzeptieren, was ich bin, ohne das überhaupt zu\nwissen. Das geht nicht. Das ist... unfair.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nDann soll es meinetwegen unfair sein. Damit\nkann ich leben.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch kann auch damit leben, deine Vergangenheit\nnicht zu kennen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch vertraue dir, Yunaka. Das werde ich immer\ntun.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ユナカ\nOh Mann, Alfred...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch muss dir nicht erklären, warum ich dir\nvertraue.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cアルフレッド\nGenauso, wie du mir nicht beweisen musst,\ndass ich dir vertrauen sollte.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ユナカ\nDu bist... so komisch.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ユナカ\nIch meine, ich weiß selbst, dass ICH bizarr bin,\naber du bist ja ein noch durchgeknallterer Vogel.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nHahaha, da hast du mich erwischt!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cアルフレッド\nSo unter uns durchgeknallten Vögeln...\nich hoffe, dass wir noch eine lange Zeit\nFreunde bleiben.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06ユナカ\nJa. Das hoffe ich auch.\x0E\x04\x00\x00
