MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0A\x08リュール\nZelestia, hast du noch immer keine Pause\neingelegt?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nHnnng...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cセレスティア\nSo. Schon viel besser.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Ihr müsst wirklich sehr hungrig gewesen sein,\num Euch so zu bekleckern. Wie niedlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nAlso, so sehr ich diese Geste auch zu schätzen\nweiß, aber ich bin doch kein kleines Kind mehr!\nWie peinlich...\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nÄh... Danke nochmals für das Essen.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nGern geschehen! Ich hoffe, es hat geschmeckt.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nAh... In der Tat...\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nZelestia? Stimmt etwas nicht? Du wirkst so\nanders als sonst.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nIch fühle mich bloß etwas angespannt.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nWieso das? Ist irgendetwas vorgefallen?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nIch fürchte, dass diese Momente der Freude\nschon bald vorbei sein werden. Und dass die\nGrausamkeiten des Krieges zunehmen.\x0E\x04\x02\x00
MID_RELIANCE_S_#008	Was wäre, wenn wir bereits morgen schon\nunsere Zeit nicht mehr so wie jetzt miteinander\nverbringen können?\x0E\x04\x02\x00
MID_RELIANCE_S_#009	Oder wenn Ihr... oder ich... nicht wieder heil\nzurückkehren?\x0E\x04\x02\x00
MID_RELIANCE_S_#010	Diese gemeinsamen Mahlzeiten sind für mich\nzu einem täglichen Quell der Freude geworden.\nDoch wird es noch weitere Mahlzeiten geben?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nIch hatte ja keine Ahnung, dass dich diese\nGedanken so sehr belasten...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0E\x0Cセレスティア\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche... Nie hätte ich es mir träumen lassen,\ndass mir die Zeit, die ich mich Euch verbringe,\nso viel Freude bereitet... Und so viel Furcht.\x0E\x04\x02\x00
MID_RELIANCE_S_#013	Kriege erfordern nun mal Opfer. Dessen bin\nich mir bewusst, wann immer ich auf dem\nSchlachtfeld stehe.\x0E\x04\x02\x00
MID_RELIANCE_S_#014	Und doch... weiß ich nicht, wie ich den Verlust\neiner mir geliebten Person verschmerzen würde.\x0E\x04\x02\x00
MID_RELIANCE_S_#015	In meiner anderen Welt hatte ich Freunde,\ndie ich für immer an meiner Seite wähnte.\nUnd nun sind sie fort.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nIch kann deine Gefühle verstehen. Immerhin\nmusstest du deine eigene Welt hinter dir lassen.\x0E\x04\x02\x00
MID_RELIANCE_S_#017	Um solche Wunden zu heilen bedarf es viel\nmehr, als eine launige Zeit zu verbringen und\nneue Freundschaften zu schließen.\x0E\x04\x02\x00
MID_RELIANCE_S_#018	Bitte verzeih, dass du meinetwegen Kummer\nhast.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0E\x0Cセレスティア\nOh! Ihr müsst Euch doch nicht entschuldigen,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Ich hätte mich in das alles nicht so\nhineinsteigern sollen.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nDu bedeutest mir viel und ich möchte nicht,\ndass du dich jemals wieder so schlecht fühlst.\x0E\x04\x02\x00
MID_RELIANCE_S_#021	Und deshalb gebe ich dir diesen Paktring.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0E\x0Cセレスティア\nDas dürft Ihr nicht! Dazu ist der Paktring viel zu\nwertvoll!\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nIch hatte bereits geplant, ihn dir zu schenken.\nBetrachte ihn als eine Art Versprechen, dass\nunsere gemeinsame Zeit niemals enden wird.\x0E\x04\x02\x00
MID_RELIANCE_S_#024	Wir sind nun so etwas wie eine Familie, und in\nFamilien ist es üblich, seine Mahlzeiten stets\nzu teilen.\x0E\x04\x02\x00
MID_RELIANCE_S_#025	Also lass uns weiterhin zusammen essen.\nMorgen... Den Tag darauf... So lange wir leben.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0E\x0Cセレスティア\nI-Ich danke Euch, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Es ist mir eine\nEhre, diesen Ring von Euch zu erhalten.\x0E\x04\x02\x00
MID_RELIANCE_S_#027	Ihr ahnt nicht, wie glücklich Ihr mich damit\nmacht.\x0E\x04\x02\x00
MID_RELIANCE_S_#028	Es war schon immer mein größter Wunsch,\nEuch eine Stütze zu sein und Euch auch ein\nbisschen verwöhnen zu dürfen.\x0E\x04\x02\x00
MID_RELIANCE_S_#029	Doch es erscheint mir fast so, als wärt Ihr\n\x0E\x0A\x00(\x12derjenige\x12diejenige, \x0E\x0A\x00\x10\x06der\x06die mir den nötigen Halt gibt,\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin \x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0E\x0Cセレスティア\nIhr seid für mich meine Familie. Ich will Euch\nstets ehren und schwöre hiermit, Euch niemals\nwieder von der Seite zu weichen.\x0E\x04\x00\x00
