MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nIch bin hocherfreut, an Eurer Seite sein zu\ndürfen. Ich habe Lumera gelobt, Euch bei\nmeinem Leben zu beschützen.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0A\x08シグルド\nUnd sie – da bin ich sicher – war froh, Euch an\nihrer Seite zu haben. Dann lasst uns nun ge-\nmeinsam ihr Werk fortführen.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nDu bewunderst \x0E\x0A\x00\x10\x06den\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin, nicht wahr,\nClanne?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nJa! Ich habe so lange darauf gewartet, dass \x0E\x0A\x00\x10\x06der\x06die\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin erwacht. Es ist, als wäre ich in\neinem Traum!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06クラン\nHeute habe ich sehr viel mit \x0E\x0A\x00\x10\x06dem\x06der Göttlichen\ngesprochen! Lord Sigurd, ich bin sooo glücklich,\nich könnte glatt in Ohnmacht fallen.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x0A\x08シグルド\nEine Ohnmacht während eines Gesprächs?\nDas würden manche als unhöflich ansehen!\nBemühe dich, aufrecht zu bleiben, Clanne.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06クラン\nIch wollte \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin helfen, daher will\nich stark sein. Wie werde ich stark, Lord Sigurd?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x0A\x08シグルド\nDie Pflicht eines Ritters ist es, sein Volk zu\nbeschützen. Das allein war für mich Ansporn\ngenug, um täglich zu trainieren.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x0A\x08シグルド\nAber Stärke allein reicht nicht. Auch Leiden-\nschaft muss stets dabei sein. Studiere dein\nHerz.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nMein Herz... Hm. Ja. Ich danke Euch, Lord\nSigurd. Ich werde darüber nachdenken!\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nLumera hat in den höchsten Tönen von dir\ngesprochen. Sie sagte, du seist auf ihre per-\nsönliche Bitte hin ins Somniel gezogen.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06フラン\nKönigin Lumera hat mich erwähnt?! Ich fühle\nmich so geehrt! Ich verspreche, ich werde Euch\nnicht enttäuschen, Lord Sigurd.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06フラン\nIch habe einmal das Schlafgemach \x0E\x0A\x00\x10\x06des\x06der Gött-\nlichen dekoriert. Es sah so toll aus! Aber Vander\nwar total wütend auf mich.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x0A\x08シグルド\nSicher waren deine Intentionen voller Achtung.\nEtwas besonders Nettes zu tun wie das, ist\nlobenswert.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06フラン\nIch schreibe meiner Familie einen Brief.\nIch vermisse sie so sehr.\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x0A\x08シグルド\nIch habe niemals einen Brief von meinem Kind\nerhalten, doch ich hätte mich sehr darüber\ngefreut, wenn es möglich gewesen wäre.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nOooh, wie traurig. Lord Sigurd, wäre es in\nOrdnung, wenn ich Euch irgendwann mal einen\nBrief schreibe?\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x0A\x08シグルド\nDas ist sehr lieb von dir, Framme. Einen Brief\nvon dir zu erhalten, würde mich sehr glücklich\nmachen.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIch habe \x0E\x0A\x00\x10\x06den\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin sehr oft besucht, als\n\x0E\x0A\x00\x0E\x04er\x06sie schlief. \x0E\x0A\x00\x0E\x04Er\x06Sie ist praktisch Familie für mich!\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x0A\x08シグルド\nEine beständige Anwesenheit kann ein stärkeres\nBand formen, als selbst Blut es vermag. Man\nmuss es in Ehren halten.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nMeine Schwester hielt mich für unbesonnen,\nda ich um meiner Freunde willen in die Schlacht\nzog. Was sagt Ihr dazu?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nMeine Schwester nennt mich aus dem gleichen\nGrund stets einen „Barbaren“. Aber ein guter\nLauf lässt mich das vergessen!\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMein Vater starb bei einer Epidemie, als ich\nnoch klein war. Wir waren beide schwach – ich\nkann von Glück sagen, dass ich überlebt habe.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0A\x08シグルド\nIch trauere für Euren Vater, der ein kleines Kind\nzurückließ. Ich kenne dieses Gefühl nur zu gut.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nEs führte aber dazu, dass ich stark werden\nwollte! Ich habe einen schwachen Körper, aber\neinen starken Willen, ihn zu trainieren.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0A\x08シグルド\nDann sehe ich keine Grenzen hinsichtlich der\nStärke, die Ihr erreichen mögt. Ihr könntet Euren\nVater übertreffen!\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nLass uns zu den Waffen greifen und das Volk\nverteidigen. Das Band zwischen uns zeigt, dass\nwir die Welt verändern können.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\n„Band“ ist ein gutes, starkes Wort. Ich könnte\nmich daran gewöhnen, ein Emblem an meiner\nSeite zu haben.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nブシュロン\nHm? Bin ich nicht von hier aus losgegangen?\nWie komme ich hier nur wieder heraus?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0A\x08シグルド\nIch hatte mich schon gefragt, ob du dich ver-\nlaufen hast. Komm, ich zeige dir den Weg. Ich\nsehne mich nach einem Gesprächspartner.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nブシュロン\nIst es wahr, dass Ihr einen Sohn habt, Sigurd?\nIch wette, er ist ein herausragender Ritter.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0A\x08シグルド\nEr war in der Tat ein ruhmreicher Ritter.\nNach meinem Tod, leider.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nOh! D-das wusste ich nicht. Es tut mir sehr leid,\ndas zu hören.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0A\x08シグルド\nMach dir keine Gedanken. Das Band zwischen\nmir und ihm überdauert Zeit und Raum. Er ist\nder Sohn seines Vaters.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nエーティエ\nHey, Sigurd. Genießt Ihr den Tag? Ich tue es\nganz sicher, ich war gerade laufen.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0A\x08シグルド\nAh, das würde erklären, warum du so aussiehst,\nwie du aussiehst. Ähm... Ich meine damit nur,\ndass du gut gebaut bist.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nエーティエ\nMögt Ihr Tee, Sigurd? Und wenn Ihr das tut,\nmöchtet Ihr mit mir eine Tasse trinken?\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0A\x08シグルド\nWenn du mir das anbietest, wie könnte ich da\nablehnen? Ich kann den Tee nicht trinken, doch\nich werde die Gesellschaft genießen.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nエーティエ\nMeine Eltern waren zu mir strenger als zu\nmeinen Geschwistern. Ich machte mir ständig\nSorgen, ob sie mich hassen würden.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0A\x08シグルド\nSie haben viel von dir erwartet, weil sie viel\nPotenzial in dir sahen. Du hast dadurch\nDisziplin erlernt, nicht wahr?\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nNun, sie gaben mir einen Körper, mit dem ich\nlaufen kann – und das Laufen entspannt mich.\nSo ist das.\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0A\x08シグルド\nNatürlich wünschen sich Eltern, ihre Kinder\nbeschützen zu können. Die Gründe mögen sich\ndem Kind allerdings nicht erschließen.\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nEs ist mir eine Ehre, mich mit Euch unterhalten\nzu dürfen, Emblem Sigurd. Dürfte ich Euch auf\neine Tasse Tee einladen?\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0A\x08シグルド\nEs wäre mir eine Freude. Ich kann den Tee nicht\nmehr trinken, aber Eure Geschichten würden\nmich sehr erfreuen.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nIch bezweifele kaum, dass Euer Vater erfreut\nsein würde zu sehen, zu welch ausgezeichneter\nKöniglichen Ihr herangewachsen seid.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nIch arbeite hart zu Ehren seines Andenkens.\nSelbst nach dem Krieg wird meine Nation einer\nfürsorglichen Pflege bedürfen.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nIch würde alle nötigen Mühen für mein Land auf\nmich nehmen. Nichts Geringeres wird von\nKöniglichen erwartet.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x0A\x08シグルド\nEine Königliche hat viele Pflichten. Ihr müsst\nmit aller Vorsicht abwägen, welche die\nwichtigste davon ist.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08シグルド\nMacht Euch mit Eurem Volk und seinen Bedürf-\nnissen und Beweggründen vertraut – damit kein\nendloser Kreislauf des Hasses entsteht.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0A\x08セリーヌ\nIch danke Euch, dass Ihr diese Ansicht mit mir\ngeteilt habt, Sigurd. Eure hart erkämpfte Er-\nfahrung ist von unschätzbarem Wert.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nDu bist der naturgegebene Liebling aller, nicht\nwahr? Ich könnte von dir das ein oder andere\nüber Warmherzigkeit lernen.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x06\x04ルイ\nMir gefällt es einfach, anderen zu Diensten zu\nsein. Ich bin glücklich, wenn Leute in meiner\nAnwesenheit interagieren.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x06\x04ルイ\nIch habe sehr viel gelernt, indem ich Euch\nbeobachtet habe, Sigurd. Ich hoffe, ich werde\neines Tages ebenfalls so ein großartiger Ritter.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x0A\x08シグルド\nRitter müssen für das Volk in die Schlachten\nziehen. Unterstützen wir einander, damit es\nstets geschützt sein möge.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x06\x04ルイ\nWusstet Ihr, dass ich mein Geld mit dem Ver-\nkauf des berühmten Traubengetränks meiner\nHeimat und von Süßigkeiten bestritt?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x0A\x08シグルド\nAaah, die Frucht der Rebe. Einst genoss ich\ndiese, und teilte dabei Träume mit meinen\nbesten Freunden...\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nIch würde Euch zu gerne bei einer solchen\nGelegenheit Gesellschaft leisten. Es gibt so\nvieles, das ich Euch fragen möchte, Sir Sigurd.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x0A\x08シグルド\nEs wäre sicherlich schön, die ein oder andere\nErinnerung mit dir aufleben zu lassen.\nIch nehme deine Einladung an, Louis.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06クロエ\nIch bin so aufgeregt, an Eurer Seite kämpfen\nzu dürfen, Sir Sigurd. Ihr seid wie ein Ritter\naus einem Märchen!\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x0A\x08シグルド\nIch bin kein Held wie aus dem Bilderbuch, nur\nein Mann, der für das Volk kämpft. Etwas, an\ndas wir beide glauben.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06クロエ\nSigurd, seht mal! Ich habe ein ganz besonderes\nImbissbudengericht entdeckt, aus getrocknetem\nund fermentiertem Fisch.\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x0A\x08シグルド\nDer Geruch ist... überwältigend. Das ist ein\nGericht? Das muss in der Tat etwas für Kenner\nsein.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06クロエ\nIhr ruht Euch hin und wieder aus, nicht wahr,\nSigurd? Selbst Embleme benötigen Erholung...\nvermutlich.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x0A\x08シグルド\nHm. Ich fühlte mich zuletzt bei meinem ein-\njährigen Aufenthalt in Silesse wirklich wohl.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nSo lange her, hm? Warum erholt Ihr Euch nicht\nein Weilchen? Man hat mir gesagt, meine\nSchulter sei ein ausgezeichnetes Kopfkissen.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x0A\x08シグルド\nIch muss ablehnen, aufgrund meiner nicht-\nkörperlichen Form. Vielleicht darf ich dir\nstattdessen eine Geschichte erzählen.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nEs ist mir eine Ehre, an Eurer Seite zu kämpfen,\nSigurd. Wie ich hörte, seid Ihr ein Held, der\nschon viel Ungemach erfahren hat.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x0A\x08シグルド\nDas ist wahr. Doch meine Freunde halfen mir,\nin meiner Zeit viel zu erreichen. Auch sie sind\nHelden.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nSigurd... Ich habe Probleme mit Magie. Ich\ntrage eine schmerzhafte Erinnerung aus der\nKindheit mit mir, die mit „Feuer“ zu tun hat.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x0A\x08シグルド\nSeltsam. Auch ich trage eine schmerzvolle Er-\ninnerung in mir, bei der es um Feuer geht. Ich\nwerde diesen furchtbaren Tag nie vergessen.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nIch hoffe, Ihr werdet mit nach Brodia kommen,\nSigurd, wenn dieser Krieg beendet ist. Ich\nkönnte so viel von Euch lernen.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0A\x08シグルド\nEin großes Kompliment von einem Mann mit\nEuren Fähigkeiten... Aber \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin\nmuss dem zustimmen.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0A\x08シグルド\nDoch wie dem auch sei, Ihr und ich teilen ein\nstarkes Band. Nah oder in der Ferne, dieses\nBand wird nie vergehen.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nGut gesprochen, Sigurd. Mit Eurer Hilfe werde\nich in dieser Schlacht bis zu ihrem Ende\nbestehen.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08アンバー\nIhr seid ein Heiliger Ritter, nicht wahr, Sigurd?\nMann, das ist so was von klasse! Ich kann gar\nnicht glauben, dass ich mit Euch rede!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x0A\x08シグルド\nDein Enthusiasmus berührt mich, Amber...\nDoch sind wir jetzt Freunde. Du kannst ganz\nentspannt sein. Bitte.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nIch hörte, du seist der Sohn eines Landwirtes.\nDu musst wirklich hart dafür gearbeitet haben,\num zum Ritter aufzusteigen.\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08アンバー\nZiemlich! Ich habe mich im Reiten geübt. Ich\nwünschte, ich hätte das auf einem Alpaka\ntun können... aber die sind zu klein dafür!\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nIch wurde in einer Schlacht getötet, als meine\nTräume noch unerfüllt waren. Glücklicherweise\nkonnte mein Sohn meine Träume vollenden.\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nWhoa... Ich hoffe, ich kann so gut kämpfen wie\nEuer Sohn. Ich will ein wahres Alpaka-Weiler-\nWunder werden!\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08シグルド\nHahaha... Es muss wundervoll sein, zu sehen,\nwie sein Kind zu einem Helden heranwächst.\nBleibe deinen Leidenschaften treu, Amber!\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\nDas werde ich! Ich kann sehr viel von Euch\nlernen, Sigurd. Ich hoffe, Ihr bleibt hier.\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nIch gelobe, der Ehre, die mir durch Euch zuteil\nwird, gerecht zu werden, Sigurd. Wenn Ihr eine\neiserne Mauer benötigt, bin ich für Euch da.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08シグルド\nIch danke dir, Jade. Lass uns vereint unsere\nVerbündeten auf ritterliche Art beschützen...\nganz unbefangen.\x0E\x04\x00\x00
