MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nGuten Morgen, Prinz Diamant. Ihr seid offenbar\nein früher Vogel, so wie ich.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nAber sicher, Prinz Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nSuchen wir uns ein ruhiges Eckchen.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nDiese Konversation sollte privat sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x04\x03\x04
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nSo. Jetzt, da alles arrangiert ist... Was gibt es\ndenn so Wichtiges?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nA-hrm.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nPrinz Alfred, ich teile die folgende Sorge mit\nEuch nicht als Euer Freund, sondern als\nKronprinz von Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\n!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nWie Ihr wisst, priorisiert das Königreich Brodia\nsein Militär vor allen anderen Bereichen.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nIn unserem Königreich leben viele ehrgeizige\nLeute. Das mag diese Priorisierung erklären.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nAuch unsere Kultur lehrt uns, dass es ehrenhaft\nsei, sich Dinge mit Gewalt zu nehmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nSprecht weiter...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nDank Königin Ève haben unsere zwei Nationen\neinen Nichtangriffspakt unterzeichnet.\nAllerdings...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nIhr wollt sagen, dass Ihr die Einhaltung dieses\nPaktes nicht garantieren könnt.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nDas ist korrekt.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nWas, glaubt Ihr, wird geschehen?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nIch habe meine Hoffnungen, aber ich werde sie\nmeinem Königreich nicht einfach aufzwingen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nDer Wille meines Volkes geht vor. Ich muss für\njene Zukunft kämpfen, die ihm am nützlichsten\nist.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch verstehe. Ich befinde mich in einem\nähnlichen Dilemma.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nDennoch wird alles gut. Ihr müsst Euch keine\nSorgen machen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nWie könnt Ihr da so sicher sein?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nNun, ich meine... Alle aus Brodia scheinen so\nnett zu sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nIch bin mir nicht sicher, ob Ihr gerade scherzt.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch kann nicht für das ganze Königreich\nsprechen, aber die Brodianer, die ich bisher\ngetroffen habe, waren freundlich genug.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch denke nicht, dass sie einen Krieg über\nNichtigkeiten beginnen wollen. Daher denke ich,\ndass alles schon werden wird.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nIn dieser Hinsicht vertraue ich den guten\nBürgern von Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cディアマンド\nIhr vertraut dem guten Willen anderer? Selbst\nden Bürgern benachbarter Königreiche?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cアルフレッド\nLetztlich sind wir alle gleich, egal, woher wir\nstammen. Ist es so schlimm, anderen zu\nvertrauen?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0E\x0Cディアマンド\nHahaha.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0E\x0Cディアマンド\nNein, das ist überhaupt nicht schlimm.\nTatsächlich mag Vertrauen sogar die wichtigste\nEigenschaft eines Anführers sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0E\x0Cアルフレッド\nHahaha, da sind wir ganz einer Meinung.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0E\x0Cディアマンド\nIch bin froh, Euch getroffen zu haben, Prinz\nAlfred.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0E\x0Cディアマンド\nAuf unsere wachsende Freundschaft – und auf\ndas Vertrauen – zwischen den Kronprinzen\nverbündeter Königreiche.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch freue mich darauf, mit Euch zusammenzu-\narbeiten, Prinz Diamant!\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch denke, das ist der Beginn von etwas\nWunderbarem zwischen unseren Nationen.\nUnd zwischen uns.\x0E\x04\x00\x00
