MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nSeadall, ich hörte, du seist wirklich gut im\nWahrsagen.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\nDas weiß ich nicht genau. Ich denke, ich muss\neinfach abwarten, dass es zu mir zurückkehrt,\nwenn es dazu bereit ist.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\nUnd wie wäre es, wenn du mir trotz allem\nwahrsagst? Mir macht es nichts aus, wenn du\nes falsch machst.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セアダス\nWie? Aber wieso?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nTu mir den Gefallen. Ich werde einfach davon\nausgehen, dass du nicht richtig liegst.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08セアダス\nWenn Ihr es Euch so wünscht. Fangen wir an...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08セアダス\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08セアダス\nEs wurde offenbart! Geht auf den Markt und\ngleicht einer Katze im Gebaren. Sodann sollen\nEuch Freude und Glück widerfahren.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08ヴェイル\nWie eine Katze benehmen... auf dem Markt?\nDas ist schon etwas seltsam, oder?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08セアダス\nDefinitiv seltsam. Ich sagte Euch ja, ich kann\nes momentan nicht. Vergesst es einfach.\nDas wird sich nicht bewahrheiten.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08ヴェイル\nHihihi, wenn du das sagst.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nSeadall! Deine Vorhersage neulich. Sie war\nrichtig!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\nWie meint Ihr das?!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nIch tat, was du mir gesagt hast. Ich bin zum\nMarkt gegangen und habe mich dort wie eine\nKatze benommen. Ich habe ganz viel miaut.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\nEhrlich? Aber ich sagte Euch doch, meine\nVorhersage zu ignorieren.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nIch dachte, ich probiere es einfach mal aus.\nNur so aus Spaß, weißt du? Aber dann ist etwas\nUnglaubliches passiert.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\nIch habe miaut und miaut, und dabei so sehr\nwie eine Katze geklungen, dass alle Mäuse\nvom Markt geflüchtet sind.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\nDas hat alle auf dem Markt sehr froh gemacht...\nso froh, dass sie mir feine Leckereien zum Dank\nschenkten.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ヴェイル\nDas war alles so aufregend, dass ich plötzlich\ngar nicht mehr müde war. Deine Vorhersage war\ngenau richtig!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セアダス\nWirklich? Es fühlte sich so... seltsam an, als ich\nsie aussprach. Aber wenn sie den Nagel auf den\nKopf getroffen hat, dann... bin ich wieder da!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セアダス\nAber ich denke nicht, dass ich das nun überall\nverkünden werde.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ヴェイル\nWas willst du damit sagen?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nIhr seid sehr nett, Milady Veyle. Das seid Ihr\nwirklich.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セアダス\nIch hatte mein Selbstvertrauen verloren und Ihr\nerfindet einfach so eine gar entzückende\nGeschichte, um mich wieder aufzubauen.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nUnd sie hat mich wirklich wieder aufgebaut.\nIch danke Euch dafür.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nSag doch so etwas nicht. Ich habe die Wahrheit\ngesagt! Das habe ich wirklich!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nIch wäre sehr verärgert, wenn du mir nicht\nglauben würdest!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セアダス\nSchon gut, schon gut. Wenn das so ist, dann...\nglaube ich Euch. Zufrieden?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セアダス\nNun, da ich getan habe, was Ihr verlangt habt\nund Eure Geschichte nun glaube, erlaubt mir,\nEuch noch einmal wahrzusagen.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ヴェイル\nWenn du das möchtest. Sicher.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セアダス\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nEs wurde offenbart! Unter vollem Mond klaubt\nBlütenblätter, schimmernd wie Gold. Ein kühner\nWunsch wird erfüllt, das Glück ist Euch hold.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ヴェイル\nBlütenblätter sammeln, die wie Gold\nschimmern... Bei Vollmond?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ヴェイル\nWie seltsam. Ich kann mir keinen Reim darauf\nmachen, was das bedeuten soll. Aber ich kann\nes ja mal versuchen.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nSeht euch mal diese Blütenblätter hier an.\nEs ist fast genau so, wie Seadall es vorher-\ngesagt hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x02\x0A\x08セアダス\nUnter vollem Mond klaubt Blütenblätter,\nschimmernd wie Gold. Ein kühner Wunsch wird\nerfüllt, das Glück ist Euch hold.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\nDie Blumen, die Ihr da habt...\nIch sehe, Ihr habt Euch an meine Vorhersage\nerinnert.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\nAber die Blütenblätter sind weiß, nicht wie\nGold.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セアダス\nSind sie das? Haltet sie ins Licht des vollen\nMondes.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ヴェイル\nHm? So?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\nOh, wie lieblich! Sie schimmern wie Gold.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08セアダス\nDiese Blumen blühen nur in den Nächten des\nVollmonds.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nDie Blütenblätter erscheinen weiß, aber sie\nschimmern wie Gold, wenn das Mondlicht sie\nberührt.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ヴェイル\nSie sind so hübsch!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セアダス\nMan sagt, ihr Duft habe eine beruhigende Kraft.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nIch wäre glücklich, wenn sie Euren Schmerz\nein wenig lindern würden, Milady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nDanke, Seadall. Du hast dir so viel Mühe\ngemacht, um dies für mich zu tun.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nIch weiß nicht, was Ihr damit meint.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ヴェイル\nSei nicht albern. Du hast dir diesen wunder-\nvollen Plan nur für mich ausgedacht, habe ich\nrecht?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nIch versichere Euch, dass ich nichts damit zu\ntun habe... Abgesehen davon enthüllen\nWahrsager niemals ihre Geheimnisse.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ヴェイル\nOch, bitte...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\nNun, ich habe Euch Euren Gefallen vergolten.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ヴェイル\nWelchen Gefallen?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セアダス\nDank Eurer netten Geste neulich sind meine\nSinne als Wahrsager wieder in der richtigen\nSpur und geschärft wie immer.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ヴェイル\nDas ist wunderbar. Das freut mich sehr für dich.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ヴェイル\nWeißt du, Seadall, der Mond ist heute Nacht\nwirklich schön, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セアダス\nDas ist er. Sehr. Ich glaube nicht, dass ich\njemals vergessen werde, wie schön er heute\nNacht aussieht.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ヴェイル\nJa. Das werde ich auch nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ヴェイル\nUnter vollem Mond klaubt Blütenblätter,\nschimmernd wie Gold. Ein kühner Wunsch wird\nerfüllt, das Glück ist Euch hold.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ヴェイル\nMein Wunsch ist es, der Welt Frieden und\nGlückseligkeit zu bringen. Und...\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ヴェイル\nIch wünsche dir ebenfalls Glückseligkeit,\nSeadall.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08セアダス\nEntschuldigt, sagtet Ihr etwas?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08ヴェイル\nNein. Ich bin mir sicher, dass du nur den Klang\nder Blumen gehört hast, die in der Nacht\nblühen.\x0E\x04\x00\x00
