MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06カゲツ\nWas noch? Ich habe zwei Geschwister, einen\nBruder und eine Schwester. Beide sind jünger\nals ich. Und total süß.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06カゲツ\nMein Vater ist ein großartiger Schwertkämpfer.\nMeine Mutter verfügt über seltsame Kräfte, die\nsich anscheinend auf mich übertragen haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06カゲツ\nIch liebe meine Familie sehr, aber ich träumte\nschon lange davon, die Welt zu sehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06カゲツ\nDaher erklärte ich ihnen in einem Brief, warum\nich gegangen bin. Und dass ich nun auf der\nReise bin.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nOh nein! Habe ich einen Fehler gemacht?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06カゲツ\nWie dumm von mir! Ich hätte nicht annehmen\nsollen, dass Ihr meine ganze Lebensgeschichte\nhören wollt.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nBitte verzeiht, Prinzessin Ivy. Ich hätte eher\nbemerken sollen, dass dies nicht das ist, was\nIhr wolltet.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アイビー\nNein, gar nicht. Im Gegenteil. Es hat mich\neigentlich sogar... richtig erfreut.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アイビー\nEs war mir nicht bewusst, dass es dir so\nwichtig ist, mein Freund zu sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アイビー\nIch fühle mich geschmeichelt. Ich danke dir.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\nAh, Ihr seid wirklich nett!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アイビー\nKagetsu, es ist nicht so, dass ich dich nicht\nmag.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アイビー\nIch mag keine unbekannten Größen. Sie erregen\nmein Misstrauen. Aber das bedeutet nicht, dass\nich dich als Person nicht mag.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08アイビー\nUnd nach dem heutigen Tag kann ich wohl mit\nGewissheit sagen, dass sich mein Eindruck von\ndir verbessert hat.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06カゲツ\nWunderbar! Dann können wir bald doch\nFreunde werden?\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08アイビー\nDas ist wirklich nicht die schlechteste Idee.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nDer Moment ist gekommen, Prinzessin Ivy!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06カゲツ\nLasst uns den Anker lichten und das Hauptsegel\nsetzen, und dieses Schiff der Freundschaft auf\nseine Jungfernfahrt schicken!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06カゲツ\nHm. Wir liegen wohl immer noch im Hafen fest.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06カゲツ\nWomöglich lag ich falsch, und die Zeit ist noch\nnicht gekommen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アイビー\nDas ist es nicht, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nOh?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アイビー\nUm die Wahrheit zu sagen... Ich habe nicht\nviele Freunde.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アイビー\nIch wuchs umgeben von Erwachsenen auf,\ndie hinterhältig und intrigant waren.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アイビー\nIch wurde älter und lernte, dass die Welt auf\ndiese Weise funktionierte.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アイビー\nErst sehr viel später traf ich Personen, denen\nich genug vertraute, um sie Freunde zu nennen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nAls Kronprinzessin waren Eure Kontakte\nbestimmt eingeschränkt.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06カゲツ\nIch kann mir vorstellen, in welcher Kälte und\nHartherzigkeit Ihr aufgewachsen sein müsst.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アイビー\nJa.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アイビー\nDeswegen empfand ich dich zunächst auch\nals so befremdlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アイビー\nWenn jemand sofort freundlich zu mir ist,\nweckt das instinktiv mein Misstrauen.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アイビー\nAber du hast nie versucht, dir aus meiner\nStellung einen Vorteil zu verschaffen. Du\nscheinst keinerlei Hintergedanken zu haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nHahaha, natürlich nicht! Für so eine Hinterhäl-\ntigkeit bin ich wohl zu einfach gestrickt!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アイビー\nVor nicht allzu langer Zeit hätte ich nicht zu\nhoffen gewagt, sie zu verstehen... deine\nReinheit.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アイビー\nDaher fühltest du dich für mich so fremd an.\nDu konntest nicht sein, wer du zu sein schienst,\nalso wer warst du?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アイビー\nNun weiß ich, dass du einfach so bist, wie du\nbist. Genau das macht deinen Charme aus.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nOoh! So nette Worte!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アイビー\nUnd daher, Kagetsu...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nMöchte ich gerne, dass wir... Freunde sind.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06カゲツ\nMeint Ihr das ernst? Wunderbar, wunderbar! Ja,\nPrinzessin Ivy! Natürlich!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06カゲツ\nLasst uns Freunde sein, bis die Zeit selbst ihr\nEnde findet!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08アイビー\nHm-hm! Ja, so soll es sein.\x0E\x04\x00\x00
