MID_WU_C_1_IN_#001	Verzeiht die Störung.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	„und bat \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin, aufzuwachen.“\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	Guten Morgen. Wie fühlt Ihr Euch heute?\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	Hm, still ist es hier.\nEin guter Ort für Achtsamkeit.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Tut mir leid, dass ich die Stille störe.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Es ist Zeit.\nMacht Euch bereit zum Aufbruch.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Ein wenig Zeit bleibt mir noch...\nIch meditiere.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Materielle Gedanken\nweichen in den Hintergrund...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Ah, eine Idee für meine nächste Komödie...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Ah, Ihr seid wach.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	Dann gehe ich jetzt.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Ich muss diese Idee zu Papier bringen,\nbevor ich sie vergesse...\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	„Die Ritterin konnte hören,\ndass \x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin noch schlief...“\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Guten Morgen.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	Der Sonnenuntergang gestern war fantastisch,\ngenau wie Ihr gesagt hattet.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	Vielleicht gibt es\nauch heute wieder schönes Wetter.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Es war sehr freundlich von Euch, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche,\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	dass Ihr bei mir geblieben seid.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Eines Tages werde ich mich irgendwie\nfür all Eure selbstlosen Taten revanchieren.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	Wie geht es Euch heute Morgen?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	Ihr sorgt Euch um das Wohl Eurer Verbündeten,\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	aber sorgt Euch bitte auch um Euer eigenes.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	Ich kann nicht fassen, dass mir hier oben\netwas so Albernes passiert.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, das müsst Ihr Euch anhören...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Ich bin gerade eben\nauf einer Obstschale ausgerutscht!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	Versprecht mir, dass Ihr\nimmer schön wachsam bleibt, ja?\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	Das hätte glatt eine Szene\naus meinen Romanen sein können.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	Ich krieg's nicht aus dem Kopf.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	Oh weh. Hehe, ich sollte hier drin nicht lachen,\naber... Hehe.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Tut mir leid, dass ich Euch\nmit meinem Kichern aufwecke.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	Ich bin vorhin auf einer Obstschale ausgerutscht\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	und auf den Boden geknallt\nwie ein Sack Kartoffeln! Hahaha!\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	Die Umgebung ist sicher.\nIch habe die Tür durchgehend bewacht.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	Ihr seid wach?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	Ich kann wieder gehen, wenn Ihr möchtet.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	Oh, Ihr wünscht, mit mir zu sprechen?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	Nein, nein – ich bin geehrt.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	Tut mir leid, dass ich Euch\nSorgen bereitet habe.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	Aber es hat mich sehr gefreut,\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	dass Ihr mir helfen wolltet,\nmich meiner Vergangenheit zu stellen.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	Guten Morgen.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	Wenn Ihr irgendetwas benötigen solltet –\nverlasst Euch auf mich. In Ordnung?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	Die „eiserne Mauer“ ist Euch stets zu Diensten.\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	„Die Ritterin betrat die Gemächer\n\x0E\x0A\x00\x18\nihres\nihrer liebsten Verbündeten...“\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	„Rote und blaue Augen öffneten sich\nund begrüßten sie...“\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Hehe, habt Ihr mich\nan meinen Schritten erkannt?\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Falls ja, dann... freut mich das.\nEinen schönen guten Morgen.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	„Dort lag \x0E\x0A\x00H\x1Eer, ihr Partner&sie, ihre Partnerin.\n\x0E\x0A\x00\x0E\x04Er\x06Sie ruhte auf dem Altar...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Hehe, was für eine schöne Szene.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	Dieses Anblicks werde ich wohl nie überdrüssig.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	Fände ich doch nur die richtigen Worte...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Aber es ist gut so, wie es ist.\nWir sind zusammen, für immer.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	Eines Tages werde ich schon noch\ndie richtigen Worte zusammenbekommen.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Hehe, tut mir leid.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Beachtet mich nicht.\nIch musste einfach lächeln,\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	weil ich so glücklich bin.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	Es ist eine Ehre, Eure Partnerin zu sein.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	Hier drin habe ich immer Sorge, mein Gesicht\nkönnte herunterfallen, weil ich zu viel lächle...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	Aaah... Immer, wenn ich Euch ansehe,\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	vergesse ich jede Vorsicht.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	Guten Humor bin ich ja gewöhnt,\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	aber nun empfinde ich unbändige Freude.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	Es ist so seltsam...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	Normalerweise passiert mir das nur, wenn mir\neine neue Romanidee in den Sinn kommt.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Aber jetzt muss ich auch dann lächeln,\nwenn ich den Paktring ansehe.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Wenn ich meditiere,\nkann ich mich nicht konzentrieren.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	Wenn ich an Euch denke,\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	fühle ich mich wie\ndie glücklichste Frau der Welt.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Morgen. Hehe, habt Ihr mir zugehört?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	Das ist mir zwar ein wenig unangenehm,\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	aber ich bereue nichts.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	Hehe.\x0E\x04\x00\x00
