MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x02\x0A\x08アンバー\nGrah. Ich muss diesen Ort erkunden...\nAber allein wäre das viel zu gefährlich...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08パネトネ\nDann nimm mich bitte mit! Nichts könnte\nmich glücklicher machen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\nJaaa! Dann ist es abgemacht. Aber mach nicht\nmich dafür verantwortlich, wenn du vor Angst\naus deinen großen, spitzen Stiefeln springst.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08アンバー\nWir haben es wirklich geschafft! Wir sind\nlosgezogen und sind endlich am Haus.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nHuhu... Ich zittere. Mein Herz rast.\nIch habe Gänsehaut!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パネトネ\nHmm... Kein Geist in Sicht. Gehen wir weiter\nund sehen uns um.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\nWhoa, whoa! Langsam! Du willst doch nichts\nüberstürzen. Der Geist könnte hier überall\nversteckt sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パネトネ\nOh, wirklich? Wo denn zum Beispiel?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nMuaha haaa...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アンバー\nNun, der Geist könnte sogar... direkt HIER SEIN!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\nHmmm?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パネトネ\nBist du sicher? Ich sehe nichts.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nÄh...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アンバー\nOooh, schon gut. Ich wollte dir einfach nur\neinen Schreck einjagen, Panette.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nDu bist nicht mal zusammengezuckt! Du musst\nNerven aus Stahl haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アンバー\nIch weiß nicht. Vielleicht wird dieser Ort doch\nnicht von einem Geist heimgesucht.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パネトネ\nHmm?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nIch bin froh, dass sich das mit dem Anwesen\nbewahrheitet hat. Aber ein umherwandelnder\nGeist? Den seh ich nirgendwo.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パネトネ\nEr ist hier...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アンバー\nOh, Panette! Das ist die richtige Einstellung.\nNormalerweise wäre ich ja auch noch voller\nHoffnung, aber...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パネトネ\nNein, Amber! Er ist hier!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\nOh! Jetzt verstehe ich. Ich vermute, jedes Haus\nhat seinen Geist, im poetischen Sinne. Das ist\nwirkli--\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08パネトネ\nDas meinte ich doch gar nicht! Er ist HIER!\nAlso... DA! Sieh doch!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アンバー\nWie jetzt?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アンバー\nWhoa...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08アンバー\nWhoa...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08アンバー\nWHOAAAAAAH!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08アンバー\nHey, Panette? Ich werde keinem etwas\nüber den Spukhaus-Vorfall erzählen,\nwenn du das auch nicht tust.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\nDie Gerüchte haben nichts darüber gesagt,\ndass es dort draußen auch noch ein ganz\nnormales Anwesen gibt!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パネトネ\nJa. Und dort waren sie nicht gerade erfreut\nüber unsere Gesellschaft.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パネトネ\nWie demütigend.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nIch WÜNSCHTE, es wäre nur das. Ich dachte,\ndieser steife Heini sei der legendäre Ritter! Ich\nhabe seine Hand geschüttelt.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\nIch habe Prinz Diamant schon davon erzählt.\nEr lachte buchstäblich Tränen. Er bezeichnete\nmich als „den legendären Einfaltspinsel.“\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パネトネ\nDer legendäre Einfaltspinsel, sagst du.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パネトネ\nHahaha, das ist nicht schlecht!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アンバー\nOooh, fein. Lach nur. Ich sollte echt mal lernen,\nmeine große Klappe zu halten.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アンバー\nEs tut mir wirklich leid, dass ich dich in diesen\nSchlamassel hineingezogen habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パネトネ\nMach dir nichts draus. Ich habe mich wirklich\ngut unterhalten.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\nHast du? Obwohl wir keinen Geist gesehen\nhaben?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パネトネ\nJa, nun, das war wirklich bedauerlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パネトネ\nIch habe einige Interessen, die andere Leute\nseltsam finden. Geister zum Beispiel.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パネトネ\nIn der Hinsicht bist du mir sehr ähnlich. Manche\nwerden dich vielleicht auch als seltsamen Vogel\nansehen, aber... nun...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パネトネ\nIch mag seltsame Vögel!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\nHo. Das... FÜHLT sich nicht wie ein Kompliment\nan.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パネトネ\nAber natürlich ist es eins!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アンバー\nOh! Nun... toll!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nIch hatte Sorge, dass du es bereuen könntest...\nIch war sehr froh, dass du mit mir gekommen\nbist, Panette.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アンバー\nIch kenne nicht viele, die es lieben, Gerüchten\nund Legenden und so was auf den Grund zu\ngehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nWenn du jemals einen Abenteuer liebenden\nKumpel brauchst, um eine Legende zu erfor-\nschen, dann gib mir Bescheid.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パネトネ\nIch kenne einen legendären Ort, zu dem wir\ngehen können!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アンバー\nEcht? Und wohin genau?!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08パネトネ\nIn ein Gasthaus mit sehr, sehr scharf\ngewürztem Essen!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08アンバー\nAh... Ist das Essen dort verzaubert? Oder wurde\ndas Gasthaus auf einem alten Friedhof\nerrichtet? Oder--\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08パネトネ\nDort gibt es ein Gericht namens „der Zungen-\nschmelzer.“ Es ist so scharf, dass noch niemand\neine ganze Portion davon geschafft hat!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08アンバー\nOooh, SO eine Art von Legende ist das.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08アンバー\nNun, eine Legende ist eine Legende! Ich bin\ndabei, und komme für die Rechnung auf!\nDas ist das Mindeste, was ich tun kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08パネトネ\nJuhu!\x0E\x04\x00\x00
