MID_WU_C_1_IN_#001	Darf ich reinkommen?
MID_WU_B_1_SOON_#003	Bitte, Ihr müsst Euch nicht zwingen.
MID_WU_B_1_WAKEUP_#001	Ehrlich, Ihr solltet Euch wirklich nicht\nso viel zumuten.
MID_WU_B_1_WAKEUP_#002	Ihr seid immer\nmit irgendwelchen Problemen beschäftigt.
MID_WU_B_1_WAKEUP_#003	Wenn Ihr doch nur mehr\nauf Euch aufpassen würdet...
MID_WU_B_1_HELLO_#001	Morgen.
MID_WU_B_1_HELLO_#002	Freut mich, dass Ihr wach seid.
MID_WU_B_1_HELLO_#003	Aber Ihr habt ein klitzekleines bisschen\nverschlafen.
MID_WU_B_1_HELLO_#004	Keine Sorge,
MID_WU_B_1_HELLO_#005	ich werde es keinem verraten.
MID_WU_B_2_IN_#001	Autsch!
MID_WU_B_2_IN_#002	Ich hab mir den Zeh angestoßen...
MID_WU_B_2_IN_#003	Hngh, das tut sooo weh...
MID_WU_B_2_SOON_#001	Ihr seid wach?
MID_WU_B_2_SOON_#002	Ich, äh, habe mir den Zeh angestoßen.
MID_WU_B_2_SOON_#003	Seid auf der Treppe bloß vorsichtig,
MID_WU_B_2_SOON_#004	denn das tut richtig weh.
MID_WU_B_2_SOON_#005	Also dann... Tschüss.
MID_WU_B_2_WAKEUP_#001	Diese Treppen haben es in sich.
MID_WU_B_2_WAKEUP_#002	Ich beneide Euch,\nin Eurem kuscheligen Bett.
MID_WU_B_2_WAKEUP_#003	Ich wette,\nwenn wir Plüschtiere hinzulegen würden,
MID_WU_B_2_WAKEUP_#004	wäre es noch gemütlicher.
MID_WU_B_2_HELLO_#001	\x0E\x0A\x00*\x14Göttlicher\x12Göttliche...
MID_WU_B_2_HELLO_#002	Wenn Ihr besser schlafen wollt,
MID_WU_B_2_HELLO_#003	solltet Ihr Euch ein paar Plüschtiere zulegen.
MID_WU_B_2_HELLO_#004	Mir hilft es immer, wenn ich sie knuddele.
MID_WU_A_1_IN_#001	Ich belästige Euch nur ungern,
MID_WU_A_1_IN_#002	aber ich wurde beauftragt,\nEuch zu wecken, daher...
MID_WU_A_1_SOON_#001	Ihr wollt länger schlafen?
MID_WU_A_1_SOON_#002	Verstehe...
MID_WU_A_1_SOON_#003	Es geht nichts über ein gemütliches Bett,
MID_WU_A_1_SOON_#004	aber da fällt das Aufstehen schwer.
MID_WU_A_1_WAKEUP_#001	Heeee, schlaft Ihr immer noch?
MID_WU_A_1_WAKEUP_#002	Oh, nun kommt schon...
MID_WU_A_1_WAKEUP_#003	Wenn Ihr nicht aufwacht,
MID_WU_A_1_WAKEUP_#004	werde ich Euch an die Stirn schnippen.
MID_WU_A_1_WAKEUP_#005	So, wie Ihr das neulich bei mir gemacht habt.
MID_WU_A_1_HELLO_#001	Ha, das hat Euch aufgeweckt.
MID_WU_A_1_HELLO_#002	Das war nur ein kleiner Schnipser.\nIch habe versucht, ganz sanft zu sein.
MID_WU_A_1_HELLO_#003	Das Letzte was ich will, ist,\ndass Ihr Schmerzen habt.
MID_WU_A_2_IN_#001	Wenn ich so überlege...
MID_WU_A_2_IN_#002	Wir mussten \x0E\x0A\x00.\x14die andere\x16den anderen \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott\nnie aufwecken...
MID_WU_A_2_SOON_#001	Tut mir leid, habe ich zu laut\nvor mich hin gemurmelt?
MID_WU_A_2_SOON_#002	Ich hing einfach nur\nein paar Erinnerungen nach...
MID_WU_A_2_SOON_#003	Euch aufzuwecken macht schon Spaß.
MID_WU_A_2_WAKEUP_#001	Wisst Ihr...
MID_WU_A_2_WAKEUP_#002	In der anderen Welt habe ich\nEuch nie schlafen gesehen.
MID_WU_A_2_WAKEUP_#003	Was für eine seltsame Erkenntnis.
MID_WU_A_2_WAKEUP_#004	Aber wo ich so darüber nachdenke...\nWart Ihr immer wach?
MID_WU_A_2_WAKEUP_#005	Sicher nicht.
MID_WU_A_2_HELLO_#001	Morgen.
MID_WU_A_2_HELLO_#002	Ihr braucht wirklich jemanden,\nder sich um Euch kümmert, hm?
MID_WU_A_2_HELLO_#003	Seltsamerweise...
MID_WU_A_2_HELLO_#004	Fängt es an, mir zu gefallen.
MID_WU_S_1_IN_#001	Schlaft Ihr noch?
MID_WU_S_1_IN_#002	Oh nein...
MID_WU_S_1_IN_#003	Mir ist gerade aufgefallen... Ihr seht schon\nirgendwie niedlich aus, wenn Ihr schlaft.
MID_WU_S_1_SOON_#001	Guten Morgen.
MID_WU_S_1_SOON_#002	Ich bin froh,\ndass Ihr so schnell wach geworden seid.
MID_WU_S_1_SOON_#003	Oh, wieso?
MID_WU_S_1_SOON_#004	Hätte ich noch länger\nin Euer schlafendes Gesicht geblickt,
MID_WU_S_1_SOON_#005	hätte mein Herz angefangen,\nso schnell zu schlagen,
MID_WU_S_1_SOON_#006	das meine Brust vor Freude geschmerzt hätte.
MID_WU_S_1_WAKEUP_#001	Ihr seht so friedlich aus.
MID_WU_S_1_WAKEUP_#002	Ich würde am liebsten nichts anderes tun,\nals hierzubleiben
MID_WU_S_1_WAKEUP_#003	und Euer glückseliges schlafendes Gesicht\nzu betrachten. Aber da ich hier bin,
MID_WU_S_1_WAKEUP_#004	werde ich mein Leben riskieren
MID_WU_S_1_WAKEUP_#005	und furchtlos kämpfen,\num Euch zu beschützen.
MID_WU_S_1_WAKEUP_#006	Ich verspreche Euch, von nun an,
MID_WU_S_1_WAKEUP_#007	egal, wie sehr es auch schmerzen wird...
MID_WU_S_1_WAKEUP_#008	wird es mir gutgehen,
MID_WU_S_1_WAKEUP_#009	solange es Euch gutgeht.
MID_WU_S_1_HELLO_#001	Ihr seid wach.
MID_WU_S_1_HELLO_#002	Lasst uns diesen Tag unbeschadet überstehen.
MID_WU_S_1_HELLO_#003	Kommt einfach zu mir gerannt,
MID_WU_S_1_HELLO_#004	wenn die Dinge zu gefährlich erscheinen.
MID_WU_S_1_HELLO_#005	Ich schwöre, ich werde Euch beschützen.
MID_WU_S_2_IN_#001	Ich bin hier, um Euch zu wecken, Partner.
MID_WU_S_2_IN_#002	Das ist irgendwie peinlich.
MID_WU_S_2_SOON_#001	Seid Ihr so schnell aufgestanden,\nnur um mich zu beruhigen?
MID_WU_S_2_SOON_#002	Danke...
MID_WU_S_2_SOON_#003	Da ich nun weiß, dass Ihr das tut,
MID_WU_S_2_SOON_#004	möchte ich Euch verhätscheln
MID_WU_S_2_SOON_#005	und alles tun, damit Ihr glücklich seid.
MID_WU_S_2_WAKEUP_#001	Oh, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche...
MID_WU_S_2_WAKEUP_#002	Als Ihr mir den Paktring gabt,
MID_WU_S_2_WAKEUP_#003	wurde meine ganze Welt heller.\nIch danke Euch dafür.
MID_WU_S_2_WAKEUP_#004	Seitdem fühle ich mich warm und benommen,
MID_WU_S_2_WAKEUP_#005	aber ich sollte mich nicht verrennen.
MID_WU_S_2_WAKEUP_#006	Ich kann nur hoffen, Euch eines Tages auch\nso ein Gefühl der Sicherheit zu geben.
MID_WU_S_2_WAKEUP_#007	Um ehrlich zu sein,\nwächst meine Liebe für Euch stetig.
MID_WU_S_2_WAKEUP_#008	Ich wäre glücklich, mein Leben damit zu\nverbringen, Euch vor Schmerz zu bewahren.
MID_WU_S_2_HELLO_#001	Morgen.
MID_WU_S_2_HELLO_#002	Das Schlachtfeld ruft erneut.\nUnd dieses Mal werde ich nicht wegrennen.
MID_WU_S_2_HELLO_#003	Bevor ich gehe...
MID_WU_S_2_HELLO_#004	könnte ich Euch für ein paar\nruhige Momente halten.
MID_WU_S_2_HELLO_#005	Wenn wir uns umarmen...
MID_WU_S_2_HELLO_#006	dann fühle ich mich wahrlich sicher.
