MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ロサード\nTut mir leid, aber irgendwie auch... nicht?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ロサード\nMir gefällt es wirklich, was ich in dem Bild\nsehe.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nNun, mir nicht, und das ist mein Gesicht!\nWirf es weg!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ロサード\nWenn du es so sehr hasst... soll es so sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nWarum war das jetzt so schwer?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nWeil es ein Bild deines wahren Ichs ist,\nnicht das deines falschen Lächelns.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ロサード\nDu warst früher so ausdrucksstark.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ロサード\nWie damals in der Akademie! Erinnerst du dich?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch kann nicht, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch kann mich nicht länger damit befassen. Ich\ndarf das einfach nicht mehr.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch bin eine Prinzessin, und das bedeutet, ich\nmuss stets lächeln, zu allen Zeiten, für immer.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ロサード\nNun, das ist aber eine schwere königliche\nPflicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nHeh. Ja, aber so ist das nun mal. Und darum\nmuss dieses Bild verschwinden. Verstanden?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ロサード\nJa. Lebe wohl, wahre Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nHier sind viel zu viele Verzerrte, mit denen\nwir kämpfen müssen! Hortensia, wir müssen\nuns zurückziehen!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nNein, ich schaffe das! Ich bekomme... das hin!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ロサード\nPass auf!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nRosado, nein!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ロサード\nAh!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nRosado... Ich wollte dich doch beschützen.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nVerschwinden wir von hier! Heute wird\nniemand sterben.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x04\x03\x04
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nRosado! Komm zurück zu mir! Du darfst nicht\ntot sein!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\nHngh.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nDu bist aufgewacht! Geht es dir gut? Erkennst\ndu mich?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nJa... Sicher, sicher. Ich bin nur für eine\nSekunde eingenickt.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nEingenickt?! Ich dachte, du seist tot!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nMoment, ist das Papier zu-- ZEICHNEST du\netwa?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ロサード\nHahaha! Bildschön, Hortensia!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nWAS?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nDu bist nicht einmal verletzt!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nNö! Aber sieh mal – dieses Mal bist du\nwunderschön.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas ist genau der Moment, als du aufgewacht\nbist. Ich sehe so erleichtert aus.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas ist recht hübsch.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\nDu hast recht... Als wir in der Akademie waren,\nhabe ich oft so ein Gesicht gemacht.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ロサード\nNormalerweise dann, wenn der Geschichtslehrer\nnicht dich, sondern einen anderen aufrief!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\nHey!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ロサード\nAlso, darf ich das behalten?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cオルテンシア\nSchön. Aber du darfst es niemandem zeigen.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ロサード\nNatürlich werde ich das nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cオルテンシア\nDanke, dass du auf mich geachtet hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch habe das Gefühl, dass du mich ständig vor\nirgendetwas rettest.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ロサード\nWenn du es wiedergutmachen möchtest, dann\nzeig mir öfter mal dein wahres Gesicht. Das ist\nalles, was ich möchte.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0E\x0Cオルテンシア\nHihihi, abgemacht.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0E\x0Cオルテンシア\nWeißt du, dass du viel mehr als nur mein\nGetreuer für mich bist? Du bist mein Freund.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0E\x0Cオルテンシア\nSolange wir Freunde sind, werde ich keine\nProbleme haben, ich selbst zu sein.\x0E\x04\x00\x00
