MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nHmm. Was tun, was tun...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nフォガート\nDann dachte ich an ein vegetarisches Festmahl,\naber den Zahn hat mir Timerra gleich gezogen.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nSchließlich wollte ich es ganz auf Getränke\nbeschränken. Aber... was mache ich dann,\nwenn die Leute hungrig werden?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nフォガート\nWarum muss das alles nur so kompliziert sein?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nエーティエ\nDa gibt es nur eine Lösung: Muskelstimulans.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nフォガート\nIst das dieses Zeug, das du dauernd trinkst?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nエーティエ\nJa. Jeder Muskelprotz schwört darauf.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nフォガート\nNein, nein, nein. Das wird nicht funktionieren.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nエーティエ\nWarum nicht?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nKomm schon. Es ist Medizin. Also schmeckt es\nauch bestimmt wie... na ja, wie Medizin.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nエーティエ\nOh, habt Ihr es also schon mal probiert?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nフォガート\nNein, aber--\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nエーティエ\nUnd woher wollt Ihr das dann wissen?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nフォガート\nÄhm... Ja, da hast du mich wohl erwischt.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nフォガート\nTrotzdem. Meinst du, die Leute amüsieren sich,\nwenn sie nur herumstehen und... Trainingssaft\ntrinken?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nエーティエ\nHahaha! Oh, Prinz Fogado. Ihr habt noch viel zu\nlernen.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nエーティエ\nMuskelstimulans schmeckt in der Tat wie\nMedizin, aber denkt Ihr, wir schlucken das\nZeug täglich pur?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nフォガート\nAlso, ich meine... Ja, das dachte ich.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nエーティエ\nIch habe da so eine Idee für Eure Party.\nGebt mir etwas Zeit, um Muskeln auf ihre\nKnochen zu packen.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nフォガート\nAber sicher. Ich warte mit angehaltenem Atem.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nエーティエ\nDanke, dass Ihr gekommen seid, Prinz Fogado.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nエーティエ\nHeute lasse ich Euch vom unendlichen\nPotenzial des Muskelstimulans kosten.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nエーティエ\nVersucht zuerst dieses hier.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nフォガート\nOh, die sehen aber lecker aus!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nエーティエ\nHe he. Ich habe getrocknetes Früchtebrot,\nHonigkuchen, Kamelmilchmousse und\nPlunderteilchen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nエーティエ\nUnd in allen findet sich als Hauptzutat mein\nMuskelstimulans.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nフォガート\nWas?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nDu hast dein Muskeldingsda in all diesen\nGerichten drin?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nエーティエ\nIn allen. Aber jetzt genug rumgestanden und\ngestarrt. Kostet sie.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nフォガート\nAlso gut. Runter damit...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nフォガート\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nフォガート\nDas... schmeckt echt gut. Süß, aber nicht so\nzuckrig, dass die anderen Aromen überdeckt\nwürden.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nエーティエ\nIn dem hier habe ich den Zucker durch ein\nMuskelstimulans mit süßem Aroma ersetzt.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nエーティエ\nSo kann ich immer essen, was ich will, ohne\nmich zu sorgen, ich könnte Muskelmasse\nverlieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nDelikat und auch noch gesund. Dann muss ich\ndie bei meiner nächsten Party doch servieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nフォガート\nDas ist auch ein total neues Konzept. Die Leute\nkönnen gleichzeitig feiern UND trainieren!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nエーティエ\nHab ich doch gesagt.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nフォガート\nIch sollte mit der Planung beginnen. Möchtest\ndu dabei helfen, Etie? Schließlich war es deine\nIdee.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nエーティエ\nAbsolut. Unter einer Bedingung.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nエーティエ\nWir laufen 10 Runden um das Somniel herum.\nDann folgen 1000 Liegestütze, 1000 Klapp-\nmesser, und danach...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nフォガート\nWas-- Moment mal! Warum soll ich das alles\nmachen?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nエーティエ\nIhr seid der Gastgeber. Ihr solltet an die Grenzen\nEures Körpers gehen, wie ein echter\nMuskelprotz.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nエーティエ\nSo erhaltet Ihr die beste Erfahrung aus erster\nHand, die Ihr braucht, um die Party\nauszurichten.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nフォガート\nNa gut... Aber sei nicht zu streng mit mir.\nIch habe so was noch nie gemacht.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nエーティエ\nKlar. Ich höre mit dem Antreiben gerade noch\nrechtzeitig auf, bevor Ihr zusammenklappt.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nフォガート\nHey, hey. Das darf auch gerne etwas sanfter\ngehen, wenn es recht ist!\x0E\x04\x00\x00
