MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nTrotz alledem...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ヴェイル\nEr ist meine Familie, so wie du auch. Daher\nkann ich ihn nicht vollkommen hassen.\x0E\x04\x02\x00
MID_RELIANCE_A_#011_F	\x0E\x03\x02\x0A\x08ヴェイル\nEr ist meine Familie, so wie du auch. Daher\nkann ich ihn nicht vollkommen hassen.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nIch verstehe.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ヴェイル\nManchmal wünschte ich, ich könnte einfach\nTeil einer glücklichen Familie sein. Aber ich\nweiß, dass das nur ein alberner Traum ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ヴェイル\nZumindest hoffe ich, Papa aufzuhalten, bevor er\nnoch mehr Leute verletzt.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nNein, ich WERDE ihn aufhalten!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ヴェイル\nDas also ist es, wie ich zu unserem Vater stehe.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nDanke, dass du so offen warst, Veyle. Weißt du,\nich fühle dasselbe wie du.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nDie Zeit der Versöhnung ist schon lange vorbei.\nIch werde meine ganze Macht einsetzen, um\nSombron aufzuhalten.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nAber das schaffe ich nicht ohne dich.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nKeine Sorge. Wir beide, und all unsere\nFreunde... Gemeinsam werden wir ihn aufhalten.\x0E\x04\x02\x00
MID_RELIANCE_A_#020_F	\x0E\x03\x02\x0A\x08ヴェイル\nKeine Sorge. Wir beide, und all unsere\nFreunde... Gemeinsam werden wir ihn aufhalten.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nJa. Wir schaffen das, Veyle. Und wenn das alles\nvorbei ist, dann kann unsere Zukunft wahrlich\nbeginnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nJa. Für unsere Zukunft.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nDa bist du. Ich möchte dir gerne etwas geben.\x0E\x04\x02\x00
MID_RELIANCE_S_#001_F	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nDa bist du. Ich möchte dir gerne etwas geben.\x0E\x04\x02\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nOh?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08ヴェイル\nFür dich! Ich hoffe, es gefällt dir.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nEin wunderschöner Stein! So klar und blau!\nHast du für mich nach so einem Stein gesucht?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08ヴェイル\nDas habe ich. Ich wollte dir gerne etwas im\nGegenzug für den Drachenstein geben, den\ndu mir vor so langer Zeit geschenkt hast.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08ヴェイル\nIch habe all meine Energie hineinfließen lassen,\nso können wir uns immer wiederfinden, sollten\nwir wieder getrennt werden.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nWir sind wohl wirklich Geschwister.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08ヴェイル\nWie meinst du das?\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nVeyle, ich habe auch etwas, das ich dir geben\nmöchte.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08ヴェイル\nDas ist der... Paktring!\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nJa. Er ist für dich, Veyle. Du bist meine geliebte\nSchwester und diejenige, die mir am meisten\nbedeutet.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08ヴェイル\nAber...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nIch kann mir nicht vorstellen, diesen Ring\njemand anderem zu geben.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08ヴェイル\nIch kann ihn nicht annehmen. Er ist etwas ganz\nBesonderes für dich, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08ヴェイル\nIch bin diejenige, die Lumera das Leben\ngenommen hat. Ich verdiene ihn nicht!\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nDas ist nicht wahr. Du verdienst ihn, und ich\nmöchte, dass du ihn nimmst.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nAußerdem würde Mutter es sich so wünschen.\nSie würde wollen, dass wir beide glücklich\nsind.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nGanz sicher.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08ヴェイル\nIch verstehe. Ich werde ihn annehmen.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08ヴェイル\nDu hast mir bereits den Drachenstein\ngeschenkt, der zu meinem Talisman wurde.\nDieser Ring wird mein neuer Talisman sein.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nDas macht mich glücklich.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nIch weiß, wie viel dir der Drachenstein bedeutet\nhat. Daher hoffe ich, dass dieser Ring ein Ersatz\nsein kann.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nOder... weniger ein Ersatz, sondern etwas\nganz Neues. Ein Symbol unserer geschwister-\nlichen Bande.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nNatürlich hatte ich keine Ahnung, dass du\nmir so einen schönen Stein geben würdest,\nbevor ich dir diesen Ring geben konnte!\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08ヴェイル\nIch bin froh, dass ich es getan habe. Ich mag es,\ndass wir so ähnlich denken.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nDu gabst mir den Stein, sodass wir uns immer\nwiederfinden können...\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nIch werde nie wieder von deiner Seite weichen,\nVeyle. Wir werden eine Familie sein, und immer\nzusammen sein.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08ヴェイル\nDer Ring und der Stein werden uns daran er-\ninnern, dass wir niemals wieder getrennt sein\nmüssen.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08ヴェイル\nNun lass uns diesen Krieg gewinnen und der\nWelt Frieden bringen... für Lumera. Sie würde\ndies wollen.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08リュール\nJa, das würde sie. Und gemeinsam können\nwir es schaffen.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08ヴェイル\nIch gelobe bei diesem Ring... Ich werde an\ndeiner Seite bleiben, und ich werde ein Drache\nsein, der bereit ist, die Welt zu retten.\x0E\x04\x00\x00
