MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nHah! Hyah!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nシトリニカ\nJa, alles ist in Ordnung. Bitte entschuldigt mich,\nmein Prinz. Ich habe einen Auftrag zu erledigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nWarte. Sag mir, was los ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\nBitte, Diamant, ich befinde mich in einer\nsehr unangenehmen Lage.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nWie meinst du das?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nEs wäre gefährlich für mich, würde jemand\nsehen, wie zwanglos ich mit dem Thronfolger\nBrodias spreche.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nDu bist meine Cousine. Wir kennen uns schon\ndas ganze Leben. Wie kommst du nur darauf?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nシトリニカ\nDie Adligen scheren sich nicht um Eure\nAntwort. Ich muss vorsichtig sein, wenn\nich mich mit Euch austausche.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nシトリニカ\nGerüchte verbreiten sich schnell. Sie sagen,\nmeine Familie würde mit Brodias künftigen\nKönig konspirieren.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nAh. Verstehe.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nIch habe dir eine größere Bürde auferlegt,\nCitrinne, als ich es mir hätte vorstellen können.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nEs ist schon gut, Prinz Diamant. Ich--\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nIch hätte dich niemals bitten dürfen, mir meine\nAufgabe abzunehmen. Ich werde für Aufklärung\nsorgen. Sofort.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nシトリニカ\nNein! Ihr würdet die Dinge dadurch nur noch\nkomplizierter machen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nMir bleibt keine Wahl. Mir wurde meine Cousine\ngenommen und ich hole sie mir zurück.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nシトリニカ\nOooh...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nAlso schön. Ich gebe mich geschlagen.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nシトリニカ\nIch werde mich wieder an unserem munteren\nSchlagabtausch beteiligen – indem ich dich bit-\nte, mir zu versprechen, keine Türen einzutreten.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nDas klingt doch schon besser. Und keine Sorge.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nシトリニカ\n„Keine Sorge“ ist kein Versprechen, Diamant.\nIch will das Versprechen hören. Bitte mach nicht\nalles noch schlimmer!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nIch verspreche es. Vertraue deinem Cousin,\nin Ordnung?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nWas soll ich nur tun?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nIst sich Diamant überhaupt bewusst, wie ein\nzukünftiger König sich verhalten sollte?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nIch hörte meinen Namen. Kann ich irgendetwas\nfür dich tun, Citrinne?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nOh. Nein, ich habe nur... mit mir selbst\ngesprochen. Kann ich etwas für dich tun?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nIch bin hier, um dir zu sagen, dass ich den\nAdligen einen Brief gesendet habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nシトリニカ\nDu hast was getan?! Warum? Du hast verspro-\nchen, dass du es nicht noch schlimmer machst!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nNur keine Panik. Ich habe dich mit keinem\nSterbenswörtchen erwähnt.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nIch machte deutlich, dass ich keine Kriege\nführen werde. Meine Prioritäten liegen darin,\nBrodia in eine strahlende Zukunft zu führen.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nシトリニカ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nDas sollte die Gerüchte doch im Keim ersticken.\nKein Geflüster über eine Konspiration mehr.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nシトリニカ\nJa, ich glaube, das sollte genügen...\x0E\x04\x02\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nシトリニカ\nEs tut mir leid, dass du das Problem beilegen\nmusstest, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nNein, ich selbst hätte die Antwort senden sollen.\nMir tut es leid, dir meine Pflicht aufgebürdet zu\nhaben.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\nUnd ich hätte direkter sein müssen. Meine\nZurückhaltung ließ erst Gerüchte aufkommen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nシトリニカ\nIch hoffe, die Dinge beruhigen sich bald.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nIch vermisse es, meine Sorgen hinwegzutanzen.\nEs fühlt sich an, als könnte ich nie wieder an\neinem Ball teilnehmen...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nDas hängt ganz davon ab, wie gut ich meine\nArbeit mache.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nシトリニカ\nDu meinst, wie gut wir unsere Arbeit machen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nDu hast recht. Wir müssen dafür sorgen, dass\nalle zusammenarbeiten, damit in Brodia\nFrieden einkehrt.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nIch hoffe, du wirst auch in Zukunft meine\ntreibende Kraft sein, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nシトリニカ\nNatürlich werde ich das! Wir sind Cousin und\nCousine. Also praktisch Geschwister.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nJa, genau so fühlt es sich an. Ich hoffe, dies\nwird sich niemals ändern.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nシトリニカ\nDiamant, hast du Lust Fangen zu spielen?\nSo wie damals?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nBist du sicher, dass du nicht lieber „Prinzessin“\nspielen möchtest?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nNein, ich möchte ausnahmsweise Fangen\nspielen – und dieses Mal fang ich dich!\x0E\x04\x00\x00
