MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nAaah... HAAA!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ジェーデ\nNatürlich nur, wenn es Euch nichts ausmacht.\nSonst werde ich einfach so tun, als hätten wir\ndieses Gespräch nie geführt.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リンデン\nAh! Also darf ich das Buch lesen? Ich danke\ndir, Jade!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nDu liebe Güte, Jade! Ich glaube, ich bin beinahe\ngeplatzt vor Lachen, wie man so schön sagt.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リンデン\nEs ist eindeutig, dass du wirklich Talent darin\nbesitzt, Komödien zu schreiben.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ジェーデ\nDas ist wirklich ein großes Lob. Ich danke\nEuch, Sir Lindon.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nDeine Charaktere sind so unglaublich lebendig.\nSie springen einem buchstäblich entgegen!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リンデン\nWie viele von ihnen basieren auf echten\nPersonen? Einige unserer gemeinsamen\nFreunde fielen mir da durchaus ein.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ジェーデ\nIch mag einige Parallelen zu bestimmten\nPersonen, lebend oder verstorben, eingearbeitet\nhaben.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リンデン\nDu bist eine scharfe Beobachterin und hast\nein Talent dafür, deine Beobachtungen auf\nPapier zu bannen.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リンデン\nDas war ein großartiger Roman, wirklich. Ich\nmöchte dir erneut dafür danken, dass du deine\nLeidenschaft mit mir geteilt hast.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ジェーデ\nDas war doch selbstverständlich! Ich danke\nEuch vielmals, dass Ihr das Buch gelesen habt.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リンデン\nIn mir lodert ebenfalls dieses Feuer, um ehrlich\nzu sein. Ich habe die Ereignisse in meinen\njungen Jahre in einem Buch aufgezeichnet.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ジェーデ\nWirklich?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リンデン\nIn der Tat. Ich habe noch nicht vielen davon\nerzählt.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ジェーデ\nIch würde es liebend gerne einmal lesen, wenn\nes Euch nichts ausmacht, es mit mir zu\nteilen.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リンデン\nHohoho, wunderbar! Ich hoffte, du würdest\ndas tun.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nWie aufregend es ist, einen weiteren Schrift-\nsteller in unseren Reihen zu wissen. Ich kann\nes kaum fassen!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リンデン\nFalls und wenn du Zeit hast, würde ich liebend\ngerne mit dir die Listen unserer Lieblings-\nkomödien vergleichen.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\nJa, bitte! Das würde ich sehr gerne tun.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リンデン\nWas war das nur für eine Zufallsbegegnung.\nMein Lebensabend wird hell wie nie erleuchtet!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nDas war eine willkommene Überraschung, Jade!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リンデン\nIch hatte gerade mal das letzte Kapitel deiner\nGeschichte beendet, da präsentierst du mir\nschon ein neues.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nNun, da Ihr meine ersten Entwürfe lest, geht\ndie Bearbeitung viel schneller von der Hand.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リンデン\nAh, gewiss.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ジェーデ\nAlso? Was denkt Ihr? Lasst mich nicht betteln.\nDenn das würde ich.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リンデン\nEs war... großartig.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リンデン\nIch habe dieses Kapitel noch mehr genossen\nals das vorherige.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ジェーデ\nAaah, da bin ich erleichtert.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リンデン\nBesonders der neue Bursche, der in diesem\nKapitel sein Debüt hatte! Was für eine sympa-\nthische Ergänzung er doch war.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nEr lachte, er weinte... Er fühlte sich wahrlich\nlebendig an! Er wird wohl mein neuer Lieblings-\ncharakter.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リンデン\nIch muss zugeben, ich fühlte mich mit ihm\nirgendwie verwandt.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nDas freut mich zu hören.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nIch hoffe, Ihr seht es nicht als zu vermessen von\nmir an, aber ich habe den Charakter nach Eurem\nVorbild gestaltet.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nAha! Ich hatte da so eine Ahnung! Was für ein\nwunderbares Gefühl es ist, zusammen mit\nseinem fiktiven Gegenstück zu lachen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リンデン\nIch nehme seine große Lebensfreude als das\nHöchste aller Komplimente an.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nNoch einmal möchte ich mich bei dir bedanken,\ndass du mir erlaubt hast, dein herrliches Buch\nzu lesen, Jade.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ジェーデ\nDie Ehre ist ganz auf meiner Seite, das kann\nich Euch versprechen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リンデン\nIch werde wohl ein paar Törtchen backen, als\nDankeschön. Du wirst doch welche annehmen,\nnicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nStrahlendes Lob und warme Törtchen?\nDa lasse ich mich nicht zweimal bitten.\x0E\x04\x00\x00
