MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nNa, wen haben wir denn hier? Prinzessin Céline\nvon Firene!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06カゲツ\nIch habe gehört, dass Ihr, trotz Eures könig-\nlichen Standes, überaus talentiert im Umgang\nmit dem Schwert sein sollt.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\nDas fasziniert mich umso mehr. Würdet Ihr mich\nnun verwöhnen? Ich kann es kaum erwarten,\nEure Fähigkeiten zu sehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セリーヌ\nIch weiß den Geist dahinter zu schätzen, aber\nich habe kein Verlangen, ohne guten Grund zu\nkämpfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nWas für eine Enttäuschung. Seid Ihr denn\nüberhaupt nicht begierig, Eure Stärke zu testen?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nIch halte mich zum Wohle meiner Nation in\nForm, aber ich habe nie den Drang verspürt,\nnur um des Trainings willen zu trainieren.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06カゲツ\nJedem Tierchen sein Pläsierchen. Wollen wir\ndann wenigstens gemeinsam Tee trinken?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セリーヌ\nLiebend gern. Doch zuerst muss ich mich\num ein paar administrative Angelegenheiten\nkümmern.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セリーヌ\nIch schreibe nur einen kurzen Brief an meine\nFamilie. Würde es dir etwas ausmachen, zu\nwarten?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06カゲツ\nPrinzessinnen führen in der Tat ein geschäftiges\nLeben.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セリーヌ\nDas tun wir. Ich darf mich nicht vor meiner\nVerantwortung drücken.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nEmpfindet Ihr dieses Leben nicht als beengend?\nIch könnte das nicht aushalten.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セリーヌ\nEin Leben als Prinzessin ist nicht frei von\nMühen, aber auf gewisse Weise erfreut es\nmich.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nWirklich? Ich muss zugeben, es fällt mir schwer,\ndies zu glauben.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セリーヌ\nDann werde ich dir bei unserem nächsten\nTreffen zeigen, worin genau die Freude liegt.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nIst es das?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nJa. Das ist es.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06カゲツ\nIch verstehe das nicht. Wie kann dieses Gemälde\nEuch Freude bereiten?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06カゲツ\nEs zeigt Euer Königreich und es ist eindrucksvoll\ngemalt. Aber mehr sehe ich da nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セリーヌ\nWie ich schon mal erwähnte, ist das Leben einer\nPrinzessin nicht frei von Mühen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セリーヌ\nAber ich erfreue mich sehr an dem Anblick\nmeines Volkes, wie es in Frieden lebt.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nDie Leute, die hier abgebildet sind, scheinen\nfriedlich und glücklich zu sein, dem stimme ich\nzu.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nWenn ich sicherstellen kann, dass ihre Leben\nruhig und ohne Not sind, dann ist das all meine\nMühen wert.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06カゲツ\nIch sehe, Ihr liebt Euer Land sehr.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セリーヌ\nDas tue ich auf jeden Fall!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nNun verstehe ich, was Prinzessinnen Freude\nbringt.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nIch für meinen Teil freue mich mehr, wenn\nich Gegner finden kann, die mir im Kampf\nebenbürtig sind!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セリーヌ\nOh ja... Du wolltest dich ja mit mir messen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nSolltest du jemals versuchen, Firene Leid zuzu-\nfügen, würdest du in mir eine furchtbare und\ngnadenlose Gegnerin finden.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nSo sehr ich Euch auch furchtbar und gnadenlos\nsehen möchte, so wenig bin ich bereit, den\nPreis dafür zu zahlen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\nHahaha, ich bin erleichtert, das zu hören.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nWenn wir also nicht gegeneinander kämpfen\nkönnen, dann lasst uns gemeinsam Tee trinken.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nIhr sucht dafür stets exquisite Teeblätter aus.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セリーヌ\nDas ist eine viel bessere Wahl. Eine, bei der wir\nFreunde bleiben können.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06カゲツ\nFreunde zu bleiben ist stets das Ziel!\x0E\x04\x00\x00
