MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nSeid gegrüßt, Prinzessin Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\nHahaha, davon also spracht Ihr so aufgebracht.\nWie flamboyant Ihr doch seid.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\n„Flamboyant“?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nHmpf! Seid meinetwegen so in-Euch-ruhend\nund siegessicher, solange Ihr noch könnt!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch fantabuliere Euch in Grund und Boden!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nIhr habt schon so gut wie verloren! Muahahaha!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x01\x0E\x0Cオルテンシア\n\x0E\x03\x02\x0A\x08セリーヌ\nGeht sie etwa schon? Ich hatte gehofft, sie noch\nzum Tee einladen zu können.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08セリーヌ\nWas für ein liebes Mädchen. Ich wünschte,\nich hätte eine so niedliche kleine Schwester.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nSo treffen wir uns wieder, Prinzessin Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nWir treffen uns in der Tat, Prinzessin Céline!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nUuuund der Wettbewerb beginnt! Runde eins:\nDas Turnier der Weichheit!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nWer ist weicher – Ihr oder ich? Überprüfen wir\nzunächst Euch. Stups!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セリーヌ\nHahaha! Das kitzelt!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas Turnier der Weichheit ist hiermit abgesagt!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nSo schnell?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch muss meine Strategie anpassen!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セリーヌ\nWie bedauerlich. Ich wollte Euch doch auch\nnoch stupsen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nMoment, was? Nein, ich darf mich nicht von\nEuren Psychospielchen ablenken lassen.\nWir sind schließlich Konkurrentinnen!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セリーヌ\nHahaha, natürlich sind wir das.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nArgh! Was stimmt nicht mit mir?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nSie ist so süß, dass mein Hirn nicht mehr\nfunktioniert. Hach. Entsetzlich!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セリーヌ\nJetzt darf ich mal! Wie weich seid Ihr? Stups!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch habe doch gerade erklärt, dass das Turnier\nabgesagt ist!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セリーヌ\nVergebt mir. Die Neugier übermannte mich, und\nich konnte mich nicht mehr zurückhalten.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nWarum lächelt sie wieder so? ...Warum\nGEFÄLLT mir das?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nGenug von Euren Tricks. Die Niedlichste von\nallen bin immer noch ICH! Und das werde ich\nauch bleiben!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nWaaaaaaaaaaaaaah!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x01\x0E\x0Cオルテンシア\n\x0E\x03\x02\x0A\x08セリーヌ\nUnd schon wieder eilt sie davon. Zu schade.\nErneut habe ich die Gelegenheit verpasst, sie\nzum Tee einzuladen.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nIhr scheint heute sichtbar weniger flamboyant\nzu sein als üblicherweise, Prinzessin Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nNa schön, Prinzessin Céline.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch gebe es zu.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セリーヌ\nWas gebt Ihr denn zu?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nIhr seid niedlicher als ich. Ich gestehe die\nNiederlage ein.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch hatte nie eine echte Chance gegen Euch.\nWer könnte denn schon seine Augen von\nEuch abwenden?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nDas ist wahrlich ein großes Lob.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08セリーヌ\nUnd doch...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セリーヌ\n...bin ich noch nicht fertig damit, Euch zu\nstupsen. Stups! Stups! Stups!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nHuch? Ahahaha, warum?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セリーヌ\nWollen wir den Wettbewerb in einem\nharmonischen Unentschieden enden lassen?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セリーヌ\nEuch fehlt es nicht an Niedlichkeit. Und Eure\nEmotionen sind Euch ins Gesicht geschrieben.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nWie wenig Ihr doch begreift, dass diese beiden\nDinge eine große Hilfe für alle um Euch herum\nsind.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nMeint... Ihr das ernst?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\nJa. Und sorgt Euch nicht um meinen Charme.\nIhr seid auf Eure eigene Weise ebenfalls\nbezaubernd.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セリーヌ\nIch wage zu behaupten, dass ein Lächeln Euch\nbesser steht als ein Schmollen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nW-wenn Ihr solche Sachen sagt, dann... dann...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nAaah, dann mag ich Euch ja sogar NOCH mehr!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セリーヌ\nGut. Denn Ihr seid mir bereits ans Herz\ngewachsen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\nWie könnt Ihr einfach so da stehen, so in Euch\nruhend und perfekt?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nKommt, Prinzessin Hortensia. Möchtet Ihr eine\nTasse Tee mit mir trinken?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セリーヌ\nDiese Einladung wollte ich schon lange Zeit\naussprechen.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cオルテンシア\nTee? Mit Euch?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セリーヌ\nHahaha, in der Tat. Ich denke, wir beiden\njüngeren Schwestern habe eine Menge\ngemeinsam.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セリーヌ\nAls Zeichen unserer Freundschaft habe ich eine\nbesondere Teemischung aus Elusia importiert.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas ist ja so süß von Euch. Ja, legen wir\ngleich los!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08セリーヌ\nExzellent! So lasst denn die erste gemeinsame\nTeestunde von vielen beginnen!\x0E\x04\x00\x00
