MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスフォリア\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0C\nスフォリア\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, Königliche der drei Königreiche...\nWillkommen im Palast von Solm.\x0E\x04\x02\x00
MID_OP2_#011	\x0E\x03\x02\x18\x16M013_蛮族_お頭Ａ\nKomm schon. Wach auf! Was glaubst du wohl?\nWir sind Banditen. Banditen!\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x18\x16M013_蛮族_お頭Ｂ\nUnd was tun Banditen so? Zeug abgreifen!\nWie deinen hübschen Ring da. Her damit!\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x0C\nミスティラ\nOooh!\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x18\x16M013_蛮族_お頭Ａ\nOh? Oooh? Das ist alles? Ihr steckt im\nSchlamassel! Ganz tief! Genau jetzt!\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x18\x16M013_蛮族_お頭Ｂ\nIhr seid geradezu von Schlamassel umgeben!\nWir haben Monster. Die finden uns ganz toll.\nDiese beiden und noch viele mehr!\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x01\x18\x16M013_蛮族_お頭Ｂ\n\x0E\x03\x00& M013_異形兵_アクスペガサス\x023\n\x0E\x03\x02" M013_異形兵_アクスペガサス\nGrrrrr...\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x0C\nミスティラ\n...\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x18\x16M013_蛮族_お頭Ａ\nSo, wir haben ganz nett gefragt, aber ihr\nmusstet uns ja wütend machen. Jetzt erledigen\nwir das eben auf unsere Art!\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0C\nフォガート\nIch sah ein Lagerfeuer. Das muss sie sein!\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x0A\x08リュール\nWas waren das für seltsame Geräusche?\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x0C\nフォガート\nDas war der Gesang von Timerra und ihren\nFreunden.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x0A\x08リュール\nOh... Tut mir leid.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x0C\nフォガート\nHahaha, mach dir keine Sorgen. Die Leute\nnennen sie nicht ohne Grund die „Solmer\nLärmtröten“.\x0E\x04\x02\x00
MID_OP3_#006	Merkwürdig, dass sie aufgehört haben.\nEin Angriff, möglicherweise?\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x02\x0A\x08リュール\nGehen wir hin und finden es heraus.\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x10\nフォガート\x024\n\x0E\x03\x02\x0C\nフォガート\nTimerra!\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x02\x0C\nミスティラ\nOh! Hallo, Fogado.\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nIhr seid also Prinzessin Timerra. Schön, Eure\nBekanntschaft zu machen.\x0E\x04\x00\x00
MID_OP4_#004	\x0E\x03\x02\x0C\nミスティラ\nSagt nichts! Ihr seid \x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin, richtig?\x0E\x04\x02\x00
MID_OP4_#005	Fogado wäre nicht hergekommen, wenn er\nEuch nicht zuerst gefunden hätte.\x0E\x04\x00\x00
MID_OP4_#006	\x0E\x03\x02\x0A\x08リュール\nEr wäre nicht... Wie bitte?\x0E\x04\x00\x00
MID_OP4_#007	\x0E\x03\x02\x0C\nミスティラ\nNicht wichtig. Wir haben dringendere Probleme.\nFürs Erste müssen wir uns um diese Banditen\nkümmern!\x0E\x04\x02\x00
MID_OP4_#008	Es würde ja total helfen, wenn Ihr Eure\nBeschwörungskräfte auf diesen Ring anwenden\nkönntet.\x0E\x04\x00\x00
MID_OP4_#009	\x0E\x03\x02\x0A\x08リュール\nDer Ring des strahlenden Helden.\x0E\x04\x00\x00
MID_OP4_#010	\x0E\x03\x02\x0C\nミスティラ\nIch wollte immer schon mal die Person treffen,\ndie darin lebt. Könnt Ihr das ermöglichen?\x0E\x04\x00\x00
MID_OP4_#011	\x0E\x03\x02\x0A\x08リュール\nIn Ordnung.\x0E\x04\x00\x00
MID_OP4_#012	\x0E\x03\x02\x0C\nミスティラ\nGroßartig! Und eins, und zwei...\x0E\x04\x00\x00
MID_OP4_#013	\x0E\x03\x02\x0A\x08リュール\nKämpfe tapfer, Emblem von Radiance!\x0E\x04\x00\x00
MID_OP6_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06アイク\x024\n\x0E\x03\x02\x0C\nミスティラ\nHui, was für Arme. Da ist aber jemand\nkampfbereit.\x0E\x04\x00\x00
MID_OP6_#002	\x0E\x03\x02\x08\x06アイク\nIch bin Ike. Setzt mich besser klug ein.\x0E\x04\x00\x00
MID_OP6_#003	\x0E\x03\x02\x0A\x08リュール\nDanke für deine Hilfe, Ike. Diesen Kampf wirst\nan der Seite von Prinzessin Timerra bestreiten.\x0E\x04\x00\x00
MID_OP7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16M013_蛮族_お頭Ａ\x02b\n\x0E\x05\x01$\x16M013_蛮族_お頭Ａ\nSmile\n\x0E\x03\x02\x18\x16M013_蛮族_お頭Ａ\nWas? Noch mehr? Diese Zwitschervögelchen\nmüssen um Hilfe gepiepst haben!\x0E\x04\x02\x00
MID_OP7_#002	Pah, sage ich. Gegen unsere Monster kommen\nsie nicht an!\x0E\x04\x00\x00
MID_OP7_#003	\x0E\x03\x00\x1C\x16M013_蛮族_お頭Ｂ\x02t\n\x0E\x05\x01$\x16M013_蛮族_お頭Ｂ\nSmile\n\x0E\x03\x02\x18\x16M013_蛮族_お頭Ｂ\nRichtig. Von unseren Dieben ganz zu schweigen.\nWahre Meister in der Kunst des Ausplünderns.\x0E\x04\x00\x00
MID_OP8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EM013_蛮族\x02b\n\x0E\x03\x02\x10\x0EM013_蛮族\nHahaha...\x0E\x04\x00\x00
MID_OP8_#002	\x0E\x03\x00\x10\nミスティラ\x02t\n\x0E\x05\x01\x1A\nミスティラ\x0CStrike\n\x0E\x03\x02\x0C\nミスティラ\nSie werden das Dorf angreifen. Wir müssen sie\naufhalten, bevor jemand verletzt wird.\x0E\x04\x02\x00
MID_OP8_#003	Merrin, Panette, auf geht's!\x0E\x04\x00\x00
MID_OP8_#004	\x0E\x03\x01\x10\x0EM013_蛮族\n\x0E\x03\x00\x0C\x06メリン\x02b\n\x0E\x05\x01\x14\x06メリン\nAngry\n\x0E\x03\x02\x08\x06メリン\nWie Ihr befehlt, meine Prinzessin. Wir werden\nsie mit dem Hammer der Gerechtigkeit\nzermalmen.\x0E\x04\x00\x00
MID_OP8_#005	\x0E\x03\x01\x08\x06メリン\n\x0E\x03\x00\x0E\x08パネトネ\x02b\n\x0E\x05\x01\x16\x08パネトネ\nAngry\n\x0E\x03\x02\x0A\x08パネトネ\nIn der Tat! Sie sollen es bitterlich bereuen,\ndiese armen Leute drangsaliert zu haben!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1E\x18M013_村人おじいさん\x02t\n\x0E\x05\x01,\x18M013_村人おじいさん\x10Surprise\n\x0E\x03\x02\x1A\x18M013_村人おじいさん\nEh, was? Banditen? Oje. Na, besser, Ihr\nbekommt das hier als die da.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14M013_村人女の子\x02t\n\x0E\x05\x01 \x14M013_村人女の子\x08Pain\n\x0E\x03\x02\x16\x14M013_村人女の子\nOh nein! Ich werde meiner Omi sagen, dass sie\nsich verstecken soll. Verwendet das hier, um die\nbösen Kerle zu besiegen!\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16M013_村人おばさん\x02t\n\x0E\x05\x01 \x16M013_村人おばさん\x06Sad\n\x0E\x03\x02\x18\x16M013_村人おばさん\nBanditen, sagt Ihr? Ach du liebe Zeit. Dann\nsolltet Ihr besser das hier nehmen. Vielleicht\nist es nützlich.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16M013_蛮族_お頭Ａ\x02b\n\x0E\x03\x02\x18\x16M013_蛮族_お頭Ａ\nDas Dorf plündert sich nicht von selbst,\nverstanden? Los, los!\x0E\x04\x00\x00
MID_EV4_#002	\x0E\x03\x00\x1C\x16M013_蛮族_お頭Ｂ\x02t\n\x0E\x03\x02\x18\x16M013_蛮族_お頭Ｂ\nGenau! Fangt mit diesem Haus dort an!\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06アイク\x02t\n\x0E\x05\x01\x18\x06アイク\x0EStandBy\n\x0E\x03\x02\x08\x06アイク\nDer Weg voran ist versperrt. Aber nicht mehr\nlange.\x0E\x04\x02\x00
MID_EV5_#002	\x0E\x05\x01\x16\x06アイク\x0CStrike\nLos, Timerra. Mit meiner Macht könnt Ihr\nproblemlos einen Pfad öffnen.\x0E\x04\x00\x00
MID_EV6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16M013_蛮族_お頭Ａ\x02b\n\x0E\x03\x02\x18\x16M013_蛮族_お頭Ａ\nJawoll! Machen wir weiter – und plündern, was\ndas Zeug hält!\x0E\x04\x00\x00
MID_EV6_#002	\x0E\x03\x00\x1C\x16M013_蛮族_お頭Ｂ\x02t\n\x0E\x03\x02\x18\x16M013_蛮族_お頭Ｂ\nHahaha, und wer wird uns aufhalten? Keiner!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16M013_蛮族_お頭Ａ\x02b\n\x0E\x05\x01&\x16M013_蛮族_お頭Ａ\x0CStrike\n\x0E\x03\x02\x18\x16M013_蛮族_お頭Ａ\nLeute, die sich einmischen. Boah, wie ich die\nhasse. Du hast deine Nase in unsere Angelegen-\nheiten gesteckt! Dafür wirst du bezahlen!\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16M013_蛮族_お頭Ａ\x02b\n\x0E\x05\x01 \x16M013_蛮族_お頭Ａ\x06Sad\n\x0E\x03\x02\x18\x16M013_蛮族_お頭Ａ\nIch war kein so toller großer Bruder, hm?\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16M013_蛮族_お頭Ｂ\x02b\n\x0E\x05\x01$\x16M013_蛮族_お頭Ｂ\nAngry\n\x0E\x03\x02\x18\x16M013_蛮族_お頭Ｂ\nDiese Oase gehört uns, verstanden? Wir haben\nhier die exklusive Lizenz zum Plündern!\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16M013_蛮族_お頭Ｂ\x02b\n\x0E\x05\x01"\x16M013_蛮族_お頭Ｂ\x08Pain\n\x0E\x03\x02\x18\x16M013_蛮族_お頭Ｂ\nIch habe meinen Bruder enttäuscht... schon\nwieder...\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0C\nミスティラ\nUnd das war das. Tut mir leid, dass ich Euch\ngleich in einen Kampf gezerrt habe, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nKeine Sorge. Aber in all der Aufregung kam ich\ngar nicht dazu, zu erklären, warum ich eigentlich\nhier bin.\x0E\x04\x02\x00
MID_ED1_#003	Das habe ich zwar schon Königin Seforia und\nPrinz Fogado erzählt, aber...\x0E\x04\x02\x00
MID_ED1_#004	Der Dämonendrache wurde wiedererweckt.\nEr ist zurück.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0C\nミスティラ\nHm.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08リュール\nDas kommt plötzlich, ich weiß. Ihr seid jetzt\nsicherlich schockiert.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0C\nミスティラ\nIch wusste das schon.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08リュール\nAch ja?\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0C\nミスティラ\nMama und Fogado wussten es auch.\nWir wissen es sogar schon eine ganze Weile.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0A\x08リュール\nFogado, Ihr auch?\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x00\x10\nフォガート\x023\n\x0E\x03\x02\x0C\nフォガート\nTut mir leid. Tatsächlich war unser zufälliges\nTreffen in der Wüste Tullah... überhaupt kein\nZufall.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0A\x08リュール\nHabt Ihr uns etwa betrogen?\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0C\nフォガート\nDas genaue Gegenteil ist der Fall. Ich musste\nsicherstellen, dass Ihr uns nicht betrügt.\x0E\x04\x02\x00
MID_ED1_#014	Die Rückkehr des Dämonendrachen zwang\nuns dazu, Maßnahmen zum Schutze unseres\nLandes zu ergreifen.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0C\nミスティラ\nIch werde es Euch erklären.\x0E\x04\x02\x00
MID_ED1_#016	Der Palast hat seine Kundschafter in ganz\nElyos – sie haben ein Auge auf die drei\nKönigreiche.\x0E\x04\x02\x00
MID_ED1_#017	Als Elusia den Dämonendrachen wieder-\nerweckte, wussten wir sehr bald darüber\nBescheid.\x0E\x04\x02\x00
MID_ED1_#018	Doch ohne die Emblem-Ringe konnten wir ihn\nnicht besiegen – und ohne Euch konnten wir sie\nnicht nutzen.\x0E\x04\x02\x00
MID_ED1_#019	Unsere einzige Chance bestand darin, uns auf\ndie Defensive zu konzentrieren.\x0E\x04\x02\x00
MID_ED1_#020	Die Verzerrten tauchten überall auf, daher\nmussten wir schnell einen Plan entwickeln.\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x0A\x08リュール\nUnd wie lautete der Plan?\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x02\x0C\nミスティラ\nZunächst musste Mama im Palast bleiben.\nZusammen mit der königlichen Wache sollte\nsie Eindringlinge abwehren.\x0E\x04\x02\x00
MID_ED1_#023	Währenddessen senden wir unsere Miliz,\ndie Wächter, zu den Soldaten, um sie im Kampf\ngegen die Verzerrten zu unterstützen.\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x03\x02\x0C\nフォガート\nAls ihr Anführer war es meine Aufgabe, an der\nGrenze zu Elusia nach Verzerrten Ausschau\nzu halten.\x0E\x04\x02\x00
MID_ED1_#025	Und wenn ich jemanden treffe, der vorgibt,\n\x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin zu sein, sollte ich diese Person\ndirekt zum Palast bringen.\x0E\x04\x00\x00
MID_ED1_#026	\x0E\x03\x02\x0A\x08リュール\nDeshalb habt Ihr also verschwiegen, dass Ihr ein\nPrinz seid.\x0E\x04\x00\x00
MID_ED1_#027	\x0E\x03\x02\x0C\nミスティラ\nIch war auch bei den Wächtern. Und ich\ndurchstreifte mit dem Ring das Land, und\nbeschützte ihn.\x0E\x04\x00\x00
MID_ED1_#028	\x0E\x03\x02\x0A\x08リュール\nHabt Ihr jemals – als Teil Eures Plans – in\nBetracht gezogen, um die Hilfe anderer Länder\nzu bitten?\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0C\nミスティラ\nNein. Denn dann hätten wir ihnen helfen\nmüssen.\x0E\x04\x02\x00
