MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nSieh dir nur diesen Ort an! Oh, du meine Güte.\nDas kann nicht sein... Das ist unmöglich!\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nSmile\n\x0E\x03\x02\x0A\x08リュール\nIch spüre es ebenfalls. Dir auf diese Art ent-\ngegenzutreten, macht mich stärker.\x0E\x04\x00\x00
MID_BT1_#003	\x0E\x05\x01\x18\nエイリーク\nRelax\n\x0E\x03\x02\x0C\nエイリーク\nDu warst von Anfang an stark. Nun zeig mir,\ndass deine Fähigkeiten deiner Stärke ange-\nmessen sind.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ロサード\x02t\n\x0E\x05\x01\x16\x08ロサード\nSmile\n\x0E\x03\x02\x0A\x08ロサード\nIch hätte nicht gedacht, dass wir so viel Zeit\nmiteinander verbringen würden, Eirika. Es ist\nwirklich ein Vergnügen!\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x10\nエイリーク\x02b\n\x0E\x05\x01\x18\nエイリーク\nSmile\n\x0E\x03\x02\x0C\nエイリーク\nIch bin froh, dass du ein Bündnis mit mir\neingegangen bist. Jeder Tag bietet eine neue\nErfahrung.\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x05\x01\x1C\x08ロサード\x10Surprise\n\x0E\x03\x02\x0A\x08ロサード\nOch, vielen Dank. Ich werde hier noch ganz rot.\x0E\x04\x00\x00
MID_BT2_#004	\x0E\x03\x02\x0C\nエイリーク\nHa. Nun, nimm deine Waffe, oder es wird noch\npeinlicher für dich.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x02t\n\x0E\x05\x01\x16\x0Cゴルドマリー\x06Sad\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nNun, Eirika, lasst uns sehen, wer von uns beiden\nim Kampf eleganter ist.\x0E\x04\x00\x00
MID_BT3_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch entschuldige mich, falls meine Fähigkeiten\nzu viel für Euch sind.\x0E\x04\x00\x00
MID_BT3_#003	\x0E\x03\x00\x10\nエイリーク\x02b\n\x0E\x05\x01\x18\nエイリーク\nSmile\n\x0E\x03\x02\x0C\nエイリーク\nDu musst dich nicht entschuldigen. Zu sehen,\nwie du zu einer Kriegerin heranwächst, ist ein\nVergnügen.\x0E\x04\x00\x00
MID_BT3_#004	\x0E\x05\x01\x18\nエイリーク\nAngry\n\x0E\x03\x02\x0C\nエイリーク\nAber das bedeutet nicht, dass ich vorhabe, zu\nverlieren!\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nDu bist stärker geworden. Du wärest vielleicht\nsogar in der Lage, Ephraim – meinen Bruder –\nzu besiegen.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nVielen Dank! Ich vermute, du hast dich stets\nauf deinen Bruder verlassen, nicht wahr?\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0C\nエイリーク\nIch würde nicht... Ich meine... Wir sind\nGeschwister. Und wir brauchen stets die\nUnterstützung des anderen.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0A\x08リュール\nIch glaube, so habe ich das überhaupt nicht\ngesehen.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08リュール\nDu sollst wissen, dass ich auf dich baue, Eirika.\nIch vertraue deiner Meinung und deinen\nFähigkeiten.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0C\nエイリーク\nIch danke dir. Ich möchte dir einfach nur in\ndeiner Sache helfen, so wie andere mir geholfen\nhaben.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0C\nエイリーク\nIch bin so glücklich, dass ich ein Teil hiervon\nbin – und dass ich euch allen helfen darf.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08リュール\nDu hast mich schon so oft gerettet, dass ich\nanfange zu glauben, dass ich ohne dich verloren\nwäre.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0C\nエイリーク\nHahaha, du solltest mehr Selbstvertrauen haben.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0C\nエイリーク\nSolange wir beide unseren eigenen Fähigkeiten\nvertrauen, können wir uns gegenseitig unter-\nstützen.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nDas hört sich gut an. Ich hoffe, wir können\neinander noch lange beistehen.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0C\nエイリーク\nDas hoffe ich auch, \x0E\x06\x03\x00. Ich bin mir\nsicher, dass du die Welt retten kannst.\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
