MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nGoldmary! Ich habe ein Gerücht gehört, dass\neinige Verehrer in der Stadt nach dir gefragt\nhaben.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0E\x0Cオルテンシア\nNiemand von uns hätte etwas dagegen tun\nkönnen.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0E\x0Cオルテンシア\nAußerdem hätte er euch beiden seinen Segen\ngegeben. Davon bin ich fest überzeugt.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0E\x0Cオルテンシア\nDeshalb will ich kein weiteres Wort darüber\nhören, klar? Du musst dich für nichts\nentschuldigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch bin erleichtert, Euch das sagen zu hören.\x0E\x04\x00\x00
MID_RELIANCE_B_#030	\x0E\x03\x02\x0E\x0Cオルテンシア\nUnd ich bin erleichtert, dass du hier bei mir bist.\x0E\x04\x00\x00
MID_RELIANCE_B_#031	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch hoffe, du bleibst bei mir, selbst wenn der\nKrieg vorbei ist. Wirst du dann wieder mit mir\nzurück an die Akademie gehen?\x0E\x04\x00\x00
MID_RELIANCE_B_#032	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs wäre mir ein Privileg.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nErinnert Ihr Euch noch daran, wie wir uns das\nerste Mal begegnet sind?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas allererste Mal?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nNa ja, ich hatte ein paar Klassen übersprungen\nund war dadurch in der Klasse für Fortgeschrit-\ntene gelandet...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs war noch lange davor.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nWarte, war es das?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJa. Bevor Ihr ein paar Klassen übersprungen\nhabt.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch war versehentlich in ein Gefecht zwischen\nbrodianischen und elusianischen Streitkräften\ngeraten.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDie ganze Stadt wurde plötzlich zum Schlacht-\nfeld... und ich war mittendrin. Ich war wie\ngelähmt vor Angst.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIhr wart es, die mich von dort wegbrachte. Ihr\nhabt mich gerettet.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh! Ich erinnere mich an den Tag!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nWir hatten Berichte erhalten von Brodias\nÜberraschungsangriff. Ich begab mich dorthin,\num nach den Truppen zu sehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nUnd da war ein einsames Mädchen, das\nzurückgelassen wurde... Das warst du?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIn der Tat. Ein brodianischer Soldat wollte mich\ngerade niederstrecken, aber Ihr habt mich mit\nMagie beschützt.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDann habt Ihr mich auf Euren Pegasus gezogen,\nin Sicherheit gebracht und seid davongeflogen.\nIhr habt mir nicht einmal Euren Namen genannt.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWas meint Ihr, wie überrascht ich war, als wir\nuns in der Klasse für Fortgeschrittene an der\nAkademie wiedergesehen haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nWarum hast du das noch nie zuvor erwähnt?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs war mir peinlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch bringe es erst jetzt zur Sprache... weil ich\nwill, dass Ihr wisst, wie sehr ich Euch\nrespektiere.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nVielen Dank. Das bedeutet mir wirklich viel.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch bin froh, dass du mir davon erzählt hast.\nUnd nebenbei bemerkt, ich respektiere dich\nebenfalls sehr.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\nDu riskierst dein Leben, um mich zu\nbeschützen. Ich könnte mir keine bessere\nFreundin wünschen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\nUnd es schadet auch nicht, dass du so\nbezaubernd aussiehst. Allein in deiner Nähe zu\nsein, lässt mich ebenfalls gut aussehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHahaha, da habt Ihr vollkommen recht.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas bedeutet dann wohl, dass du nicht vorhast,\nin absehbarer Zeit von meiner Seite zu\nweichen?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNatürlich nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch bin schließlich Eure Getreue, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cゴルドマリー\nUnd mehr noch als das, Hortensia... bin ich Eure\nFreundin. Ich werde alles in meiner Macht\nStehende tun, um Euch zu unterstützen.\x0E\x04\x00\x00
