MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nHey, Rosado! Niedlich siehst du aus.\nWie eigentlich immer.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ロサード\nIch...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ロサード\nIch glaube schon, aber...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ロサード\nKeine Ahnung. Schätze, ich werde noch\nmal darüber nachdenken...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x02\x0A\x08ロサード\nNur noch ein letzter Strich und... fertig!\nEine perfekte Landschaft.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nRosado! Wie ich sehe, zeichnest du mal wieder.\nEine wirklich hübsche Szenerie.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ロサード\nOh... Hey, Prinz Fogado.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nフォガート\nUnd dein Gesicht ist ganz genau so hübsch!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ロサード\nWirklich? Findet Ihr? Oooh, recht lieben Dank!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ロサード\nHalt, stopp! Noch mal falle ich darauf bestimmt\nnicht rein. Ich weiß, was als Nächstes kommt...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ロサード\nSobald ich Euch frage, ob ich der Niedlichste\nvon allen bin, verpasst Ihr mir gleich wieder\neinen Dämpfer!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nTut mir wirklich leid, aber ich habe dir schon\nmal gesagt, dass ich keine Vergleiche ziehe.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nIst es etwa verkehrt, jede Form von Schönheit\ngleichermaßen zu lieben?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ロサード\nSchätze, Ihr habt recht. Arrogant war wohl\neher ich. Ihr hingegen seid die ganze Zeit\nüber nett zu mir gewesen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nIch hätte wirklich nicht so besessen darauf\nsein sollen, niedlicher als alle anderen zu sein.\nVerzeiht mir.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nフォガート\nAch, ist schon gut. Es ist schließlich keine\nSchande, der Beste sein zu wollen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nフォガート\nIch habe eben meine Sichtweise auf die Welt\nund du die deine.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nWir müssen nicht immer derselben Meinung\nsein, stimmt's? Wichtig ist nur, dass wir unsere\nDifferenzen respektieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\nUnsere Differenzen respektieren...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ロサード\nJa, na klar.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nAnstatt ständig nach weiteren Komplimenten\nzu fischen, sollte ich einfach lernen, Eure ohne\ngroßes Hinterfragen anzunehmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nフォガート\nGanz genau! Du bleibst weiter so hinreißend\nund ich mache dir weiterhin Komplimente.\nDann sind wir beide zufrieden.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ロサード\nJepp. Ich bin niedlich, und das ist eine Tatsache.\nSchön, dass die Welt wieder in Ordnung ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nフォガート\nHahaha, na siehst du! Und gestatte mir noch\nkurz zu sagen, wie sehr ich dein wunderschönes\nLächeln liebe.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ロサード\nHahaha! Nur zu, sprecht ruhig weiter!\x0E\x04\x00\x00
