MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nPrinzessin Céline! Habt ihr was mit Euren\nHaaren gemacht? Die sehen ja noch viel\nwallender aus als sonst.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セリーヌ\nGanz recht. Und ein recht gefährliches noch\ndazu. Ich wünsche Euch noch einen schönen\nTag, Prinz Fogado.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x01\x0A\x08セリーヌ\n\x0E\x03\x02\x0C\nフォガート\nUnd schon ist sie fort. Scheint ja eine ganz\nschön harte Nuss zu sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nフォガート\nAber was habe ich auch anderes erwartet?\nSie kommt schließlich aus Firene.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nOh, hallo, Prinzessin Céline. Ihr seht wie immer\numwerfend aus.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nHabt Dank, Prinz Fogado.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nAlso, wie sieht's aus? Lust auf ein Tässchen\nTee? Wird Zeit, dass wir beide uns besser\nkennenlernen.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セリーヌ\nHmmm. Haltet Ihr das für klug?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nAch, kommt schon. Was gibt es da noch groß\nzu überlegen?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nフォガート\nSchätze, ich kann Euch Eure Reserviertheit\nnicht übelnehmen. Schließlich seid Ihr eine\nFirenerin.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08セリーヌ\nWie ich bereits sagte, wir verabscheuen Risiken.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nフォガート\nJa, aber das ist wohl nicht der einzige Grund.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セリーヌ\nAch? Es gibt noch einen weiteren?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nフォガート\nFirenes Landwirtschaft ist derart stabil, dass\nihr euch keine Vorräte anlegen, geschweige\ndenn Güter importieren müsst.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nフォガート\nUnd das ist durchaus gut so, bitte versteht mich\nnicht falsch.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nAber eure wirtschaftliche Unabhängigkeit hat\neuch Firener etwas ungesellig werden lassen,\nwenn Ihr mich fragt.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nフォガート\nEure Tore sind derart fest verschlossen,\nes könnten ebenso gut Mauern sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セリーヌ\nInteressant. Aus diesem Blickwinkel betrachtet\nkönnte man tatsächlich meinen, wir würden uns\netwas absondern, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セリーヌ\nAlso gut. Ich nehme Eure Einladung an.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セリーヌ\nIch werde Euch beweisen, dass sich das Volk\nvon Firene in keinster Weise abschottet.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セリーヌ\nIm Gegenteil. Es ist die durch unsere idyllische\nLebensweise begünstige Großherzigkeit, die uns\nbesonders gastfreundlich macht.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nフォガート\nHahaha, seht Euch an, Prinzessin Céline!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nフォガート\nIhr setzt Euch also persönlich dafür ein um\nzu beweisen, dass das Königreich Firene kein\nEremitendasein fristet. Bewundernswert.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セリーヌ\nGleichzeitig bietet sich für mich die Gelegenheit,\ndas Geheimnis Eures Wohlstands zu ergründen.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セリーヌ\nZum Beispiel wie Ihr die Gunst fremdländischer\nAdelsleute erheischt, um ihnen Informationen\nzu entlocken.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nフォガート\nDas will ich nicht abstreiten. Als Prinz bleibt\nmir manchmal keine Wahl, als das Angenehme\nmit dem Nützlichen zu verknüpfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nフォガート\nDoch heute hege ich keinerlei Hintergedanken,\nversprochen. Heute wollen wir nur Tee trinken\nund uns nett unterhalten.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08セリーヌ\nDas klingt wundervoll. Ich freue mich schon\ndarauf, Prinz von Solm.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nFindet Ihr nicht auch manchmal, dass wir\nbeide uns recht ähnlich sind?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nフォガート\nGenau das habe ich auch gerade gedacht.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nUnser Aussehen und unser Handeln könnten\nnicht unterschiedlicher sein, und doch scheinen\nwir uns aus irgendeinem Grund zu verstehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セリーヌ\nJa, ich weiß genau, was Ihr meint.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nフォガート\nÜberlegt man es sich genau, ergibt das sogar\nSinn. Wir beide befinden uns in einer recht\nähnlichen Situation.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nWir stehen beide an zweiter Stelle der\nThronfolge, als Geschwister.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セリーヌ\nIn der Tat.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nSeit meiner Kindheit war ich stets bestrebt\neine Rolle einzunehmen, in der ich den König\nunterstützen kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nIch ebenfalls. Mein ganzes Leben habe ich\nmit Überlegungen zugebracht, wie ich meiner\nSchwester helfen kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nフォガート\nDeshalb musste ich stärker werden als sie.\nHärter trainieren als sie.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nフォガート\nUnd auch den Palast verlassen, um Konflikte\ninnerhalb des Königinreichs zu lösen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セリーヌ\nDas überrascht mich nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セリーヌ\nAuch ich feilte eifrig an meinen Schwert- und\nZauberkünsten, um meinem kranken Bruder\nzur Seite stehen zu können.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nDoch wer hätte es gedacht! Just in dem\nMoment, als ich mich stark genug wähnte,\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セリーヌ\nschien mein Bruder vollständig genesen zu sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nフォガート\nHahaha, und Ihr wusstet nicht, ob Ihr jubeln\noder weinend zusammenbrechen solltet.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nフォガート\nWir zwei sind uns wirklich ähnlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セリーヌ\nWir beide lieben unsere Geschwister ebenso\nabgöttisch wie unsere Nationen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nフォガート\nUnd um zu beschützen, was wir lieben...\nsind wir bereit, Unvorstellbares zu tun.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セリーヌ\nGanz genau. Keiner von uns beiden würde\nzögern, weniger friedliche Mittel einzusetzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nフォガート\nHahaha...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nフォガート\nPrima. Dann wissen wir nun beide, was für\nein Monster unser Gegenüber sein kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セリーヌ\nUnd aus eben diesem Grund halte ich es für\nriskant, Wege zu beschreiten, die uns Streitig-\nkeiten mit Solm bescheren könnten.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nフォガート\nIn diesem Fall sollten wir wohl lieber\nFreunde bleiben.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セリーヌ\nMögen wir einen Pfad voran beschreiten.\nGemeinsam.\x0E\x04\x00\x00
